HGNC ID	Alias symbol	NCBI gene ID	Ensembl gene ID	Approved symbol
HGNC:5		1	ENSG00000121410	A1BG
HGNC:37133	FLJ23569	503538	ENSG00000268895	A1BG-AS1
HGNC:24086	ACF	29974	ENSG00000148584	A1CF
HGNC:24086	ASP	29974	ENSG00000148584	A1CF
HGNC:24086	ACF64	29974	ENSG00000148584	A1CF
HGNC:24086	ACF65	29974	ENSG00000148584	A1CF
HGNC:24086	APOBEC1CF	29974	ENSG00000148584	A1CF
HGNC:7	FWP007	2	ENSG00000175899	A2M
HGNC:7	S863-7	2	ENSG00000175899	A2M
HGNC:7	CPAMD5	2	ENSG00000175899	A2M
HGNC:27057		144571	ENSG00000245105	A2M-AS1
HGNC:23336	FLJ25179	144568	ENSG00000166535	A2ML1
HGNC:23336	p170	144568	ENSG00000166535	A2ML1
HGNC:41022		100874108	ENSG00000256661	A2ML1-AS1
HGNC:41523		106478979	ENSG00000256904	A2ML1-AS2
HGNC:8		3	ENSG00000256069	A2MP1
HGNC:30005	IGBS3S	127550	ENSG00000184389	A3GALT2
HGNC:30005	IGB3S	127550	ENSG00000184389	A3GALT2
HGNC:18149	A14GALT	53947	ENSG00000128274	A4GALT
HGNC:18149	Gb3S	53947	ENSG00000128274	A4GALT
HGNC:18149	P(k)	53947	ENSG00000128274	A4GALT
HGNC:17968	alpha4GnT	51146	ENSG00000118017	A4GNT
HGNC:1				A12M1
HGNC:2				A12M2
HGNC:3				A12M3
HGNC:4				A12M4
HGNC:13666		8086	ENSG00000094914	AAAS
HGNC:12				AABT
HGNC:21298	FLJ12389	65985	ENSG00000081760	AACS
HGNC:21298	SUR-5	65985	ENSG00000081760	AACS
HGNC:21298	ACSF1	65985	ENSG00000081760	AACS
HGNC:18226		729522	ENSG00000250420	AACSP1
HGNC:17	DAC	13	ENSG00000114771	AADAC
HGNC:17	CES5A1	13	ENSG00000114771	AADAC
HGNC:24427	MGC72001	344752	ENSG00000197953	AADACL2
HGNC:50301		101928142	ENSG00000242908	AADACL2-AS1
HGNC:32037	OTTHUMG00000001887	126767	ENSG00000188984	AADACL3
HGNC:32038	OTTHUMG00000001889	343066	ENSG00000204518	AADACL4
HGNC:50305		201651	ENSG00000240602	AADACP1
HGNC:17929	KATII	51166	ENSG00000109576	AADAT
HGNC:17929	KAT2	51166	ENSG00000109576	AADAT
HGNC:17929	KYAT2	51166	ENSG00000109576	AADAT
HGNC:25662	FLJ11506	79719	ENSG00000103591	AAGAB
HGNC:25662	p34	79719	ENSG00000103591	AAGAB
HGNC:19679	KIAA1048	22848	ENSG00000115977	AAK1
HGNC:19679	DKFZp686K16132	22848	ENSG00000115977	AAK1
HGNC:30205	PTD015	28971	ENSG00000087884	AAMDC
HGNC:30205	FLJ21035	28971	ENSG00000087884	AAMDC
HGNC:30205	CK067	28971	ENSG00000087884	AAMDC
HGNC:18		14	ENSG00000127837	AAMP
HGNC:19	SNAT	15	ENSG00000129673	AANAT
HGNC:15886	bA234K24.2	25980	ENSG00000131043	AAR2
HGNC:33842	LOC441376	441376	ENSG00000205002	AARD
HGNC:20	CMT2N	16	ENSG00000090861	AARS1
HGNC:20	AlaRS	16	ENSG00000090861	AARS1
HGNC:49894		106480683	ENSG00000249038	AARS1P1
HGNC:21022	KIAA1270	57505	ENSG00000124608	AARS2
HGNC:21022	bA444E17.1	57505	ENSG00000124608	AARS2
HGNC:28417	MGC2744	80755	ENSG00000266967	AARSD1
HGNC:28417	AlaXp	80755	ENSG00000266967	AARSD1
HGNC:54994		117981788	ENSG00000234969	AARSD1P1
HGNC:23993	NRPS998	132949	ENSG00000157426	AASDH
HGNC:23993	LYS2	132949	ENSG00000157426	AASDH
HGNC:23993	ACSF4	132949	ENSG00000157426	AASDH
HGNC:14235	LYS5	60496	ENSG00000149313	AASDHPPT
HGNC:14235	CGI-80	60496	ENSG00000149313	AASDHPPT
HGNC:14235	AASD-PPT	60496	ENSG00000149313	AASDHPPT
HGNC:14235	ACPS	60496	ENSG00000149313	AASDHPPT
HGNC:17366	LORSDH	10157	ENSG00000008311	AASS
HGNC:17366	LKRSDH	10157	ENSG00000008311	AASS
HGNC:17366	LKR/SDH	10157	ENSG00000008311	AASS
HGNC:51526		284837	ENSG00000215458	AATBC
HGNC:19235	DED	26574	ENSG00000275700	AATF
HGNC:19235	CHE-1	26574	ENSG00000275700	AATF
HGNC:19235	CHE1	26574	ENSG00000275700	AATF
HGNC:19235	BFR2	26574	ENSG00000275700	AATF
HGNC:21	AATYK	9625	ENSG00000181409	AATK
HGNC:21	KIAA0641	9625	ENSG00000181409	AATK
HGNC:21	LMTK1	9625	ENSG00000181409	AATK
HGNC:21	LMR1	9625	ENSG00000181409	AATK
HGNC:21	AATYK1	9625	ENSG00000181409	AATK
HGNC:21	PPP1R77	9625	ENSG00000181409	AATK
HGNC:22	AAV	17		AAVS1
HGNC:49667	INXS	103021294	ENSG00000281376	ABALON
HGNC:23	GABAT	18	ENSG00000183044	ABAT
HGNC:23	GABA-T	18	ENSG00000183044	ABAT
HGNC:29	TGD	19	ENSG00000165029	ABCA1
HGNC:32		20	ENSG00000107331	ABCA2
HGNC:33	ABC-C	21	ENSG00000167972	ABCA3
HGNC:33	EST111653	21	ENSG00000167972	ABCA3
HGNC:33	LBM180	21	ENSG00000167972	ABCA3
HGNC:55707		342293	ENSG00000257408	ABCA3P1
HGNC:34	FFM	24	ENSG00000198691	ABCA4
HGNC:34	ARMD2	24	ENSG00000198691	ABCA4
