HGNC ID	Approved symbol	Gene group ID
HGNC:5	A1BG	594
HGNC:37133	A1BG-AS1	1987
HGNC:24086	A1CF	725
HGNC:6	A1S9T	
HGNC:7	A2M	2148
HGNC:27057	A2M-AS1	1987
HGNC:23336	A2ML1	2148
HGNC:41022	A2ML1-AS1	1987
HGNC:41523	A2ML1-AS2	1987
HGNC:8	A2MP1	
HGNC:9	A2MR	
HGNC:10	A2MRAP	
HGNC:30005	A3GALT2	429
HGNC:18149	A4GALT	454|442
HGNC:17968	A4GNT	442
HGNC:1	A12M1	
HGNC:2	A12M2	
HGNC:3	A12M3	
HGNC:4	A12M4	
HGNC:11	AA	
HGNC:13666	AAAS	1051|362
HGNC:12	AABT	
HGNC:13	AAC1	
HGNC:14	AAC2	
HGNC:21298	AACS	40
HGNC:18226	AACSP1	
HGNC:13792	AACT	
HGNC:17	AADAC	464|465
HGNC:24427	AADACL2	465
HGNC:50301	AADACL2-AS1	1987
HGNC:32037	AADACL3	465
HGNC:32038	AADACL4	465
HGNC:50305	AADACP1	
HGNC:17929	AADAT	
HGNC:25662	AAGAB	
HGNC:19679	AAK1	1835
HGNC:30205	AAMDC	
HGNC:18	AAMP	362
HGNC:19	AANAT	1134
HGNC:15886	AAR2	
HGNC:33842	AARD	
HGNC:20	AARS1	132
HGNC:49894	AARS1P1	
HGNC:21022	AARS2	132
HGNC:28417	AARSD1	
HGNC:54994	AARSD1P1	
HGNC:23993	AASDH	40
HGNC:14235	AASDHPPT	
HGNC:17366	AASS	
HGNC:51526	AATBC	1992
HGNC:19235	AATF	1691
HGNC:21	AATK	694|321|1691
HGNC:22	AAVS1	
HGNC:49667	ABALON	1992
HGNC:23	ABAT	
HGNC:24	ABC1	
HGNC:25	ABC2	
HGNC:26	ABC3	
HGNC:28	ABC7	
HGNC:27	ABC50	
HGNC:29	ABCA1	805
HGNC:32	ABCA2	805
HGNC:33	ABCA3	805
HGNC:55707	ABCA3P1	
HGNC:34	ABCA4	805
HGNC:35	ABCA5	805
HGNC:36	ABCA6	805|1691
HGNC:37	ABCA7	805
HGNC:38	ABCA8	805
HGNC:39	ABCA9	805
HGNC:39983	ABCA9-AS1	1987
HGNC:30	ABCA10	805
HGNC:31	ABCA11P	805
HGNC:14637	ABCA12	805
HGNC:14638	ABCA13	805
HGNC:34405	ABCA15P	
HGNC:32972	ABCA17P	805
HGNC:40	ABCB1	806|471
HGNC:11563	ABCB2	
HGNC:11564	ABCB3	
HGNC:45	ABCB4	806
HGNC:46	ABCB5	806
HGNC:47	ABCB6	806|454
HGNC:48	ABCB7	806
HGNC:49	ABCB8	806
HGNC:50	ABCB9	806
HGNC:41	ABCB10	806
HGNC:14114	ABCB10P1	
HGNC:31128	ABCB10P2	
HGNC:31129	ABCB10P3	
HGNC:31130	ABCB10P4	
HGNC:42	ABCB11	806
HGNC:51	ABCC1	807|454
HGNC:53	ABCC2	807
HGNC:54	ABCC3	807
HGNC:55	ABCC4	807|454
HGNC:56	ABCC5	807
HGNC:40055	ABCC5-AS1	1987
HGNC:57	ABCC6	807
HGNC:33352	ABCC6P1	
HGNC:33353	ABCC6P2	
HGNC:58	ABCC7	
HGNC:59	ABCC8	807
HGNC:60	ABCC9	807
HGNC:52	ABCC10	807|1691
HGNC:14639	ABCC11	807
HGNC:14640	ABCC12	807
HGNC:16022	ABCC13	807
HGNC:61	ABCD1	808
HGNC:62	ABCD1P1	
HGNC:63	ABCD1P2	
HGNC:64	ABCD1P3	
HGNC:65	ABCD1P4	
HGNC:42662	ABCD1P5	
HGNC:66	ABCD2	808
HGNC:67	ABCD3	808|1062
HGNC:68	ABCD4	808
HGNC:69	ABCE1	809
HGNC:70	ABCF1	810|1691
HGNC:53628	ABCF1-DT	1990
HGNC:71	ABCF2	810
HGNC:54751	ABCF2-H2BK1	
HGNC:48841	ABCF2P1	
HGNC:48842	ABCF2P2	
HGNC:72	ABCF3	810
HGNC:73	ABCG1	811
HGNC:74	ABCG2	811|454|471
HGNC:13884	ABCG4	811
HGNC:13886	ABCG5	811
HGNC:13887	ABCG8	811
HGNC:75	ABCR	
HGNC:17553	ABHD1	4
HGNC:18717	ABHD2	4
HGNC:18718	ABHD3	4
HGNC:20154	ABHD4	4
HGNC:21396	ABHD5	4
HGNC:21398	ABHD6	4
HGNC:23759	ABHD8	4
HGNC:25656	ABHD10	4
HGNC:16407	ABHD11	4
HGNC:40012	ABHD11-AS2	
HGNC:15868	ABHD12	4
HGNC:19837	ABHD12B	4
HGNC:20293	ABHD13	4
HGNC:24538	ABHD14A	4
HGNC:38856	ABHD14A-ACY1	
HGNC:28235	ABHD14B	4
HGNC:26971	ABHD15	4
HGNC:49685	ABHD15-AS1	1987
HGNC:13921	ABHD16A	1691|4
HGNC:16128	ABHD16B	4
HGNC:28756	ABHD17A	1749|4
HGNC:28394	ABHD17AP1	
HGNC:33538	ABHD17AP2	
HGNC:34041	ABHD17AP3	
HGNC:34042	ABHD17AP4	
HGNC:34043	ABHD17AP5	
HGNC:34044	ABHD17AP6	
HGNC:38508	ABHD17AP7	
HGNC:38509	ABHD17AP8	
HGNC:38510	ABHD17AP9	
HGNC:24278	ABHD17B	4|1749
HGNC:26925	ABHD17C	1749|4
HGNC:26111	ABHD18	4
HGNC:11320	ABI1	
HGNC:20035	ABI1P1	
HGNC:24011	ABI2	1793
HGNC:29859	ABI3	
HGNC:17265	ABI3BP	555
HGNC:1364	ABITRAM	
HGNC:39851	ABITRAMP1	
HGNC:76	ABL1	741|1463
HGNC:77	ABL2	741|1463
HGNC:78	ABLIM1	1218
HGNC:19195	ABLIM2	1691|1218
HGNC:29132	ABLIM3	1218
HGNC:79	ABO	454|429
HGNC:81	ABR	823|1691|682|722
HGNC:55674	ABR-AS1	1987
HGNC:30655	ABRA	
HGNC:21230	ABRACL	
HGNC:25829	ABRAXAS1	1328
