,ambiguous symbol,number of abstracts with a match
0,LIP1,262
1,BWS,1906
2, ANT3Y,0
3,HAP,7960
4,RPD3,557
5,RECQL3,5
6, TFB2,40
7,CT45A6,0
8,ESF2,40
9,AAC1,101
10,L10,2766
11,OR2T2P,0
12,CT1.2,230
13,TCRAV20S1,0
14, DFNB21,15
15, DDX16,1
16,C6ORF20,0
17, EP2,2611
18, P200,1416
19,DPK,401
20, RW1,176
21,TANGO,2023
22,B7-H2,75
23,OI11,1
24,RN5S116,0
25,LST-3TM12,5
26, DNM1DN14@,0
27,RFP2,29
28,KRN1L,1
29,COPINE-6,19
30, KNSL2,3
31, MODY5,134
32, PRO2389,0
33, p120,2091
34,FAM189A1,8
35,CK1,1146
36,HSP27,5086
37,MSS1,60
38,p62,11729
39,AMGL,12
40,SPK,1431
41,PSF1,86
42, MGC1603,0
43,POTE2beta,1
44, CG1,980
45, KAP1.1,4
46, P55,3415
47, KIAA1899,0
48,T2R9,0
49, DJ182D15.1,0
50,XCE,97
51, H3,51728
52,CPD6,8
53,CPAD,116
54, C16ORF52,0
55,PSD,11173
56,ASMTL-AS,1
57, U4,2064
58,P12,5659
59, DP3,1783
60,CREB2,142
61, LILRB6,0
62,RNU1-7P,0
63,C2orf27B,0
64,SEP2,162
65,BA561O23.1,0
66,NOC,2616
67,JM11,5
68, CYP2D7P2,0
69,STAT5,7536
70, HLP2,18
71, OR7-140,0
72, XAP104,0
73,BBP,1317
74, FLJ00101,0
75,CLCA3,37
76, DERLIN-3,10
77, ULG3,0
78,K35,297
79,INT3,180
80,MLL4,204
81, PPP1R29,0
82,SNF2LB,0
83, KAP4.4,0
84, PWCR,19
85, RP58,38
86, ORF26,84
87,JLNS1,161
88,DC2L,0
89, PERRS,11
90,RNU1-25,0
91,TCRAV18S1,0
92,IGHV(II)-22-1,0
93, PP2,2476
94,HCG,28269
95,FCG2,3
96,FLJ42875,2
97, TC1,2678
98, GL,80584
99, DFNA3,28
100,HK4,47
101, CL-49,23
102,ADR,12237
103,DP3,1783
104,KAP9.2,2
105,PPBPL2,0
106,TCP11X2,0
107,POP1,259
108,CILD28,0
109,ATP6G,4
110,PRR,4465
111,BCOX,22
112,DLP1,126
113,SLP1,200
114,TIP,92526
115,PRP-1/PRP-2,24
116, BTBD24,0
117, MUPCDH,4
118, MIRN939,25
119,REG-III,25
120, KIAA1925,0
121,FLJ14408,0
122, NAPSBP,0
123, PAR1,3533
124, KRTHBP4,0
125,RPS17L2,0
126, IGKV52,1
127,PKD3,122
128, OR2F5,0
129,IL-20,504
130,AFG3,41
131,GT,35281
132, AYTL2,3
133, RP3-395M20.1,0
134,BAF190,1
135, LOC100170841,0
136,CD97,263
137,LEU1,570
138, FLJ31451,0
139,p8,7811
140,RNF89,0
141, G5,7706
142, TAKL-2,0
143,C1ORF144,0
144,NAT6,7
145,TCRBV20S1,5
146,GGTA,61
147, RS,135144
148,GLP-1,24524
149, OR2I1,0
150, TRM9L,1
151,C15orf63,1
152,HK2,6344
153,RDS,8949
154,DJ207F6.1,0
155, LINC00521,1
156,PDZK5C,0
157,SNRPB1,0
158, TMEM30C,5
159,FLJ45049,0
160, CD158J,8
161, PTEN-RS,4
162, TAS2R23,0
163,ERK3,155
164,SCHAD,1331
165,BCORL2,0
166,TRN,1123
167,HIP4,13
168, PHIHHAA,2
169,BA421M1.6,0
170, RDT,3167
171, DFNA72,0
172,HS6M1-14,0
173, SCAND3,6
174, UBXD10,0
175,TLX,1029
176, SLC22A1LS,1
177,PD1,25842
178,BART,7068
179,TCRBV11S1A1T,0
180, HM43,1
181,LPAAT-ALPHA,3
182,GST2,102
183, PH30,53
184,HSA-MIR-3714,2
185, CHS1,490
186,KIAA1949,10
187,BMS1LP4,0
188, MGC104959,0
189, LEU1,570
190,RN5S5,0
191, MAST,59451
192,HBK,441
