name,source_db_name,normalized_gene_id,aliases,normalized_HGNC_ID,normalized_NCBI_ID,rank_match,rank_status,winning_category,winning_HGNC_ID
HCA1,NCBI,ncbigene:266790,"AH|HCA|Hypercalciuria, absorptive, 1|ncbigene:266790|omim:607258",,266790,False,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:4532'}
ENV,DrugBank,hgnc:39031,ENV_HV1BN|ENV_HV1Y2|ENV_SIVMK|M21098|UNIPROT:P05884|UNIPROT:P12488|UNIPROT:P35961,39031,,False,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:53424'}
ACT,NCBI,ncbigene:389036,ncbigene:389036,,389036,False,ID mismatch,Gene Group Symbol,{'HGNC:17780'}
MST,DrugBank,hgnc:29678,AJ313201|Q7K9G0_LEIMA|UNIPROT:Q7K9G0,29678,,False,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:7223'}
GL,ChEMBL,hgnc:14942,CHEMBL:CHEMBL2364696|ENVELOPE GLYCOPROTEIN L|UNIPROT:P10185,14942,,False,ID mismatch,Ortholog Symbol,{'HGNC:21652'}
MOP,DrugBank,hgnc:14449,GENBANK:853817|MOP_DESGI|UNIPROT:Q46509|X77222,14449,,False,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:8156'}
ALR,ChEMBL,hgnc:380,ALANINE RACEMASE|CHEMBL:CHEMBL2031|UNIPROT:P9WQA9,380,,False,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:4236'}
CAMK,DrugBank,hgnc:1464,AF323755|CAMK_RHOSO|UNIPROT:Q93TU6,1464,,False,ID mismatch,Gene Group Symbol,{'HGNC:1463'}
PARC,DrugBank,hgnc:10616,GENBANK:147106|GENBANK:1490399|GENBANK:1574370|L42023|M58408|PARC_ECOLI|PARC_HAEIN|PARC_STAAU|PARC_STRPN|UNIPROT:P0AFI2|UNIPROT:P0C1U9|UNIPROT:P43702|UNIPROT:P72525|Z67739,10616,,False,ID mismatch,Withdrawn Ortholog Symbol,{'HGNC:15982'}
TGT,DrugBank,hgnc:12612,GENBANK:498141|L33777|TGT_ZYMMO|UNIPROT:P28720,12612,,False,ID mismatch,Ortholog Symbol,{'HGNC:23797'}
PARC,ChEMBL,hgnc:10616,CHEMBL:CHEMBL2363033|CHEMBL:CHEMBL2363076|CHEMBL:CHEMBL2363077|CHEMBL:CHEMBL3038508|CHEMBL:CHEMBL3390827|CHEMBL:CHEMBL3991503|DNA TOPOISOMERASE 4 SUBUNIT A|UNIPROT:P0AFI2|UNIPROT:P0C1U9|UNIPROT:P0DG06|UNIPROT:P48374|UNIPROT:P72525|UNIPROT:Q9HUK1,10616,,False,ID mismatch,Withdrawn Ortholog Symbol,{'HGNC:15982'}
P2,DrugBank,hgnc:10377,GENBANK:215481|M17461|RDRP_BPPH6|UNIPROT:P11124,10377,,False,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:9117'}
ALR,DrugBank,hgnc:380,AF214487|ALR_GEOSE|ALR_MYCAV|GENBANK:142467|GENBANK:6708455|M19142|UNIPROT:P10724|UNIPROT:Q9L888,380,,False,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:4236'}
GST,DrugBank,hgnc:23613,AF426836|GST_PLAFA|UNIPROT:Q8ILQ7,23613,,False,ID mismatch,Gene Group Symbol,{'HGNC:16906'}
GLK,DrugBank,hgnc:6865,GLK_ECOLI|U22490|UNIPROT:P0A6V8,6865,,False,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:4195'}
PCP,DrugBank,hgnc:13568,D37970|GENBANK:688417|PICP_PSESR|UNIPROT:P42790,13568,,False,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:9344'}
PAR1,dGene,hgnc:30089,D15S227E|NCBIGENE:145624,30089,,False,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:3537'}
PAR4,dGene,hgnc:29998,NCBIGENE:347745,29998,,False,ID mismatch,Previous Symbol,{'HGNC:3540'}
HCA1,dGene,ncbigene:266790,AH|HCA|NCBIGENE:266790,,266790,False,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:4532'}
CRT,DrugBank,hgnc:11055,CRT_PLAFA|UNIPROT:Q9N623,11055,,False,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:1440'}
ENV,ChEMBL,hgnc:39031,CHEMBL:CHEMBL1293311|CHEMBL:CHEMBL2362987|CHEMBL:CHEMBL3520|CHEMBL:CHEMBL3559676|CHEMBL:CHEMBL4105927|ENV POLYPROTEIN|ENVELOPE GLYCOPROTEIN GP160|ENVELOPE PROTEIN|UNIPROT:O40239|UNIPROT:P04578|UNIPROT:Q6QLK5|UNIPROT:Q76270|UNIPROT:Q78116,39031,,False,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:53424'}
