,collision,num_gene_records
3598,VH,37
1396,H4-16,14
1409,H4C8,13
1410,H4C9,13
1399,H4C12,13
1400,H4C13,13
1401,H4C14,13
1402,H4C15,13
1403,H4C16,13
1404,H4C2,13
1405,H4C3,13
1406,H4C4,13
1407,H4C5,13
1408,H4C6,13
1397,H4C1,13
1398,H4C11,13
2156,MT1,12
2476,P40,12
2746,PR,11
2738,PPIASE,11
1304,GPCR,11
1579,HOX1,10
2495,P58,10
1389,H3C3,9
1581,HOX2,9
1393,H3C8,9
1391,H3C6,9
3570,UGT1,9
1388,H3C2,9
3562,UDPGT,9
1382,H3C10,9
1383,H3C11,9
1384,H3C12,9
1390,H3C4,9
1381,H3C1,9
1392,H3C7,9
2195,NAP1,9
2443,P18,9
56,ACT,8
2769,PROTEASE,8
2492,P55,8
233,ASP,8
103,AIP1,8
121,ALP,8
2424,P100,8
2436,P14,8
2770,PROTEINASE,8
3542,U4,7
457,CAR,7
3393,TFIIH,7
1288,GNT1,7
447,CAP,7
1583,HOX4,7
2491,P54,7
2473,P38,7
2422,P1,7
1582,HOX3,7
2510,P75,7
2808,PSP,7
2548,PAP,7
682,CR,7
2461,P28,7
2430,P120,7
2295,NPIP,7
377,C13ORF25,6
2751,PRC17,6
2439,P150,6
1116,FBP,6
2516,P85,6
3575,UGT1A,6
2484,P47,6
2445,P19,6
126,ALS2CR3,6
1693,IGLC,6
1424,HARP,6
204,ARP1,6
2460,P27,6
3452,TR,6
2453,P23,6
1647,HUG-BR1,6
2498,P60,6
2885,RD,6
3122,SIP,6
1071,F379,6
1855,LAP,6
2182,MYM,6
897,DNM1DN11@,6
2063,MIRHG1,6
3661,ZNF,6
2062,MIRH1,6
2009,MDS,6
3490,TRNAN-GUU,5
2493,P56,5
1928,LRRC37,5
2922,RIP,5
925,DRP1,5
950,E2,5
2012,MED,5
3540,U3,5
2772,PRP,5
2438,P15,5
159,AP-1,5
3277,T1,5
483,CBP,5
2817,PTC,5
2551,PAP1,5
2501,P62,5
1058,ESG,5
2490,P52,5
2442,P17,5
1443,HBP,5
765,CTF,5
3463,TRAP,5
2478,P42,5
3494,TRP1,5
2513,P8,5
2472,P37,5
2470,P35,5
2519,P97,5
2469,P34,5
3455,TR2,5
2454,P24,5
2061,MIR17HG,5
2575,PBP,5
2506,P68,5
3445,TP53TG3F,5
3444,TP53TG3E,5
1657,IAP,5
3573,UGT1.1,5
3568,UGT-1A,5
3306,TBC1D3A,5
357,BTF2,5
438,CAM,5
1256,GGT,5
342,BOP,5
2581,PC3,5
3576,UGT1A1,5
3361,TCRB,5
2790,PSA,5
2580,PC2,5
2238,NET1,5
1333,GST2,5
3571,UGT1-01,5
1160,FKBP12,5
1699,II,5
2779,PRR20,5
3305,TBC1D3,5
1154,FIL1,4
724,CST,4
2529,PAC1,4
3314,TC1,4
626,CMS2A,4
592,CL2,4
2649,PI3K,4
270,B1,4
3110,SHAP,4
3205,SPS,4
3075,SDH,4
1419,HAP,4
1429,HB1,4
2780,PRR20A,4
2502,P63,4
436,CALM,4
1262,GIG1,4
3371,TCRD,4
730,CT11.3,4
3212,SRA1,4
606,CLIP,4
1245,GDH,4
3145,SMAP,4
2518,P90,4
3330,TCRA,4
2690,PLP,4
2736,PPD,4
3130,SKIP,4
249,ATP5A,4
1197,GAGE-12B,4
2679,PL,4
3124,SIP1,4
1457,HCC-2,4
2520,PA,4
2504,P65,4
2783,PRR20D,4
1224,GBP,4
1234,GCL,4
3462,TRAMP,4
2782,PRR20C,4
1240,GCP2,4
2781,PRR20B,4
365,C1,4
3234,ST1A3,4
739,CT4.7,4
3057,SCCMS,4
1004,EIF2B,4
2830,PTX1,4
1030,ENV,4
467,CAS,4
3298,TAP,4
1373,H2BC8,4
1372,H2BC7,4
1371,H2BC6,4
1370,H2BC4,4
1369,H2BC10,4
1368,H2B/S,4
1361,H2AC17,4
1360,H2AC16,4
1359,H2AC15,4
1358,H2AC13,4
3410,TIP,4
1357,H2AC11,4
1062,ESP1,4
3408,TIM,4
2560,PAR1,4
1348,H1,4
2853,RAI,4
3311,TBP1,4
2784,PRR20E,4
3437,TP,4
557,CG1,4
3032,SAP1,4
2572,PBEF,4
3440,TP53TG3,4
823,DAP1,4
2991,RS,4
536,CDY,4
346,BPAD,4
2972,RPD3,4
873,DIP,4
959,EB1,4
2584,PCD,4
903,DNM1DN8@,4
3260,STV1,4
2582,PC4,4
1395,H4,4
503,CD1A,4
296,BBP,4
952,E3,4
957,EAP1,4
428,CAF1,4
2843,R1,4
2449,P200,4
3505,TS,4
2456,P25,4
1515,HIP,4
2288,NP,4
111,AL4,4
2450,P21,4
1526,HK1,4
1527,HK2,4
1925,LRP,4
2444,P180,4
1818,L13,4
2154,MST,4
1711,ILWEQ,4
1543,HLP,4
14,A1,4
2148,MSP,4
3535,U13,4
3539,U2,4
3546,U7,4
1609,HRS,4
1610,HS1,4
3589,URP,4
1612,HSD17,4
1637,HSS,4
1896,LIP1,4
145,AN,4
2341,OCT3,4
23,A4,4
2134,MRS,4
2311,NSP,4
1875,LEU2,4
2090,MNS,4
1732,IP,4
203,ARP,4
3608,VPH1,4
2488,P50,4
1856,LAP1,4
2481,P45,4
2480,P44,4
1839,L6,4
2109,MPS1,4
1998,MCT1,4
1472,HCP1,4
1841,L8,4
1833,L3,4
2468,P33,4
3622,WBS,4
2485,P48,4
2172,MU,4
239,AT1,4
1846,LAG1,4
1825,L19,4
2117,MRG1,4
901,DNM1DN3@,3
2129,MRP1,3
911,DP1,3
2893,REF1,3
2130,MRP2,3
2934,RMP,3
2133,MRP8,3
1934,LST3,3
2888,RDP,3
902,DNM1DN4@,3
929,DS,3
948,E1,3
2904,RH,3
935,DTD,3
934,DSS,3
2115,MRF1,3
1915,LPCAT,3
2121,MRP,3
2916,RIG,3
905,DOC1,3
2917,RIG1,3
2930,RK,3
2924,RIP1,3
963,EBS1,3
910,DP,3
912,DP2,3
2494,P57,3
2145,MSF,3
1899,LIS2,3
2806,PSM,3
2827,PTP,3
1032,EP,3
1040,ER,3
1042,ERF1,3
2812,PSS1,3
2163,MTF,3
1871,LD78,3
2169,MTS1,3
1897,LIP2,3
1056,ESA,3
2805,PSK,3
1866,LCA,3
1060,ESO1,3
2170,MTTF1,3
2801,PSG1,3
1863,LAT3,3
2158,MT2,3
1883,LGS,3
1013,EK,3
2844,R2,3
2884,RCP,3
968,ECGF1,3
2879,RCAD,3
2870,RBM1,3
981,EDSC,3
2863,RAP1,3
2861,RANBP2L2,3
2859,RAMP,3
2856,RAM,3
996,EIF-2B,3
894,DNAJ,3
1000,EIF-5A,3
1003,EIF2,3
2849,RAD1,3
1007,EIF4F,3
2936,RN18S1,3
2099,MOX1,3
893,DMT1,3
3089,SEP,3
3106,SGT1,3
698,CRP1,3
3096,SES2,3
701,CRS3,3
702,CRT,3
3095,SES1,3
706,CS-1,3
709,CSA,3
716,CSL,3
741,CT45-2,3
721,CSS1,3
722,CSS2,3
2056,MIP2A,3
2057,MIR,3
2064,MK,3
735,CT2,3
737,CT4.2,3
1981,MBP1,3
1995,MCS,3
3111,SHEP1,3
1996,MCSP,3
1997,MCT,3
3165,SNO,3
2026,MGF,3
3154,SMN,3
3153,SMK1,3
2036,MIF,3
2050,MIP,3
647,COAS-2,3
3141,SMA3,3
3137,SLIM,3
3133,SLAP,3
659,COX,3
3132,SL1,3
2052,MIP-2A,3
2054,MIP1,3
3118,SIII,3
676,CPT1,3
679,CPX,3
1977,MAT1,3
744,CT45-5,3
2937,RN28S1,3
1943,M-PST,3
1955,MADD,3
2994,RSK,3
2992,RSC6P,3
2093,MOP,3
836,DD3,3
2980,RPP2,3
1074,FA1,3
849,DEFB109,3
852,DELTA,3
745,CT45-6,3
2968,RP3,3
2966,RP1,3
2965,ROX,3
862,DGK,3
869,DIA1,3
874,DIP1,3
887,DLK,3
2938,RN5-8S1,3
820,DAN,3
2091,MOB1,3
3005,S10,3
813,DA2B,3
748,CT45A5,3
3063,SCP,3
3060,SCL,3
760,CT78,3
2073,MLCK,3
773,CTR1,3
3036,SAR,3
2079,MLP,3
3034,SAP2,3
3033,SAP190,3
791,CYP2A,3
794,CYP2C,3
3017,S7,3
802,D-X,3
3015,S4,3
3010,S14,3
3009,S12,3
2174,MUC3,3
1827,L2,3
2791,PSAP,3
1352,H2A.1,3
2558,PAR-1,3
1685,IGH,3
1684,IGFR2,3
1683,IGFR1,3
2317,NT5,3
1676,IFNA,3
1659,IBP,3
2337,OCT-3,3
1362,H2B.1,3
2338,OCT-4,3
2342,OCT4,3
2350,OF,3
2552,PAP2,3
1628,HSP70-2,3
613,CLP,3
2382,OR19-18,3
2543,PAL,3
2561,PAR2,3
2563,PAR4,3
2287,NOV,3
1688,IGHV,3
2599,PD1,3
2598,PD-1,3
2594,PCP,3
1324,GRP,3
2583,PCA1,3
1718,IMP2,3
1717,IMP1,3
2304,NRP,3
1329,GSE,3
2306,NS,3
2579,PC1,3
2578,PC-1,3
1694,IGLV,3
2577,PC,3
1691,IGKV,3
1337,GT1,3
1690,IGHV4-3,3
1598,HPS,3
1587,HP1,3
1576,HOP,3
2414,OTF-3,3
1500,HGPS,3
1499,HGL,3
2471,P36,3
2474,P39,3
2479,P43,3
2515,P84,3
1486,HED,3
1448,HC2,3
1454,HCA2,3
2486,P49,3
1456,HCAP,3
2487,P5,3
2489,P51,3
1473,HCR,3
1465,HCG,3
1471,HCP,3
2496,P59,3
1428,HB-1,3
1427,HAST3,3
2466,P31,3
1533,HL-2,3
2415,OTF3,3
1559,HN1,3
2426,P11,3
2429,P12,3
2435,P130,3
1538,HLA-DQB1,3
2441,P160,3
2446,P2,3
2465,P3,3
1525,HK,3
2451,P22,3
2452,P220,3
1518,HIS1,3
2533,PACT,3
1421,HAP40,3
2462,P29,3
2602,PDI,3
2606,PDZK4,3
1857,LAP2,3
1821,L15,3
1816,L11,3
1147,FHC,3
2722,PP1,3
2201,NAT1,3
2213,NBP,3
2716,POTE-15,3
2712,POP3,3
2711,POP2,3
1167,FOP,3
2708,POLYMERASE,3
2707,POF,3
1177,FRP,3
1181,FSP1,3
1184,FX,3
2692,PMI,3
1788,KMS,3
1192,G2,3
1817,L12,3
1127,FCG2,3
2608,PE,3
1124,FCCMS,3
1078,FAD,3
2789,PS2,3
1080,FADS,3
1853,LAMR,3
2184,N2N,3
1842,L9,3
1840,L7,3
1838,L5,3
2777,PRR,3
2193,NAG,3
1099,FAME,3
2764,PRL1,3
2760,PRIP,3
1824,L18,3
2754,PRG1,3
1823,L17,3
1122,FBX30,3
1781,KID,3
1198,GAGE-2,3
1201,GAGE-8,3
2682,PLAP,3
1261,GIF,3
1747,J1,3
1268,GL,3
2631,PGR1,3
2629,PGI,3
2280,NOMO,3
1272,GLP,3
1273,GLP-1,3
1274,GLP1,3
