,NCBI_ID,gene_symbol,alias_symbol,HGNC_ID,ENSG_ID
0,1,A1BG,A1B,5,ENSG00000121410
0,1,A1BG,ABG,5,ENSG00000121410
0,1,A1BG,GAB,5,ENSG00000121410
0,1,A1BG,HYST2477,5,ENSG00000121410
1,2,A2M,A2MD,7,ENSG00000175899
1,2,A2M,CPAMD5,7,ENSG00000175899
1,2,A2M,FWP007,7,ENSG00000175899
1,2,A2M,S863-7,7,ENSG00000175899
2,3,A2MP1,A2MP,8,ENSG00000291190
3,9,NAT1,AAC1,7645,ENSG00000171428
3,9,NAT1,MNAT,7645,ENSG00000171428
3,9,NAT1,NAT-1,7645,ENSG00000171428
3,9,NAT1,NATI,7645,ENSG00000171428
4,10,NAT2,AAC2,7646,ENSG00000156006
4,10,NAT2,NAT-2,7646,ENSG00000156006
4,10,NAT2,PNAT,7646,ENSG00000156006
5,11,NATP,AACP,15,
5,11,NATP,NATP1,15,
6,12,SERPINA3,AACT,16,ENSG00000196136
6,12,SERPINA3,ACT,16,ENSG00000196136
6,12,SERPINA3,GIG24,16,ENSG00000196136
6,12,SERPINA3,GIG25,16,ENSG00000196136
7,13,AADAC,CES5A1,17,ENSG00000114771
7,13,AADAC,DAC,17,ENSG00000114771
9,15,AANAT,DSPS,19,ENSG00000129673
9,15,AANAT,SNAT,19,ENSG00000129673
10,16,AARS1,AARS,20,ENSG00000090861
10,16,AARS1,CMT2N,20,ENSG00000090861
10,16,AARS1,DEE29,20,ENSG00000090861
10,16,AARS1,EIEE29,20,ENSG00000090861
10,16,AARS1,HDLS2,20,ENSG00000090861
10,16,AARS1,TTD8,20,ENSG00000090861
11,17,AAVS1,AAV,22,
12,18,ABAT,GABA-AT,23,ENSG00000183044
12,18,ABAT,GABAT,23,ENSG00000183044
12,18,ABAT,NPD009,23,ENSG00000183044
13,19,ABCA1,ABC-1,29,ENSG00000165029
13,19,ABCA1,ABC1,29,ENSG00000165029
13,19,ABCA1,CERP,29,ENSG00000165029
13,19,ABCA1,HDLCQTL13,29,ENSG00000165029
