,collision,num_gene_records
810,P40,10
1193,U3,9
780,P14,9
860,PAP,7
82,ASP,7
785,P18,7
1197,U4,7
35,ALP,6
702,MYM,6
934,PPIASE,6
335,F379,6
31,AIP1,6
142,CAP,6
706,NAP1,6
830,P62,6
798,P28,6
826,P58,6
840,P85,5
956,PSP,5
819,P50,5
781,P15,5
815,P47,5
797,P27,5
65,ARP1,5
993,RIP,5
843,P97,5
1142,TFIIH,5
838,P8,5
823,P55,5
1192,U2,5
257,D-X,5
447,HBP,5
121,BTF2,5
1060,SIP,5
309,EIF-2B,4
506,HSS,4
356,FIL1,4
805,P35,4
1115,T1,4
328,ESG,4
978,RD,4
146,CAR,4
813,P44,4
821,P52,4
480,HIP,4
512,IAP,4
1189,U13,4
529,ILWEQ,4
824,P56,4
64,ARP,4
822,P54,4
1119,TAP,4
208,CLIP,4
795,P24,4
1071,SMAP,4
876,PBP,4
20,ACT,4
442,HARP,4
882,PCD,4
5,A2,4
609,LRP,4
4,A1,4
386,GBP,4
591,LAP,4
1161,TR,4
465,HCP1,4
777,P120,4
782,P150,4
784,P17,4
787,P19,4
1217,URP,4
791,P21,4
46,AP-1,4
964,PTX1,3
971,RAMP,3
427,H1,3
900,PHKD,3
910,PLAP,3
387,GC1,3
400,GIG1,3
395,GDH,3
963,PTP,3
392,GCP2,3
926,POP3,3
950,PSA,3
350,FBX30,3
379,G2,3
935,PR,3
372,FSP1,3
940,PRL1,3
987,RIG,3
336,FAD,3
1049,SEP,3
1021,S14,3
271,DGK,3
1034,SAP190,3
254,CYP2A,3
1042,SCL,3
246,CST,3
237,CRP2,3
1018,RU2,3
231,CR,3
1058,SIII,3
1065,SKIP,3
1066,SL1,3
1067,SLAP,3
210,CLP,3
1020,S12,3
1014,RSC6P,3
330,ESO1,3
304,EAP1,3
326,ESA,3
321,ERF1,3
319,EPR-1,3
887,PD1,3
313,EMAP-2,3
305,EB1,3
995,RIP1,3
1008,RPD3,3
302,E3,3
301,E2,3
300,E1,3
295,DRP1,3
1003,RP1,3
288,DP1,3
888,PDI,3
970,RAM,3
434,H3,3
790,P200,3
583,L6,3
579,L19,3
771,P1,3
773,P105,3
774,P11,3
776,P12,3
792,P22,3
738,NRP,3
794,P23,3
799,P29,3
801,P31,3
804,P34,3
807,P37,3
808,P38,3
592,LAP1,3
626,MAT1,3
816,P48,3
694,MTF,3
682,MRP2,3
676,MRG1,3
675,MPS1,3
685,MRP8,3
688,MSP,3
691,MST,3
659,MIP1,3
723,NIP1,3
658,MIP-2A,3
657,MIP,3
699,MU,3
705,NAG,3
642,MED,3
722,NIP,3
811,P42,3
528,IL-27,3
436,H4,3
455,HCAP,3
464,HCP,3
867,PAR1,3
868,PAR2,3
461,HCG,3
870,PAR4,3
457,HCC-2,3
453,HCA2,3
469,HED,3
449,HC2,3
878,PC2,3
879,PC3,3
444,HB-1,3
880,PC4,3
437,H5,3
466,HCR,3
864,PAR-1,3
526,IL-21,3
839,P84,3
820,P51,3
825,P57,3
828,P60,3
832,P65,3
510,HZF2,3
836,P75,3
501,HS1,3
1079,SNO,3
494,HPC2,3
848,PAC1,3
487,HLP,3
483,HK2,3
481,HIS1,3
856,PAL,3
475,HGPS,3
681,MRP-L32,3
117,BOP,3
1167,TRAMP,3
165,CD,3
1141,TFIIF,3
58,AR,3
1227,VPH1,3
1172,TRBP,3
132,C6ST,3
67,ARP11,3
185,CG1,3
68,ARP2,3
1196,U3B2,3
1176,TRIP,3
1195,U3B1,3
1106,STV1,3
134,CAD,3
71,ARP5,3
1194,U3A,3
182,CED12,3
136,CAF1,3
88,ATX,3
84,AT1,3
181,CED-12,3
1168,TRAP,3
141,CANP,3
37,ALR,3
1222,VMA10,3
8,A4,3
153,CARP,3
197,CIR,3
40,AN,3
1149,TIM1,3
34,ALK1,3
125,C1,3
157,CASP,3
1164,TR3,3
1163,TR2,3
1190,U14,2
1213,UNG2,2
1184,TSH1,2
1211,ULG4,2
1191,U19,2
796,P25,2
831,P63,2
1186,TTG1,2
827,P6,2
1187,TTP,2
1210,UGT,2
829,P600,2
1212,ULG5,2
1185,TSH2,2
1188,TTY11,2
1206,UBXD10,2
1209,UGD,2
802,P32,2
1207,UCRP,2
803,P33,2
1205,UBCH8,2
1204,UBC7,2
809,P39,2
1203,UBC2,2
812,P43,2
833,P66,2
814,P45,2
806,P36,2
1208,UFD2,2
1201,U82,2
1200,U62,2
817,P49,2
1199,U6,2
1198,U5B1,2
818,P5,2
800,P3,2
1202,U87,2
1180,TS,2
834,P67,2
869,PAR3,2
1170,TRB2,2
1169,TRB1,2
861,PAP1,2
862,PAP2,2
863,PAPA,2
865,PAR-4,2
866,PAR-6,2
1166,TRAM,2
1165,TRAD,2
1162,TR1,2
1160,TPT,2
1159,TPC,2
858,PAN2,2
871,PARC,2
1158,TP2,2
872,PARS,2
1157,TP,2
873,PAT1,2
1156,TOB55,2
874,PBF,2
875,PBI,2
1155,TNT,2
1154,TN,2
877,PC-1,2
859,PAO,2
857,PAM-1,2
835,P68,2
1177,TRK,2
1183,TSG,2
1182,TSC,2
837,P76,2
1181,TSBP,2
1214,UNR,2
1179,TRY3,2
841,P8MTCP1,2
842,P90,2
1178,TRNP,2
844,PA,2
845,PAAT,2
846,PABP1,2
1171,TRB3,2
847,PABP3,2
849,PAC2,2
850,PACAP,2
851,PACER,2
1175,TRIF,2
852,PACT,2
853,PAD,2
854,PAD1,2
1174,TRF2,2
855,PAFAH,2
1173,TRF,2
793,P220,2
