,collision,ENSG_ID,gene_symbol,source
0,2F1,"ENSG00000139187, ENSG00000005022","KLRG1, SLC25A5",HGNC
1,60B8AG,"ENSG00000143546, ENSG00000163220","S100A8, S100A9",HGNC
2,87U6,"ENSG00000206832, ENSG00000065135","RNU6V, GNAI3",HGNC
3,9G8,"ENSG00000115875, ENSG00000164609","SRSF7, SLU7",HGNC
4,A1,"ENSG00000033627, ENSG00000035928, ENSG00000163918, ENSG00000049541","ATP6V0A1, RFC1, RFC4, RFC2",HGNC
5,A2,"ENSG00000108823, ENSG00000185344, ENSG00000160226, ENSG00000149735","SGCA, ATP6V0A2, CFAP410, GPHA2",HGNC
6,A20,"ENSG00000244575, ENSG00000118503","IGKV1-27, TNFAIP3",HGNC
7,A3GALNT,"ENSG00000175164, ENSG00000148288","ABO, GBGT1",HGNC
8,A4,"ENSG00000102683, ENSG00000102007, ENSG00000105929","SGCG, PLP2, ATP6V0A4",HGNC
9,ABL,"ENSG00000138823, ENSG00000261189","MTTP, DSP-AS1",HGNC
10,ABP-280,"ENSG00000128591, ENSG00000196924","FLNC, FLNA",HGNC
11,AC008392.1,"ENSG00000268001, ENSG00000268186","CARD8-AS1, ZNF114-AS1",HGNC
12,AC079630.2,"ENSG00000260943, ENSG00000223914","LINC02555, LINC02471",HGNC
13,AC1,"ENSG00000164742, ENSG00000082929","ADCY1, LINC01587",HGNC
14,ACA59,"ENSG00000239149, ENSG00000266079","SNORA59A, SNORA59B",HGNC
15,ACC1,"ENSG00000140379, ENSG00000278540","BCL2A1, ACACA",HGNC
16,ACC2,"ENSG00000140379, ENSG00000076555","BCL2A1, ACACB",HGNC
17,ACCA,"ENSG00000181773, ENSG00000278540","GPR3, ACACA",HGNC
18,ACS,"ENSG00000131069, ENSG00000110455","ACSS2, ACCS",HGNC
19,ACS2,"ENSG00000197142, ENSG00000164398","ACSL5, ACSL6",HGNC
20,ACT,"ENSG00000112214, ENSG00000222036, ENSG00000097021, ENSG00000196136","FHL5, POTEM, ACOT7, SERPINA3",HGNC
21,AD026,"ENSG00000121933, ENSG00000282608","TMIGD3, ADORA3",HGNC
22,ADA1,"ENSG00000196839, ENSG00000152382","ADA, TADA1",HGNC
23,AF-1,"ENSG00000159128, ENSG00000159352","IFNGR2, PSMD4",HGNC
24,AG2,"ENSG00000106541, ENSG00000187479","AGR2, C11ORF96",HGNC
25,AGPAT10,"ENSG00000138678, ENSG00000153395","GPAT3, LPCAT1",HGNC
26,AGS3,"ENSG00000160360, ENSG00000172922","GPSM1, RNASEH2C",HGNC
27,AGS4,"ENSG00000104889, ENSG00000213654","RNASEH2A, GPSM3",HGNC
28,AHA1,"ENSG00000173209, ENSG00000100591","AHSA2P, AHSA1",HGNC
29,AIBP,"ENSG00000163382, ENSG00000127423","NAXE, AUNIP",HGNC
30,AIM-1,"ENSG00000178999, ENSG00000164175","AURKB, SLC45A2",HGNC
31,AIP1,"ENSG00000170540, ENSG00000187391, ENSG00000071127, ENSG00000170248, ENSG00000136848, ENSG00000123165","ARL6IP1, MAGI2, WDR1, PDCD6IP, DAB2IP, ACTRT1",HGNC
32,ALC1,"ENSG00000131778, ENSG00000198336","CHD1L, MYL4",HGNC
33,ALIEN,"ENSG00000259974, ENSG00000166200","LINC00261, COPS2",HGNC
34,ALK1,"ENSG00000171094, ENSG00000139567, ENSG00000124107","ALK, ACVRL1, SLPI",HGNC
35,ALP,"ENSG00000162174, nan, ENSG00000107518, ENSG00000154553, ENSG00000213927, ENSG00000124107","ASRGL1, ATHS, ATRNL1, PDLIM3, CCL27, SLPI",HGNC
36,ALP1,"ENSG00000162174, ENSG00000154438","ASRGL1, ASZ1",HGNC
37,ALR,"ENSG00000127554, ENSG00000117448, ENSG00000167548","GFER, AKR1A1, KMT2D",HGNC
38,ALX,"ENSG00000171049, ENSG00000196684","FPR2, HSH2D",HGNC
39,AM,"ENSG00000171681, ENSG00000148926","ATF7IP, ADM",HGNC
40,AN,"ENSG00000150636, ENSG00000007372, ENSG00000139734","CCDC102B, PAX6, DIAPH3",HGNC
41,ANCR,"ENSG00000226950, ENSG00000114062","DANCR, UBE3A",HGNC
42,ANG1,"ENSG00000149809, ENSG00000154188","TM7SF2, ANGPT1",HGNC
43,ANG2,"ENSG00000091879, ENSG00000149823","ANGPT2, VPS51",HGNC
44,ANG3,"ENSG00000116194, ENSG00000149823","ANGPTL1, VPS51",HGNC
45,AOH1,"ENSG00000244301, ENSG00000138356","AOX3P, AOX1",HGNC
46,AP-1,"ENSG00000130522, ENSG00000177606, ENSG00000170345, ENSG00000125740","JUND, JUN, FOS, FOSB",HGNC
47,AP2,"ENSG00000170323, ENSG00000122034","FABP4, GTF3A",HGNC
48,AP3AASE,"ENSG00000001561, ENSG00000189283","ENPP4, FHIT",HGNC
49,AP47B,"ENSG00000100478, ENSG00000070718","AP4S1, AP3M2",HGNC
50,APC1,"ENSG00000085491, ENSG00000153107","SLC25A24, ANAPC1",HGNC
51,APC2,"ENSG00000176248, ENSG00000125648","ANAPC2, SLC25A23",HGNC
52,APC4,"ENSG00000181240, ENSG00000053900","SLC25A41, ANAPC4",HGNC
53,APC7,"ENSG00000196510, ENSG00000168077","ANAPC7, SCARA3",HGNC
54,APE,"ENSG00000100823, ENSG00000115355","APEX1, CCDC88A",HGNC
55,APH2,"ENSG00000171307, ENSG00000162736","ZDHHC16, NCSTN",HGNC
56,APRIL,"ENSG00000161955, ENSG00000136938","TNFSF13, ANP32B",HGNC
