,collision,ENSG_ID,gene_symbol,source
0,10Q23DEL,"ENSG00000171862, ENSG00000107779","PTEN, BMPR1A",NCBI
1,12-LOX,"ENSG00000161905, ENSG00000108839","ALOX15, ALOX12",NCBI
2,20-ALPHA-HSD,"ENSG00000187134, ENSG00000108786","AKR1C1, HSD17B1",NCBI
3,2F1,"ENSG00000139187, ENSG00000005022","KLRG1, SLC25A5",NCBI
4,3-ALPHA-HSD,"ENSG00000198610, ENSG00000073737","AKR1C4, DHRS9",NCBI
5,35DAG,"ENSG00000170624, ENSG00000102683","SGCD, SGCG",NCBI
6,37LRP,"ENSG00000288920, ENSG00000168028","RPSA2, RPSA",NCBI
7,464.2,"nan, ENSG00000276085","CCL3L1, CCL3L3",NCBI
8,5PTASE,"ENSG00000068383, ENSG00000204084","INPP5A, INPP5B",NCBI
9,60B8AG,"ENSG00000143546, ENSG00000163220","S100A8, S100A9",NCBI
10,61E3.4,"ENSG00000157106, ENSG00000185864","SMG1, NPIPB4",NCBI
11,67LR,"ENSG00000288920, ENSG00000168028","RPSA2, RPSA",NCBI
12,87U6,"nan, ENSG00000065135","RNU6V, GNAI3",NCBI
13,9G8,"ENSG00000115875, ENSG00000164609","SRSF7, SLU7",NCBI
14,A1,"ENSG00000163918, ENSG00000035928, ENSG00000239571, ENSG00000033627","RFC4, RFC1, IGKV2D-30, ATP6V0A1",NCBI
15,A15,"nan, ENSG00000156298","IGKV1-32, TSPAN7",NCBI
16,A1B,"ENSG00000172164, ENSG00000121410","SNTB1, A1BG",NCBI
17,A2,"ENSG00000149735, ENSG00000185344","GPHA2, ATP6V0A2",NCBI
18,A20,"ENSG00000244575, ENSG00000118503","IGKV1-27, TNFAIP3",NCBI
19,A26B3,"ENSG00000166351, nan","POTED, LOC100288966",NCBI
20,A3,"ENSG00000110719, ENSG00000242534","TCIRG1, IGKV2D-28",NCBI
21,A3A,"ENSG00000173402, nan, ENSG00000128383","DAG1, APOBEC3A_B, APOBEC3A",NCBI
22,A3B,"ENSG00000163069, ENSG00000179750","SGCB, APOBEC3B",NCBI
23,A3GALNT,"ENSG00000175164, ENSG00000148288","ABO, GBGT1",NCBI
24,A4,"ENSG00000102007, nan, ENSG00000105929, ENSG00000102683","PLP2, IGKV1D-27, ATP6V0A4, SGCG",NCBI
25,A6,"ENSG00000151239, nan","TWF1, IGKV3D-25",NCBI
26,A8,"nan, ENSG00000187764","IGKV2D-23, SEMA4D",NCBI
27,AAA,"ENSG00000094914, ENSG00000142192, nan","AAAS, APP, AAA1",NCBI
28,AAAT,"ENSG00000162383, ENSG00000105281","SLC1A7, SLC1A5",NCBI
29,AAC1,"ENSG00000171428, ENSG00000151729","NAT1, SLC25A4",NCBI
