,alias_symbol,num_gene_records
1091,MT1,10
1060,HOX1,10
1061,HOX2,9
411, P40,9
392, P18,8
447, PAP,7
917,CAP,6
327, NAP1,6
1063,HOX4,6
1062,HOX3,6
388, P14,6
1071,IGLC,6
503, PPIASE,6
426, P62,6
1011,F379,6
744, U4,6
437, P97,5
323, MYM,5
691, TFIIH,5
432, P8,5
620, SIP,5
791,A1,4
264, MED,4
422, P58,4
415, P50,4
1108,P27,4
413, P47,4
920,CAR,4
668, T1,4
458, PBP,4
709, TR,4
434, P85,4
673, TAP,4
898,BTF2,4
463, PCD,4
757, URP,4
741, U2,4
544, RD,4
1045,HBP,4
1020,FIL1,4
792,A2,4
1033,GDH,4
383, P1,4
406, P35,4
795,A4,4
7, ARP,4
838,AP-1,4
827,ALP,4
822,AIP1,4
389, P15,4
10, ASP,4
400, P28,4
484, PLAP,3
171, HIP,3
738, U13,3
488, PLP,3
180, HS1,3
182, HSS,3
409, P38,3
337, NET1,3
853,ARP1,3
319, MU,3
864,ASP,3
980,D-X,3
755, UNR,3
970,CR,3
169, HGPS,3
165, HED,3
495, POF,3
312, MSP,3
711, TR2,3
712, TR3,3
715, TRAMP,3
716, TRAP,3
140, GLUC,3
1016,FBP,3
509, PRL1,3
507, PRIP,3
342, NIP,3
154, HARP,3
1009,ESG,3
725, TRIP,3
828,ALR,3
357, NRP,3
728, TS,3
730, TSC,3
1000,EIF-2B,3
969,CPT1,3
868,ATX,3
467, PDI,3
394, P19,3
433, P84,3
292, MNS,3
431, P75,3
396, P21,3
397, P22,3
798,ABL,3
911,CAD,3
910,C6ST,3
401, P29,3
419, P55,3
418, P54,3
403, P31,3
416, P51,3
414, P48,3
405, P34,3
412, P44,3
280, MIR,3
395, P200,3
390, P150,3
466, PD1,3
933,CD1,3
279, MIP1,3
309, MSF,3
761, VMA10,3
461, PC3,3
959,CLP,3
460, PC2,3
956,CLIP,3
216, L19,3
766, VPH1,3
453, PAR2,3
452, PAR1,3
223, LAP1,3
946,CG1,3
944,CED-12,3
384, P105,3
386, P120,3
238, LRP,3
174, HLP,3
833,AMY1,3
551, RIG,3
581, S10,3
1044,HB-1,3
1104,P14,3
582, S12,3
583, S14,3
698, TIM1,3
608, SEP,3
659, STV1,3
72, DNM1DN4@,3
539, RAM,3
89, EIF2B,3
540, RAMP,3
1052,HCP1,3
690, TFIIF,3
1137,SRPSMCR,3
41, CPX,3
75, DP1,3
100, FAD,3
19, CARP,3
1055,HK2,3
543, RCP,3
1103,P12,3
593, SAP190,3
127, G2,3
526, PSP,3
572, RPD3,3
92, ERF1,3
576, RSC6P,3
1125,PSP,3
629, SMAP,3
8, ARP1,3
1034,GIF,3
24, CED12,3
121, FSP1,3
1073,ILWEQ,3
531, PTP,3
1093,NAG,3
644, SPC7,2
651, SS,2
650, SRP40,2
643, SPC3,2
648, SPRING,2
797,ABC1,2
649, SRC1,2
645, SPK,2
646, SPN,2
647, SPP2,2
796,AAC1,2
708, TPT,2
652, ST2L,2
663, SWI2,2
666, SYT,2
665, SYN,2
786, ZRC1,2
787,2F1,2
788,60B8AG,2
664, SYD1,2
789,87U6,2
790,9G8,2
662, SWAP,2
653, STD,2
661, SUR2,2
660, SUH,2
658, STRA13,2
656, STK7,2
655, STK2,2
793,A20,2
794,A3GALNT,2
654, STK1,2
657, STP,2
802,AC079630.2,2
799,ABP,2
642, SPC1,2
816,AGPAT10,2
817,AGS1,2
633, SMN,2
818,AGS3,2
632, SMK1,2
819,AGS4,2
820,AHA1,2
821,AIBP,2
631, SMCC,2
823,ALC1,2
824,ALDH4,2
825,ALIEN,2
630, SMAP-1,2
826,ALK1,2
628, SMAC3L,2
627, SMA3-L,2
829,ALS,2
830,ALX,2
831,AM,2
626, SLP1,2
832,AMCD2B,2
815,AGC1,2
634, SN,2
814,AG2,2
805,ACAT,2
800,ABP-280,2
641, SP17,2
640, SOLO,2
801,AC008392.1,2
639, SNT1,2
784, ZNF422,2
638, SNRNP65,2
803,AC1,2
804,ACA59,2
637, SNO,2
813,AE2,2
806,ACS2,2
636, SNF2LB,2
807,ACS3,2
808,ACT,2
635, SNF2,2
809,ACTL6,2
810,AD1,2
811,AD3,2
812,ADA1,2
785, ZNT8,2
671, TAMO,2
783, ZIP4,2
750, UFD2,2
696, TIG1,2
732, TSH2,2
733, TSSK1,2
734, TTG1,2
695, THRA1,2
735, TTP,2
736, TTY11,2
834,AMY2,2
737, TYRO4,2
694, THC2,2
739, U14,2
740, U19,2
693, TGIF,2
692, TFIIIB90,2
742, U3,2
743, U3B2,2
745, U5B1,2
746, U6,2
747, UBC2,2
689, TERA,2
748, UBXD10,2
731, TSH1,2
697, TIM,2
729, TSBP,2
720, TRB2,2
710, TR1,2
713, TRA1,2
714, TRAD,2
706, TP,2
705, TOB55,2
717, TRAP1,2
718, TRAP2,2
704, TNX,2
719, TRB1,2
721, TRB3,2
727, TRNP,2
703, TMS-1,2
722, TRF,2
723, TRF2,2
702, TLX,2
724, TRIF,2
701, TLP,2
700, TLN,2
726, TRK,2
699, TIP,2
749, UCRP,2
751, UGD,2
782, ZIN,2
752, UGT1,2
768, VPP3,2
675, TAZ,2
