,ENSG_ID,gene_symbol,HGNC_ID,NCBI_ID,aliases,collision_symbol,source
8000,ENSG00000140379,BCL2A1,991,597,"ACC-1, ACC-2, ACC1, ACC2, BCL2L5, BFL1, GRS, HBPA1", ACC1,ENSG
58193,ENSG00000275176,ACACA,84,31,"ACAC, ACAC1, ACACALPHA, ACC, ACC-ALPHA, ACC1, ACCA, ACCALPHA, HACC1", ACC1,ENSG
1354,ENSG00000076555,ACACB,85,32,"ACACBETA, ACC-BETA, ACC2, ACCB, ACCBETA, HACC275", ACC2,ENSG
8000,ENSG00000140379,BCL2A1,991,597,"ACC-1, ACC-2, ACC1, ACC2, BCL2L5, BFL1, GRS, HBPA1", ACC2,ENSG
2085,ENSG00000097021,ACOT7,24157,11332,"ACH1, ACT, BACH, CTE-II, HBACH, LACH1, MGC1126", ACT,ENSG
17165,ENSG00000196136,SERPINA3,16,12,"AACT, ACT", ACT,ENSG
7759,ENSG00000138678,GPAT3,28157,84803,"AGPAT10, AGPAT9, HMFN0839, LPAAT-THETA, MAG1, MGC11324", AGPAT9,ENSG
9721,ENSG00000153395,LPCAT1,25718,79888,"AGPAT10, AGPAT9, AYTL2, FLJ12443, LPLAT8", AGPAT9,ENSG
7388,ENSG00000136848,DAB2IP,17294,153090,"AF9Q34, AIP1, DIP1/2, KIAA1743", AIP1,ENSG
16606,ENSG00000187391,MAGI2,18957,9863,"ACVRIP1, AIP1, ARIP1, KIAA0705, MAGI-2", AIP1,ENSG
10685,ENSG00000161513,FDXR,3642,2232,"ADR, ADXR, AR", AR,ENSG
1672,ENSG00000085662,AKR1B1,381,231,"ALDR1, AR", AR,ENSG
16606,ENSG00000187391,MAGI2,18957,9863,"ACVRIP1, AIP1, ARIP1, KIAA0705, MAGI-2", ARIP1,ENSG
5387,ENSG00000123165,ACTRT1,24027,139741,"AIP1, ARIP1, ARP-T1, KIAA0705", ARIP1,ENSG
8303,ENSG00000142599,RERE,9965,473,"ARG, ARP, ATN1L, ATN2, DNB1, KIAA0458", ARP,ENSG
8710,ENSG00000145050,MANF,15461,7873,"ARMET, ARP", ARP,ENSG
2494,ENSG00000101246,ARFRP1,662,10139,"ARL18, ARP, ARP1", ARP,ENSG
