,ENSG_ID,gene_symbol,HGNC_ID,NCBI_ID,aliases,collision_symbol,source
75,ENSG00000005022,SLC25A5,10991,292,"T2, 2F1, T3", 2F1,HGNC
7761,ENSG00000139187,KLRG1,6380,10219,"MAFA, 2F1, MAFA-L, CLEC15A", 2F1,HGNC
8398,ENSG00000143546,S100A8,10498,6279,"P8, MRP8, MRP-8, 60B8AG, CGLA, S100-A8", 60B8AG,HGNC
10916,ENSG00000163220,S100A9,10499,6280,"P14, MIF, NIF, LIAG, MRP14, MAC387, 60B8AG, CGLB, MRP-14, S100-A9", 60B8AG,HGNC
9226,ENSG00000149735,GPHA2,18054,170589,"GPA2, ZSIG51, A2, MGC126572", A2,HGNC
10424,ENSG00000160226,CFAP410,1260,755,"YF5, A2, LRRC76", A2,HGNC
3585,ENSG00000108823,SGCA,10805,6442,"SCARMD1, LGMD2D, adhalin, DMDA2, A2", A2,HGNC
7930,ENSG00000140379,BCL2A1,991,597,"GRS, BFL1, BCL2L5, ACC-1, ACC-2, ACC2, ACC1", ACC2,HGNC
1347,ENSG00000076555,ACACB,85,32,"HACC275, ACC2, ACCB, ACC-beta, ACCbeta, ACACbeta", ACC2,HGNC
11308,ENSG00000164398,ACSL6,16496,23305,"KIAA0837, ACS2, LACS5, LACS2", ACS2,HGNC
17186,ENSG00000197142,ACSL5,16526,51703,"ACS5, ACS2", ACS2,HGNC
2069,ENSG00000097021,ACOT7,24157,11332,"BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH", ACT,HGNC
4013,ENSG00000112214,FHL5,17371,9457,"FLJ33049, ACT, dJ393D12.2", ACT,HGNC
22693,ENSG00000222036,POTEM,37096,641455,"POTE14beta, P704P, ACT", ACT,HGNC
9624,ENSG00000153395,LPCAT1,25718,79888,"FLJ12443, AGPAT9, AGPAT10, LPLAT8", AGPAT10,HGNC
7689,ENSG00000138678,GPAT3,28157,84803,"MGC11324, LPAAT-theta, MAG1, HMFN0839, AGPAT10", AGPAT10,HGNC
2988,ENSG00000104889,RNASEH2A,18518,10535,"RNASEHI, RNHIA, RNHL, AGS4", AGS4,HGNC
21290,ENSG00000213654,GPSM3,13945,63940,"NG1, G18, G18.1a, G18.1b, G18.2, AGS4", AGS4,HGNC
12726,ENSG00000170248,PDCD6IP,8766,10015,"Alix, AIP1, Hp95", AIP1,HGNC
