,NCBI_ID,gene_symbol,aliases,HGNC_ID,ENSG_ID,collision_symbol,source
4525,5728,PTEN,10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|PTENbeta|TEP1,9588,ENSG00000171862,10q23del,NCBI
537,657,BMPR1A,10q23del|ACVRLK3|ALK-3|ALK3|BMPR-1A|CD292|SKR5,1076,ENSG00000107779,10q23del,NCBI
199,239,ALOX12,12-LOX|12S-LOX|LOG12,429,ENSG00000108839,12-LOX,NCBI
205,246,ALOX15,12-LOX|15-LOX|15-LOX-1|LOG15,433,ENSG00000161905,12-LOX,NCBI
245,292,SLC25A5,2F1|AAC2|ANT2|T2|T3,10991,ENSG00000005022,2F1,NCBI
7974,10219,KLRG1,2F1|CLEC15A|MAFA|MAFA-2F1|MAFA-L|MAFA-LIKE,6380,ENSG00000139187,2F1,NCBI
916,1109,AKR1C4,3-alpha-HSD|C11|CDR|CHDR|DD-4|DD4|HAKRA,387,ENSG00000198610,3-alpha-HSD,NCBI
7933,10170,DHRS9,3-alpha-HSD|3ALPHA-HSD|RDH-TBE|RDH15|RDHL|RDHTBE|RETSDR8|SDR9C4|hRoDH-E2,16888,ENSG00000073737,3-alpha-HSD,NCBI
5096,6445,SGCG,35DAG|A4|DAGA4|DMDA|DMDA1|LGMD2C|LGMDR5|MAM|SCARMD2|SCG3|gamma-SG,10809,ENSG00000102683,35DAG,NCBI
5095,6444,SGCD,35DAG|CMD1L|DAGD|LGMDR6|SG-delta|SGCDP|SGD,10807,ENSG00000170624,35DAG,NCBI
3168,3921,RPSA,37LRP|67LR|ICAS|LAMBR|LAMR1|LBP|LBP/p40|LRP|LRP/LR|NEM/1CHD4|SA|lamR|p40|uS2,6502,ENSG00000168028,37LRP,NCBI
22807,388524,RPSA2,37LRP|67LR|LBP/p40|LRP/LR|LamR|RPSAP58|RPSA_30_1642,36809,ENSG00000288920,37LRP,NCBI
24483,414062,CCL3L3,464.2|D17S1718|G0S19-2|LD78|LD78BETA|SCYA3L|SCYA3L1,30554,ENSG00000276085,464.2,NCBI
5020,6349,CCL3L1,464.2|D17S1718|G0S19-2|LD78|LD78-beta(1-70)|LD78BETA|MIP1AP|SCYA3L|SCYA3L1,10628,,464.2,NCBI
4959,6279,S100A8,60B8AG|CAGA|CFAG|CGLA|CP-10|L1Ag|MA387|MIF|MRP8|NIF|P8|S100-A8,10498,ENSG00000143546,60B8AG,NCBI
4960,6280,S100A9,60B8AG|CAGB|CFAG|CGLB|L1AG|LIAG|MAC387|MIF|MRP14|NIF|P14|S100-A9,10499,ENSG00000163220,60B8AG,NCBI
9089,23049,SMG1,61E3.4|ATX|LIP,30045,ENSG00000157106,61E3.4,NCBI
24653,440345,NPIPB4,61E3.4,41985,ENSG00000185864,61E3.4,NCBI
3168,3921,RPSA,37LRP|67LR|ICAS|LAMBR|LAMR1|LBP|LBP/p40|LRP|LRP/LR|NEM/1CHD4|SA|lamR|p40|uS2,6502,ENSG00000168028,67LR,NCBI
22807,388524,RPSA2,37LRP|67LR|LBP/p40|LRP/LR|LamR|RPSAP58|RPSA_30_1642,36809,ENSG00000288920,67LR,NCBI
4797,6071,RNU6V,87U6|LH87,10230,,87U6,NCBI
2231,2773,GNAI3,87U6|ARCND1|ARCODS|HG1A,4387,ENSG00000065135,87U6,NCBI
8272,10569,SLU7,9G8|hSlu7,16939,ENSG00000164609,9G8,NCBI
5087,6432,SRSF7,9G8|AAG3|SFRS7,10789,ENSG00000115875,9G8,NCBI
4726,5984,RFC4,A1|RFC37,9972,ENSG00000163918,A1,NCBI
10981,28881,IGKV2D-30,A1|IGKV2D30,5801,ENSG00000239571,A1,NCBI
4723,5981,RFC1,A1|CANVAS|MHCBFB|PO-GA|RECC1|RFC|RFC140,9969,ENSG00000035928,A1,NCBI
11034,28934,IGKV1-32,A15|A15a|IGKV132,5736,,A15,NCBI
5675,7102,TSPAN7,A15|CCG-B7|CD231|DXS1692E|MRX58|MXS1|TALLA-1|TM4SF2|TM4SF2b|XLID58,11854,ENSG00000156298,A15,NCBI
5269,6641,SNTB1,59-DAP|A1B|BSYN2|DAPA1B|SNT2|SNT2B1|TIP-43,11168,ENSG00000172164,A1B,NCBI
0,1,A1BG,A1B|ABG|GAB|HYST2477,5,ENSG00000121410,A1B,NCBI
9479,23545,ATP6V0A2,A2|ARCL|ARCL2A|ATP6A2|ATP6N1D|J6B7|RTF|STV1|TJ6|TJ6M|TJ6S|VPH1|WSS|a2V,18481,ENSG00000185344,A2,NCBI
19410,170589,GPHA2,A2|GPA2|ZSIG51,18054,ENSG00000149735,A2,NCBI
5701,7128,TNFAIP3,A20|AIFBL1|AISBL|OTUD7C|TNFA1P2,11896,ENSG00000118503,A20,NCBI
11035,28935,IGKV1-27,A20|IGKV127,5735,ENSG00000244575,A20,NCBI
21268,317754,POTED,A26B3|ANKRD21|CT104.1|POTE|POTE-21|POTE21,23822,ENSG00000166351,A26B3,NCBI
32785,100288966,LOC100288966,A26B3|ANKRD21|POTE|POTED,,,A26B3,NCBI
38731,100913187,APOBEC3A_B,A3A|APOBEC3A,44196,,A3A,NCBI
19617,200315,APOBEC3A,A3A|ARP3|PHRBN|bK150C2.1,17343,ENSG00000128383,A3A,NCBI
22,28,ABO,A3GALNT|A3GALT1|GTB|NAGAT,79,ENSG00000175164,A3GALNT,NCBI
10005,26301,GBGT1,A3GALNT|FS|UNQ2513,20460,ENSG00000148288,A3GALNT,NCBI
10998,28898,IGKV1D-27,A4|A4a|IGKV1D27,5751,,A4,NCBI
5096,6445,SGCG,35DAG|A4|DAGA4|DMDA|DMDA1|LGMD2C|LGMDR5|MAM|SCARMD2|SCG3|gamma-SG,10809,ENSG00000102683,A4,NCBI
4224,5355,PLP2,A4|A4LSB,9087,ENSG00000102007,A4,NCBI
11338,50617,ATP6V0A4,A4|ATP6N1B|ATP6N2|DRTA3|RDRTA2|RTA1C|RTADR|STV1|VPH1|VPP2,866,ENSG00000105929,A4,NCBI
10973,28873,IGKV3D-25,A6|IGKV3D25,5826,,A6,NCBI
4547,5756,TWF1,A6|PTK9,9620,ENSG00000151239,A6,NCBI
10986,28886,IGKV2D-23,A8|IGKV2D23,5796,,A8,NCBI
8219,10507,SEMA4D,A8|BB18|C9orf164|CD100|COLL4|GR3|M-sema-G|SEMAJ|coll-4,10732,ENSG00000187764,A8,NCBI
