,ENSG_ID,gene_symbol,HGNC_ID,NCBI_ID,alias_symbol,source
7761,ENSG00000139187,KLRG1,6380,10219, 2F1,HGNC
75,ENSG00000005022,SLC25A5,10991,292, 2F1,HGNC
8398,ENSG00000143546,S100A8,10498,6279, 60B8AG,HGNC
10916,ENSG00000163220,S100A9,10499,6280, 60B8AG,HGNC
3585,ENSG00000108823,SGCA,10805,6442, A2,HGNC
9226,ENSG00000149735,GPHA2,18054,170589, A2,HGNC
10424,ENSG00000160226,CFAP410,1260,755, A2,HGNC
7930,ENSG00000140379,BCL2A1,991,597, ACC2,HGNC
1347,ENSG00000076555,ACACB,85,32, ACC2,HGNC
11308,ENSG00000164398,ACSL6,16496,23305, ACS2,HGNC
17186,ENSG00000197142,ACSL5,16526,51703, ACS2,HGNC
22693,ENSG00000222036,POTEM,37096,641455, ACT,HGNC
4013,ENSG00000112214,FHL5,17371,9457, ACT,HGNC
2069,ENSG00000097021,ACOT7,24157,11332, ACT,HGNC
9624,ENSG00000153395,LPCAT1,25718,79888, AGPAT10,HGNC
7689,ENSG00000138678,GPAT3,28157,84803, AGPAT10,HGNC
2988,ENSG00000104889,RNASEH2A,18518,10535, AGS4,HGNC
21290,ENSG00000213654,GPSM3,13945,63940, AGS4,HGNC
7329,ENSG00000136848,DAB2IP,17294,153090, AIP1,HGNC
12726,ENSG00000170248,PDCD6IP,8766,10015, AIP1,HGNC
36179,ENSG00000259974,LINC00261,16189,140828, ALIEN,HGNC
11755,ENSG00000166200,COPS2,30747,9318, ALIEN,HGNC
12925,ENSG00000171094,ALK,427,238, ALK1,HGNC
5441,ENSG00000124107,SLPI,11092,6590, ALK1,HGNC
7819,ENSG00000139567,ACVRL1,175,94, ALK1,HGNC
5441,ENSG00000124107,SLPI,11092,6590, ALP,HGNC
10656,ENSG00000162174,ASRGL1,16448,80150, ALP,HGNC
3415,ENSG00000107518,ATRNL1,29063,26033, ALP,HGNC
10656,ENSG00000162174,ASRGL1,16448,80150, ALP1,HGNC
9735,ENSG00000154438,ASZ1,1350,136991, ALP1,HGNC
181,ENSG00000007372,PAX6,8620,5080, AN,HGNC
7853,ENSG00000139734,DIAPH3,15480,81624, AN,HGNC
9287,ENSG00000150636,CCDC102B,26295,79839, AN,HGNC
12752,ENSG00000170345,FOS,3796,2353, AP-1,HGNC
5684,ENSG00000125740,FOSB,3797,2354, AP-1,HGNC
14263,ENSG00000177606,JUN,6204,3725, AP-1,HGNC
16796,ENSG00000189283,FHIT,3701,2272, AP3Aase,HGNC
13,ENSG00000001561,ENPP4,3359,22875, AP3Aase,HGNC
1122,ENSG00000070718,AP3M2,570,10947, AP47B,HGNC
2317,ENSG00000100478,AP4S1,575,11154, AP47B,HGNC
9590,ENSG00000153107,ANAPC1,19988,64682, APC1,HGNC
1657,ENSG00000085491,SLC25A24,20662,29957, APC1,HGNC
15505,ENSG00000183864,TOB2,11980,10766, APRO5,HGNC
8054,ENSG00000141232,TOB1,11979,10140, APRO5,HGNC
16328,ENSG00000187391,MAGI2,18957,9863, ARIP1,HGNC
5341,ENSG00000123165,ACTRT1,24027,139741, ARIP1,HGNC
5577,ENSG00000124812,CRISP1,304,167, ARP,HGNC
8229,ENSG00000142599,RERE,9965,473, ARP,HGNC
11206,ENSG00000164093,PITX2,9005,5308, ARP1,HGNC
4535,ENSG00000116194,ANGPTL1,489,9068, ARP1,HGNC
5554,ENSG00000124701,APOBEC2,605,10930, ARP1,HGNC
9083,ENSG00000148584,A1CF,24086,29974, ASP,HGNC
966,ENSG00000066279,ASPM,19048,259266, ASP,HGNC
9650,ENSG00000153802,TMPRSS11D,24059,9407, ASP,HGNC
7580,ENSG00000138079,SLC3A1,11025,6519, ATR1,HGNC
8611,ENSG00000144891,AGTR1,336,185, ATR1,HGNC
13686,ENSG00000174684,B4GAT1,15685,11041, B3GN-T1,HGNC
12751,ENSG00000170340,B3GNT2,15629,10678, B3GN-T1,HGNC
4280,ENSG00000114455,HHLA2,4905,11148, B7-H5,HGNC
3436,ENSG00000107738,VSIR,30085,64115, B7-H5,HGNC
7080,ENSG00000135519,KCNH3,6252,23416, BEC1,HGNC
15553,ENSG00000184113,CLDN5,2047,7122, BEC1,HGNC
309,ENSG00000012048,BRCA1,1100,672, BRCC1,HGNC
6067,ENSG00000128915,ICE2,29885,79664, BRCC1,HGNC
5669,ENSG00000125651,GTF2F1,4652,2962, BTF4,HGNC
16561,ENSG00000188342,GTF2F2,4653,2963, BTF4,HGNC
5530,ENSG00000124557,BTN1A1,1135,696, BTN1,HGNC
16618,ENSG00000188603,CLN3,2074,1201, BTN1,HGNC
2439,ENSG00000101132,PFDN4,8868,5203, C1,HGNC
1852,ENSG00000089820,ARHGAP4,674,393, C1,HGNC
17626,ENSG00000198610,AKR1C4,387,1109, C11,HGNC
10629,ENSG00000161980,POLR3K,14121,51728, C11,HGNC
12334,ENSG00000168495,POLR3D,1080,661, C53,HGNC
3527,ENSG00000108465,CDK5RAP3,18673,80279, C53,HGNC
12121,ENSG00000167670,CHAF1A,1910,10036, CAF-1,HGNC
10296,ENSG00000159259,CHAF1B,1911,8208, CAF-1,HGNC
10296,ENSG00000159259,CHAF1B,1911,8208, CAF1,HGNC
12121,ENSG00000167670,CHAF1A,1910,10036, CAF1,HGNC
10705,ENSG00000162458,FBLIM1,24686,54751, CAL,HGNC
632,ENSG00000047932,GOPC,17643,57120, CAL,HGNC
5534,ENSG00000124570,SERPINB6,8950,5269, CAP,HGNC
8153,ENSG00000141867,BRD4,13575,23476, CAP,HGNC
2035,ENSG00000095637,SORBS1,14565,10580, CAP,HGNC
3111,ENSG00000105483,CARD8,17057,22900, CARDINAL,HGNC
14548,ENSG00000179136,LINC00670,44338,284034, CARDINAL,HGNC
9093,ENSG00000148677,ANKRD1,15819,27063, CARP,HGNC
9073,ENSG00000148481,MINDY3,23578,80013, CARP,HGNC
35501,ENSG00000257923,CUX1,2557,1523, CASP,HGNC
4363,ENSG00000115165,CYTIP,9506,9595, CASP,HGNC
1349,ENSG00000076641,PAG1,30043,55824, CBP,HGNC
92,ENSG00000005339,CREBBP,2348,1387, CBP,HGNC
11027,ENSG00000163599,CTLA4,2505,1493, CD,HGNC
12012,ENSG00000167207,NOD2,5331,64127, CD,HGNC
16288,ENSG00000187116,LILRA5,16309,353514, CD85,HGNC
3012,ENSG00000104972,LILRB1,6605,10859, CD85,HGNC
2785,ENSG00000103257,SLC7A5,11063,8140, CD98,HGNC
12216,ENSG00000168003,SLC3A2,11026,6520, CD98,HGNC
32100,ENSG00000248333,CDK11B,1729,984, CDK11-p46,HGNC
202,ENSG00000008128,CDK11A,1730,728642, CDK11-p46,HGNC
202,ENSG00000008128,CDK11A,1730,728642, CDK11-p58,HGNC
32100,ENSG00000248333,CDK11B,1729,984, CDK11-p58,HGNC
2713,ENSG00000102890,ELMO3,17289,79767, CED-12,HGNC
844,ENSG00000062598,ELMO2,17233,63916, CED-12,HGNC
9874,ENSG00000155849,ELMO1,16286,9844, CED-12,HGNC
2713,ENSG00000102890,ELMO3,17289,79767, CED12,HGNC
9874,ENSG00000155849,ELMO1,16286,9844, CED12,HGNC
5837,ENSG00000126777,KTN1,6467,3895, CG1,HGNC
7225,ENSG00000136243,NUP42,17010,11097, CG1,HGNC
17719,ENSG00000198824,CHAMP1,20311,283489, CHAMP,HGNC
1219,ENSG00000073146,MOV10L1,7201,54456, CHAMP,HGNC
5453,ENSG00000124160,NCOA5,15909,57727, CIA,HGNC
3964,ENSG00000111875,ASF1A,20995,25842, CIA,HGNC
4315,ENSG00000114779,ABHD14B,28235,84836, CIB,HGNC
15775,ENSG00000185043,CIB1,16920,10519, CIB,HGNC
5042,ENSG00000120457,KCNJ5,6266,3762, CIR,HGNC
22410,ENSG00000220548,VIM2P,43891,100130535, CIR,HGNC
13710,ENSG00000174827,PDZK1,8821,5174, CLAMP,HGNC
2471,ENSG00000101222,SPEF1,15874,25876, CLAMP,HGNC
25511,ENSG00000228742,LINC02577,53749,111216280, CLAN,HGNC
1909,ENSG00000091106,NLRC4,16412,58484, CLAN,HGNC
116,ENSG00000006016,CRLF1,2364,9244, CLF,HGNC
2501,ENSG00000101343,CRNKL1,15762,51340, CLF,HGNC
6325,ENSG00000130779,CLIP1,10461,6249, CLIP,HGNC
3341,ENSG00000106665,CLIP2,2586,7461, CLIP,HGNC
4358,ENSG00000115138,POMC,9201,5443, CLIP,HGNC
9289,ENSG00000150656,CNDP1,20675,84735, CN1,HGNC
4637,ENSG00000116981,NT5C1A,17819,84618, CN1,HGNC
23568,ENSG00000224389,C4B,1324,721, CO4,HGNC
31838,ENSG00000244731,C4A,1323,720, CO4,HGNC
7158,ENSG00000135929,CYP27A1,2605,1593, CP27,HGNC
9645,ENSG00000153774,CFDP1,1873,10428, CP27,HGNC
13202,ENSG00000172216,CEBPB,1834,1051, CRP2,HGNC
13784,ENSG00000175183,CSRP2,2470,1466, CRP2,HGNC
14564,ENSG00000179218,CALR,1455,811, CRT,HGNC
6335,ENSG00000130821,SLC6A8,11055,6535, CRT,HGNC
14302,ENSG00000177791,MYOZ1,13752,58529, CS-2,HGNC
21097,ENSG00000213218,CSH2,2441,1443, CS-2,HGNC
6335,ENSG00000130821,SLC6A8,11055,6535, CT1,HGNC
9261,ENSG00000150281,CTF1,2499,1489, CT1,HGNC
7607,ENSG00000138182,KIF20B,7212,9585, CT90,HGNC
5504,ENSG00000124383,MPHOSPH10,7213,10199, CT90,HGNC
35090,ENSG00000255974,CYP2A6,2610,1548, CYP2A,HGNC
17387,ENSG00000197838,CYP2A13,2608,1553, CYP2A,HGNC
13031,ENSG00000171497,PPID,9257,5481, CypD,HGNC
3490,ENSG00000108179,PPIF,9259,10105, CypD,HGNC
6279,ENSG00000130595,TNNT3,11950,7140, DA2B,HGNC
6280,ENSG00000130598,TNNI2,11946,7136, DA2B,HGNC
5780,ENSG00000126217,MCF2L,14576,23263, DBS,HGNC
1537,ENSG00000081479,LRP2,6694,4036, DBS,HGNC
2383,ENSG00000100811,YY1,12856,7528, DELTA,HGNC
8213,ENSG00000142507,PSMB6,9543,5694, DELTA,HGNC
7230,ENSG00000136267,DGKB,2850,1607, DGK,HGNC
9668,ENSG00000153933,DGKE,2852,8526, DGK,HGNC
