,collision,num_gene_records
3636,VH,37
1409,H4-16,14
1414,H4C14,13
1419,H4C4,13
1413,H4C13,13
1410,H4C1,13
1415,H4C15,13
1416,H4C16,13
1417,H4C2,13
1418,H4C3,13
1412,H4C12,13
1411,H4C11,13
1420,H4C5,13
1421,H4C6,13
1422,H4C8,13
1423,H4C9,13
2178,MT1,12
2498,P40,12
2770,PR,11
1317,GPCR,11
2762,PPIASE,11
1592,HOX1,10
2517,P58,10
2217,NAP1,9
3600,UDPGT,9
3608,UGT1,9
1406,H3C8,9
1404,H3C6,9
1403,H3C4,9
1402,H3C3,9
1401,H3C2,9
2465,P18,9
1594,HOX2,9
1397,H3C12,9
1396,H3C11,9
1395,H3C10,9
1394,H3C1,9
1405,H3C7,9
236,ASP,8
104,AIP1,8
2458,P14,8
57,ACT,8
2793,PROTEASE,8
123,ALP,8
2446,P100,8
2514,P55,8
2794,PROTEINASE,8
1596,HOX4,7
2532,P75,7
2317,NPIP,7
3580,U4,7
953,DUX4,7
952,DUX10,7
3479,TP53TG3E,7
3427,TFIIH,7
2570,PAP,7
460,CAR,7
450,CAP,7
2483,P28,7
2832,PSP,7
2452,P120,7
3480,TP53TG3F,7
2513,P54,7
1595,HOX3,7
688,CR,7
1301,GNT1,7
2444,P1,7
2495,P38,7
3699,ZNF,6
207,ARP1,6
1082,F379,6
1660,HUG-BR1,6
3154,SIP,6
3474,TP53TG3,6
1711,IGLC,6
2482,P27,6
3613,UGT1A,6
2204,MYM,6
1127,FBP,6
908,DNM1DN11@,6
3487,TR,6
128,ALS2CR3,6
2031,MDS,6
2775,PRC17,6
1876,LAP,6
2965,RNA18SP,6
1949,LRRC37,6
2461,P150,6
2467,P19,6
1437,HARP,6
2475,P23,6
2506,P47,6
2085,MIRHG1,6
380,C13ORF25,6
1041,ENV,6
2520,P60,6
2910,RD,6
2538,P85,6
2084,MIRH1,6
2535,P8,5
2460,P15,5
2803,PRR20,5
2464,P17,5
486,CBP,5
1670,IAP,5
162,AP-1,5
936,DRP1,5
3578,U3,5
