,ENSG_ID,gene_symbol,alias_symbol,HGNC_ID,NCBI_ID,intersect_point,source
96,ENSG00000210196,MT-TP,MTTP,7494,0,MTTP,ENSG
327,ENSG00000274847,MAFIP,MIP,31102,727764,MIP,ENSG
1154,ENSG00000291389,RNU1-1,U1,10120,26871,U1,ENSG
1352,ENSG00000291434,KRTAP5-2,KRTAP5-8,23597,440021,KRTAP5-8,ENSG
1354,ENSG00000291435,KRTAP5-3,KRTAP5-9,23598,387266,KRTAP5-9,ENSG
1357,ENSG00000291443,KRTAP5-5,KRTAP5-11,23601,439915,KRTAP5-11,ENSG
2472,ENSG00000280680,HHAT,SKI,18270,55733,SKI,ENSG
2512,ENSG00000281022,MED22,MED24,11477,6837,MED24,ENSG
2713,ENSG00000159259,CHAF1B,MPP7,1911,8208,MPP7,ENSG
2792,ENSG00000027001,MIPEP,MIP,7104,4285,MIP,ENSG
2919,ENSG00000291479,NAT8,GLA,18069,9027,GLA,ENSG
3032,ENSG00000236972,FABP5P1,FABP5,31059,0,FABP5,ENSG
4064,ENSG00000102554,KLF5,CKLF,6349,688,CKLF,ENSG
4352,ENSG00000160208,RRP1B,RRP1,23818,23076,RRP1,ENSG
4608,ENSG00000240122,FABP5P11,FABP5P1,19328,0,FABP5P1,ENSG
4693,ENSG00000285248,IPO4,IMP4,19426,79711,IMP4,ENSG
4983,ENSG00000173638,SLC19A1,RFC1,10937,6573,RFC1,ENSG
5057,ENSG00000171873,ADRA1D,ADRA1A,280,146,ADRA1A,ENSG
5121,ENSG00000089012,SIRPG,SIRPB2,15757,55423,SIRPB2,ENSG
5354,ENSG00000159212,CLIC6,CLIC5,2065,54102,CLIC5,ENSG
5388,ENSG00000285203,LTB4R2,NOP9,19260,56413,NOP9,ENSG
5547,ENSG00000101542,CDH20,CDH7,1760,28316,CDH7,ENSG
5553,ENSG00000125870,SNRPB2,MSL1,11155,6629,MSL1,ENSG
5691,ENSG00000071991,CDH19,CDH7,1758,28513,CDH7,ENSG
