gene_symbol,alias_symbol,ENSG_ID,collision,source
KLRG1,"MAFA,2F1,MAFA-L,CLEC15A",ENSG00000139187,2F1,HGNC
SLC25A5,"T2,2F1,T3",ENSG00000005022,2F1,HGNC
S100A8,"P8,MRP8,MRP-8,60B8AG,CGLA,S100-A8",ENSG00000143546,60B8AG,HGNC
S100A9,"P14,MIF,NIF,LIAG,MRP14,MAC387,60B8AG,CGLB,MRP-14,S100-A9",ENSG00000163220,60B8AG,HGNC
RNU6V,"87U6,LH87",ENSG00000206832,87U6,HGNC
GNAI3,87U6,ENSG00000065135,87U6,HGNC
SRSF7,"9G8,ZCRB2,HSSG1,AAG3,RBM37,ZCCHC20",ENSG00000115875,9G8,HGNC
SLU7,9G8,ENSG00000164609,9G8,HGNC
ATP6V0A1,"a1,Vph1,Stv1",ENSG00000033627,A1,HGNC
RFC1,"A1,PO-GA,RFC140,MHCBFB",ENSG00000035928,A1,HGNC
RFC4,"A1,RFC37",ENSG00000163918,A1,HGNC
RFC2,"A1,RFC40",ENSG00000049541,A1,HGNC
SGCA,"SCARMD1,LGMD2D,adhalin,DMDA2,A2",ENSG00000108823,A2,HGNC
ATP6V0A2,"TJ6,a2,TJ6s,TJ6M,ATP6a2,J6B7,ATP6N1D,Vph1,Stv1,a2V,RTF",ENSG00000185344,A2,HGNC
CFAP410,"YF5,A2,LRRC76",ENSG00000160226,A2,HGNC
GPHA2,"GPA2,ZSIG51,A2,MGC126572",ENSG00000149735,A2,HGNC
IGKV1-27,"IGKV127,A20",ENSG00000244575,A20,HGNC
TNFAIP3,"A20,OTUD7C",ENSG00000118503,A20,HGNC
ABO,"A3GALNT,A3GALT1",ENSG00000175164,A3GALNT,HGNC
GBGT1,"UDP-GalNAc,A3GALNT,MGC44848,FS",ENSG00000148288,A3GALNT,HGNC
SGCG,"SCARMD2,DAGA4,SCG3,DMDA,TYPE,A4,MGC130048",ENSG00000102683,A4,HGNC
PLP2,"A4,A4-LSB,MGC126187",ENSG00000102007,A4,HGNC
ATP6V0A4,"RDRTA2,VPP2,RTADR,a4,Vph1,Stv1",ENSG00000105929,A4,HGNC
MTTP,ABL,ENSG00000138823,ABL,HGNC
DSP-AS1,"RP3-512B11.3,ABL",ENSG00000261189,ABL,HGNC
FLNC,"ABP-280,ABPL",ENSG00000128591,ABP-280,HGNC
FLNA,ABP-280,ENSG00000196924,ABP-280,HGNC
CARD8-AS1,"LOC100505812,AC008392.1",ENSG00000268001,AC008392.1,HGNC
ZNF114-AS1,AC008392.1,ENSG00000268186,AC008392.1,HGNC
LINC02555,AC079630.2,ENSG00000260943,AC079630.2,HGNC
LINC02471,AC079630.2,ENSG00000223914,AC079630.2,HGNC
ADCY1,AC1,ENSG00000164742,AC1,HGNC
LINC01587,aC1,ENSG00000082929,AC1,HGNC
SNORA59A,ACA59,ENSG00000239149,ACA59,HGNC
SNORA59B,ACA59,ENSG00000266079,ACA59,HGNC
BCL2A1,"GRS,BFL1,BCL2L5,ACC-1,ACC-2,ACC2,ACC1",ENSG00000140379,ACC1,HGNC
ACACA,"ACC1,ACC-alpha,ACCA,ACCalpha,ACACalpha,Acac1,hACC1",ENSG00000278540,ACC1,HGNC
BCL2A1,"GRS,BFL1,BCL2L5,ACC-1,ACC-2,ACC2,ACC1",ENSG00000140379,ACC2,HGNC
ACACB,"HACC275,ACC2,ACCB,ACC-beta,ACCbeta,ACACbeta",ENSG00000076555,ACC2,HGNC
GPR3,ACCA,ENSG00000181773,ACCA,HGNC
ACACA,"ACC1,ACC-alpha,ACCA,ACCalpha,ACACalpha,Acac1,hACC1",ENSG00000278540,ACCA,HGNC
ACSS2,"ACS,ACSA,AceCS,dJ1161H23.1",ENSG00000131069,ACS,HGNC
ACCS,"PHACS,ACS",ENSG00000110455,ACS,HGNC
ACSL5,"ACS5,ACS2",ENSG00000197142,ACS2,HGNC
ACSL6,"KIAA0837,ACS2,LACS5,LACS2",ENSG00000164398,ACS2,HGNC
FHL5,"FLJ33049,ACT,dJ393D12.2",ENSG00000112214,ACT,HGNC
POTEM,"POTE14beta,P704P,ACT",ENSG00000222036,ACT,HGNC
ACOT7,"BACH,ACH1,ACT,CTE-II,LACH1,MGC1126,hBACH",ENSG00000097021,ACT,HGNC
SERPINA3,ACT,ENSG00000196136,ACT,HGNC
TMIGD3,AD026,ENSG00000121933,AD026,HGNC
ADORA3,"AD026,A3AR",ENSG00000282608,AD026,HGNC
ADA,ADA1,ENSG00000196839,ADA1,HGNC
TADA1,"STAF42,ADA1,hADA1,HFI1",ENSG00000152382,ADA1,HGNC
IFNGR2,AF-1,ENSG00000159128,AF-1,HGNC
PSMD4,"S5A,AF-1,AF,Rpn10",ENSG00000159352,AF-1,HGNC
AGR2,"XAG-2,HAG-2,AG2,PDIA17",ENSG00000106541,AG2,HGNC
C11ORF96,,ENSG00000187479,AG2,HGNC
GPAT3,"MGC11324,LPAAT-theta,MAG1,HMFN0839,AGPAT10",ENSG00000138678,AGPAT10,HGNC
LPCAT1,"FLJ12443,AGPAT9,AGPAT10,LPLAT8",ENSG00000153395,AGPAT10,HGNC
GPSM1,"AGS3,DKFZP727I051",ENSG00000160360,AGS3,HGNC
RNASEH2C,"AYP1,AGS3",ENSG00000172922,AGS3,HGNC
RNASEH2A,"RNASEHI,RNHIA,RNHL,AGS4",ENSG00000104889,AGS4,HGNC
GPSM3,"NG1,G18,G18.1a,G18.1b,G18.2,AGS4",ENSG00000213654,AGS4,HGNC
AHSA2P,"DKFZp564C236,Hch1,AHA1",ENSG00000173209,AHA1,HGNC
AHSA1,"p38,Aha1,hAha1",ENSG00000100591,AHA1,HGNC
NAXE,"AIBP,MGC119143,MGC119144,MGC119145,YJEFN1",ENSG00000163382,AIBP,HGNC
AUNIP,"MGC2603,AIBp",ENSG00000127423,AIBP,HGNC
AURKB,"Aik2,IPL1,AurB,AIM-1,ARK2,STK5,PPP1R48",ENSG00000178999,AIM-1,HGNC
SLC45A2,"AIM-1,OCA4",ENSG00000164175,AIM-1,HGNC
ARL6IP1,"AIP1,ARMER,KIAA0069,SPG61",ENSG00000170540,AIP1,HGNC
MAGI2,"AIP1,ARIP1,KIAA0705,ACVRIP1,MAGI-2",ENSG00000187391,AIP1,HGNC
WDR1,AIP1,ENSG00000071127,AIP1,HGNC
PDCD6IP,"Alix,AIP1,Hp95",ENSG00000170248,AIP1,HGNC
DAB2IP,"AF9Q34,DIP1/2,KIAA1743,AIP1",ENSG00000136848,AIP1,HGNC
ACTRT1,"AIP1,KIAA0705,ARIP1,Arp-T1",ENSG00000123165,AIP1,HGNC
CHD1L,ALC1,ENSG00000131778,ALC1,HGNC
MYL4,"ALC1,AMLC,GT1,PRO1957",ENSG00000198336,ALC1,HGNC
LINC00261,"bA216C10.1,HCCDR1,TCONS_00027846,ALIEN,DEANR1,onco-lncRNA-17,FALCOR,LCAL62",ENSG00000259974,ALIEN,HGNC
COPS2,"TRIP15,ALIEN,CSN2",ENSG00000166200,ALIEN,HGNC
ALK,"CD246,ALK1",ENSG00000171094,ALK1,HGNC
ACVRL1,"HHT2,ALK1,HHT",ENSG00000139567,ALK1,HGNC
SLPI,"HUSI-I,ALK1,ALP,BLPI,HUSI,WAP4,WFDC4",ENSG00000124107,ALK1,HGNC
ASRGL1,"FLJ22316,ALP1,ALP",ENSG00000162174,ALP,HGNC
ATHS,ALP,,ALP,HGNC
ATRNL1,"KIAA0534,FLJ45344,ALP",ENSG00000107518,ALP,HGNC
PDLIM3,ALP,ENSG00000154553,ALP,HGNC
CCL27,"ALP,ILC,CTACK,skinkine,ESkine,PESKY,CTAK",ENSG00000213927,ALP,HGNC
SLPI,"HUSI-I,ALK1,ALP,BLPI,HUSI,WAP4,WFDC4",ENSG00000124107,ALP,HGNC
ASRGL1,"FLJ22316,ALP1,ALP",ENSG00000162174,ALP1,HGNC
ASZ1,"Orf3,GASZ,ALP1,CT1.19",ENSG00000154438,ALP1,HGNC
GFER,"HSS,ERV1,ALR,HERV1,HPO1,HPO2",ENSG00000127554,ALR,HGNC
AKR1A1,"ALR,DD3",ENSG00000117448,ALR,HGNC
KMT2D,"ALR,MLL4,CAGL114",ENSG00000167548,ALR,HGNC
FPR2,"LXA4R,HM63,FPRH2,FMLPX,FPR2A,FMLP-R-II,ALXR,ALX",ENSG00000171049,ALX,HGNC
HSH2D,"ALX,HSH2,FLJ14886",ENSG00000196684,ALX,HGNC
