gene_symbol,alias_symbol,intersect_point,source
SOAT2,ACAT2,ACAT2,HGNC
ACTBP8,ACTBP2,ACTBP2,HGNC
TADA2A," ADA2A,  hADA2, ADA2",ADA2,HGNC
ABCD1," adrenoleukodystrophy,  ALDP, AMN",AMN,HGNC
DANCR," AGU2,  lncRNA-ANCR, ANCR",ANCR,HGNC
ANAPC2," KIAA1406, APC2",APC2,HGNC
APPL1,APPL,APPL,HGNC
AQP7," AQPap, AQP9",AQP9,HGNC
AREG," CRDGF, AR",AR,HGNC
AKR1B1,AR,AR,HGNC
NOL3," CARD2,  MYP,  NOP30, ARC",ARC,HGNC
GDNF," ATF2,  HFB1-GDNF, ATF1",ATF1,HGNC
SERPINA2," ARGS, ATR",ATR,HGNC
B3GNTL1,B3GNT8,B3GNT8,HGNC
MAGI1," AIP3,  MAGI-1,  TNRC19,  WWP3, BAP1",BAP1,HGNC
BCAT2," BCATm, BCAM",BCAM,HGNC
BANF1P1," BCRG1,  D14S1460,  D14S1460E, BCRP1",BCRP1,HGNC
DCAF5," BCRG2,  D14S1461E,  KIAA1824, BCRP2",BCRP2,HGNC
PTPN18,BDP1,BDP1,HGNC
ITM2C," BRICD2C,  E25,  hRPC.1050_D_4,  ITM3, BRI3",BRI3,HGNC
BTN3A3," BTN3.3, BTF3",BTF3,HGNC
ACOD1,CAD,CAD,HGNC
DFFB," CPAN,  DFF-40,  DFF40, CAD",CAD,HGNC
CHAMP1," CHAMP, CAMP",CAMP,HGNC
PRSS8,CAP1,CAP1,HGNC
SERPINB8,CAP2,CAP2,HGNC
CADPS," CADPS1,  CAPS1,  KIAA1121,  UNC-31, CAPS",CAPS,HGNC
CADPS2,CAPS2,CAPS2,HGNC
ERC2," CAST1,  ELKSL,  KIAA0378,  SPBC110,  Spc110, CAST",CAST,HGNC
ACKR2," CCR9,  D6, CCR10",CCR10,HGNC
CNOT6," Ccr4a,  KIAA1194, CCR4",CCR4,HGNC
CDH19,CDH7,CDH7,HGNC
CDPF1,CDKN1A,CDKN1A,HGNC
CHEK2," bA444G7,  CHK2,  HuCds1,  PP1425, CDS1",CDS1,HGNC
C3CER1,CER1,CER1,HGNC
GET1,CHD5,CHD5,HGNC
CHORDC1," CHP-1, CHP1",CHP1,HGNC
DCBLD2," ESDN, CLCP1",CLCP1,HGNC
CLIC6,CLIC5,CLIC5,HGNC
PPP3CA," PPP2B, CNA1",CNA1,HGNC
NPPC,CNP,CNP,HGNC
PCDHA@,CNR1,CNR1,HGNC
PCDHA4," CNRN1,  CRNR1,  PCDH-ALPHA4, CNR1",CNR1,HGNC
PCDHA6," CRNR2,  PCDH-ALPHA6, CNR2",CNR2,HGNC
COG6," KIAA1134, COD2",COD2,HGNC
CARD16," COP,  LLID-114769,  PSEUDO-ICE, COP1",COP1,HGNC
CPA4,CPA3,CPA3,HGNC
CYP2A6," CYP2A, CPA6",CPA6,HGNC
HOMER2," Cupidin,  DFNA68,  HOMER-2,  HOMER-2A,  HOMER-2B,  Vesl-2, CPD",CPD,HGNC
CPNE1,CPN1,CPN1,HGNC
CPNE2,CPN2,CPN2,HGNC
PPIAP10,CRP,CRP,HGNC
CSNK2A2," CK2alpha', CSNK2A1",CSNK2A1,HGNC
CSTB," PME, CST6",CST6,HGNC
CPPED1," FLJ11151, CSTP1",CSTP1,HGNC
CYP2A7,CYP2A,CYP2A,HGNC
AOC1,DAO,DAO,HGNC
DNPEP," ASPEP, DAP",DAP,HGNC
GC," hDBP,  VDBP, DBP",DBP,HGNC
DEFA1A3," DEFA3,  DEFT1P, DEFA1",DEFA1,HGNC
CRYM,DFNA40,DFNA40,HGNC
DIDO1," BYE1,  DIO-1,  dJ885L7.8,  FLJ11265,  KIAA0333, DIO1",DIO1,HGNC
DLEC1," CFAP81,  FAP81, DLC1",DLC1,HGNC
HID1," HID-1, DMC1",DMC1,HGNC
DMTF1," DMTF,  hDMP1,  MRUL, DMP1",DMP1,HGNC
ART4," ARTC4,  CD297, DOK1",DOK1,HGNC
NDRG1," NDR1,  RTP,  TDD5, DRG1",DRG1,HGNC
GLB1,EBP,EBP,HGNC
SMIM6,ELN,ELN,HGNC
TIMP1,EPO,EPO,HGNC
EPX," EPP,  EPX-PEN, EPO",EPO,HGNC
EXT3,EXT2,EXT2,HGNC
EZH2," ENX-1,  KMT6,  KMT6A, EZH1",EZH1,HGNC
ZNF159,F11,F11,HGNC
CNTN1," GP135, F3",F3,HGNC
