,alias_symbol,gene_symbol,ENSG_ID,source
0, 2F1,"['KLRG1', ' SLC25A5']","[' ENSG00000005022', 'ENSG00000139187']",['HGNC']
1, 60B8AG,"[' S100A9', 'S100A8']","['ENSG00000143546', ' ENSG00000163220']",['HGNC']
2, A2,"['GPHA2', ' CFAP410', ' SGCA']","[' ENSG00000160226', ' ENSG00000108823', 'ENSG00000149735']",['HGNC']
3, ACC1,"['BCL2A1', ' ACACA']","[' ENSG00000275176', 'ENSG00000140379']",['ENSG']
4, ACC2,"[' ACACB', 'ACACB', 'BCL2A1', ' BCL2A1']","[' ENSG00000140379', 'ENSG00000076555', 'ENSG00000140379', ' ENSG00000076555']","['HGNC', 'ENSG']"
5, ACS2,"[' ACSL5', 'ACSL6']","['ENSG00000164398', ' ENSG00000197142']",['HGNC']
6, ACT,"[' FHL5', 'ACOT7', ' POTEM', ' SERPINA3']","[' ENSG00000222036', 'ENSG00000097021', ' ENSG00000196136', ' ENSG00000112214']","['HGNC', 'ENSG']"
7, AGPAT10,"['LPCAT1', ' GPAT3']","['ENSG00000153395', ' ENSG00000138678']",['HGNC']
8, AGPAT9,"[' LPCAT1', 'GPAT3']","[' ENSG00000153395', 'ENSG00000138678']",['ENSG']
9, AGS4,"['RNASEH2A', ' GPSM3']","['ENSG00000104889', ' ENSG00000213654']",['HGNC']
10, AIP1,"['DAB2IP', ' DAB2IP', 'PDCD6IP', ' MAGI2']","[' ENSG00000136848', 'ENSG00000170248', ' ENSG00000187391', 'ENSG00000136848']","['HGNC', 'ENSG']"
11, ALIEN,"[' COPS2', 'LINC00261']","['ENSG00000259974', ' ENSG00000166200']",['HGNC']
12, ALK1,"[' ALK', 'SLPI', ' ACVRL1']","[' ENSG00000171094', 'ENSG00000124107', ' ENSG00000139567']",['HGNC']
13, ALP,"[' ASRGL1', ' ATRNL1', 'SLPI']","['ENSG00000124107', ' ENSG00000162174', ' ENSG00000107518']",['HGNC']
14, ALP1,"[' ASZ1', 'ASRGL1']","[' ENSG00000154438', 'ENSG00000162174']",['HGNC']
15, AN,"[' PAX6', 'DIAPH3', ' CCDC102B']","[' ENSG00000150636', ' ENSG00000007372', 'ENSG00000139734']",['HGNC']
16, AP-1,"['JUN', ' FOS', ' FOSB']","[' ENSG00000170345', 'ENSG00000177606', ' ENSG00000125740']",['HGNC']
17, AP3Aase,"[' ENPP4', 'FHIT']","['ENSG00000189283', ' ENSG00000001561']",['HGNC']
18, AP47B,"['AP4S1', ' AP3M2']","['ENSG00000100478', ' ENSG00000070718']",['HGNC']
19, APC1,"['SLC25A24', ' ANAPC1']","['ENSG00000085491', ' ENSG00000153107']",['HGNC']
20, APRO5,"['TOB2', ' TOB1']","[' ENSG00000141232', 'ENSG00000183864']",['HGNC']
21, AR,"[' AKR1B1', 'FDXR']","['ENSG00000161513', ' ENSG00000085662']",['ENSG']
22, ARIP1,"[' MAGI2', 'MAGI2', ' ACTRT1', 'ACTRT1']","['ENSG00000187391', ' ENSG00000187391', 'ENSG00000123165', ' ENSG00000123165']","['HGNC', 'ENSG']"
23, ARP,"[' MANF', ' CRISP1', 'CRISP1', ' RERE', ' ARFRP1', 'RERE']","['ENSG00000124812', ' ENSG00000101246', ' ENSG00000142599', ' ENSG00000124812', ' ENSG00000145050', 'ENSG00000142599']","['HGNC', 'ENSG']"
24, ARP1,"['APOBEC2', ' PITX2', 'ANGPTL1', ' APOBEC2', ' ARFRP1', ' ANGPTL1']","['ENSG00000124701', ' ENSG00000164093', ' ENSG00000101246', ' ENSG00000116194', 'ENSG00000116194', ' ENSG00000124701']","['HGNC', 'ENSG']"
25, ARP5,"[' APOBEC3C', 'ANGPTL6']","[' ENSG00000244509', 'ENSG00000130812']",['ENSG']
26, ASP,"['ATG5', ' A1CF', ' ASPA', 'ASPM', ' TMPRSS11D', ' ASIP']","['ENSG00000066279', ' ENSG00000108381', 'ENSG00000057663', ' ENSG00000153802', ' ENSG00000101440', ' ENSG00000148584']","['HGNC', 'ENSG']"
27, AT1,"[' AGTR1', 'SLC33A1']","['ENSG00000169359', ' ENSG00000144891']",['ENSG']
28, ATPM,"[' ATP5F1A', 'ATP5PF']","[' ENSG00000152234', 'ENSG00000154723']",['ENSG']
29, ATR1,"[' SLC3A1', 'AGTR1']","[' ENSG00000138079', 'ENSG00000144891']",['HGNC']
30, AUTL1,"[' ATG4C', 'ATG4B']","[' ENSG00000125703', 'ENSG00000168397']",['ENSG']
31, B3GN-T1,"[' B4GAT1', 'B3GNT2']","[' ENSG00000174684', 'ENSG00000170340']",['HGNC']
32, B3GNT1,"[' B3GNT2', 'B4GAT1']","['ENSG00000174684', ' ENSG00000170340']",['ENSG']
33, B7-H5,"['VSIR', ' HHLA2']","[' ENSG00000114455', 'ENSG00000107738']",['HGNC']
34, BAP1,"[' MAGI1', 'RNF2']","['ENSG00000121481', ' ENSG00000151276']",['ENSG']
35, BEC1,"[' CLDN5', 'KCNH3']","[' ENSG00000184113', 'ENSG00000135519']",['HGNC']
36, BRCC1,"[' BRCA1', 'ICE2']","[' ENSG00000012048', 'ENSG00000128915']",['HGNC']
37, BTF4,"[' GTF2F2', 'GTF2F1']","['ENSG00000125651', ' ENSG00000188342']",['HGNC']
38, BTN1,"['BTN1A1', ' CLN3']","['ENSG00000124557', ' ENSG00000188603']",['HGNC']
39, C1,"['ARHGAP4', ' PFDN4', 'TRGC1']","['ENSG00000211689', 'ENSG00000089820', ' ENSG00000101132']","['HGNC', 'ENSG']"
40, C11,"[' POLR3K', 'AKR1C4']","['ENSG00000198610', ' ENSG00000161980']",['HGNC']
41, C53,"['CDK5RAP3', ' POLR3D']","[' ENSG00000168495', 'ENSG00000108465']",['HGNC']
42, CA125,"['NBR1', ' MUC16']","['ENSG00000188554', ' ENSG00000181143']",['ENSG']
43, CAF-1,"['CHAF1A', ' CHAF1B']","[' ENSG00000159259', 'ENSG00000167670']",['HGNC']
44, CAF1,"['CHAF1B', ' CHAF1A']","['ENSG00000159259', ' ENSG00000167670']","['HGNC', 'ENSG']"
45, CAL,"[' GOPC', 'FBLIM1']","[' ENSG00000047932', 'ENSG00000162458']",['HGNC']
