ENSG_ID,gene_symbol,HGNC_ID,NCBI_ID,alias_symbol
ENSG00000000003,TSPAN6,11858,7105,"T245, TM4SF6, TSPAN-6"
ENSG00000000005,TNMD,17757,64102,"BRICD4, CHM1L, MYODULIN, TEM, TENDIN"
ENSG00000000419,DPM1,3005,8813,"CDGIE, MPDS"
ENSG00000000457,SCYL3,19285,57147,"PACE-1, PACE1"
ENSG00000000460,FIRRM,25565,55732,"APOLO1, C1ORF112, FLIP, FLJ10706, MEICA1"
ENSG00000000938,FGR,3697,2268,"C-FGR, P55C-FGR, SRC2"
ENSG00000000971,CFH,4883,3075,"ARMD4, ARMS1, FHL1, HF, HF1, HF2, HUS"
ENSG00000001036,FUCA2,4008,2519,"DJ20N2.5, MGC1314"
ENSG00000001084,GCLC,4311,2729,"GCS, GLCL, GLCLC"
ENSG00000001167,NFYA,7804,4800,"CBF-B, HAP2, NF-YA"
ENSG00000001460,STPG1,28070,90529,"C1ORF201, FLJ33340, MAPO2"
ENSG00000001461,NIPAL3,25233,57185,"DJ462O23.2, NPAL3, SLC57A5"
ENSG00000001497,LAS1L,25726,81887,"FLJ12525, LAS1"
ENSG00000001561,ENPP4,3359,22875,"AP3AASE, KIAA0879, NPP4"
ENSG00000001617,SEMA3F,10728,6405,"SEMA4, SEMAK"
ENSG00000001626,CFTR,1884,1080,"ABC35, ABCC7, CF, CFTR/MRP, DJ760C5.1, MRP7, TNR-CFTR"
ENSG00000001629,ANKIB1,22215,54467,"DKFZP434A0225, KIAA1386"
ENSG00000001630,CYP51A1,2649,1595,"CP51, CYP51, CYPL1, LDM, P450-14DM, P450L1"
ENSG00000001631,KRIT1,1573,889,"CAM, CCM1"
ENSG00000002016,RAD52,9824,5893,
ENSG00000002079,MYH16,31038,nan,"MHC20, MYH16P, MYH5"
ENSG00000002330,BAD,936,572,"BBC2, BCL2L8"
ENSG00000002549,LAP3,18449,51056,"LAP, LAPEP, PEPS"
ENSG00000002586,CD99,7082,4267,"MIC2, MIC2X, MIC2Y"
ENSG00000002587,HS3ST1,5194,9957,3OST1
ENSG00000002726,AOC1,80,26,"ABP, ABP1, DAO"
ENSG00000002745,WNT16,16267,51384,
ENSG00000002746,HECW1,22195,23072,"KIAA0322, NEDL1"
ENSG00000002822,MAD1L1,6762,8379,"HSMAD1, MAD1, PIG9, TP53I9, TXBP181"
ENSG00000002834,LASP1,6513,3927,"LASP-1, MLN50"
ENSG00000002919,SNX11,14975,29916,
ENSG00000002933,TMEM176A,24930,55365,"HCA112, MS4B1"
ENSG00000003056,M6PR,6752,4074,"CD-M6PR, CD-MPR"
ENSG00000003096,KLHL13,22931,90293,"BKLHD2, FLJ10262, KIAA1309"
ENSG00000003137,CYP26B1,20581,56603,P450RAI-2
ENSG00000003147,ICA1,5343,3382,"ICA69, ICAP69"
ENSG00000003249,DBNDD1,28455,79007,"FLJ12582, MGC3101"
ENSG00000003393,ALS2,443,57679,ALS2CR6
ENSG00000003400,CASP10,1500,843,"FLICE-2, MCH4"
ENSG00000003402,CFLAR,1876,8837,"C-FLIP, CASH, CASP8AP1, CASPER, CFLIP, CLARP, FLAME, FLIP, I-FLICE, MRIT"
ENSG00000003436,TFPI,11760,7035,"EPI, LACI, TFI, TFPI1"
ENSG00000003509,NDUFAF7,28816,55471,"C2ORF56, MIDA, PRO1853"
ENSG00000003756,RBM5,9902,10181,"H37, LUCA-15, LUCA15"
ENSG00000003987,MTMR7,7454,9108,
ENSG00000003989,SLC7A2,11060,6542,"ATRC2, CAT-2, HCAT2"
ENSG00000004059,ARF5,658,381,
ENSG00000004139,SARM1,17074,23098,"KIAA0524, SAMD2, SARM"
ENSG00000004142,POLDIP2,23781,26073,"DKFZP586F1524, PDIP38"
ENSG00000004399,PLXND1,9107,23129,KIAA0620
ENSG00000004455,AK2,362,204,
ENSG00000004468,CD38,1667,952,CADPR1
ENSG00000004478,FKBP4,3720,2288,"FKBP52, FKBP59"
ENSG00000004487,KDM1A,29079,23028,"AOF2, BHC110, KDM1, KIAA0601, LSD1"
ENSG00000004534,RBM6,9903,10180,"3G2, DEF-3, DEF3, G16, NY-LU-12"
ENSG00000004660,CAMKK1,1469,84254,"CAMKKA, DKFZP761M0423, MGC34095"
ENSG00000004700,RECQL,9948,5965,"RECQ1, RECQL1"
ENSG00000004766,VPS50,25956,55610,"CCDC132, DKFZP313I2429, FLJ20097, KIAA1861, VPS54L"
ENSG00000004776,HSPB6,26511,126393,"FLJ32389, HSP20, PPP1R91"
ENSG00000004777,ARHGAP33,23085,115703,"FLJ39019, SNX26, TCGAP"
ENSG00000004779,NDUFAB1,7694,4706,"ACP, ACP1, FASN2A, SDAP"
ENSG00000004799,PDK4,8812,5166,
ENSG00000004809,SLC22A16,20302,85413,"CT2, FLIPT2, OAT6, OKB1"
ENSG00000004838,ZMYND10,19412,51364,"BLU, CILD22, DNAAF7"
ENSG00000004846,ABCB5,46,340273,"ABCB5ALPHA, ABCB5BETA, EST422562"
ENSG00000004848,ARX,18060,170302,"CT121, EIEE1, ISSX, MRX29, MRX32, MRX33, MRX36, MRX38, MRX43, MRX54, MRX76, MRX87, MRXS1, PRTS"
ENSG00000004864,SLC25A13,10983,10165,"ARALAR2, CITRIN, CTLN2"
ENSG00000004866,ST7,11351,7982,"ETS7Q, FAM4A, FAM4A1, HELG, RAY1, SEN4, TSG7"
ENSG00000004866,ST7,11351,93655,"ETS7Q, FAM4A, FAM4A1, HELG, RAY1, SEN4, TSG7"
ENSG00000004897,CDC27,1728,996,"ANAPC3, APC3, D0S1430E, D17S978E, NUC2"
ENSG00000004939,SLC4A1,11027,6521,"AE1, CD233, DI, EMPB3, EPB3, FR, RTA1A, SW, WD, WR"
ENSG00000004948,CALCR,1440,799,"CT-R, CTR"
ENSG00000004961,HCCS,4837,3052,"CCHL, MLS"
ENSG00000004975,DVL2,3086,1856,
ENSG00000005001,PRSS22,14368,64063,"BSSP-4, HBSSP-4, SP001LA"
ENSG00000005007,UPF1,9962,5976,"HUPF1, KIAA0221, NORF1, PNORF1, RENT1, SMG-2"
ENSG00000005020,SKAP2,15687,8935,"RA70, SAPS, SCAP2, SKAP-HOM, SKAP55R"
ENSG00000005022,SLC25A5,10991,292,"2F1, ANT2, T2, T3"
ENSG00000005059,MCUB,26076,55013,"CCDC109B, FLJ20647"
ENSG00000005073,HOXA11,5101,3207,"HOX1, HOX1I"
ENSG00000005075,POLR2J,9197,5439,"HRPB14, POLR2J1, RPB11, RPB11A, RPB11M"
ENSG00000005100,DHX33,16718,56919,"DDX33, DKFZP762F2011, FLJ21972"
ENSG00000005102,MEOX1,7013,4222,MOX1
ENSG00000005108,THSD7A,22207,221981,KIAA0960
ENSG00000005156,LIG3,6600,3980,"LIG2, LIG3ALPHA"
ENSG00000005175,RPAP3,26151,79657,"FLJ21908, HSPAGH, SPAG, TAH1"
