ENSG_ID,gene_symbol,HGNC_ID,NCBI_ID,alias_symbol
ENSG00000000003,TSPAN6,11858,7105,"T245, TSPAN-6"
ENSG00000000005,TNMD,17757,64102,"myodulin, ChM1L, tendin, TEM, BRICD4"
ENSG00000000419,DPM1,3005,8813,"MPDS, CDGIE"
ENSG00000000457,SCYL3,19285,57147,"PACE-1, PACE1"
ENSG00000000460,FIRRM,25565,55732,"FLJ10706, Apolo1, FLIP, MEICA1"
ENSG00000000938,FGR,3697,2268,"c-fgr, p55c-fgr"
ENSG00000000971,CFH,4883,3075,"HUS, FHL1, ARMS1, ARMD4"
ENSG00000001036,FUCA2,4008,2519,"MGC1314, dJ20N2.5"
ENSG00000001084,GCLC,4311,2729,GCS
ENSG00000001167,NFYA,7804,4800,"HAP2, CBF-B, NF-YA"
ENSG00000001460,STPG1,28070,90529,"FLJ33340, MAPO2"
ENSG00000001461,NIPAL3,25233,57185,"DJ462O23.2, SLC57A5"
ENSG00000001497,LAS1L,25726,81887,"FLJ12525, Las1"
ENSG00000001561,ENPP4,3359,22875,"NPP4, KIAA0879, AP3Aase"
ENSG00000001617,SEMA3F,10728,6405,"SEMAK, Sema4"
ENSG00000001626,CFTR,1884,1080,"MRP7, ABC35, TNR-CFTR, dJ760C5.1, CFTR/MRP"
ENSG00000001629,ANKIB1,22215,54467,"DKFZP434A0225, KIAA1386"
ENSG00000001630,CYP51A1,2649,1595,"CP51, CYPL1, P450L1, LDM, P450-14DM"
ENSG00000001631,KRIT1,1573,889,CAM
ENSG00000002016,RAD52,9824,5893,
ENSG00000002079,MYH16,31038,84176,"MHC20, MYH16P"
ENSG00000002330,BAD,936,572,"BCL2L8, BBC2"
ENSG00000002549,LAP3,18449,51056,"LAPEP, LAP"
ENSG00000002586,CD99,7082,4267,
ENSG00000002587,HS3ST1,5194,9957,3OST1
ENSG00000002726,AOC1,80,26,DAO
ENSG00000002745,WNT16,16267,51384,
ENSG00000002746,HECW1,22195,23072,"KIAA0322, NEDL1"
ENSG00000002822,MAD1L1,6762,8379,"HsMAD1, TXBP181, MAD1, PIG9, TP53I9"
ENSG00000002834,LASP1,6513,3927,"MLN50, Lasp-1"
ENSG00000002919,SNX11,14975,29916,
ENSG00000002933,TMEM176A,24930,55365,"HCA112, MS4B1"
ENSG00000003056,M6PR,6752,4074,"CD-MPR, CD-M6PR"
ENSG00000003096,KLHL13,22931,90293,FLJ10262
ENSG00000003137,CYP26B1,20581,56603,P450RAI-2
ENSG00000003147,ICA1,5343,3382,"ICAp69, ICA69"
ENSG00000003249,DBNDD1,28455,79007,"MGC3101, FLJ12582"
ENSG00000003393,ALS2,443,57679,
ENSG00000003400,CASP10,1500,843,"MCH4, FLICE-2"
