,HGNC_ID,alias_symbol,NCBI_ID,ENSG_ID,gene_symbol,collision,source
42104,14947,AAVS1,54776,ENSG00000125503,PPP1R12C,AAVS1,HGNC
56627,11177,ACAT1,6646,ENSG00000057252,SOAT1,ACAT1,HGNC
56628,11178,ACAT2,8435,ENSG00000167780,SOAT2,ACAT2,HGNC
17689,4319,ACLS,2737,ENSG00000106571,GLI3,ACLS,HGNC
35323,7694,ACP1,4706,ENSG00000004779,NDUFAB1,ACP1,HGNC
549,141,ACTBP2,68,ENSG00000220267,ACTBP8,ACTBP2,HGNC
58559,11531,ADA2,6871,ENSG00000276234,TADA2A,ADA2,HGNC
733,206,ADAM23,10863,ENSG00000042980,ADAM28,ADAM23,HGNC
999,280,ADRA1A,146,ENSG00000171873,ADRA1D,ADRA1A,HGNC
1196,341,AGT,189,ENSG00000172482,AGXT,AGT,HGNC
3622,24114,AIP,54998,ENSG00000175756,AURKAIP1,AIP,HGNC
15413,24674,ALB,85302,ENSG00000188878,FBF1,ALB,HGNC
185,61,AMN,215,ENSG00000101986,ABCD1,AMN,HGNC
63767,12496,ANCR,7337,ENSG00000114062,UBE3A,ANCR,HGNC
10686,28964,ANCR,57291,ENSG00000226950,DANCR,ANCR,HGNC
54743,19375,APC2,79085,ENSG00000125648,SLC25A23,APC2,HGNC
1735,19989,APC2,29882,ENSG00000176248,ANAPC2,APC2,HGNC
2352,24035,APPL,26060,ENSG00000157500,APPL1,APPL,HGNC
2374,640,AQP9,364,ENSG00000165269,AQP7,AQP9,HGNC
15772,3642,AR,2232,ENSG00000161513,FDXR,AR,HGNC
1421,381,AR,231,ENSG00000085662,AKR1B1,AR,HGNC
2414,651,AR,374,ENSG00000109321,AREG,AR,HGNC
36245,7869,ARC,8996,ENSG00000140939,NOL3,ARC,HGNC
59829,19168,ARG1,64129,ENSG00000142910,TINAGL1,ARG1,HGNC
2504,23725,ARHGAP10,57584,ENSG00000107863,ARHGAP21,ARHGAP10,HGNC
1433,382,ARL1,57016,ENSG00000198074,AKR1B10,ARL1,HGNC
39096,16051,ASIP,56288,ENSG00000148498,PARD3,ASIP,HGNC
17352,4232,ATF1,2668,ENSG00000168621,GDNF,ATF1,HGNC
17353,4232,ATF2,2668,ENSG00000168621,GDNF,ATF2,HGNC
2074,21014,ATR,84168,ENSG00000169604,ANTXR1,ATR,HGNC
53395,8985,ATR,390502,ENSG00000258597,SERPINA2,ATR,HGNC
36052,16400,AVP,114548,ENSG00000162711,NLRP3,AVP,HGNC
3739,21727,B3GNT8,146712,ENSG00000175711,B3GNTL1,B3GNT8,HGNC
4616,20473,BACH1,83990,ENSG00000136492,BRIP1,BACH1,HGNC
47124,10061,BAP1,6045,ENSG00000121481,RNF2,BAP1,HGNC
28873,946,BAP1,9223,ENSG00000151276,MAGI1,BAP1,HGNC
3968,977,BCAM,587,ENSG00000105552,BCAT2,BCAM,HGNC
22157,6014,BCGF1,3565,ENSG00000113520,IL4,BCGF1,HGNC
4021,1001,BCL5,604,ENSG00000113916,BCL6,BCL5,HGNC
3838,20252,BCRP1,317687,ENSG00000258531,BANF1P1,BCRP1,HGNC
10788,20224,BCRP2,8816,ENSG00000139990,DCAF5,BCRP2,HGNC
43487,9649,BDP1,26469,ENSG00000072135,PTPN18,BDP1,HGNC
3046,99,BNC1,40,ENSG00000108684,ASIC2,BNC1,HGNC
5135,21114,BRAP,221477,ENSG00000198663,C6orf89,BRAP,HGNC
11312,24902,BRCC3,55789,ENSG00000035499,DEPDC1B,BRCC3,HGNC
22942,6175,BRI3,81618,ENSG00000135916,ITM2C,BRI3,HGNC
4778,1140,BTF3,10384,ENSG00000111801,BTN3A3,BTF3,HGNC
29971,18121,C1QTNF5,83552,ENSG00000235718,MFRP,C1QTNF5,HGNC
5063,1323,C4B,720,ENSG00000244731,C4A,C4B,HGNC
43058,9536,C6,5688,ENSG00000101182,PSMA7,C6,HGNC
10226,10637,C7,3627,ENSG00000169245,CXCL10,C7,HGNC
17631,23217,CA11,56287,ENSG00000169605,GKN1,CA11,HGNC
52367,1436,CABP1,795,ENSG00000169906,S100G,CABP1,HGNC
11362,2773,CAD,1677,ENSG00000169598,DFFB,CAD,HGNC
421,33904,CAD,730249,ENSG00000102794,ACOD1,CAD,HGNC
7992,20311,CAMP,283489,ENSG00000198824,CHAMP1,CAMP,HGNC
42870,9491,CAP1,5652,ENSG00000052344,PRSS8,CAP1,HGNC
53433,8952,CAP2,5271,ENSG00000166401,SERPINB8,CAP2,HGNC
60562,11878,CAP2,56649,ENSG00000137648,TMPRSS4,CAP2,HGNC
5633,1426,CAPS,8618,ENSG00000163618,CADPS,CAPS,HGNC
5638,16018,CAPS2,93664,ENSG00000081803,CADPS2,CAPS2,HGNC
7337,24325,CARF,55602,ENSG00000168564,CDKN2AIP,CARF,HGNC
41500,24219,CAST,10849,ENSG00000117877,POLR1G,CAST,HGNC
14122,31922,CAST,26059,ENSG00000187672,ERC2,CAST,HGNC
62510,17341,CCA1,51095,ENSG00000072756,TRNT1,CCA1,HGNC
398,1565,CCR10,1238,ENSG00000144648,ACKR2,CCR10,HGNC
8920,14099,CCR4,57472,ENSG00000113300,CNOT6,CCR4,HGNC
400,1565,CCR9,1238,ENSG00000144648,ACKR2,CCR9,HGNC
16155,20105,CCT,55640,ENSG00000119686,FLVCR2,CCT,HGNC
16832,24824,CDH1,51343,ENSG00000105325,FZR1,CDH1,HGNC
39446,8711,CDH20,8641,ENSG00000253953,PCDHGB4,CDH20,HGNC
7188,1758,CDH7,28513,ENSG00000071991,CDH19,CDH7,HGNC
7369,33710,CDKN1A,150383,ENSG00000205643,CDPF1,CDKN1A,HGNC
