,ENSG_ID,gene_symbol,alias_symbol,HGNC_ID,NCBI_ID
0,ENSG00000210049,MT-TF,{'MTTF'},7481,
1,ENSG00000210049,MT-TF,{'TRNF'},7481,
2,ENSG00000211459,MT-RNR1,{'12S'},7470,
3,ENSG00000211459,MT-RNR1,{'MOTS-C'},7470,
4,ENSG00000211459,MT-RNR1,{'MTRNR1'},7470,
5,ENSG00000210077,MT-TV,{'MTTV'},7500,
6,ENSG00000210077,MT-TV,{'TRNV'},7500,
7,ENSG00000210082,MT-RNR2,{'16S'},7471,
8,ENSG00000210082,MT-RNR2,{'HN'},7471,
9,ENSG00000210082,MT-RNR2,{'MTRNR2'},7471,
10,ENSG00000209082,MT-TL1,{'MTTL1'},7490,
11,ENSG00000209082,MT-TL1,{'TRNL1'},7490,
12,ENSG00000198888,MT-ND1,{'MTND1'},7455,4535
13,ENSG00000198888,MT-ND1,{'NAD1'},7455,4535
14,ENSG00000198888,MT-ND1,{'ND1'},7455,4535
15,ENSG00000210100,MT-TI,{'MTTI'},7488,
16,ENSG00000210100,MT-TI,{'TRNI'},7488,
17,ENSG00000210107,MT-TQ,{'MTTQ'},7495,
18,ENSG00000210107,MT-TQ,{'TRNQ'},7495,
19,ENSG00000210112,MT-TM,{'MTTM'},7492,
20,ENSG00000210112,MT-TM,{'TRNM'},7492,
21,ENSG00000198763,MT-ND2,{'MTND2'},7456,4536
22,ENSG00000198763,MT-ND2,{'NAD2'},7456,4536
23,ENSG00000198763,MT-ND2,{'ND2'},7456,4536
24,ENSG00000210117,MT-TW,{'MTTW'},7501,
25,ENSG00000210117,MT-TW,{'TRNW'},7501,
26,ENSG00000210127,MT-TA,{'MTTA'},7475,
27,ENSG00000210127,MT-TA,{'TRNA'},7475,
28,ENSG00000210135,MT-TN,{'MTTN'},7493,
29,ENSG00000210135,MT-TN,{'TRNN'},7493,
30,ENSG00000210140,MT-TC,{'MTTC'},7477,
31,ENSG00000210140,MT-TC,{'TRNC'},7477,
32,ENSG00000210144,MT-TY,{'MTTY'},7502,
33,ENSG00000210144,MT-TY,{'TRNY'},7502,
34,ENSG00000198804,MT-CO1,{'COI'},7419,4512
35,ENSG00000198804,MT-CO1,{'COX1'},7419,4512
36,ENSG00000198804,MT-CO1,{'MTCO1'},7419,4512
37,ENSG00000210151,MT-TS1,{'MTTS1'},7497,113219467
38,ENSG00000210151,MT-TS1,{'TRNS1'},7497,113219467
39,ENSG00000210154,MT-TD,{'MTTD'},7478,
40,ENSG00000210154,MT-TD,{'TRND'},7478,
41,ENSG00000198712,MT-CO2,{'CO2'},7421,4513
42,ENSG00000198712,MT-CO2,{'COX2'},7421,4513
43,ENSG00000198712,MT-CO2,{'MTCO2'},7421,4513
44,ENSG00000210156,MT-TK,{'MERRF'},7489,
45,ENSG00000210156,MT-TK,{'MTTK'},7489,
46,ENSG00000210156,MT-TK,{'TRNK'},7489,
47,ENSG00000228253,MT-ATP8,{'A6L'},7415,4509
48,ENSG00000228253,MT-ATP8,{'ATP8'},7415,4509
49,ENSG00000228253,MT-ATP8,{'MTATP8'},7415,4509
50,ENSG00000228253,MT-ATP8,{'URFA6L'},7415,4509
51,ENSG00000198899,MT-ATP6,{'ATP6'},7414,4508
52,ENSG00000198899,MT-ATP6,{'ATPASE-6'},7414,4508
53,ENSG00000198899,MT-ATP6,{'MTATP6'},7414,4508
54,ENSG00000198899,MT-ATP6,{'RP'},7414,4508
55,ENSG00000198899,MT-ATP6,{'SU6M'},7414,4508
56,ENSG00000198938,MT-CO3,{'CO3'},7422,4514
57,ENSG00000198938,MT-CO3,{'COIII'},7422,4514
58,ENSG00000198938,MT-CO3,{'COX3'},7422,4514
59,ENSG00000198938,MT-CO3,{'MTCO3'},7422,4514
60,ENSG00000210164,MT-TG,{'MTTG'},7486,
61,ENSG00000210164,MT-TG,{'TRNG'},7486,
62,ENSG00000198840,MT-ND3,{'MTND3'},7458,4537
63,ENSG00000198840,MT-ND3,{'NAD3'},7458,4537
64,ENSG00000198840,MT-ND3,{'ND3'},7458,4537
65,ENSG00000210174,MT-TR,{'MTTR'},7496,
66,ENSG00000210174,MT-TR,{'TRNR'},7496,
67,ENSG00000212907,MT-ND4L,{'MTND4L'},7460,4539
68,ENSG00000212907,MT-ND4L,{'NAD4L'},7460,4539
69,ENSG00000212907,MT-ND4L,{'ND4L'},7460,4539
70,ENSG00000198886,MT-ND4,{'LHON'},7459,4538
71,ENSG00000198886,MT-ND4,{'MTND4'},7459,4538
72,ENSG00000198886,MT-ND4,{'NAD4'},7459,4538
73,ENSG00000198886,MT-ND4,{'ND4'},7459,4538
74,ENSG00000210176,MT-TH,{'MTTH'},7487,
75,ENSG00000210176,MT-TH,{'TRNH'},7487,
76,ENSG00000210184,MT-TS2,{'MTTS2'},7498,
77,ENSG00000210184,MT-TS2,{'RP8'},7498,
78,ENSG00000210184,MT-TS2,{'TRNS2'},7498,
