,HGNC_ID,alias_symbol,NCBI_ID,ENSG_ID,gene_symbol
1,37133,{'FLJ23569'},503538,ENSG00000268895,A1BG-AS1
2,24086,{'ACF'},29974,ENSG00000148584,A1CF
3,24086,{'ASP'},29974,ENSG00000148584,A1CF
4,24086,{'ACF64'},29974,ENSG00000148584,A1CF
5,24086,{'ACF65'},29974,ENSG00000148584,A1CF
6,24086,{'APOBEC1CF'},29974,ENSG00000148584,A1CF
7,7,{'FWP007'},2,ENSG00000175899,A2M
8,7,{'S863-7'},2,ENSG00000175899,A2M
9,7,{'CPAMD5'},2,ENSG00000175899,A2M
11,23336,{'FLJ25179'},144568,ENSG00000166535,A2ML1
12,23336,{'p170'},144568,ENSG00000166535,A2ML1
16,30005,{'IGBS3S'},127550,ENSG00000184389,A3GALT2
17,30005,{'IGB3S'},127550,ENSG00000184389,A3GALT2
18,18149,{'A14GALT'},53947,ENSG00000128274,A4GALT
19,18149,{'Gb3S'},53947,ENSG00000128274,A4GALT
20,18149,{'P(k)'},53947,ENSG00000128274,A4GALT
21,17968,{'alpha4GnT'},51146,ENSG00000118017,A4GNT
28,21298,{'FLJ12389'},65985,ENSG00000081760,AACS
29,21298,{'SUR-5'},65985,ENSG00000081760,AACS
30,21298,{'ACSF1'},65985,ENSG00000081760,AACS
32,17,{'DAC'},13,ENSG00000114771,AADAC
33,17,{'CES5A1'},13,ENSG00000114771,AADAC
34,24427,{'MGC72001'},344752,ENSG00000197953,AADACL2
36,32037,{'OTTHUMG00000001887'},126767,ENSG00000188984,AADACL3
37,32038,{'OTTHUMG00000001889'},343066,ENSG00000204518,AADACL4
39,17929,{'KATII'},51166,ENSG00000109576,AADAT
40,17929,{'KAT2'},51166,ENSG00000109576,AADAT
41,17929,{'KYAT2'},51166,ENSG00000109576,AADAT
42,25662,{'FLJ11506'},79719,ENSG00000103591,AAGAB
43,25662,{'p34'},79719,ENSG00000103591,AAGAB
44,19679,{'KIAA1048'},22848,ENSG00000115977,AAK1
45,19679,{'DKFZp686K16132'},22848,ENSG00000115977,AAK1
46,30205,{'PTD015'},28971,ENSG00000087884,AAMDC
47,30205,{'FLJ21035'},28971,ENSG00000087884,AAMDC
48,30205,{'CK067'},28971,ENSG00000087884,AAMDC
50,19,{'SNAT'},15,ENSG00000129673,AANAT
51,15886,{'bA234K24.2'},25980,ENSG00000131043,AAR2
52,33842,{'LOC441376'},441376,ENSG00000205002,AARD
53,20,{'CMT2N'},16,ENSG00000090861,AARS1
54,20,{'AlaRS'},16,ENSG00000090861,AARS1
56,21022,{'KIAA1270'},57505,ENSG00000124608,AARS2
57,21022,{'bA444E17.1'},57505,ENSG00000124608,AARS2
58,28417,{'MGC2744'},80755,ENSG00000266967,AARSD1
59,28417,{'AlaXp'},80755,ENSG00000266967,AARSD1
61,23993,{'NRPS998'},132949,ENSG00000157426,AASDH
62,23993,{'LYS2'},132949,ENSG00000157426,AASDH
63,23993,{'ACSF4'},132949,ENSG00000157426,AASDH
64,14235,{'LYS5'},60496,ENSG00000149313,AASDHPPT
65,14235,{'CGI-80'},60496,ENSG00000149313,AASDHPPT
66,14235,{'AASD-PPT'},60496,ENSG00000149313,AASDHPPT
67,14235,{'ACPS'},60496,ENSG00000149313,AASDHPPT
68,17366,{'LORSDH'},10157,ENSG00000008311,AASS
69,17366,{'LKRSDH'},10157,ENSG00000008311,AASS
70,17366,{'LKR/SDH'},10157,ENSG00000008311,AASS
72,19235,{'DED'},26574,ENSG00000275700,AATF
73,19235,{'CHE-1'},26574,ENSG00000275700,AATF
74,19235,{'CHE1'},26574,ENSG00000275700,AATF
75,19235,{'BFR2'},26574,ENSG00000275700,AATF
76,21,{'AATYK'},9625,ENSG00000181409,AATK
77,21,{'KIAA0641'},9625,ENSG00000181409,AATK
78,21,{'LMTK1'},9625,ENSG00000181409,AATK
79,21,{'LMR1'},9625,ENSG00000181409,AATK
80,21,{'AATYK1'},9625,ENSG00000181409,AATK
81,21,{'PPP1R77'},9625,ENSG00000181409,AATK
82,22,{'AAV'},17,,AAVS1
83,49667,{'INXS'},103021294,ENSG00000281376,ABALON
84,23,{'GABAT'},18,ENSG00000183044,ABAT
85,23,{'GABA-T'},18,ENSG00000183044,ABAT
86,29,{'TGD'},19,ENSG00000165029,ABCA1
88,33,{'ABC-C'},21,ENSG00000167972,ABCA3
89,33,{'EST111653'},21,ENSG00000167972,ABCA3
90,33,{'LBM180'},21,ENSG00000167972,ABCA3
92,34,{'FFM'},24,ENSG00000198691,ABCA4
93,34,{'ARMD2'},24,ENSG00000198691,ABCA4
94,34,{'CORD3'},24,ENSG00000198691,ABCA4
95,35,{'EST90625'},23461,ENSG00000154265,ABCA5
96,36,{'EST155051'},23460,ENSG00000154262,ABCA6
97,37,{'ABCX'},10347,ENSG00000064687,ABCA7
98,38,{'KIAA0822'},10351,ENSG00000141338,ABCA8
99,39,{'EST640918'},10350,ENSG00000154258,ABCA9
101,30,{'EST698739'},10349,ENSG00000154263,ABCA10
102,31,{'EST1133530'},79963,ENSG00000251595,ABCA11P
103,31,{'FLJ14297'},79963,ENSG00000251595,ABCA11P
104,14637,{'DKFZP434G232'},26154,ENSG00000144452,ABCA12
105,14637,{'LI2'},26154,ENSG00000144452,ABCA12
106,14638,{'FLJ33876'},154664,ENSG00000179869,ABCA13
107,14638,{'FLJ33951'},154664,ENSG00000179869,ABCA13
108,34405,{'FLJ41766'},400508,ENSG00000189149,ABCA15P
110,40,{'P-gp'},5243,ENSG00000085563,ABCB1
111,40,{'CD243'},5243,ENSG00000085563,ABCB1
112,40,{'GP170'},5243,ENSG00000085563,ABCB1
113,40,{'ABC20'},5243,ENSG00000085563,ABCB1
114,40,{'p-170'},5243,ENSG00000085563,ABCB1
115,40,{'PGY1'},5243,ENSG00000085563,ABCB1
116,45,{'MDR2'},5244,ENSG00000005471,ABCB4
117,45,{'PFIC-3'},5244,ENSG00000005471,ABCB4
118,45,{'GBD1'},5244,ENSG00000005471,ABCB4
119,46,{'EST422562'},340273,ENSG00000004846,ABCB5
120,46,{'ABCB5beta'},340273,ENSG00000004846,ABCB5
