name	nomenclature	concept_id	gene_claim_name	source_db_name	source_db_version
MN1	Gene Symbol	hgnc:7180	MN1	CarisMolecularIntelligence	5-Jun-23
P2RX7	Gene Symbol	hgnc:8537	P2RX7	ChEMBL	32
CHRNA7	Gene Symbol	hgnc:1960	CHRNA7	ChEMBL	32
MAPK8	Gene Symbol	hgnc:6881	MAPK8	ChEMBL	32
MAPK10	Gene Symbol	hgnc:6872	MAPK10	ChEMBL	32
MAPKAPK5	Gene Symbol	hgnc:6889	MAPKAPK5	ChEMBL	32
TGFBR1	Gene Symbol	hgnc:11772	TGFBR1	ChEMBL	32
CHRM5	Gene Symbol	hgnc:1954	CHRM5	ChEMBL	32
HTR6	Gene Symbol	hgnc:5301	HTR6	ChEMBL	32
HTR3B	Gene Symbol	hgnc:5298	HTR3B	ChEMBL	32
HTR3C	Gene Symbol	hgnc:24003	HTR3C	ChEMBL	32
CCR2	Gene Symbol	hgnc:1603	CCR2	ChEMBL	32
CXCR1	Gene Symbol	hgnc:6026	CXCR1	ChEMBL	32
OPRL1	Gene Symbol	hgnc:8155	OPRL1	ChEMBL	32
HTR7	Gene Symbol	hgnc:5302	HTR7	ChEMBL	32
NPY5R	Gene Symbol	hgnc:7958	NPY5R	ChEMBL	32
MC4R	Gene Symbol	hgnc:6932	MC4R	ChEMBL	32
MAS1	Gene Symbol	hgnc:6899	MAS1	ChEMBL	32
NPY4R	Gene Symbol	hgnc:9329	NPY4R	ChEMBL	32
PTGDR	Gene Symbol	hgnc:9591	PTGDR	ChEMBL	32
MAP3K10	Gene Symbol	hgnc:6849	MAP3K10	ChEMBL	32
MAP3K9	Gene Symbol	hgnc:6861	MAP3K9	ChEMBL	32
TBXA2R	Gene Symbol	hgnc:11608	TBXA2R	ChEMBL	32
NTSR1	Gene Symbol	hgnc:8039	NTSR1	ChEMBL	32
IL17RA	Gene Symbol	hgnc:5985	IL17RA	ChEMBL	32
HSP90	Gene Symbol	hgnc:5253	HSP90AA1	ChEMBL	32
FOLR1	Gene Symbol	hgnc:3791	FOLR1	ChEMBL	32
MAPK9	Gene Symbol	hgnc:6886	MAPK9	ChEMBL	32
CSNK2A1	Gene Symbol	hgnc:2457	CSNK2A1	ChEMBL	32
MAP3K1	Gene Symbol	hgnc:6848	MAP3K1	ChEMBL	32
PTK2B	Gene Symbol	hgnc:9612	PTK2B	ChEMBL	32
HTR3E	Gene Symbol	hgnc:24005	HTR3E	ChEMBL	32
CALCRL	Gene Symbol	hgnc:16709	CALCRL	ChEMBL	32
CCR1	Gene Symbol	hgnc:1602	CCR1	ChEMBL	32
GHSR	Gene Symbol	hgnc:4267	GHSR	ChEMBL	32
PTAFR	Gene Symbol	hgnc:9582	PTAFR	ChEMBL	32
LTB4R	Gene Symbol	hgnc:6713	LTB4R	ChEMBL	32
MC1R	Gene Symbol	hgnc:6929	MC1R	ChEMBL	32
P2RX3	Gene Symbol	hgnc:8534	P2RX3	ChEMBL	32
CHRNA5	Gene Symbol	hgnc:1959	CHRNA5	ChEMBL	32
CD40LG	Gene Symbol	hgnc:11935	CD40LG	ChEMBL	32
TRPV3	Gene Symbol	hgnc:18084	TRPV3	ChEMBL	32
MAP3K11	Gene Symbol	hgnc:6850	MAP3K11	ChEMBL	32
MAP3K13	Gene Symbol	hgnc:6852	MAP3K13	ChEMBL	32
MAP3K12	Gene Symbol	hgnc:6851	MAP3K12	ChEMBL	32
RXFP2	Gene Symbol	hgnc:17318	RXFP2	ChEMBL	32
MUC16	Gene Symbol	hgnc:15582	MUC16	ChEMBL	32
NGF	Gene Symbol	hgnc:7808	NGF	ChEMBL	32
VEGFD	Gene Symbol	hgnc:3708	VEGFD	GO	5-Jun-23
NSD1	Gene Symbol	hgnc:14234	NSD1	CarisMolecularIntelligence	5-Jun-23
PAFAH1B2	Gene Symbol	hgnc:8575	PAFAH1B2	CarisMolecularIntelligence	5-Jun-23
NUMBL	Gene Symbol	hgnc:8061	NUMBL	CarisMolecularIntelligence	5-Jun-23
MYCN	Gene Symbol	hgnc:7559	MYCN	CarisMolecularIntelligence	5-Jun-23
NFKBIA	Gene Symbol	hgnc:7797	NFKBIA	CarisMolecularIntelligence	5-Jun-23
NUP214	Gene Symbol	hgnc:8064	NUP214	CarisMolecularIntelligence	5-Jun-23
MUTYH	Gene Symbol	hgnc:7527	MUTYH	CarisMolecularIntelligence	5-Jun-23
NACA	Gene Symbol	hgnc:7629	NACA	CarisMolecularIntelligence	5-Jun-23
MNX1	Gene Symbol	hgnc:4979	MNX1	CarisMolecularIntelligence	5-Jun-23
