HGNC_ID,ENSG_ID,NCBI_ID,captured_status,captured_category_list,primary_gene_symbol,gene_symbol,alternate_abbreviation_status_w_no_context
HGNC:12406,ENSG00000166402,GENE ID:7275,FALSE,,TUB,rd5,FALSE
HGNC:6631,ENSG00000074695,GENE ID:3998,FALSE,,LMAN1,GP58,FALSE
HGNC:9911,ENSG00000216835,GENE ID:3186,FALSE,,RBMXP1,HNRNP-G,FALSE
HGNC:3795,ENSG00000110203,GENE ID:2352,FALSE,,FOLR3,FRgamma,TRUE
HGNC:13919,"ENSG00000234651, ENSG00000096155, ENSG00000233348, ENSG00000204463, ENSG00000228760, ENSG00000229524, ENSG00000227761",GENE ID:7917,FALSE,,BAG6,SCYTHE,FALSE
HGNC:32629,ENSG00000222370,GENE ID:677818,FALSE,,SNORA36B,ACA36b,TRUE
HGNC:74,ENSG00000118777,GENE ID:9429,TRUE,Prefix Gene Group Symbol,ABCG2,CD338,FALSE
HGNC:6445,ENSG00000135480,GENE ID:3855,TRUE,Withdrawn MGI Symbol,KRT7,SCL,FALSE
HGNC:2372,ENSG00000112282,GENE ID:9439,TRUE,Ortholog Symbol,MED23,SUR-2,FALSE
HGNC:80,ENSG00000002726,GENE ID:26,TRUE,"Previous Symbol, Withdrawn MGI Symbol",AOC1,ABP1,FALSE
HGNC:7067,ENSG00000179583,GENE ID:4261,TRUE,Prefix Gene Group Symbol,CIITA,NLRA,FALSE
HGNC:5,ENSG00000121410,GENE ID:1,FALSE,,A1BG,GAB,FALSE
HGNC:5,ENSG00000121410,GENE ID:1,FALSE,,A1BG,A1B,TRUE
HGNC:5,ENSG00000121410,GENE ID:1,FALSE,,A1BG,ABG,TRUE
HGNC:24086,ENSG00000148584,GENE ID:29974,FALSE,,A1CF,ACF,TRUE
HGNC:24086,ENSG00000148584,GENE ID:29974,FALSE,,A1CF,ACF64,TRUE
HGNC:24086,ENSG00000148584,GENE ID:29974,TRUE,Withdrawn MGI Symbol,A1CF,ASP,FALSE
HGNC:30005,ENSG00000184389,GENE ID:127550,FALSE,,A3GALT2,IGB3S,FALSE
HGNC:18149,ENSG00000128274,GENE ID:53947,FALSE,,A4GALT,A4GALT1,FALSE
HGNC:18149,ENSG00000128274,GENE ID:53947,FALSE,,A4GALT,GB3S,FALSE
HGNC:17968,ENSG00000118017,GENE ID:51146,FALSE,,A4GNT,ALPHA4GNT,TRUE
HGNC:19,ENSG00000129673,GENE ID:15,FALSE,,AANAT,SNAT,FALSE
HGNC:20569,ENSG00000163660,GENE ID:57018,FALSE,,CCNL1,ANIA6A,FALSE
HGNC:15208,ENSG00000175800,GENE ID:387747,FALSE,,OR52B3P,PJCG7,FALSE
HGNC:29145,ENSG00000132680,GENE ID:22889,FALSE,,KHDC4,SNORA80EHG,FALSE
HGNC:23365,ENSG00000231293,set(),FALSE,,RPL36AP6,BA380I20.1,FALSE
HGNC:13348,ENSG00000167656,GENE ID:8581,FALSE,,LY6D,Ly-6D,TRUE
HGNC:12182,"ENSG00000282242, ENSG00000276597",GENE ID:28580,FALSE,,TRBV11-3,TCRBV11S3,TRUE
HGNC:16120,ENSG00000229230,set(),FALSE,,MT1P3,DJ614O4.6,FALSE
HGNC:25926,ENSG00000102802,GENE ID:84935,FALSE,,MEDAG,AWMS3,FALSE
