name,nomenclature,source_db_name,normalized_gene_id,aliases
PPM1N,Gene Symbol,HGNC,hgnc:26845,"ccds:CCDS46115|ena.embl:AK097444|ensembl:ENSG00000213889|FLJ40125|hgnc:26845|ncbigene:147699|protein phosphatase, Mg2+/Mn2+ dependent 1N (putative)|refseq:NM_001080401|ucsc:uc002pce.4|uniprot:Q8N819|vega:OTTHUMG00000140397"
IUPHAR.RECEPTOR:2158,GuideToPharmacology ID,GuideToPharmacology,hgnc:8986,"HGNC:8986|PIM-1 PROTO-ONCOGENE, SERINE/THREONINE KINASE|PIM1|REFSEQ:NM_001243186|REFSEQ:NP_002639|UNIPROT:P11309"
POLR3B,Gene Symbol,Ensembl,hgnc:30348,ensembl:ENSG00000013503|hgnc:30348|RNA polymerase III subunit B
WRN,Gene Symbol,Pharos,hgnc:12791,UNIPROT:Q14191|WERNER SYNDROME ATP-DEPENDENT HELICASE
ERAP1,Gene Symbol,HGNC,hgnc:18173,A-LAP|ARTS-1|ccds:CCDS4085|ccds:CCDS47250|ena.embl:AB011097|endoplasmic reticulum aminopeptidase 1|ensembl:ENSG00000164307|ERAAP1|hgnc:18173|KIAA0525|merops:M01.018|ncbigene:51752|omim:606832|orphanet:449094|PILS-AP|pubmed:10220586|pubmed:12189246|pubmed:16286653|refseq:NM_016442|ucsc:uc003kml.4|uniprot:Q9NZ08|vega:OTTHUMG00000128721
DEPTOR,Gene Symbol,Pharos,hgnc:22953,DEP DOMAIN-CONTAINING MTOR-INTERACTING PROTEIN|UNIPROT:Q8TB45
STRA6,Gene Symbol,NCBI,hgnc:30650,ensembl:ENSG00000137868|hgnc:30650|MCOPCB8|MCOPS9|ncbigene:64220|omim:610745|PP14296|signaling receptor and transporter of retinol STRA6|SLC69A1
ENSEMBL:ENSG00000130957,Ensembl Gene ID,RussLampel,hgnc:3607,"FBP2|FRUCTOSE-1,6-BISPHOSPHATASE ISOZYME 2 (EC 3.1.3.11) (D-FRUCTOSE-1,6- BISPHOSPHATE 1-PHOSPHOHYDROLASE) (FBPASE)"
CD79A,Gene Symbol,Pharos,hgnc:1698,B-CELL ANTIGEN RECEPTOR COMPLEX-ASSOCIATED PROTEIN ALPHA CHAIN|UNIPROT:P11912
CTRC,Gene Symbol,HGNC,hgnc:2523,3.4.21.2|ccds:CCDS156|chymotrypsin C|CLCR|ELA4|ena.embl:BC015118|ensembl:ENSG00000162438|hgnc:2523|merops:S01.157|ncbigene:11330|omim:601405|orphanet:139109|pubmed:1805926|pubmed:8635596|refseq:NM_007272|ucsc:uc001awi.2|uniprot:Q99895|vega:OTTHUMG00000002255
ENPP3,Gene Name,HingoraniCasas,hgnc:3358,ENPP3|ENSEMBL:ENSG00000154269
KCNS3,Gene Symbol,HGNC,hgnc:6302,ccds:CCDS1692|ena.embl:AF043472|ensembl:ENSG00000170745|hgnc:6302|Kv9.3|ncbigene:3790|omim:603888|potassium voltage-gated channel modifier subfamily S member 3|pubmed:10484328|pubmed:16382104|refseq:NM_002252|ucsc:uc002rcv.4|uniprot:Q9BQ31|vega:OTTHUMG00000044150
GSR,Gene Symbol,GO,hgnc:4623,"GLUR|GLUTATHIONE REDUCTASE, MITOCHONDRIAL|GRD1"
RASGRF2,Gene Symbol,NCBI,hgnc:9876,ensembl:ENSG00000113319|GRF2|hgnc:9876|LOC89993|ncbigene:5924|omim:606614|Ras protein specific guanine nucleotide releasing factor 2|RAS-GRF2
CCL4,Gene Name,HingoraniCasas,hgnc:10630,CCL4|ENSEMBL:ENSG00000129277
UNIPROT:P30531,UniProtKB ID,TdgClinicalTrial,hgnc:11042,SLC6A1
IUPHAR.RECEPTOR:1868,GuideToPharmacology ID,GuideToPharmacology,hgnc:9683,HGNC:9683|PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE U|PTPRU|RTP TYPE U|UNIPROT:Q92729
UNIPROT:Q8NGQ5,UniProtKB ID,HopkinsGroom,hgnc:14724,ENSEMBL:ENSG00000186509|NCBIGENE:219956|OLFACTORY RECEPTOR 9Q1|OR9Q1|OR9Q1_HUMAN
UNIPROT:Q8TCG2,UniProtKB ID,HopkinsGroom,hgnc:18215,ENSEMBL:ENSG00000038210|NCBIGENE:55300|P4K2B_HUMAN|PHOSPHATIDYLINOSITOL 4-KINASE TYPE 2-BETA|PI4K2B
DCAF7,Gene Symbol,HGNC,hgnc:30915,ccds:CCDS74127|DDB1 and CUL4 associated factor 7|ena.embl:U94747|ensembl:ENSG00000136485|HAN11|hgnc:30915|ncbigene:10238|omim:605973|pubmed:16949367|pubmed:20940704|pubmed:9192870|refseq:NM_005828|SWAN-1|ucsc:uc021ubm.4|uniprot:P61962|vega:OTTHUMG00000178902|WDR68
NAPSB,Gene Symbol,Ensembl,hgnc:13396,ensembl:ENSG00000131401|ensembl:ENSG00000291230|hgnc:13396|napsin B aspartic peptidase (pseudogene)|ncbigene:256236
RGS21,Gene Symbol,Ensembl,hgnc:26839,ensembl:ENSG00000253148|hgnc:26839|regulator of G protein signaling 21
SP140,Gene Symbol,HGNC,hgnc:17133,ccds:CCDS33392|ccds:CCDS42831|ccds:CCDS63149|ccds:CCDS63150|ccds:CCDS63151|ena.embl:U63420|ensembl:ENSG00000079263|hgnc:17133|LYSP100-A|LYSP100-B|ncbigene:11262|omim:608602|pubmed:12368356|pubmed:8695863|pubmed:8910577|refseq:NM_007237|SP140 nuclear body protein|ucsc:uc002vql.4|uniprot:Q13342|vega:OTTHUMG00000153670
DEFA1,Gene Name,HingoraniCasas,hgnc:2761,DEFA1|ENSEMBL:ENSG00000206047
IUPHAR.RECEPTOR:682,GuideToPharmacology ID,GuideToPharmacology,hgnc:9584,<I>TAS2R38</I>|HGNC:9584|REFSEQ:NM_176817|TAS2R38|TASTE 2 RECEPTOR MEMBER 38|UNIPROT:P59533
ACSS1,Gene Symbol,NCBI,hgnc:16091,ACAS2L|ACECS1|AceCS2L|acyl-CoA synthetase short chain family member 1|ensembl:ENSG00000154930|hgnc:16091|LOC57032|LOC89850|ncbigene:84532|omim:614355
CRHR2,Gene Name,HingoraniCasas,hgnc:2358,CRHR2|ENSEMBL:ENSG00000106113
OR13C5,Gene Symbol,GO,hgnc:15100,OLFACTORY RECEPTOR 13C5
HTT,Gene Symbol,GO,hgnc:4851,HD|HUNTINGTIN|IT15
PCAH,Gene Name,DrugBank,,GENBANK:294344|L14836|PCXB_PSEPU|UNIPROT:P00437
CALGRANULIN D,Gene Name,TTD,hgnc:10489,S100A12|TTD.TARGET:T07247
ERBB2,Gene Symbol,Ensembl,hgnc:3430,ensembl:ENSG00000141736|erb-b2 receptor tyrosine kinase 2|hgnc:3430
IGLC1,Gene Symbol,HGNC,hgnc:5855,ena.embl:J00252|ensembl:ENSG00000211675|hgnc:5855|IGLC|imgt:IGLC1|immunoglobulin lambda constant 1|ncbigene:3537|omim:147220|refseq:NG_000002|ucsc:uc062cdy.1|uniprot:P0CG04|vega:OTTHUMG00000151218
MGAM2,Gene Symbol,NCBI,hgnc:28101,ensembl:ENSG00000257743|hgnc:28101|LOC100124692|LOC100421263|LOC641864|LOC642112|LOC642684|maltase-glucoamylase 2 (putative)|ncbigene:93432
BSG,Gene Symbol,NCBI,hgnc:1116,5F7|basigin (Ok blood group)|CD147|EMMPRIN|EMPRIN|ensembl:ENSG00000172270|HAb18G|hgnc:1116|ncbigene:682|OK|omim:109480|TCSF
