"id","abbreviation","name","external_note","pubmed_ids","desc_comment","desc_label","desc_source","desc_go","typical_gene"
"3","FSCN","Fascin family","","21618240","NULL","NULL","NULL","NULL","FSCN1"
"4","ABHD","Abhydrolase domain containing","","23328280","NULL","NULL","NULL","NULL","ABHD1"
"6","ZYG11","ZYG11 cell cycle regulator family","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"8","ZP","Zona pellucida glycoproteins","","15760956","There are four major zona pellucida glycoproteins, termed ZP1-4. ZP1, ZP3 and ZP4 bind to capacitated spermatozoa and induce the acrosome reaction. Successful fertilization depends on the ability of sperm to penetrate the extracellular matrix that surrounds the egg.","Zona pellucida glycoproteins","Wikipedia|https://en.wikipedia.org/wiki/Zona pellucida","NULL","ZP1"
"10","VNN","Vanin family","","22155241","NULL","NULL","NULL","NULL","VNN1"
"12","VAMP","Vesicle associated membrane proteins","","","Vesicle associated membrane proteins (VAMP) are a family of SNARE proteins with similar structure, and are mostly involved in vesicle fusion.","Vesicle-associated membrane protein","Wikipedia|https://en.wikipedia.org/wiki/Vesicle-associated membrane protein","NULL","VAMP1"
"14","","Wiskott-Aldrich Syndrome protein family","","18159949,22316129","NULL","NULL","NULL","NULL","NULL"
"16","","Cadherins","","28268172","Cadherins are calcium-dependent transmembrane proteins that generally mediate cell-cell adhesion or cell-cell recognition and are characterized by the presence of at least two consecutive extracellular cadherin-specific motifs, called cadherin repeats, with conserved calcium-binding amino acid residues.","Cadherins","Roy & Hulpiau, Feb 2010","NULL","NULL"
"18","CDH","Major cadherins","CDH13 and CDH26 are shown alone together as major cadherins since these two genes cannot be grouped into any of the characterised major cadherin subfamilies.","28268172","All members of the major cadherin (CDH) gene family encode proteins with an ectodomain comprising at least five consecutive cadherin repeats showing high sequence conservation within the family. The family includes the 'classical' type I and type II cadherin genes, encoding proteins with a single transmembrane domain and a cytoplasmic domain containing two conserved motifs for binding to members of the armadillo protein family. Further, the family includes type-III, type-IV and desmosomal cadherins, often encoding longer ectodomains with additional motifs, a single transmembrane domain and a cytoplasmic domain containing at least one conserved motif for armadillo protein binding. Finally, the family includes Flamingo/CELSR genes encoding proteins, which typically have a longer ectodomain, a seven-pass membrane domain and an unrelated cytoplasmic domain compared to other cadherins. These subfamilies are phylogenetically grouped together in one major cadherin branch.","Major cadherins","Roy & Hulpiau, Feb 2010","NULL","CDH1"
"19","PCDH","Protocadherins","","28268172","The protocadherin (PCDH) gene family encodes proteins with an ectodomain comprising six or seven cadherin repeats with high sequence conservation within the family and weaker homology to the cadherin repeats of members of the major cadherin family. Further, protocadherins have a single transmembrane domain and a distinct, protocadherin-specific, cytoplasmic domain. Protocadherins can be further subdivided into clustered and non-clustered protocadherins on the basis of particular genomic organizations.","Protocadherins","Roy & Hulpiau, Feb 2010","NULL","NULL"
"20","","Clustered protocadherins","The human clustered protocadherins alpha, beta and gamma are located together on chromosome 5. Each gene locus (PCDHA@, PCDHB@ and PCDHG@) is comprised of tandem segments that have been assigned individual symbols and names in response to community request and usage. The PCDHA@ and PCDHG@ loci contain multiple variable exons named PCDHA1-14, and PCDHGA1-12 and PCDHGB1-9P, plus two (PCDHAC1,2) or three (PCDHGC3,4,5) variable exons that are expressed deterministically. Each variable exon is spliced to a 3' splice site located immediately upstream from three constant exons which are named as PCDHACT and PCDHGCT respectively. The PCDHB@ locus only comprises variable exons named PCDHB1-19P (adapted from PMID 32679536).","11230163,23900538,28268172,32679536","NULL","NULL","NULL","NULL","PCDHA1"
"21","","Non-clustered protocadherins","","28268172","NULL","NULL","NULL","NULL","PCDH1"
"24","CDHR","Cadherin related","","28268172","The cadherin-related (CDHR) genes do not fit into the major cadherin or protocadherin families as they are phylogenetically clearly separated. The encoded proteins comprise at least two typical, consecutive cadherin motifs, but often more than the typical members of the cadherin and protocadherin families. Their overall domain organization differs from the members of the major cadherin family and the protocadherin family, and includes different and unique cytoplasmic domains.","Cadherin-related family","Roy & Hulpiau, Feb 2010","NULL","NULL"
"26","","Zinc fingers","The genes displayed in the gene table that is open by default on this page shows the zinc finger-encoding genes that are not grouped into further subsets. You can view all genes in the subsets on this page by clicking on the plus sign next to the text 'Genes contained within subsets', or you can navigate through to the individual gene family page for each subset.","12527760","A zinc finger is a small protein structural motif that is characterized by the coordination of one or more zinc ions in order to stabilize the fold. Originally coined to describe the finger-like appearance of a hypothesized structure from Xenopus laevis transcription factor IIIA, the zinc finger name has now come to encompass a wide variety of differing protein structures.   Proteins that contain zinc fingers ( zinc finger proteins ) are classified into several different structural families. Unlike many other clearly defined supersecondary structures such as Greek keys or beta hairpins, there are a number of unique types of zinc fingers, each with a unique three-dimensional architecture. A particular zinc finger protein's class is determined by this three-dimensional structure, but it can also be recognized based on the primary structure of the protein or the identity of the ligands coordinating the zinc ion. In spite of the large variety of these proteins, however, the vast majority typically function as interaction modules that bind DNA, RNA, proteins, or other small, useful molecules, and variations in structure serve primarily to alter the binding specificity of a particular protein.  Since their original discovery and the elucidation of their structure, these interaction modules have proven ubiquitous in the biological world. In addition, zinc fingers have become extremely useful in various therapeutic and research capacities. Engineering zinc fingers to have an affinity for a specific sequence is an area of active research, and zinc finger nucleases and zinc finger transcription factors are two of the most important applications of this to be realized to date.","Zinc finger","Wikipedia|https://en.wikipedia.org/wiki/Zinc finger","NULL","NULL"
"27","ANP32","ANP32 acidic nuclear phosphoproteins","","25156960","NULL","NULL","NULL","NULL","ANP32A"
"28","ZNF","Zinc fingers C2H2-type","","16606702","The Cys2His2-like fold group is by far the best-characterized class of zinc fingers and are extremely common in mammalian transcription factors. These domains adopt a simple ββα fold and have the amino acid Sequence motif:  X2-Cys-X2,4-Cys-X12-His-X3,4,5-His","C2H2-type","Wikipedia|https://en.wikipedia.org/wiki/Zinc finger","NULL","ZNF70"
"39","ARPC","Actin related protein 2/3 complex subunits","","9230079","NULL","NULL","NULL","NULL","NULL"
"40","ACS","Acyl-CoA synthetase family","","NULL","NULL","NULL","NULL","NULL","AACS"
"41","ACOT","Acyl-CoA thioesterases","","16103133","NULL","NULL","NULL","NULL","NULL"
"42","","SCAN domain containing","","21865395","NULL","NULL","NULL","NULL","ZSCAN1"
"46","AGPAT","1-acylglycerol-3-phosphate O-acyltransferases","","","NULL","NULL","NULL","NULL","NULL"
"47","ADAM","ADAM metallopeptidase domain containing","","14519395","NULL","NULL","NULL","NULL","ADAM2"
"50","ADAMTS","ADAM metallopeptidases with thrombospondin type 1 motif","","25770910","NULL","NULL","NULL","NULL","ADAMTS1"
"53","ADCY","Adenylate cyclases","","NULL","The adenylate cyclases break ATP down into 3',5'-cyclic AMP and diphosphate.","Adenylate cyclases","HGNC","NULL","ADCY1"
"56","IZUMO","IZUMO family","NULL","NULL","NULL","NULL","NULL","NULL","IZUMO1"
"58","RNF","Ring finger proteins","","","In molecular biology, a RING (Really Interesting New Gene) finger domain is a protein structural domain of zinc finger type which contains a Cys 3 HisCys 4 amino acid motif which binds two zinc cations. This protein domain contains from 40 to 60 amino acids. Many proteins containing a RING finger play a key role in the ubiquitination pathway.","RING finger domain","Wikipedia|https://en.wikipedia.org/wiki/RING finger domain","NULL","RNF11"
"59","TRIM","Tripartite motif family","","11331580,28118948","NULL","NULL","NULL","NULL","TRIM10"
"60","MARCHF","Membrane associated ring-CH-type fingers","","31404274","NULL","NULL","NULL","NULL","MARCH1"
"61","PCGF","Polycomb group ring fingers","","NULL","Polycomb-group proteins are a family of proteins first discovered in fruit flies that can remodel chromatin such that epigenetic silencing of genes takes place. Polycomb-group proteins are well known for silencing Hox genes through modulation of chromatin structure during embryonic development in fruit flies ( Drosophila melanogaster ).","Polycomb-group proteins","Wikipedia|https://en.wikipedia.org/wiki/Polycomb-group proteins","NULL","PCGF1"
"63","ZFAND","Zinc fingers AN1-type","","NULL","In molecular biology, the AN1-type zinc finger domain, which has a dimetal (zinc)-bound alpha/beta fold. This domain was first identified as a zinc finger at the C terminus of AN1, a ubiquitin-like protein in Xenopus laevis. The AN1-type zinc finger contains six conserved cysteines and two histidines that could potentially coordinate 2 zinc atoms.","AN1 zinc finger","Wikipedia|https://en.wikipedia.org/wiki/AN1 zinc finger","NULL","ZFAND1"
"64","ZBED","Zinc fingers BED-type","","","In molecular biology the BED-type zinc finger domain is a protein domain which was named after the Drosophila proteins BEAF and DREF, is found in one or more copies in cellular regulatory factors and transposases from plants, animals and fungi. The BED finger is an about 50 to 60 amino acid residues domain that contains a characteristic motif with two highly conserved aromatic positions, as well as a shared pattern of cysteines and histidines that is predicted to form a zinc finger. As diverse BED fingers are able to bind DNA, it has been suggested that DNA-binding is the general function of this domain.","BED zinc finger","Wikipedia|https://en.wikipedia.org/wiki/BED zinc finger","NULL","ZBED1"
"65","THAP","THAP domain containing","","12575992","The THAP-type zinc finger (consensus: C-x(2,4)-C-x(35,50)-C-x(2)-H) is an ~90-residue domain restricted to animals, which is shared between the THAP family of cellular DNA-binding proteins, and transposases from mobile genomic parasites (<a href='https://pubmed.ncbi.nlm.nih.gov/12575992/'>PMID: 12575992</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/12717420/'>PMID: 12717420</a>). THAP1, the prototype of the THAP family, possesses zinc-dependent sequence-specific DNA binding activity and recognizes a consensus DNA target sequence of 11 nucleotides (<a href='https://pubmed.ncbi.nlm.nih.gov/15863623/'>PMID: 15863623</a>). The THAP-type zinc finger can be found in one or more copies and can be associated with other domains, such as the C2H2-type zinc finger.   The structure of the THAP-type zinc finger reveals the presence between the C2CH zinc coordinating residues of a short antiparallel β-sheet interspersed by a long loop-helix-loop insertion. This loop-helix-loop motif has been shown to be essential for the identification of a number of critical residues for DNA recognition (<a href='https://pubmed.ncbi.nlm.nih.gov/18073205/'>PMID: 18073205</a>).","THAP zinc fingers","InterPro|https://www.ebi.ac.uk/interpro/entry/InterPro/IPR006612/","NULL","THAP11"
"66","ZC2HC","Zinc fingers C2HC-type","","NULL","NULL","NULL","NULL","NULL","ZC2HC1A"
"71","NR","Nuclear hormone receptors","","10219237","In the field of molecular biology, nuclear receptors are a class of proteins found within cells that are responsible for sensing steroid and thyroid hormones and certain other molecules. In response, these receptors work with other proteins to regulate the expression of specific genes, thereby controlling the development, homeostasis, and metabolism of the organism.  Nuclear receptors have the ability to directly bind to DNA and regulate the expression of adjacent genes, hence these receptors are classified as transcription factors. The regulation of gene expression by nuclear receptors generally only happens when a ligand - a molecule that affects the receptor's behavior - is present. More specifically, ligand binding to a nuclear receptor results in a conformational change in the receptor, which, in turn, activates the receptor, resulting in up-regulation or down-regulation of gene expression.  A unique property of nuclear receptors that differentiates them from other classes of receptors is their ability to directly interact with and control the expression of genomic DNA. As a consequence, nuclear receptors play key roles in both embryonic development and adult homeostasis. As discussed below, nuclear receptors may be classified according to either mechanism or homology.","Nuclear receptor","Wikipedia|https://en.wikipedia.org/wiki/Nuclear receptor","NULL","NULL"
"73","ZC3H","Zinc fingers CCCH-type","","27990022","This [gene group] represents [genes encoding proteins with] C-x8-C-x5-C-x3-H (CCCH) type Zinc finger (Znf) domains. Proteins containing CCCH Znf domains include Znf proteins from eukaryotes involved in cell cycle or growth phase-related regulation, e.g. human TIS11B (butyrate response factor 1, also known as mRNA decay activator protein ZFP36L1), a probable regulatory protein involved in regulating the response to growth factors, and the mouse TTP growth factor-inducible nuclear protein, which has the same function. The mouse TTP protein is induced by growth factors. Another protein containing this domain is the human splicing factor U2AF 35kDa subunit, which plays a critical role in both constitutive and enhancer-dependent splicing by mediating essential protein-protein interactions and protein-RNA interactions required for 3' splice site selection. It has been shown that different CCCH-type Znf proteins interact with the 3'-untranslated region of various mRNA (<a href='https://pubmed.ncbi.nlm.nih.gov/9703499/'>PMID: 9703499</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/10330172/'>PMID: 10330172</a>). This type of Znf is very often present in two copies.","Zinc finger, CCCH-type","InterPro|https://www.ebi.ac.uk/interpro/entry/InterPro/IPR000571/","NULL","ZC3H10"
"74","ZCCHC","Zinc fingers CCHC-type","","33787465","This fold group is defined by two short β-strands connected by a turn (zinc knuckle) followed by a short helix or loop and resembles the classical Cys2His2 motif with a large portion of the helix and β-hairpin truncated.","CCHC-type","Wikipedia|https://en.wikipedia.org/wiki/Zinc finger","NULL","ZCCHC10"
