gene_symbol,ENSG_ID,alias_symbol,source
SLC25A5,ENSG00000005022,2F1,HGNC
KLRG1,ENSG00000139187,2F1,HGNC
S100A8,ENSG00000143546,60B8AG,HGNC
S100A9,ENSG00000163220,60B8AG,HGNC
RNU6V,ENSG00000206832,87U6,HGNC
GNAI3,ENSG00000065135,87U6,HGNC
SLU7,ENSG00000164609,9G8,HGNC
SRSF7,ENSG00000115875,9G8,HGNC
RFC1,ENSG00000035928,A1,HGNC
RFC4,ENSG00000163918,A1,HGNC
RFC2,ENSG00000049541,A1,HGNC
GPHA2,ENSG00000149735,A2,HGNC
SGCA,ENSG00000108823,A2,HGNC
CFAP410,ENSG00000160226,A2,HGNC
TNFAIP3,ENSG00000118503,A20,HGNC
IGKV1-27,ENSG00000244575,A20,HGNC
ABO,ENSG00000175164,A3GALNT,HGNC
GBGT1,ENSG00000148288,A3GALNT,HGNC
PLP2,ENSG00000102007,A4,HGNC
SGCG,ENSG00000102683,A4,HGNC
FLNA,ENSG00000196924,ABP-280,HGNC
FLNC,ENSG00000128591,ABP-280,HGNC
CARD8-AS1,ENSG00000268001,AC008392.1,HGNC
ZNF114-AS1,ENSG00000268186,AC008392.1,HGNC
LINC02471,ENSG00000223914,AC079630.2,HGNC
LINC02555,ENSG00000260943,AC079630.2,HGNC
SNORA59A,ENSG00000239149,ACA59,HGNC
SNORA59B,ENSG00000266079,ACA59,HGNC
ACACA,ENSG00000278540,ACC1,HGNC
BCL2A1,ENSG00000140379,ACC1,HGNC
ACACB,ENSG00000076555,ACC2,HGNC
BCL2A1,ENSG00000140379,ACC2,HGNC
GPR3,ENSG00000181773,ACCA,HGNC
ACACA,ENSG00000278540,ACCA,HGNC
ACSS2,ENSG00000131069,ACS,HGNC
ACCS,ENSG00000110455,ACS,HGNC
ACSL6,ENSG00000164398,ACS2,HGNC
ACSL5,ENSG00000197142,ACS2,HGNC
SERPINA3,ENSG00000196136,ACT,HGNC
ACOT7,ENSG00000097021,ACT,HGNC
POTEM,ENSG00000222036,ACT,HGNC
FHL5,ENSG00000112214,ACT,HGNC
TMIGD3,ENSG00000121933,AD026,HGNC
ADORA3,ENSG00000282608,AD026,HGNC
TADA1,ENSG00000152382,ADA1,HGNC
ADA,ENSG00000196839,ADA1,HGNC
PSMD4,ENSG00000159352,AF-1,HGNC
IFNGR2,ENSG00000159128,AF-1,HGNC
AGR2,ENSG00000106541,AG2,HGNC
C11orf96,ENSG00000187479,AG2,HGNC
GPAT3,ENSG00000138678,AGPAT10,HGNC
LPCAT1,ENSG00000153395,AGPAT10,HGNC
RNASEH2C,ENSG00000172922,AGS3,HGNC
GPSM1,ENSG00000160360,AGS3,HGNC
GPSM3,ENSG00000213654,AGS4,HGNC
RNASEH2A,ENSG00000104889,AGS4,HGNC
AURKB,ENSG00000178999,AIM-1,HGNC
SLC45A2,ENSG00000164175,AIM-1,HGNC
MAGI2,ENSG00000187391,AIP1,HGNC
ARL6IP1,ENSG00000170540,AIP1,HGNC
ACTRT1,ENSG00000123165,AIP1,HGNC
WDR1,ENSG00000071127,AIP1,HGNC
PDCD6IP,ENSG00000170248,AIP1,HGNC
DAB2IP,ENSG00000136848,AIP1,HGNC
CHD1L,ENSG00000131778,ALC1,HGNC
MYL4,ENSG00000198336,ALC1,HGNC
COPS2,ENSG00000166200,ALIEN,HGNC
LINC00261,ENSG00000259974,ALIEN,HGNC
ACVRL1,ENSG00000139567,ALK1,HGNC
SLPI,ENSG00000124107,ALK1,HGNC
ALK,ENSG00000171094,ALK1,HGNC
CCL27,ENSG00000213927,ALP,HGNC
PDLIM3,ENSG00000154553,ALP,HGNC
ASRGL1,ENSG00000162174,ALP,HGNC
ATRNL1,ENSG00000107518,ALP,HGNC
SLPI,ENSG00000124107,ALP,HGNC
ASZ1,ENSG00000154438,ALP1,HGNC
ASRGL1,ENSG00000162174,ALP1,HGNC
GFER,ENSG00000127554,ALR,HGNC
KMT2D,ENSG00000167548,ALR,HGNC
AKR1A1,ENSG00000117448,ALR,HGNC
FPR2,ENSG00000171049,ALX,HGNC
HSH2D,ENSG00000196684,ALX,HGNC
PAX6,ENSG00000007372,AN,HGNC
DIAPH3,ENSG00000139734,AN,HGNC
CCDC102B,ENSG00000150636,AN,HGNC
DANCR,ENSG00000226950,ANCR,HGNC
UBE3A,ENSG00000114062,ANCR,HGNC
ANGPTL1,ENSG00000116194,ANG3,HGNC
VPS51,ENSG00000149823,ANG3,HGNC
