,alias_symbol,gene_symbol,ENSG_ID,source,gene_symbol_count
3260,VH,"IGHV3-9, IGHV3-20, IGHV3-15, IGHV3-11, IGHV3-30, IGHV2-26, IGHV3-33, IGHV2-5, IGHV3-35, IGHV2-70, IGHV3-7, IGHV5-51, IGHV3-16, IGHV3-74, IGHV3-48, IGHV1-45, IGHV3-72, IGHV3-66, IGHV4-4, IGHV4-28, IGHV3-64, IGHV4-34, IGHV4-39, IGHV3-53, IGHV3-49, IGHV3-21, IGHM, IGHV3-43, SLC7A4, IGHV4-59, IGHV3-73, IGHV3-38, IGHV1-24, IGHV4-61, IGHV1-58, IGHV6-1","nan, ENSG00000211946, ENSG00000211943, ENSG00000211941, ENSG00000270550, ENSG00000211951, ENSG00000211955, ENSG00000211937, ENSG00000211957, ENSG00000274576, ENSG00000211938, ENSG00000211966, ENSG00000211944, ENSG00000224650, ENSG00000211964, ENSG00000211961, ENSG00000225698, ENSG00000211972, ENSG00000276775, ENSG00000211952, ENSG00000223648, ENSG00000211956, ENSG00000211959, ENSG00000211967, ENSG00000211965, ENSG00000211947, ENSG00000211899, ENSG00000232216, ENSG00000099960, ENSG00000224373, ENSG00000211976, ENSG00000211958, ENSG00000211950, ENSG00000211970, ENSG00000211968, ENSG00000211933",NCBI Info,347
1284,H4-16,"H4C6, H4C13, H4C12, H4C11, H4C5, H4C3, H4C16, H4C2, H4C4, H4C8, H4C9, H4C15, H4C1, H4C14","ENSG00000274618, ENSG00000275126, ENSG00000273542, ENSG00000197238, ENSG00000276966, ENSG00000197061, ENSG00000197837, ENSG00000278705, ENSG00000277157, ENSG00000158406, ENSG00000276180, ENSG00000270276, ENSG00000278637, ENSG00000270882",NCBI Info,88
1192,GPCR,"MRGPRX4, FZD4, GPR166P, VN1R17P, LGR6, MRGPRX1, LPAR3, GPRC6A, GPR151, MRGPRX3, OXER1","ENSG00000179817, ENSG00000174804, ENSG00000220349, nan, ENSG00000133067, ENSG00000170255, ENSG00000171517, ENSG00000173612, ENSG00000173250, ENSG00000179826, ENSG00000162881",NCBI Info,85
868,DUX10,"DUX4L10, LOC107987485, LOC107987487, LOC107987484, LOC124906455, LOC107987486, DUX4L1","ENSG00000278664, nan, nan, nan, nan, nan, ENSG00000280757",NCBI Info,85
869,DUX4,"LOC107987487, LOC107987485, LOC107987484, DUX4L2, DUX4L1, LOC107987486, LOC124906461","nan, nan, nan, ENSG00000280457, ENSG00000280757, nan, nan",NCBI Info,84
1294,H4C5,"H4C15, H4C1, H4C14, H4C2, H4C8, H4C9, H4C11, H4C16, H4C4, H4C12, H4C3, H4C6, H4C13","ENSG00000270276, ENSG00000278637, ENSG00000270882, ENSG00000278705, ENSG00000158406, ENSG00000276180, ENSG00000197238, ENSG00000197837, ENSG00000277157, ENSG00000273542, ENSG00000197061, ENSG00000274618, ENSG00000275126",NCBI Info,82
1297,H4C9,"H4C12, H4C3, H4C13, H4C5, H4C14, H4C1, H4C16, H4C2, H4C11, H4C15, H4C8, H4C6, H4C4","ENSG00000273542, ENSG00000197061, ENSG00000275126, ENSG00000276966, ENSG00000270882, ENSG00000278637, ENSG00000197837, ENSG00000278705, ENSG00000197238, ENSG00000270276, ENSG00000158406, ENSG00000274618, ENSG00000277157",NCBI Info,82
1291,H4C2,"H4C8, H4C9, H4C11, H4C12, H4C3, H4C1, H4C6, H4C5, H4C4, H4C16, H4C13, H4C14, H4C15","ENSG00000158406, ENSG00000276180, ENSG00000197238, ENSG00000273542, ENSG00000197061, ENSG00000278637, ENSG00000274618, ENSG00000276966, ENSG00000277157, ENSG00000197837, ENSG00000275126, ENSG00000270882, ENSG00000270276",NCBI Info,82
1292,H4C3,"H4C6, H4C16, H4C11, H4C4, H4C1, H4C14, H4C13, H4C5, H4C12, H4C9, H4C15, H4C2, H4C8","ENSG00000274618, ENSG00000197837, ENSG00000197238, ENSG00000277157, ENSG00000278637, ENSG00000270882, ENSG00000275126, ENSG00000276966, ENSG00000273542, ENSG00000276180, ENSG00000270276, ENSG00000278705, ENSG00000158406",NCBI Info,82
2632,RNA18SP,"LOC110467533, LOC110467538, LOC110467534, LOC110467537, LOC110467536, LOC110467535","nan, nan, nan, nan, nan, nan",NCBI Info,82
