,collision,num_gene_records
339,CT78,63
223,CD158K,40
1097,P58,36
272,CL-11,33
764,KIR,33
273,CL-6,32
1180,PIRB,21
1179,PIR-B,21
869,MEGT1,18
1498,TFIIH,16
62,AMY1,15
641,HE2,15
1295,RING5,13
932,MT1,13
662,HLAL,13
244,CELIAC1,13
297,CO4,13
699,HXBL,12
1517,TNX,12
163,BTF2,11
1344,S9,11
137,B9,11
1056,P18,11
961,NBS1,11
144,BB1,11
1313,RP11,11
531,G2,10
228,CD85,10
453,EP2,10
1081,P40,10
354,CYP2D,10
376,DEFB4,10
1584,VMA10,10
149,BCD541,10
765,KIR2DL5,10
675,HOX1,10
553,GEMIN1,10
677,HOX2,9
1241,PSF1,9
1051,P14,9
635,HCG1,9
1231,PRP2,9
1546,TSBP,9
1242,PSF2,9
822,LST-1,9
1074,P33,9
474,F379,9
968,NEU,9
1278,RD,9
268,CKB1,9
730,INT3,9
190,CAK,9
1092,P52,9
1306,RNF35,9
1084,P44,9
143,BAT1,9
708,IDDM1,8
663,HLP,8
1101,P62,8
972,NG2,8
1312,RP1,8
1219,PRC17,8
639,HCR,8
528,G16,8
1014,OCT3,8
965,NEP,8
1267,RAGE,8
121,ATP6G,8
43,AGS4,8
529,G17,8
533,GAL7,8
530,G18,8
1133,PAP,8
679,HOX4,7
103,AS,7
112,ASP,7
1534,TRB1,7
1562,U4,7
678,HOX3,7
731,INT4,7
1221,PRG1,7
1294,RING2,7
312,CPS1,7
1307,RNU1-5,7
526,G10,6
1246,PSP,6
620,HBP,6
1069,P28,6
1068,P27,6
47,AIP1,6
713,IGLC,6
1545,TS,6
1260,PXR1,6
1349,SAP1,6
952,NAP1,6
196,CAP,6
1215,PPIASE,6
1310,RNU1P1,6
947,MYM,6
184,C6ORF37,6
94,ARP1,6
1308,RNU1-8,5
1525,TR2,5
1297,RIP,5
836,MAGE2,5
1114,P97,5
1111,P85,5
1076,P35,5
889,MIR,5
897,MLP,5
750,KAT1,5
1109,P8,5
615,HARP,5
1217,PR,5
1086,P47,5
200,CAR,5
527,G13,5
1099,P60,5
1090,P50,5
1403,SMA3,5
1094,P55,5
55,ALP,5
1269,RAM,5
565,GLUC,5
1147,PBP,5
1175,PIG1,5
1392,SIP,5
357,D-X,5
874,MGC5228,5
880,MIF2,5
1314,RP2,5
179,C2ORF27B,5
1559,U2,5
1052,P15,5
98,ARP3,5
695,HSS,5
189,CAF1,4
1485,TCRBV14S1,4
284,CLIP,4
1159,PDI,4
1486,TCRBV15S1,4
8,A4,4
314,CPX,4
722,ILWEQ,4
1250,PTEN2,4
523,FSSV,4
1483,TCRBV12S3,4
1487,TCRBV21S1,4
653,HIP,4
1488,TCRBV2S1,4
241,CEA,4
1489,TCRBV3S1,4
594,GTK,4
1484,TCRBV13S1,4
1482,TCRBV12S2,4
1158,PD1,4
1155,PCL1,4
1227,PRL3,4
701,IAP,4
1138,PAR1,4
1142,PARC,4
1469,TAP,4
684,HRAS1,4
541,GBP,4
269,CKMT1,4
967,NET1,4
4,A1,4
954,NAP2,4
1397,SKD2,4
1153,PCD,4
1406,SMAP,4
610,HA-1,4
5,A2,4
605,H3,4
638,HCP1,4
1461,T1,4
630,HCC-2,4
558,GIF,4
551,GDH,4
759,KIAA0563,4
1376,SEP,4
1535,TRB2,4
793,LAP,4
1070,P29,4
798,LCA,4
1066,P24,4
1062,P21,4
361,DA2B,4
1058,P19,4
403,DNM1DN3@,4
1055,P17,4
1053,P150,4
93,ARP,4
1115,PA,4
1048,P120,4
825,M-ABC2,4
364,DAN,4
1042,P1,4
839,MAP-1,4
465,ESG,4
71,AP-1,4
867,MED,4
61,AMCD2B,4
57,ALR,4
1579,URP,4
910,MRCL3,4
987,NP,4
440,EIF-2B,4
924,MSF,4
28,ACT,4
1597,WBSCR20B,4
1536,TRB3,4
819,LRP,4
788,LAG1,4
784,L6,4
1096,P57,4
1508,TIM1,4
1333,RU2,4
1093,P54,4
512,FLJ43692,4
504,FIL1,4
404,DNM1DN4@,4
1523,TR,4
780,L19,4
1415,SNO,4
1095,P56,4
1530,TRAMP,4
1499,TFIIIB90,4
431,EBN1,3
458,ERIS,3
561,GL,3
562,GLP,3
1229,PROX,3
522,FSP1,3
567,GLUT6,3
424,E1,3
425,E2,3
457,ERF1,3
569,GLUT9,3
1299,RIP1,3
578,GP180,3
1222,PRG2,3
1223,PRIP,3
1226,PRL1,3
1253,PTH2,3
447,ELK2,3
445,EIF4F,3
1305,RN,3
430,EBN,3
1220,PRG,3
441,EIF1A,3
443,EIF2B,3
1256,PTX1,3
1255,PTP,3
442,EIF2,3
449,EMAP-2,3
422,DUSP27,3
460,ERV1,3
508,FLJ10883,3
495,FCG3,3
538,GAS,3
532,G6PT,3
540,GBA,3
1270,RAMP,3
542,GC1,3
1272,RBM1,3
493,FBX30,3
490,FBP,3
488,FBL6,3
1268,RAI,3
1277,RCP,3
501,FETA,3
426,E3,3
429,EB1,3
548,GCP2,3
1282,REF1,3
1238,PSA,3
1258,PWCR,3
477,FAD,3
1291,RIG,3
467,ESO1,3
463,ESA,3
428,EAP1,3
497,FCGR3,3
461,ES1,3
1249,PTC,3
