,num_gene_records,num_collision_symbol,percent_collision_symbol
0,1,1,0.06184291898577613
1,2,1079,66.72850958565245
2,3,310,19.1713048855906
3,4,92,5.6895485466914035
4,5,34,2.102659245516388
5,6,17,1.051329622758194
6,7,11,0.6802721088435374
7,8,17,1.051329622758194
8,9,19,1.1750154607297465
9,10,11,0.6802721088435374
10,11,7,0.4329004329004329
11,12,2,0.12368583797155226
12,13,5,0.30921459492888065
13,15,2,0.12368583797155226
14,16,1,0.06184291898577613
15,18,1,0.06184291898577613
16,21,2,0.12368583797155226
17,32,1,0.06184291898577613
18,33,2,0.12368583797155226
19,36,1,0.06184291898577613
20,40,1,0.06184291898577613
21,63,1,0.06184291898577613
