,collision,num_gene_records
1268,U4,7
83,ASP,7
905,PAP,7
366,F379,6
152,CAP,6
1405,p40,6
33,AIP1,6
756,MYM,6
37,ALP,5
1210,TFIIH,5
1046,RIP,5
1265,U2,5
129,BTF2,5
1266,U3,5
1381,p18,5
1418,p55,5
980,PPIase,5
1376,p14,5
1001,PSP,5
769,NAP1,5
1425,p62,5
1113,SIP,5
66,ARP,4
1393,p27,4
864,P40,4
571,ILWEQ,4
479,HARP,4
48,AP-1,4
417,GBP,4
1380,p17,4
357,ESG,4
515,HIP,4
927,PCD,4
218,CLIP,4
1373,p120,4
502,HCP1,4
156,CAR,4
555,IAP,4
1228,TR,4
67,ARP1,4
921,PBP,4
1183,T1,4
21,ACT,4
636,LAP,4
874,P58,4
1438,p97,4
338,EIF-2B,4
1414,p50,4
1285,URP,4
1408,p44,4
539,HSS,4
1262,U13,4
385,FIL1,4
654,LRP,4
847,P14,4
484,HBP,4
1435,p85,4
1186,TAP,4
925,PC4,3
933,PDI,3
737,MRP8,3
734,MRP2,3
1040,RIG,3
932,PD1,3
511,HGPS,3
147,CAF1,3
125,BOP,3
1118,SKIP,3
220,CLP,3
754,MU,3
143,C6ST,3
1048,RIP1,3
743,MST,3
568,IL-21,3
319,DRP1,3
570,IL-27,3
135,C1,3
924,PC3,3
1119,SL1,3
151,CANP,3
192,CED12,3
516,HIS1,3
1209,TFIIF,3
1074,S12,3
1075,S14,3
893,PAC1,3
535,HS1,3
191,CED-12,3
518,HK2,3
923,PC2,3
464,H1,3
195,CG1,3
207,CIR,3
801,NRP,3
901,PAL,3
1088,SAP190,3
522,HLP,3
909,PAR-1,3
1071,Rsc6p,3
1216,TIM1,3
1068,RU2,3
312,DP1,3
1095,SCL,3
1235,TRAP,3
1234,TRAMP,3
1231,TR3,3
329,E1,3
162,CARP,3
1230,TR2,3
1056,RP1,3
166,CASP,3
1061,RPD3,3
915,PAR4,3
1180,Stv1,3
913,PAR2,3
912,PAR1,3
825,ODC,3
282,D-X,3
330,E2,3
624,L19,3
401,FSP1,3
39,ALR,3
1401,p35,3
42,AN,3
240,CR,3
954,PLAP,3
995,PSA,3
1111,SIII,3
1394,p28,3
628,L6,3
1391,p24,3
1390,p23,3
367,FAD,3
1388,p22,3
1387,p21,3
1386,p200,3
1383,p19,3
36,ALK1,3
1404,p38,3
1406,p42,3
1125,SMAP,3
1120,SLAP,3
4,A1,3
5,A2,3
853,P21,3
486,HC2,3
1433,p8,3
1431,p75,3
856,P28,3
637,LAP1,3
246,CRP2,3
1419,p56,3
1416,p52,3
490,HCA2,3
675,MAT1,3
986,PRL1,3
1410,p47,3
331,E3,3
60,AR,3
1378,p150,3
1297,Vma10,3
1025,RAM,3
1377,p15,3
418,GC1,3
503,HCR,3
473,H4,3
342,EMAP-2,3
1302,Vph1,3
1033,RD,3
501,HCP,3
423,GCP2,3
471,H3,3
426,GDH,3
334,EB1,3
333,EAP1,3
726,MPS1,3
728,MRG1,3
707,MIP,3
1026,RAMP,3
474,H5,3
1008,PTX1,3
1007,PTP,3
85,AT1,3
355,ESA,3
70,ARP2,3
412,G2,3
1372,p12,3
944,PHKD,3
359,ESO1,3
691,MED,3
263,CYP2A,3
871,P54,2
884,P84,2
895,PACAP,2
865,P47,2
891,PABP1,2
883,P8,2
892,PABP3,2
863,P39,2
890,PAAT,2
896,PACER,2
877,P62,2
879,P65,2
0,2F1,2
897,PACT,2
956,PLP,2
942,PGDS,2
943,PGR1,2
945,PHR1,2
946,PIG1,2
947,PIG3,2
948,PIG6,2
950,PIR-B,2
951,PIRB,2
953,PL,2
955,PLIP,2
957,PM5,2
898,PAD,2
958,PMI,2
959,PMR1,2
960,PN-I,2
961,PN1,2
962,PNK,2
963,PNR,2
965,POB1,2
966,POD1,2
967,POF,2
968,POP1,2
941,PGAM-B,2
940,PFM,2
939,PERRS,2
938,PEPP2,2
900,PAFAH,2
902,PAM-1,2
903,PAN2,2
904,PAO,2
906,PAP1,2
907,PAP2,2
908,PAPA,2
911,PAR-6,2
914,PAR3,2
916,PARC,2
917,PARS,2
918,PAT1,2
919,PBF,2
920,PBI,2
926,PCA1,2
928,PCL,2
929,PCL1,2
934,PDIP1,2
935,PDIR,2
936,PEN,2
937,PEPP1,2
930,PCN,2
799,NRF2,2
850,P18,2
719,MLP1,2
699,MIC1,2
700,MIF,2
701,MIF2,2
702,MIFR,2
706,MIO,2
708,MIP-2A,2
710,MIP1,2
711,MIR,2
713,MK,2
714,MK3,2
715,ML-1,2
716,MLCK,2
717,MLL4,2
718,MLP,2
720,MN,2
697,MGC5228,2
721,MOP,2
722,MOP3,2
723,MOX1,2
724,MP1,2
725,MP44,2
727,MRF,2
1,60B8AG,2
730,MRK,2
731,MRLC2,2
732,MRP-L15,2
733,MRP-L32,2
735,MRP6,2
736,MRP7,2
738,MSF,2
698,MIA1,2
696,MGC45441,2
848,P15,2
678,MBP-1,2
656,LST-1,2
661,M-ABC1,2
662,M-ABC2,2
663,M130,2
664,MAC-1,2
665,MAD1,2
666,MAD2,2
667,MADA,2
668,MADM,2
670,MAP-1,2
671,MART1,2
673,MASK,2
676,MB1,2
677,MBP,2
679,MCAF,2
695,MGC22679,2
680,MCD,2
681,MCH2,2
682,MCSP,2
683,MCT,2
684,MCT1,2
685,MCT3,2
686,MCT4,2
687,MCT5,2
688,MCT6,2
689,MCT7,2
690,ME2,2
692,MEF,2
693,MEGT1,2
694,MGC15397,2
739,MSH,2
740,MSP,2
741,MSS1,2
826,ODC1L,2
802,NS,2
803,NSCL2,2
804,NSE1,2
805,NSE2,2
806,NSP2,2
807,NTN,2
808,NY-REN-2,2
817,OAT4,2
819,OCC-1,2
820,OCC1,2
821,OCIF,2
822,OCT1,2
823,OCT2,2
824,OCT3,2
827,OF,2
744,MT-A70,2
828,OLF1,2
829,OLF4p,2
830,OP-2,2
831,OR11-1,2
832,OR11-11a,2
833,OR19-18,2
834,ORF1,2
836,ORP1,2
837,OSCP,2
838,OST,2
839,OX2R,2
842,P0,2
843,P1,2
845,P11,2
800,NRK2,2
970,POP3,2
798,NR1,2
796,NPH3,2
745,MTB,2
747,MTF1,2
750,MTTF1,2
767,NAC1,2
768,NAG,2
770,NAP1L,2
771,NAP2,2
772,NAS1,2
773,NAT3,2
774,NBC3,2
775,NBP,2
777,ND1,2
778,NDR,2
779,NDR1,2
780,NET,2
781,NET1,2
782,NF-E1,2
783,NG2,2
784,NIK,2
785,NIP,2
786,NIP1,2
787,NIRF,2
788,NKH,2
789,NKIR,2
791,NL2,2
792,NLG1,2
793,NOR1,2
794,NOV,2
795,NP,2
969,POP2,2
1041,RIG1,2
971,POST,2
1233,TRAM,2
1237,TRB2,2
