,collision,num_gene_records
3238,VH,36
1270,H4-16,14
1278,H4C2,13
1283,H4C8,13
1271,H4C1,13
1272,H4C11,13
1273,H4C12,13
1274,H4C13,13
1275,H4C14,13
1276,H4C15,13
1279,H4C3,13
1280,H4C4,13
1281,H4C5,13
1282,H4C6,13
1277,H4C16,13
1284,H4C9,13
1944,MT1,12
1179,GPCR,11
2443,PR,10
1429,HOX1,10
1977,NAP1,9
1258,H3C12,9
1257,H3C11,9
1256,H3C10,9
1263,H3C3,9
1264,H3C4,9
1265,H3C6,9
1266,H3C7,9
1267,H3C8,9
1255,H3C1,9
2435,PPIase,9
3209,UGT1,9
3201,UDPGT,9
1431,HOX2,9
1262,H3C2,9
2530,Proteinase,8
210,ASP,8
93,AIP1,8
3373,p40,8
49,ACT,8
2529,Protease,8
3386,p55,8
421,CAR,7
1432,HOX3,7
3037,TFIIH,7
2261,PAP,7
3182,U4,7
625,CR,7
3399,p75,7
3345,p120,7
1166,GNT1,7
110,ALP,7
2498,PSP,7
2072,NPIP,7
1433,HOX4,7
1533,IGLC,6
2447,PRC17,6
411,CAP,6
1858,MIRH1,6
346,C13orf25,6
3342,p100,6
115,ALS2CR3,6
1537,II,6
1859,MIRHG1,6
3293,ZNF,6
973,F379,6
1963,MYM,6
3092,TR,6
3214,UGT1A,6
2193,P1,6
818,DNM1DN11@,6
2791,SIP,6
1294,HARP,6
1816,MDS,6
2263,PAP1,5
1682,LAP,5
845,DRP1,5
3212,UGT1.1,5
3215,UGT1A1,5
326,BTF2,5
3210,UGT1-01,5
2571,RD,5
311,BOP,5
705,CTF,5
960,ESG,5
3207,UGT-1A,5
1819,MED,5
3401,p85,5
2951,TBC1D3A,5
1016,FBP,5
2950,TBC1D3,5
1206,GST2,5
1498,IAP,5
3180,U3,5
145,AP-1,5
2020,NET1,5
2507,PTC,5
2202,P18,5
1135,GGT,5
444,CBP,5
2286,PBP,5
3103,TRAP,5
868,E2,5
2291,PC2,5
3350,p17,5
3359,p23,5
2292,PC3,5
2224,P58,5
2471,PRR20,5
1749,LRRC37,5
3006,TCRB,5
3095,TR2,5
2601,RIP,5
184,ARP1,5
1857,MIR17HG,5
3389,p58,5
3372,p38,5
3085,TP53TG3E,5
3086,TP53TG3F,5
3360,p24,5
3331,hUG-BR1,5
3365,p27,5
3129,TRNAN-GUU,5
1049,FKBP12,5
3133,TRP1,5
2928,T1,5
2482,PSA,5
2198,P14,4
2203,P19,4
3051,TIM,4
1244,H2BC4,4
2887,ST1A3,4
875,EAP1,4
877,EB1,4
964,ESP1,4
2545,RAI,4
3053,TIP,4
1245,H2BC6,4
248,B1,4
2216,P40,4
215,AT1,4
870,E3,4
2432,PPD,4
3228,URP,4
2352,PI3K,4
1479,HSS,4
225,ATP5A,4
1746,LRP,4
2212,P35,4
1043,FIL1,4
1310,HBP,4
1233,H2AC15,4
545,CL2,4
1720,LIP1,4
577,CMS2A,4
2650,RPD3,4
1669,L8,4
402,CALM,4
511,CG1,4
1667,L6,4
1567,IP,4
1661,L3,4
1235,H2AC17,4
1231,H2AC11,4
1269,H4,4
2115,OCT3,4
1655,L19,4
396,CAF1,4
1234,H2AC16,4
3102,TRAMP,4
2065,NP,4
491,CDY,4
1648,L13,4
3081,TP53TG3,4
3016,TCRD,4
2378,PL,4
461,CD1A,4
917,EIF2B,4
333,C1,4
1232,H2AC13,4
3186,U7,4
274,BBP,4
3179,U2,4
2945,TAP,4
3175,U13,4
559,CLIP,4
428,CAS,4
1291,HAP,4
2959,TC1,4
2665,RS,4
1674,LAG1,4
1243,H2BC10,4
1548,ILWEQ,4
2975,TCRA,4
1683,LAP1,4
2087,NSP,4
1246,H2BC7,4
1222,H1,4
2389,PLP,4
1247,H2BC8,4
3078,TP,4
2535,R1,4
2295,PCD,4
3347,p14,4
801,DIP,4
2243,PAC1,4
671,CT11.3,4
3351,p18,4
3349,p150,4
1902,MPS1,4
1323,HCC-2,4
3395,p63,4
1084,GAGE-12B,4
824,DNM1DN8@,4
1372,HIP,4
1957,MU,4
2474,PRR20C,4
2234,PA,4
3352,p180,4
3384,p52,4
1334,HCP1,4
2475,PRR20D,4
2476,PRR20E,4
679,CT4.7,4
131,AN,4
3362,p25,4
3377,p44,4
1937,MSP,4
2465,PRP,4
1806,MCT1,4
2780,SHAP,4
1125,GDH,4
3366,p28,4
2293,PC4,4
3369,p34,4
19,A4,4
1107,GBP,4
1456,HRS,4
1909,MRG1,4
3397,p68,4
183,ARP,4
2472,PRR20A,4
2519,PTX1,4
2283,PBEF,4
1399,HLP,4
2800,SKIP,4
1459,HSD17,4
100,AL4,4
2732,SCCMS,4
1884,MNS,4
2750,SDH,4
2222,P54,4
1116,GCL,4
3258,WBS,4
2271,PAR1,4
2869,SRA1,4
2793,SIP1,4
1457,HS1,4
2707,SAP1,4
2473,PRR20B,4
1121,GCP2,4
1394,HLA-DQB1,3
735,D-X,3
746,DA2B,3
2288,PC,3
2643,ROX,3
808,DLK,3
756,DAP1,3
2802,SL1,3
2735,SCL,3
2738,SCP,3
919,EIF4F,3
924,EK,3
495,CED12,3
492,CEA,3
753,DAN,3
2787,SIII,3
2644,RP1,3
2290,PC1,3
1389,HL-2,3
510,CFTD,3
494,CED-12,3
2646,RP3,3
488,CDR,3
855,DTD,3
1582,J1,3
1583,J2,3
1604,KAT,3
797,DIA1,3
457,CD158b,3
456,CD1,3
1607,KCIP-1,3
2617,RN5-8S1,3
3036,TFIIF,3
2616,RN28S1,3
2317,PE,3
3039,TFIIS,3
958,ESA,3
2099,Nomo,3
780,DEFB109,3
2307,PD-1,3
2615,RN18S1,3
2308,PD1,3
2315,PDZK4,3
1357,HGL,3
2311,PDI,3
3045,THG1,3
1615,KID,3
2319,PED,3
466,CD32,3
2381,PLAP,3
2323,PEP,3
2781,SHEP1,3
2123,OF,3
1384,HK2,3
1383,HK1,3
1382,HK,3
2379,PLA2,3
2776,SGT1,3
2294,PCA1,3
2803,SLAP,3
767,DD3,3
2380,PLA2L,3
2116,OCT4,3
475,CDD,3
802,DIP1,3
1375,HIS1,3
2321,PEN,3
945,ER,3
2767,SES1,3
471,CDA12,3
946,ERF1,3
517,CHD5,3
2655,RPP2,3
729,CYP2C,3
2863,SPS,3
2709,SAP2,3
662,CSS1,3
663,CSS2,3
2711,SAR,3
665,CST,3
2199,P15,3
2197,P130,3
2690,S4,3
2344,PHKD,3
1445,HPS,3
1500,IBP,3
2918,SWI2,3
593,COAS-2,3
2190,Oct-4,3
2189,Oct-3,3
675,CT2,3
2685,S14,3
2185,OTF3,3
677,CT4.2,3
2338,PGR1,3
2184,OTF-3,3
2684,S12,3
881,EBS1,3
605,COX,3
2708,SAP190,3
916,EIF2,3
2906,STM,3
2220,P47,3
854,DSS,3
2351,PI-PLC,3
2225,P60,3
640,CRP1,3
2876,SS,3
2875,SRPSMCR,3
2890,ST2,3
1320,HCA2,3
644,CRT,3
2346,PHP,3
1314,HC2,3
622,CPX,3
2230,P8,3
440,CBF-A,3
849,DS,3
648,CS-1,3
619,CPT1,3
651,CSA,3
2692,S7,3
2206,P28,3
867,E1,3
2868,SRA,3
2847,SPANX-C,3
2680,S10,3
886,ECGF1,3
2678,Rsc6p,3
2666,RSK,3
825,DOC1,3
539,CK1,3
538,CK,3
536,CIR,3
823,DNM1DN4@,3
822,DNM1DN3@,3
2823,SMN,3
2154,OR19-18,3
2264,PAP2,3
2265,PAPA,3
2270,PAR-1,3
2815,SMAP,3
2272,PAR2,3
1471,HSP70-2,3
1554,IMP1,3
1555,IMP2,3
912,EIF-2B,3
2811,SMA3,3
2274,PAR4,3
726,CYP2A,3
814,DMT1,3
519,CHED,3
2256,PAL,3
898,EDSC,3
700,CT78,3
1333,HCP,3
681,CT45-2,3
2336,PGI,3
2469,PRR,3
1524,IGFR2,3
684,CT45-5,3
1525,IGH,3
685,CT45-6,3
566,CLP,3
1296,HAST3,3
1437,HP1,3
1528,IGHV,3
1335,HCR,3
688,CT45A5,3
831,DP2,3
1530,IGHV4-3,3
830,DP1,3
2838,SOAT,3
1293,HAP40,3
2953,TBC1D3D,3
829,DP,3
2956,TBP1,3
1427,HOP,3
962,ESO1,3
1523,IGFR1,3
2613,RMP,3
1946,MT2,3
2516,PTP,3
1079,G2,3
1168,GOP,3
173,ARD1,3
1958,MUC3,3
1786,MAT1,3
169,ARAT,3
167,ARA,3
1955,MTTF1,3
1790,MBP1,3
163,APT1,3
1085,GAGE-2,3
2450,PRG1,3
1088,GAGE-8,3
3283,YRRM2,3
2495,PSK,3
1803,MCS,3
1804,MCSP,3
1805,MCT,3
1942,MST,3
2502,PSS1,3
1095,GALNT15,3
2456,PRIP,3
138,ANG3,3
1934,MSF,3
1100,GAS,3
129,AMY1,3
127,AMPK,3
1820,MEF,3
1101,GASP,3
1968,N2N,3
186,ARP2,3
1071,FX,3
1770,MADD,3
2558,RBM1,3
1721,LIP2,3
263,BAL,3
3192,UBC4/5,3
2419,PP1,3
1723,LIS2,3
1198,GRP,3
2552,RAP1,3
2551,RAMP,3
253,B29,3
2548,RAM,3
1039,FHC,3
2541,RAD1,3
231,ATR,3
1994,NBP,3
3049,TIG1,3
2536,R2,3
223,ATP-PFK,3
3227,UPP,3
217,AT3,3
1055,FOP,3
1753,LST3,3
1984,NAT1,3
206,ASF,3
1759,M-PST,3
1064,FRP,3
197,AS,3
1068,FSP1,3
193,ARSC,3
2496,PSM,3
2460,PRL1,3
271,BAT1,3
30,ABL,3
3357,p22,3
1860,MK,3
3368,p33,3
3371,p37,3
45,ACS,3
1141,GIG1,3
3375,p42,3
1140,GIF,3
3378,p45,3
3379,p47,3
3380,p48,3
35,ACAT,3
3382,p50,3
32,ABP-280,3
3385,p54,3
3311,beta-1,3
3387,p56,3
3388,p57,3
1869,MLCK,3
1892,MOX1,3
3392,p60,3
3394,p62,3
1874,MLP,3
12,A1,3
3403,p90,3
3404,p97,3
1886,MOP,3
3407,polymerase,3
1885,MOB1,3
3410,smk1,3
3355,p200,3
2483,PSAP,3
3344,p12,3
1853,MIR,3
1153,GLUC,3
1925,MRS,3
1924,MRP8,3
1829,MGF,3
1108,GC1,3
112,ALR,3
1921,MRP2,3
109,ALK1,3
1920,MRP1,3
107,ALF,3
2492,PSG1,3
1152,GLP1,3
1836,MIF,3
103,ALDH4,3
1151,GLP-1,3
1150,GLP,3
3326,env,3
1913,MRP,3
1115,GCE,3
92,AIP-1,3
91,AIM1,3
90,AIM,3
1147,GL,3
1846,MIP,3
3335,lnc,3
1118,GCP,3
1907,MRF1,3
81,AGS1,3
1852,MIP2A,3
269,BAR,3
3223,UNR,3
1358,HGPS,3
980,FAD,3
1684,LAP2,3
3147,TSC,3
2579,REF1,3
373,C6ST,3
2405,POF,3
3152,TSP1,3
3153,TSPY,3
3096,TR3,3
1689,LAT3,3
3094,TR1,3
1647,L12,3
1646,L11,3
2596,RIG1,3
2574,RDP,3
1692,LCA,3
3089,TPT,3
982,FADS,3
387,CAB,3
2408,POP2,3
3083,TP53TG3C,3
2037,NIP1,3
3082,TP53TG3B,3
395,CAF-1,3
3144,TS,3
2595,RIG,3
3099,TRAC1,3
331,BWS,3
1666,L5,3
3124,TRM1,3
3125,TRN,3
1668,L7,3
1670,L9,3
339,C11,3
1226,H2A.1,3
2059,NOP,3
3132,TRNP1,3
2062,NOTCH2NL,3
3113,TRF,3
3101,TRAM,3
3111,TRBP,3
328,BTHLM1,3
327,BTF4,3
1656,L2,3
1654,L18,3
1000,FAME,3
3107,TRAPPC2P1,3
1653,L17,3
2064,NOV,3
1651,L15,3
1697,LD78,3
388,CAB1,3
2589,RH,3
1622,KMS,3
420,CAPZ,3
2080,NRP,3
1025,FCG2,3
3057,TL-PST,3
280,BCRP1,3
425,CARP,3
2082,NS,3
410,CANP,3
2391,PMI,3
1023,FCCMS,3
399,CAK,3
3060,TLP,3
1708,LGS,3
2413,POTE-15,3
2609,RK,3
418,CAPH2,3
2566,RCAD,3
1242,H2B/s,3
405,CAM2,3
3052,TIM1,3
2570,RCP,3
272,BB1,3
1236,H2B.1,3
297,BG,3
2409,POP3,3
976,FA1,3
435,CAT2,3
2019,NET,3
1210,GT1,3
1701,LEU2,3
3054,TIP39,3
431,CASP,3
2603,RIP1,3
2092,NT5,3
427,CART1,3
2318,PE-1,2
2376,PKR1,2
2393,PMR1,2
2334,PGDS,2
2394,PMS2L11,2
2333,PGDH,2
2332,PGD2,2
2316,PDZK5C,2
2392,PMI1,2
2324,PEPP-2,2
2320,PEHO,2
2331,PGAM-B,2
2314,PDZD5C,2
2464,PRO1278,2
2463,PRO1068,2
2335,PGG/HS,2
2325,PEPP1,2
2326,PEPP2,2
2466,PRP-1/PRP-2,2
2377,PKR2,2
2467,PRP4,2
2382,PLAP-1,2
2327,PERRS,2
2328,PFD,2
2383,PLB,2
2384,PLCE,2
2462,PRO1,2
2385,PLGLA1,2
2386,PLGP1,2
2461,PRL3,2
2329,PFIC4,2
2390,PM5,2
2330,PFM1,2
2388,PLIP,2
2387,PLGP2,2
2322,PEO,2
2365,PIP1,2
2395,PMS2L2,2
2410,PORC,2
2427,PP4,2
2412,POST,2
2428,PP5,2
2429,PP610,2
2411,PORMIN,2
2430,PPCD,2
2356,PIG11,2
2355,PIG-U,2
2354,PIF,2
2357,PIG2,2
2431,PPCD1,2
2353,PI7,2
2369,PIX1,2
2433,PPH3,2
2434,PPIASE,2
2370,PK1,2
2350,PI,2
2349,PHS2,2
2426,PP2Calpha,2
2425,PP2CE,2
2436,PPK,2
2415,POTE2beta,2
2363,PIG9,2
2362,PIG8,2
2417,POU5F1,2
2418,PP,2
2366,PIR-B,2
2367,PIRB,2
2416,POTEB,2
2361,PIG6,2
2420,PP17,2
2424,PP2CB,2
2360,PIG5,2
2414,POTE22,2
2421,PP18,2
2359,PIG4,2
2422,PP2C-DELTA,2
2358,PIG3,2
2368,PIT1,2
2423,PP2CA,2
2371,PKB,2
2437,PPN,2
2459,PRKAR2,2
2453,PRG5,2
2342,PHD1,2
2451,PRG2,2
2401,PNK,2
2452,PRG3,2
2341,PH2,2
2340,PH,2
2339,PGR2,2
2400,PN1,2
2454,PRGA,2
2402,PNR,2
2399,PN-II,2
2364,PIMT,2
2398,PN-I,2
2455,PRH,2
2397,PN,2
2396,PMS4,2
2457,PRK1,2
2458,PRKAR1,2
2343,PHHI,2
2449,PRG-3,2
2438,PPP1R6,2
2373,PKD4,2
2439,PPS,2
2348,PHS,2
2347,PHR1,2
2440,PPT,2
2407,POP1,2
2372,PKD3,2
2441,PPT-2,2
2442,PPYR1,2
2374,PKK,2
2345,PHLP3,2
2444,PRAAS3,2
2445,PRAF1,2
2406,POM121L1,2
2446,PRAP,2
2375,PKL,2
2448,PRG,2
2404,POD1,2
2403,POB1,2
2337,PGII,2
0,10q23del,2
2313,PDS,2
2028,NF-E1,2
2018,NEPPK,2
2021,NET2,2
2022,NET3,2
2023,NET4,2
2024,NET5,2
2025,NET6,2
2026,NET7,2
2027,NEU,2
2029,NF1HHS,2
2016,NEM2,2
2030,NF1L4,2
2031,NF1L6,2
2032,NG2-6,2
2033,NG23,2
2034,NIF,2
2035,NIK,2
2036,NIP,2
2038,NIRF,2
2017,NEP,2
2015,NEM1,2
2040,NK3,2
2004,NCRNA00087,2
1996,NBPF,2
1997,NBS,2
1998,NBS1,2
1999,NC,2
2000,NCA,2
2001,NCC-3,2
2002,NCC3,2
2003,NCRNA00086,2
2005,NCRNA00257,2
2014,NEDSMBA,2
2006,NDK,2
2007,NDPP1,2
2008,NDR,2
2009,NDR1,2
2010,NECC1,2
2011,NEDBA,2
2012,NEDF,2
2013,NEDMEBA,2
2039,NK1,2
2041,NKAT,2
2312,PDIR,2
2078,NRF2,2
2069,NPH2,2
2070,NPH3,2
2071,NPHL2,2
2073,NPIPB,2
2074,NPY4-R,2
2075,NPYR,2
2076,NR1,2
2077,NR6,2
2079,NRK2,2
2067,NP2,2
2081,NRXN4,2
2083,NS3TP1,2
2084,NSCL2,2
2085,NSE1,2
2086,NSE2,2
2088,NSP2,2
2089,NSPLII,2
2090,NT,2
2068,NPH1,2
2066,NP1,2
2042,NKH,2
2051,NLS1,2
2043,NKHC,2
2044,NKIR,2
2045,NKR,2
2046,NKX-1.1,2
2047,NL1,2
2048,NL2,2
2049,NLF1,2
2050,NLG1,2
2052,NNX3,2
2063,NOTCH2NLA,2
2053,NOC,2
2054,NOC2,2
2055,NOC4,2
2056,NOD,2
2057,NOD5,2
2058,NOL1,2
2060,NOR1,2
2061,NOS,2
1995,NBP1,2
1993,NBIA4,2
1992,NBIA3,2
1926,MRT1,2
1914,MRP-L14,2
1915,MRP-L15,2
1916,MRP-L18,2
1917,MRP-L22,2
1918,MRP-L32,2
1919,MRP-S28,2
1922,MRP6,2
1923,MRP7,2
1927,MRX,2
1911,MRK,2
1928,MRX2,2
1929,MRX99,2
1930,MRXS16,2
1931,MRXSH,2
1932,MS4A4,2
1933,MSAP,2
1935,MSH,2
1936,MSK16,2
1912,MRLC2,2
1910,MRG2,2
1991,NBC3,2
1896,MP70,2
1887,MOP3,2
1888,MOR1,2
1889,MOR2,2
1890,MORF4LP4,2
1891,MOSP,2
1893,MOX2,2
1894,MP1,2
1895,MP44,2
1897,MPD6,2
1908,MRG,2
1898,MPP,2
1899,MPP11,2
1900,MPP6,2
1901,MPPH,2
1903,MRCL,2
1904,MRCL3,2
1905,MRD63,2
1906,MRE11B,2
1938,MSPS,2
1939,MSS1,2
1940,MSS4,2
1980,NAPB,2
1971,NABC1,2
1972,NAC,2
1973,NAC1,2
1974,NACHRA7,2
1975,NAG,2
1976,NALD,2
1978,NAP1L,2
1979,NAP2,2
1981,NAPOR,2
1941,MSSP,2
1982,NAS1,2
1983,NAT-1,2
1985,NAT3,2
1986,NAT5,2
1987,NAT5P,2
1988,NAT6,2
1989,NB,2
1990,NBC2,2
1970,NAAGS,2
1969,NA88A,2
1967,MyD88-4,2
1966,Met,2
1943,MT-A70,2
1945,MT1K,2
1947,MTB,2
1948,MTC,2
1949,MTCO2,2
1950,MTCP1,2
1951,MTF,2
1952,MTF1,2
1953,MTP,2
1954,MTS1,2
1956,MTTK,2
1959,MUC5,2
1960,MUC9,2
1961,MUHH,2
1962,MUM1,2
1964,MZF-1,2
1965,Mar1,2
2091,NT3,2
2093,NTE,2
2094,NTN,2
2237,PABP1,2
2227,P65,2
2228,P76,2
2229,P78,2
2231,P80,2
2232,P84,2
2233,P97,2
2235,PAAT,2
2236,PAB1,2
2238,PABP2,2
2223,P56,2
2239,PABP3,2
2240,PABP4,2
2241,PABPL1,2
2242,PAC-1,2
2244,PACAP,2
2245,PACER,2
2246,PACT,2
2247,PAD,2
2226,P62,2
2221,P5,2
2188,OX2R,2
2207,P29,2
2192,P0,2
2194,P100,2
2195,P105,2
2196,P11,2
2200,P150,2
2201,P160,2
2204,P2,2
2205,P21,2
2208,P2X5,2
2219,P450DB1,2
2209,P2Y11,2
2210,P3,2
2211,P31,2
2213,P37,2
2214,P38,2
2215,P39,2
2217,P42,2
2218,P450C2D,2
2248,PAD1,2
2249,PAFAH,2
2250,PAG,2
2299,PCL,2
2282,PB,2
2284,PBF,2
2285,PBI,2
2287,PBS,2
2289,PC-1,2
2296,PCDH22,2
2297,PCDHX,2
2298,PCGF4,2
2300,PCL1,2
2251,PAGB,2
2301,PCN,2
2302,PCN3,2
2303,PCP,2
2304,PCPB,2
2305,PCT,2
2306,PCTAIRE,2
2309,PDA2,2
2310,PDF,2
2281,PAT1,2
2280,PAS-2,2
2279,PARS,2
2278,PARPL,2
2252,PAGE-1,2
2253,PAI,2
2254,PAIS,2
2255,PAK5,2
2257,PAM-1,2
2258,PAMP,2
2259,PAN2,2
2260,PAO,2
2262,PAP-II,2
2266,PAPA1,2
2267,PAPPAS,2
2268,PAPT,2
2269,PAR,2
2273,PAR3,2
2275,PARC,2
2276,PARF,2
2277,PARP,2
2191,P-PST,2
2187,OTX3,2
2095,NUP358,2
2130,OLF1,2
2121,ODF,2
2122,ODZ3,2
2124,OFD1P1,2
2125,OFD1P2,2
2126,OI11,2
2127,OI12,2
2128,OI4,2
2129,OI6,2
2131,OLF4p,2
2119,ODC,2
2132,OLFR42B,2
2133,OLFRA06,2
2134,OM,2
2135,OOMD,2
2136,OPG,2
2137,OPT,2
2138,OR1-25,2
2139,OR11-1,2
2120,ODC1L,2
2118,OCTD,2
2186,OTSC12,2
2105,OB1,2
2096,NY-ESO-1,2
2097,NY-REN-2,2
2098,NatF,2
2100,OAT1,2
2101,OAT4,2
2102,OATP1,2
2103,OAZ,2
2104,OB,2
2106,OBP,2
2117,OCT6,2
2107,OBTP,2
2108,OCA8,2
2109,OCC-1,2
2110,OCC1,2
2111,OCIF,2
2112,OCP2,2
2113,OCT1,2
2114,OCT2,2
2140,OR11-104,2
2141,OR11-11a,2
2142,OR11-12,2
2174,OR912-110,2
2166,OR7E68P,2
2167,OR7E71P,2
2168,OR7E72P,2
2169,OR7E73P,2
2170,OR7E74P,2
2171,OR7E75P,2
2172,OR912-108,2
2173,OR912-109,2
2175,OR912-46,2
2143,OR11-13,2
2176,ORF1,2
2177,ORM,2
2178,ORP1,2
2179,OSCP,2
2180,OSF-2,2
2181,OSF2,2
2182,OST,2
2183,OSX,2
2165,OR7-21,2
2164,OR6-31,2
2163,OR6-1,2
2162,OR4F18,2
2144,OR11-22,2
2145,OR11-3,2
2146,OR11-55,2
2147,OR17-16,2
2148,OR17-2,2
2149,OR17-23,2
2150,OR17-24,2
2151,OR17-25,2
2152,OR17-30,2
2153,OR19-12,2
2155,OR19-4,2
2156,OR19-5,2
2157,OR19-6,2
2158,OR19-7,2
2159,OR19-8,2
2160,OR21-1,2
2161,OR25,2
2468,PRP8,2
2631,RNU1-12P,2
2470,PRR2,2
3075,TOB55,2
3066,TMSA,2
3067,TMSB15B,2
3068,TMSL8,2
3069,TMSNB,2
3070,TN,2
3071,TN-C,2
3072,TNRC14,2
3073,TNT,2
3074,TNX,2
3076,TOF,2
3030,TEM,2
3077,TOP,2
3079,TP1,2
3080,TP2,2
3084,TP53TG3D,2
3087,TPC,2
3088,TPS2,2
3090,TPTPS,2
3091,TPX1,2
3093,TR-1,2
3065,TMS-1,2
3064,TMS,2
3063,TMP21,2
3062,TM,2
3032,TER,2
3033,TERA,2
3034,TFI,2
3035,TFIIA,2
3038,TFIIIB90,2
3040,TFP,2
3041,TGIF,2
3042,TGR,2
3043,TGT,2
3044,THC2,2
3046,THRA1,2
3047,TIC,2
3048,TICAM-2,2
3050,TIH1,2
3055,TIRAP3,2
3056,TIRP,2
3058,TLL,2
3059,TLN,2
3061,TLX,2
3097,TRA1,2
3098,TRAC-1,2
3100,TRAD,2
3134,TRP2,2
3136,TRS4,2
3137,TRX,2
3138,TRX1,2
3139,TRX2,2
3140,TRY1,2
3141,TRY3,2
3142,TRY4,2
3143,TRYP2,2
3145,TSARG1,2
3146,TSBP,2
3148,TSG,2
3149,TSH1,2
3150,TSH2,2
3151,TSK4,2
3154,TSPY1,2
3155,TSPY10,2
3156,TSSK1,2
3157,TTC30B,2
3158,TTD,2
3135,TRP3,2
3131,TRNAV22,2
3104,TRAP-1,2
3130,TRNAN5,2
3105,TRAP1,2
3106,TRAP2,2
3108,TRB1,2
3109,TRB2,2
3110,TRB3,2
3112,TRE,2
3114,TRF2,2
3115,TRFP,2
3116,TRIDENT,2
3117,TRIM49D2P,2
3118,TRIM49L2,2
3119,TRIM80P,2
3120,TRIP,2
3121,TRIP1,2
3122,TRK,2
3123,TRK1,2
3126,TRN1,2
3127,TRN2,2
3128,TRNAMI2,2
3031,TEN1,2
3029,TEL2,2
