,collision,ENSG_ID,gene_symbol,source
0,2F1,"ENSG00000005022, ENSG00000139187","SLC25A5, KLRG1",ENSG
1,60B8AG,"ENSG00000143546, ENSG00000163220","S100A8, S100A9",ENSG
2,87U6,"ENSG00000206832, ENSG00000065135","RNU6V, GNAI3",ENSG
3,9G8,"ENSG00000164609, ENSG00000115875","SLU7, SRSF7",ENSG
4,A1,"ENSG00000033627, ENSG00000163918, ENSG00000035928, ENSG00000049541","ATP6V0A1, RFC4, RFC1, RFC2",ENSG
5,A2,"ENSG00000185344, ENSG00000149735, ENSG00000160226, ENSG00000108823","ATP6V0A2, GPHA2, CFAP410, SGCA",ENSG
6,A20,"ENSG00000118503, ENSG00000282666","TNFAIP3, IGKV1-27",ENSG
7,A3GALNT,"ENSG00000281879, ENSG00000148288","ABO, GBGT1",ENSG
8,A4,"ENSG00000102007, ENSG00000105929, ENSG00000102683, ENSG00000089289","PLP2, ATP6V0A4, SGCG, IGBP1",ENSG
9,AAC1,"ENSG00000151729, ENSG00000171428","SLC25A4, NAT1",ENSG
10,ABC1,"ENSG00000165029, ENSG00000068097","ABCA1, HEATR6",ENSG
11,ABL,"ENSG00000097007, ENSG00000261189, ENSG00000138823","ABL1, DSP-AS1, MTTP",ENSG
12,ABP,"ENSG00000002726, ENSG00000129214","AOC1, SHBG",ENSG
13,ABP-280,"ENSG00000128591, ENSG00000196924","FLNC, FLNA",ENSG
14,ABP1,"ENSG00000136279, ENSG00000002726","DBNL, AOC1",ENSG
15,AC008392.1,"ENSG00000268186, ENSG00000268001","ZNF114-AS1, CARD8-AS1",ENSG
16,AC079630.2,"ENSG00000223914, ENSG00000260943","LINC02471, LINC02555",ENSG
17,AC1,"ENSG00000164742, ENSG00000082929","ADCY1, LINC01587",ENSG
18,ACA59,"ENSG00000239149, ENSG00000266079","SNORA59A, SNORA59B",ENSG
19,ACAT,"ENSG00000075239, ENSG00000057252","ACAT1, SOAT1",ENSG
20,ACBP,"ENSG00000178772, ENSG00000155368","CPN2, DBI",ENSG
21,ACC1,"ENSG00000278540, ENSG00000140379","ACACA, BCL2A1",ENSG
22,ACC2,"ENSG00000140379, ENSG00000076555","BCL2A1, ACACB",ENSG
23,ACCA,"ENSG00000181773, ENSG00000278540","GPR3, ACACA",ENSG
24,ACS,"ENSG00000131069, ENSG00000110455","ACSS2, ACCS",ENSG
25,ACS2,"ENSG00000164398, ENSG00000197142","ACSL6, ACSL5",ENSG
26,ACS3,"ENSG00000123983, ENSG00000122691","ACSL3, TWIST1",ENSG
27,ACSM2,"ENSG00000066813, ENSG00000183747","ACSM2B, ACSM2A",ENSG
28,ACT,"ENSG00000222036, ENSG00000112214, ENSG00000097021, ENSG00000196136","POTEM, FHL5, ACOT7, SERPINA3",ENSG
29,ACTL6,"ENSG00000077080, ENSG00000136518","ACTL6B, ACTL6A",ENSG
30,ACVRLK4,"ENSG00000135503, ENSG00000106799","ACVR1B, TGFBR1",ENSG
