,collision,ENSG_ID,gene_symbol,source
0,10Q23DEL,"ENSG00000171862, ENSG00000107779","PTEN, BMPR1A",NCBI
1,12-LOX,"ENSG00000161905, ENSG00000108839","ALOX15, ALOX12",NCBI
2,20-ALPHA-HSD,"ENSG00000187134, ENSG00000108786","AKR1C1, HSD17B1",NCBI
3,2F1,"ENSG00000005022, ENSG00000139187","SLC25A5, KLRG1",NCBI
4,3-ALPHA-HSD,"ENSG00000198610, ENSG00000073737","AKR1C4, DHRS9",NCBI
5,35DAG,"ENSG00000170624, ENSG00000102683","SGCD, SGCG",NCBI
6,37LRP,"ENSG00000288920, ENSG00000168028","RPSA2, RPSA",NCBI
7,464.2,"ENSG00000276085, nan","CCL3L3, CCL3L1",NCBI
8,5PTASE,"ENSG00000204084, ENSG00000068383","INPP5B, INPP5A",NCBI
9,60B8AG,"ENSG00000143546, ENSG00000163220","S100A8, S100A9",NCBI
10,61E3.4,"ENSG00000185864, ENSG00000157106","NPIPB4, SMG1",NCBI
11,67LR,"ENSG00000288920, ENSG00000168028","RPSA2, RPSA",NCBI
12,87U6,"ENSG00000065135, nan","GNAI3, RNU6V",NCBI
13,9G8,"ENSG00000164609, ENSG00000115875","SLU7, SRSF7",NCBI
14,A1,"ENSG00000239571, ENSG00000035928, ENSG00000163918, ENSG00000033627","IGKV2D-30, RFC1, RFC4, ATP6V0A1",NCBI
15,A15,"nan, ENSG00000156298","IGKV1-32, TSPAN7",NCBI
16,A1B,"ENSG00000172164, ENSG00000121410","SNTB1, A1BG",NCBI
17,A2,"ENSG00000185344, ENSG00000149735","ATP6V0A2, GPHA2",NCBI
18,A20,"ENSG00000118503, ENSG00000244575","TNFAIP3, IGKV1-27",NCBI
19,A3,"ENSG00000242534, ENSG00000110719","IGKV2D-28, TCIRG1",NCBI
20,A3A,"nan, ENSG00000128383, ENSG00000173402","APOBEC3A_B, APOBEC3A, DAG1",NCBI
21,A3B,"ENSG00000179750, ENSG00000163069","APOBEC3B, SGCB",NCBI
22,A3GALNT,"ENSG00000175164, ENSG00000148288","ABO, GBGT1",NCBI
23,A4,"ENSG00000105929, ENSG00000102007, ENSG00000102683, nan","ATP6V0A4, PLP2, SGCG, IGKV1D-27",NCBI
24,A6,"nan, ENSG00000151239","IGKV3D-25, TWF1",NCBI
25,A8,"ENSG00000187764, nan","SEMA4D, IGKV2D-23",NCBI
26,AAA,"nan, ENSG00000142192, ENSG00000094914","AAA1, APP, AAAS",NCBI
27,AAAT,"ENSG00000162383, ENSG00000105281","SLC1A7, SLC1A5",NCBI
28,AAC1,"ENSG00000171428, ENSG00000151729","NAT1, SLC25A4",NCBI
29,AAC2,"ENSG00000156006, ENSG00000005022","NAT2, SLC25A5",NCBI
