,gene_symbol,alias_symbol,ENSG_ID,HGNC_ID,NCBI_ID,collision,source
0,KLRG1,"MAFA,2F1,MAFA-L,CLEC15A",ENSG00000139187,6380,10219.0,2F1,HGNC
1,SLC25A5,"T2,2F1,T3",ENSG00000005022,10991,292.0,2F1,HGNC
2,S100A8,"P8,MRP8,MRP-8,60B8AG,CGLA,S100-A8",ENSG00000143546,10498,6279.0,60B8AG,HGNC
3,S100A9,"P14,MIF,NIF,LIAG,MRP14,MAC387,60B8AG,CGLB,MRP-14,S100-A9",ENSG00000163220,10499,6280.0,60B8AG,HGNC
4,RNU6V,"87U6,LH87",ENSG00000206832,10230,6071.0,87U6,HGNC
5,GNAI3,87U6,ENSG00000065135,4387,2773.0,87U6,HGNC
6,SRSF7,"9G8,ZCRB2,HSSG1,AAG3,RBM37,ZCCHC20",ENSG00000115875,10789,6432.0,9G8,HGNC
7,SLU7,9G8,ENSG00000164609,16939,10569.0,9G8,HGNC
8,ATP6V0A1,"a1,Vph1,Stv1",ENSG00000033627,865,535.0,A1,HGNC
9,RFC1,"A1,PO-GA,RFC140,MHCBFB",ENSG00000035928,9969,5981.0,A1,HGNC
10,RFC4,"A1,RFC37",ENSG00000163918,9972,5984.0,A1,HGNC
11,RFC2,"A1,RFC40",ENSG00000049541,9970,5982.0,A1,HGNC
12,SGCA,"SCARMD1,LGMD2D,adhalin,DMDA2,A2",ENSG00000108823,10805,6442.0,A2,HGNC
13,ATP6V0A2,"TJ6,a2,TJ6s,TJ6M,ATP6a2,J6B7,ATP6N1D,Vph1,Stv1,a2V,RTF",ENSG00000185344,18481,23545.0,A2,HGNC
14,CFAP410,"YF5,A2,LRRC76",ENSG00000160226,1260,755.0,A2,HGNC
15,GPHA2,"GPA2,ZSIG51,A2,MGC126572",ENSG00000149735,18054,170589.0,A2,HGNC
16,IGKV1-27,"IGKV127,A20",ENSG00000244575,5735,28935.0,A20,HGNC
17,TNFAIP3,"A20,OTUD7C",ENSG00000118503,11896,7128.0,A20,HGNC
18,ABO,"A3GALNT,A3GALT1",ENSG00000175164,79,28.0,A3GALNT,HGNC
19,GBGT1,"UDP-GalNAc,A3GALNT,MGC44848,FS",ENSG00000148288,20460,26301.0,A3GALNT,HGNC
20,SGCG,"SCARMD2,DAGA4,SCG3,DMDA,TYPE,A4,MGC130048",ENSG00000102683,10809,6445.0,A4,HGNC
21,PLP2,"A4,A4-LSB,MGC126187",ENSG00000102007,9087,5355.0,A4,HGNC
22,ATP6V0A4,"RDRTA2,VPP2,RTADR,a4,Vph1,Stv1",ENSG00000105929,866,50617.0,A4,HGNC
23,MTTP,ABL,ENSG00000138823,7467,4547.0,ABL,HGNC
24,DSP-AS1,"RP3-512B11.3,ABL",ENSG00000261189,56039,101928076.0,ABL,HGNC
25,FLNC,"ABP-280,ABPL",ENSG00000128591,3756,2318.0,ABP-280,HGNC
26,FLNA,ABP-280,ENSG00000196924,3754,2316.0,ABP-280,HGNC
27,CARD8-AS1,"LOC100505812,AC008392.1",ENSG00000268001,51408,100505812.0,AC008392.1,HGNC
28,ZNF114-AS1,AC008392.1,ENSG00000268186,53930,105372429.0,AC008392.1,HGNC
29,LINC02555,AC079630.2,ENSG00000260943,53593,101930164.0,AC079630.2,HGNC
30,LINC02471,AC079630.2,ENSG00000223914,53410,105369734.0,AC079630.2,HGNC
31,ADCY1,AC1,ENSG00000164742,232,107.0,AC1,HGNC
32,LINC01587,aC1,ENSG00000082929,13716,10141.0,AC1,HGNC
33,SNORA59A,ACA59,ENSG00000239149,32653,677885.0,ACA59,HGNC
34,SNORA59B,ACA59,ENSG00000266079,32658,677882.0,ACA59,HGNC
35,BCL2A1,"GRS,BFL1,BCL2L5,ACC-1,ACC-2,ACC2,ACC1",ENSG00000140379,991,597.0,ACC1,HGNC
36,ACACA,"ACC1,ACC-alpha,ACCA,ACCalpha,ACACalpha,Acac1,hACC1",ENSG00000278540,84,31.0,ACC1,HGNC
37,BCL2A1,"GRS,BFL1,BCL2L5,ACC-1,ACC-2,ACC2,ACC1",ENSG00000140379,991,597.0,ACC2,HGNC
38,ACACB,"HACC275,ACC2,ACCB,ACC-beta,ACCbeta,ACACbeta",ENSG00000076555,85,32.0,ACC2,HGNC
39,GPR3,ACCA,ENSG00000181773,4484,2827.0,ACCA,HGNC
40,ACACA,"ACC1,ACC-alpha,ACCA,ACCalpha,ACACalpha,Acac1,hACC1",ENSG00000278540,84,31.0,ACCA,HGNC
41,ACSS2,"ACS,ACSA,AceCS,dJ1161H23.1",ENSG00000131069,15814,55902.0,ACS,HGNC
42,ACCS,"PHACS,ACS",ENSG00000110455,23989,84680.0,ACS,HGNC
43,ACSL5,"ACS5,ACS2",ENSG00000197142,16526,51703.0,ACS2,HGNC
44,ACSL6,"KIAA0837,ACS2,LACS5,LACS2",ENSG00000164398,16496,23305.0,ACS2,HGNC
45,FHL5,"FLJ33049,ACT,dJ393D12.2",ENSG00000112214,17371,9457.0,ACT,HGNC
46,POTEM,"POTE14beta,P704P,ACT",ENSG00000222036,37096,641455.0,ACT,HGNC
47,ACOT7,"BACH,ACH1,ACT,CTE-II,LACH1,MGC1126,hBACH",ENSG00000097021,24157,11332.0,ACT,HGNC
48,SERPINA3,ACT,ENSG00000196136,16,12.0,ACT,HGNC
49,TMIGD3,AD026,ENSG00000121933,51375,57413.0,AD026,HGNC
50,ADORA3,"AD026,A3AR",ENSG00000282608,268,140.0,AD026,HGNC
51,ADA,ADA1,ENSG00000196839,186,100.0,ADA1,HGNC
52,TADA1,"STAF42,ADA1,hADA1,HFI1",ENSG00000152382,30631,117143.0,ADA1,HGNC
53,IFNGR2,AF-1,ENSG00000159128,5440,3460.0,AF-1,HGNC
54,PSMD4,"S5A,AF-1,AF,Rpn10",ENSG00000159352,9561,5710.0,AF-1,HGNC
55,AGR2,"XAG-2,HAG-2,AG2,PDIA17",ENSG00000106541,328,10551.0,AG2,HGNC
56,C11ORF96,,ENSG00000187479,38675,387763.0,AG2,HGNC
57,GPAT3,"MGC11324,LPAAT-theta,MAG1,HMFN0839,AGPAT10",ENSG00000138678,28157,84803.0,AGPAT10,HGNC
58,LPCAT1,"FLJ12443,AGPAT9,AGPAT10,LPLAT8",ENSG00000153395,25718,79888.0,AGPAT10,HGNC
59,GPSM1,"AGS3,DKFZP727I051",ENSG00000160360,17858,26086.0,AGS3,HGNC
60,RNASEH2C,"AYP1,AGS3",ENSG00000172922,24116,84153.0,AGS3,HGNC
61,RNASEH2A,"RNASEHI,RNHIA,RNHL,AGS4",ENSG00000104889,18518,10535.0,AGS4,HGNC
62,GPSM3,"NG1,G18,G18.1a,G18.1b,G18.2,AGS4",ENSG00000213654,13945,63940.0,AGS4,HGNC
63,AHSA2P,"DKFZp564C236,Hch1,AHA1",ENSG00000173209,20437,130872.0,AHA1,HGNC
64,AHSA1,"p38,Aha1,hAha1",ENSG00000100591,1189,10598.0,AHA1,HGNC
65,NAXE,"AIBP,MGC119143,MGC119144,MGC119145,YJEFN1",ENSG00000163382,18453,128240.0,AIBP,HGNC
66,AUNIP,"MGC2603,AIBp",ENSG00000127423,28363,79000.0,AIBP,HGNC
67,AURKB,"Aik2,IPL1,AurB,AIM-1,ARK2,STK5,PPP1R48",ENSG00000178999,11390,9212.0,AIM-1,HGNC
68,SLC45A2,"AIM-1,OCA4",ENSG00000164175,16472,51151.0,AIM-1,HGNC
69,ARL6IP1,"AIP1,ARMER,KIAA0069,SPG61",ENSG00000170540,697,23204.0,AIP1,HGNC
70,MAGI2,"AIP1,ARIP1,KIAA0705,ACVRIP1,MAGI-2",ENSG00000187391,18957,9863.0,AIP1,HGNC
71,WDR1,AIP1,ENSG00000071127,12754,9948.0,AIP1,HGNC
72,PDCD6IP,"Alix,AIP1,Hp95",ENSG00000170248,8766,10015.0,AIP1,HGNC
73,DAB2IP,"AF9Q34,DIP1/2,KIAA1743,AIP1",ENSG00000136848,17294,153090.0,AIP1,HGNC
74,ACTRT1,"AIP1,KIAA0705,ARIP1,Arp-T1",ENSG00000123165,24027,139741.0,AIP1,HGNC
75,CHD1L,ALC1,ENSG00000131778,1916,9557.0,ALC1,HGNC
76,MYL4,"ALC1,AMLC,GT1,PRO1957",ENSG00000198336,7585,4635.0,ALC1,HGNC
77,LINC00261,"bA216C10.1,HCCDR1,TCONS_00027846,ALIEN,DEANR1,onco-lncRNA-17,FALCOR,LCAL62",ENSG00000259974,16189,140828.0,ALIEN,HGNC
78,COPS2,"TRIP15,ALIEN,CSN2",ENSG00000166200,30747,9318.0,ALIEN,HGNC
79,ALK,"CD246,ALK1",ENSG00000171094,427,238.0,ALK1,HGNC
80,ACVRL1,"HHT2,ALK1,HHT",ENSG00000139567,175,94.0,ALK1,HGNC
81,SLPI,"HUSI-I,ALK1,ALP,BLPI,HUSI,WAP4,WFDC4",ENSG00000124107,11092,6590.0,ALK1,HGNC
82,ASRGL1,"FLJ22316,ALP1,ALP",ENSG00000162174,16448,80150.0,ALP,HGNC
83,ATHS,ALP,,793,,ALP,HGNC
84,ATRNL1,"KIAA0534,FLJ45344,ALP",ENSG00000107518,29063,26033.0,ALP,HGNC
85,PDLIM3,ALP,ENSG00000154553,20767,27295.0,ALP,HGNC
86,CCL27,"ALP,ILC,CTACK,skinkine,ESkine,PESKY,CTAK",ENSG00000213927,10626,10850.0,ALP,HGNC
87,SLPI,"HUSI-I,ALK1,ALP,BLPI,HUSI,WAP4,WFDC4",ENSG00000124107,11092,6590.0,ALP,HGNC
88,ASRGL1,"FLJ22316,ALP1,ALP",ENSG00000162174,16448,80150.0,ALP1,HGNC
89,ASZ1,"Orf3,GASZ,ALP1,CT1.19",ENSG00000154438,1350,136991.0,ALP1,HGNC
90,GFER,"HSS,ERV1,ALR,HERV1,HPO1,HPO2",ENSG00000127554,4236,2671.0,ALR,HGNC
91,AKR1A1,"ALR,DD3",ENSG00000117448,380,10327.0,ALR,HGNC
92,KMT2D,"ALR,MLL4,CAGL114",ENSG00000167548,7133,8085.0,ALR,HGNC
93,FPR2,"LXA4R,HM63,FPRH2,FMLPX,FPR2A,FMLP-R-II,ALXR,ALX",ENSG00000171049,3827,2358.0,ALX,HGNC
94,HSH2D,"ALX,HSH2,FLJ14886",ENSG00000196684,24920,84941.0,ALX,HGNC
95,ATF7IP,"FLJ10688,p621,ATF7IP1,MCAF1,MCAF,AM",ENSG00000171681,20092,55729.0,AM,HGNC
96,ADM,AM,ENSG00000148926,259,133.0,AM,HGNC
97,CCDC102B,"FLJ23594,HsT1731,AN",ENSG00000150636,26295,79839.0,AN,HGNC
98,PAX6,"D11S812E,AN,WAGR",ENSG00000007372,8620,5080.0,AN,HGNC
99,DIAPH3,"DRF3,FLJ34705,AN,NSDAN",ENSG00000139734,15480,81624.0,AN,HGNC
