,gene_symbol,alias_symbol,ENSG_ID,HGNC_ID,NCBI_ID,collision,source
0,BMPR1A,"10q23del,ACVRLK3,ALK-3,ALK3,BMPR-1A,CD292,SKR5",ENSG00000107779,1076.0,657,10Q23DEL,NCBI
1,PTEN,"10q23del,BZS,CWS1,DEC,GLM2,MHAM,MMAC1,PTEN1,PTENbeta,PTENgama,TEP1",ENSG00000171862,9588.0,5728,10Q23DEL,NCBI
2,ALOX12,"12-LOX,12S-LOX,LOG12",ENSG00000108839,429.0,239,12-LOX,NCBI
3,ALOX15,"12-LOX,15-LOX,15-LOX-1,LOG15",ENSG00000161905,433.0,246,12-LOX,NCBI
4,AKR1C1,"2-ALPHA-HSD,20-ALPHA-HSD,C9,DD1,DD1/DD2,DDH,DDH1,H-37,HAKRC,HBAB,MBAB",ENSG00000187134,384.0,1645,20-ALPHA-HSD,NCBI
5,HSD17B1,"17-beta-HSD,20-alpha-HSD,E2DH,EDH17B2,EDHB17,HSD17,SDR28C1",ENSG00000108786,5210.0,3292,20-ALPHA-HSD,NCBI
6,KLRG1,"2F1,CLEC15A,MAFA,MAFA-2F1,MAFA-L,MAFA-LIKE",ENSG00000139187,6380.0,10219,2F1,NCBI
7,SLC25A5,"2F1,AAC2,ANT2,T2,T3",ENSG00000005022,10991.0,292,2F1,NCBI
8,AKR1C4,"3-alpha-HSD,C11,CDR,CHDR,DD-4,DD4,HAKRA",ENSG00000198610,387.0,1109,3-ALPHA-HSD,NCBI
9,DHRS9,"3-alpha-HSD,3ALPHA-HSD,RDH-TBE,RDH15,RDHL,RDHTBE,RETSDR8,SDR9C4,hRoDH-E2",ENSG00000073737,16888.0,10170,3-ALPHA-HSD,NCBI
10,SGCG,"35DAG,A4,DAGA4,DMDA,DMDA1,LGMD2C,LGMDR5,MAM,SCARMD2,gamma-SG",ENSG00000102683,10809.0,6445,35DAG,NCBI
11,SGCD,"35DAG,CMD1L,DAGD,LGMDR6,SG-delta,SGCDP,SGD",ENSG00000170624,10807.0,6444,35DAG,NCBI
12,RPSA,"37LRP,67LR,ICAS,LAMBR,LAMR1,LBP,LBP/p40,LRP,LRP/LR,NEM/1CHD4,SA,lamR,p40,uS2",ENSG00000168028,6502.0,3921,37LRP,NCBI
13,RPSA2,"37LRP,67LR,LBP/p40,LRP/LR,LamR,RPSAP58,RPSA_30_1642",ENSG00000288920,36809.0,388524,37LRP,NCBI
14,CCL3L3,"464.2,D17S1718,G0S19-2,LD78,LD78BETA,SCYA3L,SCYA3L1",ENSG00000276085,30554.0,414062,464.2,NCBI
15,CCL3L1,"464.2,D17S1718,G0S19-2,LD78,LD78-beta(1-70),LD78BETA,MIP1AP,SCYA3L,SCYA3L1",,10628.0,6349,464.2,NCBI
16,INPP5B,5PTase,ENSG00000204084,6077.0,3633,5PTASE,NCBI
17,INPP5A,5PTASE,ENSG00000068383,6076.0,3632,5PTASE,NCBI
18,S100A8,"60B8AG,CAGA,CFAG,CGLA,CP-10,L1Ag,MA387,MIF,MRP8,NIF,P8,S100-A8",ENSG00000143546,10498.0,6279,60B8AG,NCBI
19,S100A9,"60B8AG,CAGB,CFAG,CGLB,L1AG,LIAG,MAC387,MIF,MRP14,NIF,P14,S100-A9",ENSG00000163220,10499.0,6280,60B8AG,NCBI
20,SMG1,"61E3.4,ATX,LIP",ENSG00000157106,30045.0,23049,61E3.4,NCBI
21,NPIPB4,61E3.4,ENSG00000185864,41985.0,440345,61E3.4,NCBI
22,RPSA,"37LRP,67LR,ICAS,LAMBR,LAMR1,LBP,LBP/p40,LRP,LRP/LR,NEM/1CHD4,SA,lamR,p40,uS2",ENSG00000168028,6502.0,3921,67LR,NCBI
23,RPSA2,"37LRP,67LR,LBP/p40,LRP/LR,LamR,RPSAP58,RPSA_30_1642",ENSG00000288920,36809.0,388524,67LR,NCBI
24,GNAI3,"87U6,ARCND1,ARCODS,HG1A",ENSG00000065135,4387.0,2773,87U6,NCBI
25,RNU6V,"87U6,LH87",,10230.0,6071,87U6,NCBI
26,SRSF7,"9G8,AAG3,SFRS7",ENSG00000115875,10789.0,6432,9G8,NCBI
27,SLU7,"9G8,hSlu7",ENSG00000164609,16939.0,10569,9G8,NCBI
28,IGKV2D-30,"A1,IGKV2D30",ENSG00000239571,5801.0,28881,A1,NCBI
29,RFC4,"A1,MRMNS,RFC37",ENSG00000163918,9972.0,5984,A1,NCBI
30,RFC1,"A1,CANVAS,MHCBFB,PO-GA,RECC1,RFC,RFC140",ENSG00000035928,9969.0,5981,A1,NCBI
31,ATP6V0A1,"ATP6N1,ATP6N1A,DEE104,NEDEBA,Stv1,VPP1,Vph1,a1",ENSG00000033627,865.0,535,A1,NCBI
32,TSPAN7,"A15,CCG-B7,CD231,DXS1692E,MRX58,MXS1,TALLA-1,TM4SF2,TM4SF2b,XLID58",ENSG00000156298,11854.0,7102,A15,NCBI
33,IGKV1-32,"A15,A15a,IGKV132",,5736.0,28934,A15,NCBI
34,SNTB1,"59-DAP,A1B,BSYN2,DAPA1B,SNT2,SNT2B1,TIP-43",ENSG00000172164,11168.0,6641,A1B,NCBI
35,A1BG,"A1B,ABG,GAB,HYST2477",ENSG00000121410,5.0,1,A1B,NCBI
36,ATP6V0A2,"A2,ARCL,ARCL2A,ATP6A2,ATP6N1D,J6B7,RTF,STV1,TJ6,TJ6M,TJ6S,VPH1,WSS,a2V",ENSG00000185344,18481.0,23545,A2,NCBI
37,GPHA2,"A2,GPA2,ZSIG51",ENSG00000149735,18054.0,170589,A2,NCBI
38,TNFAIP3,"A20,AIFBL1,AISBL,OTUD7C,TNFA1P2",ENSG00000118503,11896.0,7128,A20,NCBI
39,IGKV1-27,"A20,IGKV127",ENSG00000244575,5735.0,28935,A20,NCBI
40,TCIRG1,"ATP6N1C,ATP6V0A3,Atp6i,OC-116kDa,OC116,OPTB1,Stv1,TIRC7,Vph1,a3",ENSG00000110719,11647.0,10312,A3,NCBI
41,IGKV2D-28,"A3,IGKV2D28",ENSG00000242534,5799.0,28883,A3,NCBI
42,DAG1,"156DAG,A3a,AGRNR,DAG,LGMDR16,MDDGA9,MDDGC7,MDDGC9",ENSG00000173402,2666.0,1605,A3A,NCBI
43,APOBEC3A_B,"A3A,APOBEC3A",,44196.0,100913187,A3A,NCBI
44,APOBEC3A,"A3A,ARP3,PHRBN,bK150C2.1",ENSG00000128383,17343.0,200315,A3A,NCBI
45,SGCB,"A3b,LGMD2E,LGMDR4,SGC",ENSG00000163069,10806.0,6443,A3B,NCBI
46,APOBEC3B,"A3B,APOBEC1L,ARCD3,ARP4,DJ742C19.2,PHRBNL,bK150C2.2",ENSG00000179750,17352.0,9582,A3B,NCBI
47,ABO,"A3GALNT,A3GALT1,GTB,NAGAT",ENSG00000175164,79.0,28,A3GALNT,NCBI
48,GBGT1,"A3GALNT,FS,UNQ2513",ENSG00000148288,20460.0,26301,A3GALNT,NCBI
49,PLP2,"A4,A4LSB",ENSG00000102007,9087.0,5355,A4,NCBI
50,SGCG,"35DAG,A4,DAGA4,DMDA,DMDA1,LGMD2C,LGMDR5,MAM,SCARMD2,gamma-SG",ENSG00000102683,10809.0,6445,A4,NCBI
51,ATP6V0A4,"A4,ATP6N1B,ATP6N2,DRTA3,RDRTA2,RTA1C,RTADR,STV1,VPH1,VPP2",ENSG00000105929,866.0,50617,A4,NCBI
52,IGKV1D-27,"A4,A4a,IGKV1D27",,5751.0,28898,A4,NCBI
53,TWF1,"A6,PTK9",ENSG00000151239,9620.0,5756,A6,NCBI
54,IGKV3D-25,"A6,IGKV3D25",,5826.0,28873,A6,NCBI
