primary_gene_symbol,gene_symbol,concept_id,relationship,source
MT-TF,MT-TF,HGNC:7481,,
MT-RNR1,MT-RNR1,HGNC:7470,,
MT-TV,MT-TV,HGNC:7500,,
MT-RNR2,MT-RNR2,HGNC:7471,,
MT-TL1,MT-TL1,HGNC:7490,,
MT-ND1,MT-ND1,HGNC:7455,,
MT-TI,MT-TI,HGNC:7488,,
MT-TQ,MT-TQ,HGNC:7495,,
MT-TM,MT-TM,HGNC:7492,,
MT-ND2,MT-ND2,HGNC:7456,,
MT-TW,MT-TW,HGNC:7501,,
MT-TA,MT-TA,HGNC:7475,,
MT-TN,MT-TN,HGNC:7493,,
MT-TC,MT-TC,HGNC:7477,,
MT-TY,MT-TY,HGNC:7502,,
MT-CO1,MT-CO1,HGNC:7419,,
MT-TS1,MT-TS1,HGNC:7497,,
MT-TD,MT-TD,HGNC:7478,,
MT-CO2,MT-CO2,HGNC:7421,,
MT-TK,MT-TK,HGNC:7489,,
MT-ATP8,MT-ATP8,HGNC:7415,,
MT-ATP6,MT-ATP6,HGNC:7414,,
MT-CO3,MT-CO3,HGNC:7422,,
MT-TG,MT-TG,HGNC:7486,,
MT-ND3,MT-ND3,HGNC:7458,,
MT-TR,MT-TR,HGNC:7496,,
MT-ND4L,MT-ND4L,HGNC:7460,,
MT-ND4,MT-ND4,HGNC:7459,,
MT-TH,MT-TH,HGNC:7487,,
MT-TS2,MT-TS2,HGNC:7498,,
MT-TL2,MT-TL2,HGNC:7491,,
MT-ND5,MT-ND5,HGNC:7461,,
MT-ND6,MT-ND6,HGNC:7462,,
MT-TE,MT-TE,HGNC:7479,,
MT-CYB,MT-CYB,HGNC:7427,,
MT-TT,MT-TT,HGNC:7499,,
MT-TP,MT-TP,HGNC:7494,,
RNA5-8SN5,RNA5-8SN5,HGNC:53533,,
MAFIP,MAFIP,HGNC:31102,,
RNA5-8SN4,RNA5-8SN4,HGNC:53529,,
RPL23AP45,RPL23AP45,HGNC:36896,,
C8orf33,C8orf33,HGNC:26104,,
LINC02688,LINC02688,HGNC:54184,,
MUC5AC,MUC5AC,HGNC:7515,,
MUC2,MUC2,HGNC:7512,,
ZSWIM4,ZSWIM4,HGNC:25704,,
RN7SL619P,RN7SL619P,HGNC:46635,,
MIR23AHG,MIR23AHG,HGNC:27620,,
MIR24-2,MIR24-2,HGNC:31608,,
MIR27A,MIR27A,HGNC:31613,,
MIR23A,MIR23A,HGNC:31605,,
NANOS3,NANOS3,HGNC:22048,,
MIR181C,MIR181C,HGNC:31552,,
MIR181D,MIR181D,HGNC:32089,,
BRME1,BRME1,HGNC:28153,,
CC2D1A,CC2D1A,HGNC:30237,,
PODNL1,PODNL1,HGNC:26275,,
DCAF15,DCAF15,HGNC:25095,,
RFX1,RFX1,HGNC:9982,,
RLN3,RLN3,HGNC:17135,,
IL27RA,IL27RA,HGNC:17290,,
PALM3,PALM3,HGNC:33274,,
EEF1DP1,EEF1DP1,HGNC:32474,,
MISP3,MISP3,HGNC:26963,,
MIR1199,MIR1199,HGNC:50081,,
C19orf67,C19orf67,HGNC:34354,,
PRKACA,PRKACA,HGNC:9380,,
ASF1B,ASF1B,HGNC:20996,,
ADGRL1-AS1,ADGRL1-AS1,HGNC:55309,,
ADGRL1,ADGRL1,HGNC:20973,,
RN7SL231P,RN7SL231P,HGNC:46247,,
SAMD1,SAMD1,HGNC:17958,,
CNTNAP3C,CNTNAP3C,HGNC:53878,,
RN7SL462P,RN7SL462P,HGNC:46478,,
RNU1-62P,RNU1-62P,HGNC:48404,,
MTCO3P47,MTCO3P47,HGNC:56430,,
RNA5SP136,RNA5SP136,HGNC:43036,,
RYBP,RYBP,HGNC:10480,,
SYT15B,SYT15B,HGNC:51487,,
NPY4R2,NPY4R2,HGNC:52383,,
FAM25C,FAM25C,HGNC:23586,,
AGAP12P,AGAP12P,HGNC:23661,,
RNA5SP315,RNA5SP315,HGNC:43215,,
BMS1P7,BMS1P7,HGNC:23655,,
HMX1,HMX1,HGNC:5017,,
PPP2R3B,PPP2R3B,HGNC:13417,,
RPL14P5,RPL14P5,HGNC:37720,,
IL3RA,IL3RA,HGNC:6012,,
P2RY8,P2RY8,HGNC:15524,,
SLC25A6,SLC25A6,HGNC:10992,,
DHRSX-IT1,DHRSX-IT1,HGNC:38713,,
DHRSX,DHRSX,HGNC:18399,,
ASMTL,ASMTL,HGNC:751,,
LINC00685,LINC00685,HGNC:27560,,
PLCXD1,PLCXD1,HGNC:23148,,
ZBED1,ZBED1,HGNC:447,,
MIR6089,MIR6089,HGNC:50179,,
LINC00102,LINC00102,HGNC:30470,,
CD99,CD99,HGNC:7082,,
FABP5P13,FABP5P13,HGNC:38717,,
KRT18P53,KRT18P53,HGNC:38714,,
SHOX,SHOX,HGNC:10853,,
MIR3690,MIR3690,HGNC:38967,,
RNA5SP498,RNA5SP498,HGNC:43398,,
CD99P1,CD99P1,HGNC:7083,,
CRLF2,CRLF2,HGNC:14281,,
AKAP17A,AKAP17A,HGNC:18783,,
ASMT,ASMT,HGNC:750,,
CSF2RA,CSF2RA,HGNC:2435,,
ASMTL-AS1,ASMTL-AS1,HGNC:25811,,
LINC00106,LINC00106,HGNC:31843,,
LINC02968,LINC02968,HGNC:56008,,
LINC03015,LINC03015,HGNC:56143,,
LINC03014,LINC03014,HGNC:56142,,
