primary_gene_symbol,HGNC_ID,ENSG_ID,NCBI_ID,gene_symbol
MT-TF,HGNC:7481,ENSG00000210049,,MT-TF
MT-RNR1,HGNC:7470,ENSG00000211459,,MT-RNR1
MT-TV,HGNC:7500,ENSG00000210077,,MT-TV
MT-RNR2,HGNC:7471,ENSG00000210082,,MT-RNR2
MT-TL1,HGNC:7490,ENSG00000209082,,MT-TL1
MT-ND1,HGNC:7455,ENSG00000198888,GENE ID:4535,MT-ND1
MT-TI,HGNC:7488,ENSG00000210100,,MT-TI
MT-TQ,HGNC:7495,ENSG00000210107,,MT-TQ
MT-TM,HGNC:7492,ENSG00000210112,,MT-TM
MT-ND2,HGNC:7456,ENSG00000198763,GENE ID:4536,MT-ND2
MT-TW,HGNC:7501,ENSG00000210117,,MT-TW
MT-TA,HGNC:7475,ENSG00000210127,,MT-TA
MT-TN,HGNC:7493,ENSG00000210135,,MT-TN
MT-TC,HGNC:7477,ENSG00000210140,,MT-TC
MT-TY,HGNC:7502,ENSG00000210144,,MT-TY
MT-CO1,HGNC:7419,ENSG00000198804,GENE ID:4512,MT-CO1
MT-TS1,HGNC:7497,ENSG00000210151,GENE ID:113219467,MT-TS1
MT-TD,HGNC:7478,ENSG00000210154,,MT-TD
MT-CO2,HGNC:7421,ENSG00000198712,GENE ID:4513,MT-CO2
MT-TK,HGNC:7489,ENSG00000210156,,MT-TK
MT-ATP8,HGNC:7415,ENSG00000228253,GENE ID:4509,MT-ATP8
MT-ATP6,HGNC:7414,ENSG00000198899,GENE ID:4508,MT-ATP6
MT-CO3,HGNC:7422,ENSG00000198938,GENE ID:4514,MT-CO3
MT-TG,HGNC:7486,ENSG00000210164,,MT-TG
MT-ND3,HGNC:7458,ENSG00000198840,GENE ID:4537,MT-ND3
MT-TR,HGNC:7496,ENSG00000210174,,MT-TR
MT-ND4L,HGNC:7460,ENSG00000212907,GENE ID:4539,MT-ND4L
MT-ND4,HGNC:7459,ENSG00000198886,GENE ID:4538,MT-ND4
MT-TH,HGNC:7487,ENSG00000210176,,MT-TH
MT-TS2,HGNC:7498,ENSG00000210184,,MT-TS2
MT-TL2,HGNC:7491,ENSG00000210191,,MT-TL2
MT-ND5,HGNC:7461,ENSG00000198786,GENE ID:4540,MT-ND5
MT-ND6,HGNC:7462,ENSG00000198695,GENE ID:4541,MT-ND6
MT-TE,HGNC:7479,ENSG00000210194,,MT-TE
MT-CYB,HGNC:7427,ENSG00000198727,GENE ID:4519,MT-CYB
MT-TT,HGNC:7499,ENSG00000210195,,MT-TT
MT-TP,HGNC:7494,ENSG00000210196,,MT-TP
5S_rRNA,,ENSG00000278457,,5S_rRNA
5_8S_rRNA,,ENSG00000278294,GENE ID:124907156,5_8S_rRNA
5_8S_rRNA,,ENSG00000278294,GENE ID:124907485,5_8S_rRNA
5_8S_rRNA,,ENSG00000278294,GENE ID:124908250,5_8S_rRNA
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:100008587,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907114,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907115,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907116,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907117,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907118,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907119,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907120,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907121,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907122,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907123,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907124,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907125,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907126,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907127,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907128,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907129,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907130,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907131,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907132,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907133,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907134,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907135,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907136,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907137,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907138,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907139,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907140,RNA5-8SN5
RNA5-8SN5,HGNC:53533,ENSG00000274917,GENE ID:124907141,RNA5-8SN5
