,primary_gene_symbol,HGNC_ID,ENSG_ID,NCBI_ID,gene_symbol
0,ASIC1,HGNC:100,ENSG00000110881,GENE ID:41,ASIC1
2,RGS4,HGNC:10000,ENSG00000117152,GENE ID:5999,RGS4
3,RGS5,HGNC:10001,ENSG00000143248,GENE ID:8490,RGS5
4,RGS6,HGNC:10002,ENSG00000182732,GENE ID:9628,RGS6
5,RGS7,HGNC:10003,ENSG00000182901,GENE ID:6000,RGS7
6,RGS9,HGNC:10004,ENSG00000108370,GENE ID:8787,RGS9
10,RHAG,HGNC:10006,ENSG00000112077,GENE ID:6005,RHAG
13,RHBDL1,HGNC:10007,ENSG00000103269,GENE ID:9028,RHBDL1
14,RHCE,HGNC:10008,ENSG00000188672,GENE ID:6006,RHCE
16,RHD,HGNC:10009,ENSG00000187010,GENE ID:6007,RHD
23,BCL6,HGNC:1001,ENSG00000113916,GENE ID:604,BCL6
27,RHEBP1,HGNC:10010,ENSG00000229927,GENE ID:6008,RHEBP1
28,RHEB,HGNC:10011,ENSG00000106615,GENE ID:6009,RHEB
29,RHO,HGNC:10012,ENSG00000163914,GENE ID:6010,RHO
31,GRK1,HGNC:10013,ENSG00000185974,GENE ID:6011,GRK1
33,RIT2,HGNC:10017,ENSG00000152214,GENE ID:6014,RIT2
34,RING1,HGNC:10018,ENSG00000204227,GENE ID:6015,RING1
35,RIPK1,HGNC:10019,ENSG00000137275,GENE ID:8737,RIPK1
38,BCL6B,HGNC:1002,ENSG00000161940,GENE ID:255877,BCL6B
40,RIPK2,HGNC:10020,ENSG00000104312,GENE ID:8767,RIPK2
44,RIPK3,HGNC:10021,ENSG00000129465,GENE ID:11035,RIPK3
45,RIT1,HGNC:10023,ENSG00000143622,GENE ID:6016,RIT1
49,RLBP1,HGNC:10024,ENSG00000140522,GENE ID:6017,RLBP1
50,RLF,HGNC:10025,ENSG00000117000,GENE ID:6018,RLF
52,RLN1,HGNC:10026,ENSG00000107018,GENE ID:6013,RLN1
53,RLN2,HGNC:10027,ENSG00000107014,GENE ID:6019,RLN2
57,RMRP,HGNC:10031,ENSG00000277027,GENE ID:6023,RMRP
60,RN7SK,HGNC:10037,ENSG00000283293,GENE ID:125050,RN7SK
61,RN7SL1,HGNC:10038,ENSG00000276168,GENE ID:6029,RN7SL1
64,RN7SL4P,HGNC:10039,ENSG00000263740,GENE ID:6030,RN7SL4P
65,BCL7A,HGNC:1004,ENSG00000110987,GENE ID:605,BCL7A
66,RN7SL5P,HGNC:10040,ENSG00000265735,GENE ID:6031,RN7SL5P
