,collision,gene_symbol,ENSG_ID,source,gene_symbol_count
3621,VH,"['IGHV3-72', ' SLC7A4', ' IGHV3-64', ' IGHV3-53', ' IGHV3-73', ' IGHV3-66', ' IGHV3-74', ' IGHV6-1', ' IGHV4-28', ' IGHV4-34', ' IGHV4-39', ' IGHV4-59', ' IGHV4-61', ' IGHV5-51', ' IGHV3-49', ' IGHM', ' IGHV4-4', ' IGHV3-48', ' IGHV3-30', ' IGHV3-35', ' IGKV3-7', ' IGHV1-24', ' IGHV3-38', ' IGHV1-58', ' IGHV2-5', ' IGHV2-26', ' IGHV2-70', ' IGHV3-7', ' IGHV1-45', ' IGHV3-11', ' IGHV3-33', ' IGHV3-9', ' IGHV3-21', ' IGHV3-43', ' IGHV3-16', ' IGHV3-15', ' IGHV3-20']","ENSG00000225698, ENSG00000099960, ENSG00000223648, ENSG00000211967, ENSG00000211976, ENSG00000211972, ENSG00000224650, ENSG00000211933, ENSG00000211952, ENSG00000211956, ENSG00000211959, ENSG00000224373, ENSG00000211970, ENSG00000211966, ENSG00000211965, ENSG00000211899, ENSG00000276775, ENSG00000211964, ENSG00000270550, ENSG00000211957, ENSG00000243063, ENSG00000211950, ENSG00000211958, ENSG00000211968, ENSG00000211937, ENSG00000211951, ENSG00000274576, ENSG00000211938, ENSG00000211961, ENSG00000211941, ENSG00000211955, nan, ENSG00000211947, ENSG00000232216, ENSG00000211944, ENSG00000211943, ENSG00000211946",NCBI,37
1409,H4-16,"['H4C15', ' H4C3', ' H4C4', ' H4C8', ' H4C16', ' H4C14', ' H4C9', ' H4C5', ' H4C11', ' H4C12', ' H4C2', ' H4C6', ' H4C1', ' H4C13']","ENSG00000270276, ENSG00000197061, ENSG00000277157, ENSG00000158406, ENSG00000197837, ENSG00000270882, ENSG00000276180, ENSG00000276966, ENSG00000197238, ENSG00000273542, ENSG00000278705, ENSG00000274618, ENSG00000278637, ENSG00000275126",NCBI,14
1415,H4C15,"['H4C13', ' H4C9', ' H4C4', ' H4C5', ' H4C1', ' H4C14', ' H4C2', ' H4C16', ' H4C11', ' H4C3', ' H4C6', ' H4C12', ' H4C8']","ENSG00000275126, ENSG00000276180, ENSG00000277157, ENSG00000276966, ENSG00000278637, ENSG00000270882, ENSG00000278705, ENSG00000197837, ENSG00000197238, ENSG00000197061, ENSG00000274618, ENSG00000273542, ENSG00000158406",NCBI,13
1421,H4C6,"['H4C11', ' H4C5', ' H4C14', ' H4C2', ' H4C15', ' H4C4', ' H4C16', ' H4C13', ' H4C8', ' H4C1', ' H4C9', ' H4C12', ' H4C3']","ENSG00000197238, ENSG00000276966, ENSG00000270882, ENSG00000278705, ENSG00000270276, ENSG00000277157, ENSG00000197837, ENSG00000275126, ENSG00000158406, ENSG00000278637, ENSG00000276180, ENSG00000273542, ENSG00000197061",NCBI,13
1410,H4C1,"['H4C12', ' H4C15', ' H4C2', ' H4C6', ' H4C13', ' H4C4', ' H4C8', ' H4C14', ' H4C16', ' H4C3', ' H4C11', ' H4C5', ' H4C9']","ENSG00000273542, ENSG00000270276, ENSG00000278705, ENSG00000274618, ENSG00000275126, ENSG00000277157, ENSG00000158406, ENSG00000270882, ENSG00000197837, ENSG00000197061, ENSG00000197238, ENSG00000276966, ENSG00000276180",NCBI,13
1413,H4C13,"['H4C8', ' H4C5', ' H4C15', ' H4C3', ' H4C14', ' H4C2', ' H4C1', ' H4C12', ' H4C16', ' H4C11', ' H4C9', ' H4C4', ' H4C6']","ENSG00000158406, ENSG00000276966, ENSG00000270276, ENSG00000197061, ENSG00000270882, ENSG00000278705, ENSG00000278637, ENSG00000273542, ENSG00000197837, ENSG00000197238, ENSG00000276180, ENSG00000277157, ENSG00000274618",NCBI,13
1418,H4C3,"['H4C12', ' H4C11', ' H4C4', ' H4C13', ' H4C9', ' H4C1', ' H4C8', ' H4C16', ' H4C2', ' H4C6', ' H4C14', ' H4C5', ' H4C15']","ENSG00000273542, ENSG00000197238, ENSG00000277157, ENSG00000275126, ENSG00000276180, ENSG00000278637, ENSG00000158406, ENSG00000197837, ENSG00000278705, ENSG00000274618, ENSG00000270882, ENSG00000276966, ENSG00000270276",NCBI,13
1419,H4C4,"['H4C9', ' H4C3', ' H4C16', ' H4C13', ' H4C12', ' H4C1', ' H4C8', ' H4C15', ' H4C2', ' H4C5', ' H4C14', ' H4C6', ' H4C11']","ENSG00000276180, ENSG00000197061, ENSG00000197837, ENSG00000275126, ENSG00000273542, ENSG00000278637, ENSG00000158406, ENSG00000270276, ENSG00000278705, ENSG00000276966, ENSG00000270882, ENSG00000274618, ENSG00000197238",NCBI,13
1420,H4C5,"['H4C15', ' H4C2', ' H4C14', ' H4C16', ' H4C3', ' H4C11', ' H4C8', ' H4C13', ' H4C6', ' H4C1', ' H4C4', ' H4C9', ' H4C12']","ENSG00000270276, ENSG00000278705, ENSG00000270882, ENSG00000197837, ENSG00000197061, ENSG00000197238, ENSG00000158406, ENSG00000275126, ENSG00000274618, ENSG00000278637, ENSG00000277157, ENSG00000276180, ENSG00000273542",NCBI,13
1422,H4C8,"['H4C5', ' H4C4', ' H4C14', ' H4C15', ' H4C9', ' H4C3', ' H4C13', ' H4C12', ' H4C6', ' H4C1', ' H4C11', ' H4C16', ' H4C2']","ENSG00000276966, ENSG00000277157, ENSG00000270882, ENSG00000270276, ENSG00000276180, ENSG00000197061, ENSG00000275126, ENSG00000273542, ENSG00000274618, ENSG00000278637, ENSG00000197238, ENSG00000197837, ENSG00000278705",NCBI,13
