gene_symbol,alias_symbol,ENSG_ID,collision,source
SLC25A5,"2F1,T2,T3",ENSG00000005022,2F1,HGNC
KLRG1,"2F1,CLEC15A,MAFA,MAFA-L",ENSG00000139187,2F1,HGNC
MAPKAPK3,"3PK,3pK,MAPKAP3,MK-3,MK3",ENSG00000114738,3PK,HGNC
MAPKAPK3,"3PK,3pK,MAPKAP3,MK-3,MK3",ENSG00000114738,3PK,HGNC
S100A8,"60B8AG,CGLA,MRP-8,MRP8,P8,S100-A8",ENSG00000143546,60B8AG,HGNC
S100A9,"60B8AG,CGLB,LIAG,MAC387,MIF,MRP-14,MRP14,NIF,P14,S100-A9",ENSG00000163220,60B8AG,HGNC
RNU6V,"87U6,LH87",ENSG00000206832,87U6,HGNC
GNAI3,87U6,ENSG00000065135,87U6,HGNC
SLU7,9G8,ENSG00000164609,9G8,HGNC
SRSF7,"9G8,AAG3,HSSG1,RBM37,ZCCHC20,ZCRB2",ENSG00000115875,9G8,HGNC
RFC4,"A1,RFC37",ENSG00000163918,A1,HGNC
RFC1,"A1,MHCBFB,PO-GA,RFC140",ENSG00000035928,A1,HGNC
ATP6V0A1,"Stv1,Vph1,a1",ENSG00000033627,A1,HGNC
RFC2,"A1,RFC40",ENSG00000049541,A1,HGNC
SGCA,"A2,DMDA2,LGMD2D,SCARMD1,adhalin",ENSG00000108823,A2,HGNC
ATP6V0A2,"ATP6N1D,ATP6a2,J6B7,RTF,Stv1,TJ6,TJ6M,TJ6s,Vph1,a2,a2V",ENSG00000185344,A2,HGNC
CFAP410,"A2,LRRC76,YF5",ENSG00000160226,A2,HGNC
GPHA2,"A2,GPA2,MGC126572,ZSIG51",ENSG00000149735,A2,HGNC
IGKV1-27,"A20,IGKV127",ENSG00000244575,A20,HGNC
TNFAIP3,"A20,OTUD7C",ENSG00000118503,A20,HGNC
ABO,"A3GALNT,A3GALT1",ENSG00000175164,A3GALNT,HGNC
GBGT1,"A3GALNT,FS,MGC44848,UDP-GalNAc",ENSG00000148288,A3GALNT,HGNC
SGCG,"A4,DAGA4,DMDA,MGC130048,SCARMD2,SCG3,TYPE",ENSG00000102683,A4,HGNC
PLP2,"A4,A4-LSB,MGC126187",ENSG00000102007,A4,HGNC
ATP6V0A4,"RDRTA2,RTADR,Stv1,VPP2,Vph1,a4",ENSG00000105929,A4,HGNC
DSP-AS1,"ABL,RP3-512B11.3",ENSG00000261189,ABL,HGNC
MTTP,ABL,ENSG00000138823,ABL,HGNC
FLNC,"ABP-280,ABPL",ENSG00000128591,ABP-280,HGNC
FLNA,ABP-280,ENSG00000196924,ABP-280,HGNC
CARD8-AS1,"AC008392.1,LOC100505812",ENSG00000268001,AC008392.1,HGNC
ZNF114-AS1,AC008392.1,ENSG00000268186,AC008392.1,HGNC
LINC02471,AC079630.2,ENSG00000223914,AC079630.2,HGNC
LINC02555,AC079630.2,ENSG00000260943,AC079630.2,HGNC
LINC01587,aC1,ENSG00000082929,AC1,HGNC
ADCY1,AC1,ENSG00000164742,AC1,HGNC
PCGF3-AS2,AC107464.2,ENSG00000248416,AC107464.2,HGNC
YAP1-DT,AC107464.2,ENSG00000277459,AC107464.2,HGNC
SNORA59B,ACA59,ENSG00000266079,ACA59,HGNC
SNORA59A,ACA59,ENSG00000239149,ACA59,HGNC
BCL2A1,"ACC-1,ACC-2,ACC1,ACC2,BCL2L5,BFL1,GRS",ENSG00000140379,ACC1,HGNC
ACACA,"ACACalpha,ACC-alpha,ACC1,ACCA,ACCalpha,Acac1,hACC1",ENSG00000278540,ACC1,HGNC
ACACB,"ACACbeta,ACC-beta,ACC2,ACCB,ACCbeta,HACC275",ENSG00000076555,ACC2,HGNC
