,HGNC_ID,gene_symbol,alias_symbol,NCBI_ID,ENSG_ID
0,5,A1BG,,1,ENSG00000121410
1,7,A2M,"CPAMD5,FWP007,S863-7",2,ENSG00000175899
2,8,A2MP1,,3,ENSG00000256069
3,15,NATP,NATP1,11,ENSG00000253937
4,16,SERPINA3,ACT,12,ENSG00000196136
5,17,AADAC,"CES5A1,DAC",13,ENSG00000114771
6,18,AAMP,,14,ENSG00000127837
7,19,AANAT,SNAT,15,ENSG00000129673
8,20,AARS1,"AlaRS,CMT2N",16,ENSG00000090861
9,21,AATK,"AATYK,AATYK1,KIAA0641,LMR1,LMTK1,PPP1R77",9625,ENSG00000181409
10,22,AAVS1,AAV,17,
11,23,ABAT,"GABA-T,GABAT",18,ENSG00000183044
12,29,ABCA1,TGD,19,ENSG00000165029
13,30,ABCA10,EST698739,10349,ENSG00000154263
14,31,ABCA11P,"EST1133530,FLJ14297",79963,ENSG00000251595
15,32,ABCA2,,20,ENSG00000107331
16,33,ABCA3,"ABC-C,EST111653,LBM180",21,ENSG00000167972
17,34,ABCA4,"ARMD2,CORD3,FFM",24,ENSG00000198691
18,35,ABCA5,EST90625,23461,ENSG00000154265
19,36,ABCA6,EST155051,23460,ENSG00000154262
20,37,ABCA7,ABCX,10347,ENSG00000064687
21,38,ABCA8,KIAA0822,10351,ENSG00000141338
22,39,ABCA9,EST640918,10350,ENSG00000154258
23,40,ABCB1,"ABC20,CD243,GP170,P-gp,PGY1,p-170",5243,ENSG00000085563
24,41,ABCB10,"EST20237,M-ABC2,MTABC2",23456,ENSG00000135776
25,42,ABCB11,"ABC16,PFIC-2,PGY4,SPGP",8647,ENSG00000073734
26,43,TAP1,"D6S114E,PSF1,RING4",6890,ENSG00000168394
27,44,TAP2,"D6S217E,PSF2,RING11",6891,ENSG00000204267
28,45,ABCB4,"GBD1,MDR2,PFIC-3",5244,ENSG00000005471
29,46,ABCB5,"ABCB5alpha,ABCB5beta,EST422562",340273,ENSG00000004846
30,47,ABCB6,"EST45597,MTABC3,umat",10058,ENSG00000115657
31,48,ABCB7,"ASAT,Atm1p,EST140535",22,ENSG00000131269
32,49,ABCB8,"EST328128,M-ABC1,MABC1,MITOSUR",11194,ENSG00000197150
33,50,ABCB9,EST122234,23457,ENSG00000150967
34,51,ABCC1,GS-X,4363,ENSG00000103222
35,52,ABCC10,"EST182763,MRP7,SIMRP7",89845,ENSG00000124574
36,53,ABCC2,"DJS,MRP2,cMRP",1244,ENSG00000023839
37,54,ABCC3,"EST90757,MLP2,MOAT-D,MRP3,cMOAT2",8714,ENSG00000108846
38,55,ABCC4,"EST170205,MOAT-B,MOATB,MRP4",10257,ENSG00000125257
39,56,ABCC5,"EST277145,MOAT-C,MRP5,SMRP",10057,ENSG00000114770
40,57,ABCC6,"EST349056,MLP1,MRP6,URG7",368,ENSG00000091262
41,59,ABCC8,"ABC36,HHF1,HI,MRP8,PHHI,SUR1,TNDM2",6833,ENSG00000006071
42,60,ABCC9,"CMD1O,SUR2",10060,ENSG00000069431
43,61,ABCD1,"ALDP,AMN,adrenoleukodystrophy",215,ENSG00000101986
44,62,ABCD1P1,,23785,
45,63,ABCD1P2,bA453N3.6,26983,ENSG00000215151
46,64,ABCD1P3,,26982,ENSG00000261233
47,65,ABCD1P4,,26957,ENSG00000225293
48,66,ABCD2,"ALDR,ALDRP",225,ENSG00000173208
49,67,ABCD3,"PMP70,ZWS2",5825,ENSG00000117528
