gene_symbol,alias_symbol,collision,source
PPP1R12C,"DKFZP434D0412,p84,MBS85,p85,AAVS1",AAVS1,HGNC
SOAT1,"ACAT,ACAT1",ACAT1,HGNC
SOAT2,ACAT2,ACAT2,HGNC
GLI3,"PAP-A,PAPA,PAPA1,PAPB,ACLS,PPDIV",ACLS,HGNC
NDUFAB1,"SDAP,FASN2A,ACP,ACP1",ACP1,HGNC
ACTBP8,ACTBP2,ACTBP2,HGNC
TADA2A,"ADA2,hADA2,ADA2A",ADA2,HGNC
ADAM28,"eMDCII,MDC-Lm,MDC-Ls,ADAM23",ADAM23,HGNC
ADRA1D,"ADRA1R,ADRA1A,ADRA1",ADRA1A,HGNC
AGXT,"AGXT1,PH1,AGT,SPT,AGT1,TLH6,Ser-PyrAT",AGT,HGNC
AURKAIP1,"AKIP,AIP,FLJ20608,mS38",AIP,HGNC
FBF1,"FLJ00103,FBF-1,KIAA1863,ALB",ALB,HGNC
ABCD1,"AMN,ALDP,adrenoleukodystrophy",AMN,HGNC
DANCR,"ANCR,AGU2,lncRNA-ANCR",ANCR,HGNC
UBE3A,"AS,ANCR,E6-AP,FLJ26981",ANCR,HGNC
SLC25A23,"FLJ30339,MGC2615,APC2",APC2,HGNC
ANAPC2,"APC2,KIAA1406",APC2,HGNC
APPL1,APPL,APPL,HGNC
AQP7,"AQP9,AQPap",AQP9,HGNC
AREG,"AR,CRDGF",AR,HGNC
FDXR,"ADR,AR",AR,HGNC
AKR1B1,AR,AR,HGNC
NOL3,"ARC,NOP30,MYP,CARD2",ARC,HGNC
TINAGL1,"P3ECSL,LIECG3,ARG1,TINAGRP",ARG1,HGNC
ARHGAP21,"KIAA1424,ARHGAP10",ARHGAP10,HGNC
AKR1B10,"AKR1B12,ARL-1,HIS,ARL1,HSI,ALDRLn",ARL1,HGNC
SLURP1,"ARS,ANUP,MDM,ArsB,LY6LS,LY6-MT",ARSB,HGNC
PARD3,"PAR3,PARD3A,Bazooka,Baz,ASIP,PPP1R118",ASIP,HGNC
GDNF,"ATF1,ATF2,HFB1-GDNF",ATF1,HGNC
