HGNC_ID,primary_gene_symbol,alias_symbol,NCBI_ID,ENSG_ID
HGNC:100,ASIC1,BNaC2,GENE ID:41,ENSG00000110881
HGNC:100,ASIC1,hBNaC2,GENE ID:41,ENSG00000110881
HGNC:10000,RGS4,,GENE ID:5999,ENSG00000117152
HGNC:10001,RGS5,,GENE ID:8490,ENSG00000143248
HGNC:10002,RGS6,,GENE ID:9628,ENSG00000182732
HGNC:10003,RGS7,,GENE ID:6000,ENSG00000182901
HGNC:10004,RGS9,PERRS,GENE ID:8787,ENSG00000108370
HGNC:10004,RGS9,RGS9L,GENE ID:8787,ENSG00000108370
HGNC:10004,RGS9,MGC26458,GENE ID:8787,ENSG00000108370
HGNC:10004,RGS9,MGC111763,GENE ID:8787,ENSG00000108370
HGNC:10006,RHAG,RH50A,GENE ID:6005,ENSG00000112077
HGNC:10006,RHAG,CD241,GENE ID:6005,ENSG00000112077
HGNC:10006,RHAG,SLC42A1,GENE ID:6005,ENSG00000112077
HGNC:10007,RHBDL1,RRP,GENE ID:9028,ENSG00000103269
HGNC:10008,RHCE,CD240CE,GENE ID:6006,ENSG00000188672
HGNC:10008,RHCE,SLC42A4,GENE ID:6006,ENSG00000188672
HGNC:10009,RHD,Rh30a,GENE ID:6007,ENSG00000187010
HGNC:10009,RHD,Rh4,GENE ID:6007,ENSG00000187010
HGNC:10009,RHD,RhPI,GENE ID:6007,ENSG00000187010
HGNC:10009,RHD,RhII,GENE ID:6007,ENSG00000187010
HGNC:10009,RHD,DIIIc,GENE ID:6007,ENSG00000187010
HGNC:10009,RHD,CD240D,GENE ID:6007,ENSG00000187010
HGNC:10009,RHD,SLC42A5,GENE ID:6007,ENSG00000187010
HGNC:1001,BCL6,ZBTB27,GENE ID:604,ENSG00000113916
HGNC:1001,BCL6,LAZ3,GENE ID:604,ENSG00000113916
HGNC:1001,BCL6,BCL5,GENE ID:604,ENSG00000113916
HGNC:1001,BCL6,BCL6A,GENE ID:604,ENSG00000113916
HGNC:10010,RHEBP1,RHEB,GENE ID:6008,ENSG00000229927
HGNC:10011,RHEB,,GENE ID:6009,ENSG00000106615
HGNC:10012,RHO,OPN2,GENE ID:6010,ENSG00000163914
HGNC:10012,RHO,CSNBAD1,GENE ID:6010,ENSG00000163914
HGNC:10013,GRK1,GPRK1,GENE ID:6011,ENSG00000185974
HGNC:10013,GRK1,RK,GENE ID:6011,ENSG00000185974
HGNC:10017,RIT2,RIBA,GENE ID:6014,ENSG00000152214
HGNC:10018,RING1,RNF1,GENE ID:6015,ENSG00000204227
HGNC:10019,RIPK1,RIP,GENE ID:8737,ENSG00000137275
HGNC:10019,RIPK1,RIP1,GENE ID:8737,ENSG00000137275
HGNC:10019,RIPK1,RIP-1,GENE ID:8737,ENSG00000137275
HGNC:1002,BCL6B,ZBTB28,GENE ID:255877,ENSG00000161940
HGNC:1002,BCL6B,BAZF,GENE ID:255877,ENSG00000161940
HGNC:10020,RIPK2,RICK,GENE ID:8767,ENSG00000104312
HGNC:10020,RIPK2,RIP2,GENE ID:8767,ENSG00000104312
HGNC:10020,RIPK2,CARDIAK,GENE ID:8767,ENSG00000104312
HGNC:10020,RIPK2,CARD3,GENE ID:8767,ENSG00000104312
HGNC:10021,RIPK3,RIP3,GENE ID:11035,ENSG00000129465
HGNC:10023,RIT1,RIBB,GENE ID:6016,ENSG00000143622
HGNC:10023,RIT1,ROC1,GENE ID:6016,ENSG00000143622
HGNC:10023,RIT1,MGC125864,GENE ID:6016,ENSG00000143622
HGNC:10023,RIT1,MGC125865,GENE ID:6016,ENSG00000143622
HGNC:10024,RLBP1,CRALBP,GENE ID:6017,ENSG00000140522
HGNC:10025,RLF,ZNF292L,GENE ID:6018,ENSG00000117000
