primary_gene_symbol,HGNC_ID,ENSG_ID,NCBI_ID,gene_symbol
A1BG,HGNC:5,ENSG00000121410,GENE ID:1,A1BG
A2M,HGNC:7,ENSG00000175899,GENE ID:2,A2M
NAT1,HGNC:7645,ENSG00000171428,GENE ID:9,NAT1
NAT2,HGNC:7646,ENSG00000156006,GENE ID:10,NAT2
NATP,HGNC:15,,GENE ID:11,NATP
SERPINA3,HGNC:16,ENSG00000196136,GENE ID:12,SERPINA3
AADAC,HGNC:17,ENSG00000114771,GENE ID:13,AADAC
AAMP,HGNC:18,ENSG00000127837,GENE ID:14,AAMP
AANAT,HGNC:19,ENSG00000129673,GENE ID:15,AANAT
AARS1,HGNC:20,ENSG00000090861,GENE ID:16,AARS1
AAVS1,HGNC:22,,GENE ID:17,AAVS1
ABAT,HGNC:23,ENSG00000183044,GENE ID:18,ABAT
ABCA1,HGNC:29,ENSG00000165029,GENE ID:19,ABCA1
ABCA2,HGNC:32,ENSG00000107331,GENE ID:20,ABCA2
ABCA3,HGNC:33,ENSG00000167972,GENE ID:21,ABCA3
ABCB7,HGNC:48,ENSG00000131269,GENE ID:22,ABCB7
ABCF1,HGNC:70,ENSG00000204574,GENE ID:23,ABCF1
ABCA4,HGNC:34,ENSG00000198691,GENE ID:24,ABCA4
ABL1,HGNC:76,ENSG00000097007,GENE ID:25,ABL1
AOC1,HGNC:80,ENSG00000002726,GENE ID:26,AOC1
ABL2,HGNC:77,ENSG00000143322,GENE ID:27,ABL2
ABO,HGNC:79,ENSG00000175164,GENE ID:28,ABO
ABR,HGNC:81,ENSG00000159842,GENE ID:29,ABR
ACAA1,HGNC:82,ENSG00000060971,GENE ID:30,ACAA1
ACACA,HGNC:84,ENSG00000278540,GENE ID:31,ACACA
ACACB,HGNC:85,ENSG00000076555,GENE ID:32,ACACB
ACADL,HGNC:88,ENSG00000115361,GENE ID:33,ACADL
ACADM,HGNC:89,ENSG00000117054,GENE ID:34,ACADM
ACADS,HGNC:90,ENSG00000122971,GENE ID:35,ACADS
ACADSB,HGNC:91,ENSG00000196177,GENE ID:36,ACADSB
ACADVL,HGNC:92,ENSG00000072778,GENE ID:37,ACADVL
ACAT1,HGNC:93,ENSG00000075239,GENE ID:38,ACAT1
ACAT2,HGNC:94,ENSG00000120437,GENE ID:39,ACAT2
ASIC2,HGNC:99,ENSG00000108684,GENE ID:40,ASIC2
ASIC1,HGNC:100,ENSG00000110881,GENE ID:41,ASIC1
ACHE,HGNC:108,ENSG00000087085,GENE ID:43,ACHE
ACLY,HGNC:115,ENSG00000131473,GENE ID:47,ACLY
ACO1,HGNC:117,ENSG00000122729,GENE ID:48,ACO1
ACR,HGNC:126,ENSG00000100312,GENE ID:49,ACR
ACO2,HGNC:118,ENSG00000100412,GENE ID:50,ACO2
ACOX1,HGNC:119,ENSG00000161533,GENE ID:51,ACOX1
ACP1,HGNC:122,ENSG00000143727,GENE ID:52,ACP1
ACP2,HGNC:123,ENSG00000134575,GENE ID:53,ACP2
ACP5,HGNC:124,ENSG00000102575,GENE ID:54,ACP5
ACP3,HGNC:125,ENSG00000014257,GENE ID:55,ACP3
ACRV1,HGNC:127,ENSG00000134940,GENE ID:56,ACRV1
ACTA1,HGNC:129,ENSG00000143632,GENE ID:58,ACTA1
ACTA2,HGNC:130,ENSG00000107796,GENE ID:59,ACTA2
ACTB,HGNC:132,ENSG00000075624,GENE ID:60,ACTB
