,ENSG_ID,NCBI_ID,HGNC_ID,alias_symbol,gene_symbol
0,ENSG00000210049,,7481,MTTF,MT-TF
1,ENSG00000210049,,7481,TRNF,MT-TF
2,ENSG00000211459,,7470,12S,MT-RNR1
3,ENSG00000211459,,7470,MOTS-C,MT-RNR1
4,ENSG00000211459,,7470,MTRNR1,MT-RNR1
5,ENSG00000210077,,7500,MTTV,MT-TV
6,ENSG00000210077,,7500,TRNV,MT-TV
7,ENSG00000210082,,7471,16S,MT-RNR2
8,ENSG00000210082,,7471,HN,MT-RNR2
9,ENSG00000210082,,7471,MTRNR2,MT-RNR2
10,ENSG00000209082,,7490,MTTL1,MT-TL1
11,ENSG00000209082,,7490,TRNL1,MT-TL1
12,ENSG00000198888,4535,7455,MTND1,MT-ND1
13,ENSG00000198888,4535,7455,NAD1,MT-ND1
14,ENSG00000198888,4535,7455,ND1,MT-ND1
15,ENSG00000210100,,7488,MTTI,MT-TI
16,ENSG00000210100,,7488,TRNI,MT-TI
17,ENSG00000210107,,7495,MTTQ,MT-TQ
18,ENSG00000210107,,7495,TRNQ,MT-TQ
19,ENSG00000210112,,7492,MTTM,MT-TM
20,ENSG00000210112,,7492,TRNM,MT-TM
21,ENSG00000198763,4536,7456,MTND2,MT-ND2
22,ENSG00000198763,4536,7456,NAD2,MT-ND2
23,ENSG00000198763,4536,7456,ND2,MT-ND2
24,ENSG00000210117,,7501,MTTW,MT-TW
25,ENSG00000210117,,7501,TRNW,MT-TW
26,ENSG00000210127,,7475,MTTA,MT-TA
27,ENSG00000210127,,7475,TRNA,MT-TA
28,ENSG00000210135,,7493,MTTN,MT-TN
29,ENSG00000210135,,7493,TRNN,MT-TN
30,ENSG00000210140,,7477,MTTC,MT-TC
31,ENSG00000210140,,7477,TRNC,MT-TC
32,ENSG00000210144,,7502,MTTY,MT-TY
33,ENSG00000210144,,7502,TRNY,MT-TY
34,ENSG00000198804,4512,7419,COI,MT-CO1
35,ENSG00000198804,4512,7419,COX1,MT-CO1
36,ENSG00000198804,4512,7419,MTCO1,MT-CO1
37,ENSG00000210151,113219467,7497,MTTS1,MT-TS1
38,ENSG00000210151,113219467,7497,TRNS1,MT-TS1
39,ENSG00000210154,,7478,MTTD,MT-TD
