,HGNC_ID,ENSG_ID,NCBI_ID,primary_gene_symbol,gene_symbol,captured,captured as:
0,set(),"{'ENSG00000277584', 'ENSG00000275999', 'ENSG00000266726', 'ENSG00000278457', 'ENSG00000265816', 'ENSG00000288601', 'ENSG00000285776', 'ENSG00000285609', 'ENSG00000266653', 'ENSG00000275780', 'ENSG00000263418', 'ENSG00000285674', 'ENSG00000276861', 'ENSG00000266615', 'ENSG00000277411', 'ENSG00000273928', 'ENSG00000285912', 'ENSG00000266035', 'ENSG00000283454', 'ENSG00000277488', 'ENSG00000278779', 'ENSG00000285626', 'ENSG00000277395'}",set(),5S_rRNA,5S_rRNA,T,Primary Gene Symbol
1,set(),"{'ENSG00000275877', 'ENSG00000278294', 'ENSG00000275757', 'ENSG00000276871', 'ENSG00000277739', 'ENSG00000283274', 'ENSG00000273730', 'ENSG00000283568', 'ENSG00000283291'}","{'GENE ID:124908370', 'GENE ID:124907705', 'GENE ID:124907150', 'GENE ID:124908250', 'GENE ID:124907476', 'GENE ID:124907622', 'GENE ID:124908327', 'GENE ID:124907258', 'GENE ID:124907139', 'GENE ID:124908278', 'GENE ID:124907720', 'GENE ID:124908289', 'GENE ID:124907135', 'GENE ID:124907712', 'GENE ID:124908310', 'GENE ID:124907684', 'GENE ID:124907144', 'GENE ID:124907331', 'GENE ID:124908243', 'GENE ID:124907673', 'GENE ID:124907156', 'GENE ID:124907291', 'GENE ID:124907337', 'GENE ID:124907572', 'GENE ID:124908380', 'GENE ID:124907480', 'GENE ID:124907149', 'GENE ID:124907592', 'GENE ID:124907151', 'GENE ID:124907716', 'GENE ID:124907655', 'GENE ID:124908244', 'GENE ID:124908336', 'GENE ID:124908525', 'GENE ID:124908384', 'GENE ID:124907153', 'GENE ID:124907302', 'GENE ID:124907644', 'GENE ID:124907591', 'GENE ID:124907143', 'GENE ID:124907335', 'GENE ID:124907593', 'GENE ID:124907194', 'GENE ID:124907598', 'GENE ID:124908388', 'GENE ID:124908524', 'GENE ID:124908378', 'GENE ID:124907119', 'GENE ID:124907134', 'GENE ID:124907138', 'GENE ID:124908381', 'GENE ID:124907594', 'GENE ID:124907328', 'GENE ID:124907148', 'GENE ID:124908392', 'GENE ID:124907160', 'GENE ID:124907440', 'GENE ID:124908316', 'GENE ID:124907336', 'GENE ID:124907584', 'GENE ID:124907117', 'GENE ID:124907340', 'GENE ID:124907154', 'GENE ID:124908374', 'GENE ID:124908513', 'GENE ID:124907597', 'GENE ID:124908390', 'GENE ID:124907142', 'GENE ID:124907183', 'GENE ID:124907450', 'GENE ID:124907341', 'GENE ID:124907172', 'GENE ID:124907709', 'GENE ID:124908371', 'GENE ID:124907481', 'GENE ID:124908257', 'GENE ID:124908516', 'GENE ID:124907579', 'GENE ID:124907342', 'GENE ID:124907581', 'GENE ID:124908372', 'GENE ID:124907313', 'GENE ID:124908386', 'GENE ID:124907132', 'GENE ID:124908520', 'GENE ID:124907715', 'GENE ID:124908522', 'GENE ID:124908246', 'GENE ID:124907482', 'GENE ID:124907484', 'GENE ID:124908512', 'GENE ID:124907483', 'GENE ID:124907227', 'GENE ID:124907122', 'GENE ID:124907719', 'GENE ID:124908245', 'GENE ID:124908504', 'GENE ID:124908237', 'GENE ID:124907116', 'GENE ID:124908241', 'GENE ID:124907140', 'GENE ID:124907141', 'GENE ID:124907136', 'GENE ID:124907120', 'GENE ID:124907155', 'GENE ID:124908389', 'GENE ID:124907145', 'GENE ID:124907338', 'GENE ID:124908247', 'GENE ID:124907131', 'GENE ID:124907585', 'GENE ID:124908248', 'GENE ID:124907123', 'GENE ID:124908474', 'GENE ID:124907327', 'GENE ID:124907595', 'GENE ID:124908515', 'GENE ID:124907576', 'GENE ID:124907574', 'GENE ID:124907128', 'GENE ID:124908387', 'GENE ID:124907694', 'GENE ID:124907114', 'GENE ID:124908376', 'GENE ID:124907147', 'GENE ID:124907714', 'GENE ID:124908375', 'GENE ID:124907280', 'GENE ID:124907343', 'GENE ID:124908368', 'GENE ID:124907710', 'GENE ID:124907477', 'GENE ID:124908358', 'GENE ID:124908383', 'GENE ID:124908393', 'GENE ID:124907662', 'GENE ID:124908242', 'GENE ID:124907713', 'GENE ID:124907586', 'GENE ID:124907126', 'GENE ID:124907588', 'GENE ID:124907479', 'GENE ID:124907137', 'GENE ID:124907129', 'GENE ID:124907718', 'GENE ID:124907238', 'GENE ID:124907458', 'GENE ID:124907130', 'GENE ID:124908519', 'GENE ID:124907334', 'GENE ID:124908239', 'GENE ID:124907590', 'GENE ID:124907577', 'GENE ID:124908300', 'GENE ID:124907205', 'GENE ID:124907152', 'GENE ID:124908240', 'GENE ID:124907127', 'GENE ID:124907573', 'GENE ID:124908369', 'GENE ID:124907329', 'GENE ID:124908517', 'GENE ID:124908379', 'GENE ID:124907589', 'GENE ID:124908373', 'GENE ID:124907332', 'GENE ID:124908238', 'GENE ID:124908518', 'GENE ID:124907578', 'GENE ID:124907269', 'GENE ID:124907580', 'GENE ID:124907475', 'GENE ID:124907721', 'GENE ID:124908527', 'GENE ID:124908391', 'GENE ID:124907467', 'GENE ID:124908249', 'GENE ID:124907600', 'GENE ID:124908382', 'GENE ID:124908523', 'GENE ID:124907133', 'GENE ID:124907333', 'GENE ID:124907711', 'GENE ID:124907633', 'GENE ID:124907485', 'GENE ID:124908377', 'GENE ID:124907330', 'GENE ID:124908494', 'GENE ID:124907339', 'GENE ID:124907125', 'GENE ID:124907118', 'GENE ID:124908347', 'GENE ID:124907324', 'GENE ID:124907611', 'GENE ID:124907115', 'GENE ID:124907121', 'GENE ID:124907124', 'GENE ID:124907596', 'GENE ID:124907478', 'GENE ID:124908521', 'GENE ID:124908514', 'GENE ID:124908385', 'GENE ID:124907587', 'GENE ID:124907248', 'GENE ID:124907717', 'GENE ID:124907216', 'GENE ID:124907575', 'GENE ID:124908268', 'GENE ID:124907439', 'GENE ID:124907146'}",5_8S_rRNA,5_8S_rRNA,T,Primary Gene Symbol
2,set(),"{'ENSG00000273591', 'ENSG00000265255', 'ENSG00000274262', 'ENSG00000266263', 'ENSG00000264415', 'ENSG00000265903', 'ENSG00000202198', 'ENSG00000291974', 'ENSG00000277313', 'ENSG00000265633', 'ENSG00000276626', 'ENSG00000274303', 'ENSG00000271394', 'ENSG00000275933'}",set(),7SK,7SK,T,Primary Gene Symbol
3,set(),set(),{'GENE ID:109951028'},A-GAMMA3'E,A-GAMMA3'E,T,Primary Gene Symbol
4,set(),set(),{'GENE ID:109951028'},A-GAMMA3'E,A-gamma-e,F,
5,{'HGNC:5'},{'ENSG00000121410'},{'GENE ID:1'},A1BG,A1B,T,Alternate Abbreviation Symbol
6,{'HGNC:5'},{'ENSG00000121410'},{'GENE ID:1'},A1BG,A1BG,T,Primary Gene Symbol
7,{'HGNC:5'},{'ENSG00000121410'},{'GENE ID:1'},A1BG,ABG,F,
8,{'HGNC:5'},{'ENSG00000121410'},{'GENE ID:1'},A1BG,GAB,F,
9,{'HGNC:5'},{'ENSG00000121410'},{'GENE ID:1'},A1BG,HYST2477,F,
10,{'HGNC:37133'},{'ENSG00000268895'},{'GENE ID:503538'},A1BG-AS1,A1BG-AS,T,Previous Symbol
11,{'HGNC:37133'},{'ENSG00000268895'},{'GENE ID:503538'},A1BG-AS1,A1BG-AS1,T,Primary Gene Symbol
12,{'HGNC:37133'},{'ENSG00000268895'},{'GENE ID:503538'},A1BG-AS1,A1BGAS,T,"Previous Symbol, Alternate Abbreviation Symbol"
13,{'HGNC:37133'},{'ENSG00000268895'},{'GENE ID:503538'},A1BG-AS1,FLJ23569,T,Clone Name Symbol
14,{'HGNC:37133'},{'ENSG00000268895'},{'GENE ID:503538'},A1BG-AS1,NCRNA00181,T,Previous Symbol
15,{'HGNC:24086'},{'ENSG00000148584'},{'GENE ID:29974'},A1CF,A1CF,T,Primary Gene Symbol
16,{'HGNC:24086'},{'ENSG00000148584'},{'GENE ID:29974'},A1CF,ACF,T,Alternate Abbreviation Symbol
17,{'HGNC:24086'},{'ENSG00000148584'},{'GENE ID:29974'},A1CF,ACF64,T,Alternate Abbreviation Symbol
18,{'HGNC:24086'},{'ENSG00000148584'},{'GENE ID:29974'},A1CF,ACF65,F,
19,{'HGNC:24086'},{'ENSG00000148584'},{'GENE ID:29974'},A1CF,APOBEC1CF,T,Alternate Abbreviation Symbol
20,{'HGNC:24086'},{'ENSG00000148584'},{'GENE ID:29974'},A1CF,ASP,F,
21,{'HGNC:7'},{'ENSG00000175899'},{'GENE ID:2'},A2M,A2M,T,Primary Gene Symbol
22,{'HGNC:7'},{'ENSG00000175899'},{'GENE ID:2'},A2M,A2MD,T,"Phenotype Symbol, Alternate Abbreviation Symbol"
23,{'HGNC:7'},{'ENSG00000175899'},{'GENE ID:2'},A2M,CPAMD5,T,Gene Group Symbol
24,{'HGNC:7'},{'ENSG00000175899'},{'GENE ID:2'},A2M,FWP007,F,
25,{'HGNC:7'},{'ENSG00000175899'},{'GENE ID:2'},A2M,S863-7,F,
26,{'HGNC:27057'},{'ENSG00000245105'},{'GENE ID:144571'},A2M-AS1,A2M-AS1,T,Primary Gene Symbol
27,{'HGNC:23336'},{'ENSG00000166535'},{'GENE ID:144568'},A2ML1,A2ML1,T,Primary Gene Symbol
28,{'HGNC:23336'},{'ENSG00000166535'},{'GENE ID:144568'},A2ML1,CPAMD9,T,"Previous Symbol, Gene Group Symbol"
29,{'HGNC:23336'},{'ENSG00000166535'},{'GENE ID:144568'},A2ML1,FLJ25179,T,Clone Name Symbol
30,{'HGNC:23336'},{'ENSG00000166535'},{'GENE ID:144568'},A2ML1,OMS,T,"Previous Symbol, Phenotype Symbol"
31,{'HGNC:23336'},{'ENSG00000166535'},{'GENE ID:144568'},A2ML1,P170,F,
32,{'HGNC:23336'},{'ENSG00000166535'},{'GENE ID:144568'},A2ML1,p170,F,
33,{'HGNC:41022'},{'ENSG00000256661'},{'GENE ID:100874108'},A2ML1-AS1,A2ML1-AS1,T,Primary Gene Symbol
34,{'HGNC:41523'},{'ENSG00000256904'},{'GENE ID:106478979'},A2ML1-AS2,A2ML1-AS2,T,Primary Gene Symbol
35,{'HGNC:8'},"{'ENSG00000291190', 'ENSG00000256069'}","{'GENE ID:124903067', 'GENE ID:3'}",A2MP1,A2MP,T,Previous Symbol
36,{'HGNC:8'},"{'ENSG00000291190', 'ENSG00000256069'}","{'GENE ID:124903067', 'GENE ID:3'}",A2MP1,A2MP1,T,Primary Gene Symbol
37,{'HGNC:30005'},{'ENSG00000184389'},{'GENE ID:127550'},A3GALT2,A3GALT2,T,Primary Gene Symbol
38,{'HGNC:30005'},{'ENSG00000184389'},{'GENE ID:127550'},A3GALT2,A3GALT2P,T,Previous Symbol
39,{'HGNC:30005'},{'ENSG00000184389'},{'GENE ID:127550'},A3GALT2,IGB3S,F,
40,{'HGNC:30005'},{'ENSG00000184389'},{'GENE ID:127550'},A3GALT2,IGBS3S,F,
