gene_symbol,ENSG_ID,alias_symbol,source
SLC25A5,ENSG00000005022, 2F1,HGNC
KLRG1,ENSG00000139187, 2F1,HGNC
S100A8,ENSG00000143546, 60B8AG,HGNC
S100A9,ENSG00000163220, 60B8AG,HGNC
GPHA2,ENSG00000149735, A2,HGNC
CFAP410,ENSG00000160226, A2,HGNC
SGCA,ENSG00000108823, A2,HGNC
BCL2A1,ENSG00000140379, ACC2,HGNC
ACACB,ENSG00000076555, ACC2,HGNC
ACSL6,ENSG00000164398, ACS2,HGNC
ACSL5,ENSG00000197142, ACS2,HGNC
ACOT7,ENSG00000097021, ACT,HGNC
FHL5,ENSG00000112214, ACT,HGNC
POTEM,ENSG00000222036, ACT,HGNC
LPCAT1,ENSG00000153395, AGPAT10,HGNC
GPAT3,ENSG00000138678, AGPAT10,HGNC
RNASEH2A,ENSG00000104889, AGS4,HGNC
GPSM3,ENSG00000213654, AGS4,HGNC
PDCD6IP,ENSG00000170248, AIP1,HGNC
DAB2IP,ENSG00000136848, AIP1,HGNC
LINC00261,ENSG00000259974, ALIEN,HGNC
COPS2,ENSG00000166200, ALIEN,HGNC
SLPI,ENSG00000124107, ALK1,HGNC
ALK,ENSG00000171094, ALK1,HGNC
ACVRL1,ENSG00000139567, ALK1,HGNC
ASRGL1,ENSG00000162174, ALP,HGNC
ATRNL1,ENSG00000107518, ALP,HGNC
SLPI,ENSG00000124107, ALP,HGNC
ASZ1,ENSG00000154438, ALP1,HGNC
ASRGL1,ENSG00000162174, ALP1,HGNC
DIAPH3,ENSG00000139734, AN,HGNC
PAX6,ENSG00000007372, AN,HGNC
CCDC102B,ENSG00000150636, AN,HGNC
JUN,ENSG00000177606, AP-1,HGNC
FOS,ENSG00000170345, AP-1,HGNC
FOSB,ENSG00000125740, AP-1,HGNC
ENPP4,ENSG00000001561, AP3Aase,HGNC
FHIT,ENSG00000189283, AP3Aase,HGNC
AP4S1,ENSG00000100478, AP47B,HGNC
AP3M2,ENSG00000070718, AP47B,HGNC
ANAPC1,ENSG00000153107, APC1,HGNC
SLC25A24,ENSG00000085491, APC1,HGNC
TOB1,ENSG00000141232, APRO5,HGNC
TOB2,ENSG00000183864, APRO5,HGNC
ACTRT1,ENSG00000123165, ARIP1,HGNC
MAGI2,ENSG00000187391, ARIP1,HGNC
RERE,ENSG00000142599, ARP,HGNC
CRISP1,ENSG00000124812, ARP,HGNC
ANGPTL1,ENSG00000116194, ARP1,HGNC
PITX2,ENSG00000164093, ARP1,HGNC
APOBEC2,ENSG00000124701, ARP1,HGNC
ASPM,ENSG00000066279, ASP,HGNC
TMPRSS11D,ENSG00000153802, ASP,HGNC
A1CF,ENSG00000148584, ASP,HGNC
AGTR1,ENSG00000144891, ATR1,HGNC
SLC3A1,ENSG00000138079, ATR1,HGNC
B3GNT2,ENSG00000170340, B3GN-T1,HGNC
B4GAT1,ENSG00000174684, B3GN-T1,HGNC
VSIR,ENSG00000107738, B7-H5,HGNC
HHLA2,ENSG00000114455, B7-H5,HGNC
CLDN5,ENSG00000184113, BEC1,HGNC
KCNH3,ENSG00000135519, BEC1,HGNC
BRCA1,ENSG00000012048, BRCC1,HGNC
ICE2,ENSG00000128915, BRCC1,HGNC
GTF2F2,ENSG00000188342, BTF4,HGNC
GTF2F1,ENSG00000125651, BTF4,HGNC
BTN1A1,ENSG00000124557, BTN1,HGNC
CLN3,ENSG00000188603, BTN1,HGNC
PFDN4,ENSG00000101132, C1,HGNC
ARHGAP4,ENSG00000089820, C1,HGNC
AKR1C4,ENSG00000198610, C11,HGNC
POLR3K,ENSG00000161980, C11,HGNC
CDK5RAP3,ENSG00000108465, C53,HGNC
POLR3D,ENSG00000168495, C53,HGNC
CHAF1B,ENSG00000159259, CAF-1,HGNC
CHAF1A,ENSG00000167670, CAF-1,HGNC
CHAF1A,ENSG00000167670, CAF1,HGNC
CHAF1B,ENSG00000159259, CAF1,HGNC
GOPC,ENSG00000047932, CAL,HGNC
FBLIM1,ENSG00000162458, CAL,HGNC
SERPINB6,ENSG00000124570, CAP,HGNC
BRD4,ENSG00000141867, CAP,HGNC
SORBS1,ENSG00000095637, CAP,HGNC
LINC00670,ENSG00000179136, CARDINAL,HGNC
CARD8,ENSG00000105483, CARDINAL,HGNC
MINDY3,ENSG00000148481, CARP,HGNC
ANKRD1,ENSG00000148677, CARP,HGNC
CYTIP,ENSG00000115165, CASP,HGNC
CUX1,ENSG00000257923, CASP,HGNC
