,HGNC_ID,gene_symbol,alias_symbol,NCBI_ID,ENSG_ID,collision,source
4087,14947,PPP1R12C,AAVS1,54776,ENSG00000125503,AAVS1,HGNC
1029,11177,SOAT1,ACAT1,6646,ENSG00000057252,ACAT1,HGNC
1030,11178,SOAT2,ACAT2,8435,ENSG00000167780,ACAT2,HGNC
5085,1612,CCRL2,ACKR5,9034,ENSG00000121797,ACKR5,HGNC
42301,7694,NDUFAB1,ACP1,4706,ENSG00000004779,ACP1,HGNC
3383,141,ACTBP8,ACTBP2,68,ENSG00000220267,ACTBP2,HGNC
1330,11531,TADA2A,ADA2,6871,ENSG00000276234,ADA2,HGNC
8834,206,ADAM28,ADAM23,10863,ENSG00000042980,ADAM23,HGNC
21336,361,AK1,ADK,203,ENSG00000106992,ADK,HGNC
14134,280,ADRA1D,ADRA1A,146,ENSG00000171873,ADRA1A,HGNC
19388,341,AGXT,AGT,189,ENSG00000172482,AGT,HGNC
11022,24114,AURKAIP1,AIP,54998,ENSG00000175756,AIP,HGNC
11507,24674,FBF1,ALB,85302,ENSG00000188878,ALB,HGNC
41040,61,ABCD1,AMN,215,ENSG00000101986,AMN,HGNC
2193,12496,UBE3A,ANCR,7337,ENSG00000114062,ANCR,HGNC
14945,28964,DANCR,ANCR,57291,ENSG00000226950,ANCR,HGNC
7881,19375,SLC25A23,APC2,79085,ENSG00000125648,APC2,HGNC
8330,19989,ANAPC2,APC2,29882,ENSG00000176248,APC2,HGNC
41322,640,AQP7,AQP9,364,ENSG00000165269,AQP9,HGNC
21681,3642,FDXR,AR,2232,ENSG00000161513,AR,HGNC
41415,651,AREG,AR,374,ENSG00000109321,AR,HGNC
23277,381,AKR1B1,AR,231,ENSG00000085662,AR,HGNC
42439,7869,NOL3,ARC,8996,ENSG00000140939,ARC,HGNC
7708,19168,TINAGL1,ARG1,64129,ENSG00000142910,ARG1,HGNC
10691,23725,ARHGAP21,ARHGAP10,57584,ENSG00000107863,ARHGAP10,HGNC
23361,382,AKR1B10,ARL1,57016,ENSG00000198074,ARL1,HGNC
7349,18746,SLURP1,ArsB,57152,ENSG00000126233,ARSB,HGNC
5018,16051,PARD3,ASIP,56288,ENSG00000148498,ASIP,HGNC
26794,4232,GDNF,ATF1,2668,ENSG00000168621,ATF1,HGNC
26794,4232,GDNF,ATF2,2668,ENSG00000168621,ATF2,HGNC
9143,21014,ANTXR1,ATR,84168,ENSG00000169604,ATR,HGNC
43347,8985,SERPINA2,ATR,390502,ENSG00000258597,ATR,HGNC
5344,16400,NLRP3,AVP,114548,ENSG00000162711,AVP,HGNC
9662,21727,QTGAL,B3GNT8,146712,ENSG00000175711,B3GNT8,HGNC
8754,20473,BRIP1,BACH1,83990,ENSG00000136492,BACH1,HGNC
50,10061,RNF2,BAP1,6045,ENSG00000121481,BAP1,HGNC
43767,946,MAGI1,BAP1,9223,ENSG00000151276,BAP1,HGNC
44024,977,BCAT2,BCAM,587,ENSG00000105552,BCAM,HGNC
8564,20252,BANF1P1,BCRP1,317687,ENSG00000258531,BCRP1,HGNC
8538,20224,DCAF5,BCRP2,8816,ENSG00000139990,BCRP2,HGNC
43934,9649,PTPN18,BDP1,26469,ENSG00000072135,BDP1,HGNC
44142,99,ASIC2,BNC1,40,ENSG00000108684,BNC1,HGNC
9228,21114,C6orf89,BRAP,221477,ENSG00000198663,BRAP,HGNC
11696,24902,DEPDC1B,BRCC3,55789,ENSG00000035499,BRCC3,HGNC
41111,6175,ITM2C,BRI3,81618,ENSG00000135916,BRI3,HGNC
12421,25712,PGAP1,Bst1,80055,ENSG00000197121,BST1,HGNC
1228,1140,BTN3A3,BTF3,10384,ENSG00000111801,BTF3,HGNC
1254,1144,BTRC,bTrCP1,8945,ENSG00000166167,BTRCP1,HGNC
6796,18121,MFRP,C1QTNF5,83552,ENSG00000235718,C1QTNF5,HGNC
2762,1323,C4A,C4B,720,ENSG00000244731,C4B,HGNC
43827,9536,PSMA7,C6,5688,ENSG00000101182,C6,HGNC
534,10637,CXCL10,C7,3627,ENSG00000169245,C7,HGNC
10234,23217,GKN1,CA11,56287,ENSG00000169605,CA11,HGNC
3568,1436,S100G,CABP1,795,ENSG00000169906,CABP1,HGNC
19209,33904,ACOD1,CAD,730249,ENSG00000102794,CAD,HGNC
11043,24136,B4GALNT2,Cad,124872,ENSG00000167080,CAD,HGNC
13997,2773,DFFB,CAD,1677,ENSG00000169598,CAD,HGNC
8619,20311,CHAMP1,CAMP,283489,ENSG00000198824,CAMP,HGNC
43791,9491,PRSS8,CAP1,5652,ENSG00000052344,CAP1,HGNC
43315,8952,SERPINB8,CAP2,5271,ENSG00000166401,CAP2,HGNC
1624,11878,TMPRSS4,CAP2,56649,ENSG00000137648,CAP2,HGNC
3487,1426,CADPS,CAPS,8618,ENSG00000163618,CAPS,HGNC
4987,16018,CADPS2,CAPS2,93664,ENSG00000081803,CAPS2,HGNC
11212,24325,CDKN2AIP,CARF,55602,ENSG00000168564,CARF,HGNC
