Conversion table of Accession No/ FLJ ID/ Clone ID/ Sequence ID/ Another Sequence ID
(Data by Extracting System of Accurate ORFs)

Accesion No	FLJ ID	Clone ID	Sequence ID	Another Sequence ID
AK075326	PSEC0001(FLJ91001)	NT2RM1000066	C-NT2RM1000066	
AK172724	PSEC0002(FLJ91002)	NT2RM1000295	C-NT2RM1000295	
AK075327	PSEC0003(FLJ91003)	NT2RM1000361	C-NT2RM1000361	
AK075328	PSEC0004(FLJ91004)	NT2RM1000558	C-NT2RM1000558	
AK075329	PSEC0005(FLJ91005)	NT2RM1000566	C-NT2RM1000566	
AK075330	PSEC0006(FLJ91006)	NT2RM1000630	C-NT2RM1000630	
AK075331	PSEC0007(FLJ91007)	NT2RM1000634	C-NT2RM1000634	
AK075332	PSEC0008(FLJ91008)	NT2RM1000726	C-NT2RM1000726	
AK075333	PSEC0009(FLJ91009)	NT2RM1000731	C-NT2RM1000731	
AK075334	PSEC0011(FLJ91010)	NT2RM1000779	C-NT2RM1000779	
AK075335	PSEC0012(FLJ91011)	NT2RM1000853	C-NT2RM1000853	
AK075336	PSEC0013(FLJ91012)	NT2RM1000960	C-NT2RM1000960	
AK075337	PSEC0015(FLJ91013)	NT2RM1001028	C-NT2RM1001028	
AK075338	PSEC0016(FLJ91014)	NT2RM1001076	C-NT2RM1001076	
AK075339	PSEC0017(FLJ91015)	NT2RM1001103	C-NT2RM1001103	
AK172725	PSEC0018(FLJ91016)	NT2RP1000042	C-NT2RP1000042	
AK075340	PSEC0019(FLJ91017)	NT2RP1000125	C-NT2RP1000125	
AK075341	PSEC0020(FLJ91018)	NT2RP1000255	C-NT2RP1000255	
AK075342	PSEC0021(FLJ91019)	NT2RP1000279	C-NT2RP1000279	
AK075343	PSEC0022(FLJ91020)	NT2RP1000349	C-NT2RP1000349	
AK172726	PSEC0023(FLJ91021)	NT2RP1000386	C-NT2RP1000386	
AK075344	PSEC0024(FLJ91022)	NT2RP1000407	C-NT2RP1000407	
AK075345	PSEC0025(FLJ91023)	NT2RP1000420	C-NT2RP1000420	
AK172727	PSEC0026(FLJ91024)	NT2RP1000434	C-NT2RP1000434	
AK075346	PSEC0027(FLJ91025)	NT2RP1000477	C-NT2RP1000477	
AK075347	PSEC0028(FLJ91026)	NT2RP1000533	C-NT2RP1000533	
AK075348	PSEC0029(FLJ91027)	NT2RP1000544	C-NT2RP1000544	
AK075349	PSEC0030(FLJ91028)	NT2RP1000567	C-NT2RP1000567	
AK075350	PSEC0031(FLJ91029)	NT2RP1000593	C-NT2RP1000593	
AK075351	PSEC0033(FLJ91030)	NT2RP1000659	C-NT2RP1000659	
AK075352	PSEC0034(FLJ91031)	NT2RP1000713	C-NT2RP1000713	
AK075353	PSEC0035(FLJ91032)	NT2RP1000769	C-NT2RP1000769	
AK075354	PSEC0037(FLJ91033)	NT2RP1000800	C-NT2RP1000800	
AK075355	PSEC0038(FLJ91034)	NT2RP1000837	C-NT2RP1000837	
AK075356	PSEC0040(FLJ91035)	NT2RP1000905	C-NT2RP1000905	
AK075357	PSEC0041(FLJ91036)	NT2RP1000921	C-NT2RP1000921	
AK075358	PSEC0043(FLJ91037)	NT2RP1001002	C-NT2RP1001002	
AK172728	PSEC0044(FLJ91038)	NT2RP1001007	C-NT2RP1001007	
AK075359	PSEC0045(FLJ91039)	NT2RP1001023	C-NT2RP1001023	
