Chimpanzee gene name,Chinese hamster CHOK1GS gene name,Chinese medaka gene name,Chinese softshell turtle gene name,Chinook salmon gene name,Gene name
,,,,,MT-TF
,,,,,MT-RNR1
,,,,,MT-TV
,,,,,MT-RNR2
,,,,,MT-TL1
MT-ND1,ND1,,ND1,ND1,MT-ND1
,,,,,MT-TI
,,,,,MT-TQ
,,,,,MT-TM
MT-ND2,ND2,,MT-ND2,ND2,MT-ND2
,,,,,MT-TW
MT-TA,,,,,MT-TA
,,,,,MT-TN
,,,,,MT-TC
,,,,,MT-TY
MT-CO1,COX1,,MT-CO1,COX1,MT-CO1
,,,,,MT-TS1
,,,,,MT-TD
MT-CO2,COX2,,MT-CO2,COX2,MT-CO2
,,,,,MT-TK
MT-ATP8,ATP8,,,,MT-ATP8
MT-ATP6,ATP6,,MT-ATP6,ATP6,MT-ATP6
MT-CO3,COX3,,MT-CO3,COX3,MT-CO3
,,,,,MT-TG
MT-ND3,ND3,,,ND3,MT-ND3
,,,,,MT-TR
,ND4L,,,,MT-ND4L
,ND4L,,,,MT-ND4L
MT-ND4L,ND4L,,,,MT-ND4L
,ND4L,,,,MT-ND4L
MT-ND4,ND4,,MT-ND4,ND4,MT-ND4
,,,,,MT-TH
,,,,,MT-TS2
,,,,,MT-TL2
MT-ND5,,,MT-ND5,ND5,MT-ND5
MT-ND5,ND5,,MT-ND5,ND5,MT-ND5
MT-ND6,ND6,,MT-ND6,ND6,MT-ND6
MT-TE,,,,,MT-TE
MT-CYB,CYTB,,MT-CYB,CYTB,MT-CYB
,,,,,MT-TT
,,,,,MT-TP
,,,,,
,,,,,
,,,,,
,,,,,
U6,U6,,,,U6
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
5S_rRNA,,,,,5S_rRNA
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
5_8S_rRNA,5_8S_rRNA,,,,5_8S_rRNA
