HGNC ID	Approved symbol	Chromosome	NCBI Gene ID	Ensembl gene ID	OMIM ID(supplied by OMIM)	UniProt ID(supplied by UniProt)
HGNC:1	A12M1					
HGNC:10	A2MRAP					
HGNC:100	ASIC1	12q13.12	41	ENSG00000110881	602866	P78348
HGNC:1000	BCL5	17q22				
HGNC:10000	RGS4	1q23.3	5999	ENSG00000117152	602516	P49798
HGNC:10001	RGS5	1q23.3	8490	ENSG00000143248	603276	O15539
HGNC:10002	RGS6	14q24.2	9628	ENSG00000182732	603894	P49758
HGNC:10003	RGS7	1q43	6000	ENSG00000182901	602517	P49802
HGNC:10004	RGS9	17q24.1	8787	ENSG00000108370	604067	O75916
HGNC:10005	RH					
HGNC:10006	RHAG	6p12.3	6005	ENSG00000112077	180297	Q02094
HGNC:10007	RHBDL1	16p13.3	9028	ENSG00000103269	603264	O75783
HGNC:10008	RHCE	1p36.11	6006	ENSG00000188672	111700	P18577
HGNC:10009	RHD	1p36.11	6007	ENSG00000187010	111680	Q02161
HGNC:1001	BCL6	3q27.3	604	ENSG00000113916	109565	P41182
HGNC:10010	RHEBP1	10q11.22	6008	ENSG00000229927		
HGNC:10011	RHEB	7q36.1	6009	ENSG00000106615	601293	Q15382
HGNC:10012	RHO	3q22.1	6010	ENSG00000163914	180380	P08100
HGNC:10013	GRK1	13q34	6011	ENSG00000185974	180381	Q15835
HGNC:10014	RIEG1					
HGNC:10015	RIEG2	13q14				
HGNC:10016	RIMKLP	21q22.12				
HGNC:10017	RIT2	18q12.3	6014	ENSG00000152214	609592	Q99578
HGNC:10018	RING1	6p21.32	6015	ENSG00000204227	602045	Q06587
HGNC:10019	RIPK1	6p25.2	8737	ENSG00000137275	603453	Q13546
HGNC:1002	BCL6B	17p13.1	255877	ENSG00000161940	608992	Q8N143
HGNC:10020	RIPK2	8q21.3	8767	ENSG00000104312	603455	O43353
HGNC:10021	RIPK3	14q12	11035	ENSG00000129465	605817	Q9Y572
HGNC:10022	RIR					
HGNC:10023	RIT1	1q22	6016	ENSG00000143622	609591	Q92963
HGNC:10024	RLBP1	15q26.1	6017	ENSG00000140522	180090	P12271
HGNC:10025	RLF	1p34.2	6018	ENSG00000117000	180610	Q13129
HGNC:10026	RLN1	9p24.1	6013	ENSG00000107018	179730	P04808
HGNC:10027	RLN2	9p24.1	6019	ENSG00000107014	179740	P04090
HGNC:10028	RLNL	reserved				
HGNC:10029	RMCH					
HGNC:1003	BCL7					
HGNC:10030	RMD1	1q41				
HGNC:10031	RMRP	9p13.3	6023	ENSG00000277027	157660	
HGNC:10032	RMSA1					
HGNC:10033	RN5S					
HGNC:10034	RN5S1@	1q42.11-q42.13				
HGNC:10035	RN5S2@	1q43				
HGNC:10036	RN5S3@	1q31				
HGNC:10037	RN7SK	6p12.2	125050	ENSG00000283293	606515	
HGNC:10038	RN7SL1	14q21.3	6029	ENSG00000276168	612177	
HGNC:10039	RN7SL4P	3p24.3	6030	ENSG00000263740		
HGNC:1004	BCL7A	12q24.31	605	ENSG00000110987	601406	Q4VC05
HGNC:10040	RN7SL5P	9p23	6031	ENSG00000265735		
HGNC:10041	RN7SL6P	22q11.23	6032			
HGNC:10042	RN7SL7P	7q21.2	6033	ENSG00000266794		
HGNC:10043	RN7SL8P	7q22.3	6034	ENSG00000243352		
HGNC:10044	RNASE1	14q11.2	6035	ENSG00000129538	180440	P07998
HGNC:10045	RNASE2	14q11.2	6036	ENSG00000169385	131410	P10153
HGNC:10046	RNASE3	14q11.2	6037	ENSG00000169397	131398	P12724
HGNC:10047	RNASE4	14q11.2	6038	ENSG00000258818	601030	P34096
HGNC:10048	RNASE6	14q11.2	6039	ENSG00000169413	601981	Q93091
HGNC:10049	RNASEH1P1	17p11.2	284203	ENSG00000265790		
HGNC:1005	BCL7B	7q11.23	9275	ENSG00000106635	605846	Q9BQE9
HGNC:10050	RNASEL	1q25.3	6041	ENSG00000135828	180435	Q05823
HGNC:10051	RNASEL1					
HGNC:10052	RNE1					
HGNC:10053	RNE2					
HGNC:10054	RNE3					
HGNC:10055	RNF10	12q24.31	9921	ENSG00000022840	615998	Q8N5U6
HGNC:10056	RNF11	1p32.3	26994	ENSG00000123091	612598	Q9Y3C5
HGNC:10057	RNF13	3q25.1	11342	ENSG00000082996	609247	O43567
HGNC:10058	RNF14	5q31.3	9604	ENSG00000013561	605675	Q9UBS8
HGNC:10059	TRIM38	6p22.2	10475	ENSG00000112343		O00635
HGNC:1006	BCL7C	16p11.2	9274	ENSG00000099385	605847	Q8WUZ0
HGNC:10060	RNF17	13q12.12	56163	ENSG00000132972	605793	Q9BXT8
HGNC:10061	RNF2	1q25.3	6045	ENSG00000121481	608985	Q99496
HGNC:10062	RNF20	9q31.1	56254	ENSG00000155827	607699	Q5VTR2
HGNC:10063	TRIM34	11p15.4	53840	ENSG00000258659	605684	Q9BYJ4
HGNC:10064	TRIM3	11p15.4	10612	ENSG00000110171	605493	O75382
HGNC:10065	TRIM39	6p22.1	56658	ENSG00000204599	605700	Q9HCM9
HGNC:10066	PCGF3	4p16.3	10336	ENSG00000185619	617543	Q3KNV8
HGNC:10067	RNF4	4p16.3	6047	ENSG00000063978	602850	P78317
HGNC:10068	RNF5	6p21.32	6048	ENSG00000204308	602677	Q99942
HGNC:10069	RNF6	13q12.13	6049	ENSG00000127870	604242	Q9Y252
HGNC:1007	NBEAP1	15q11.2	606	ENSG00000258590	601889	P0C6P0
HGNC:10070	RNF7	3q23	9616	ENSG00000114125	603863	Q9UBF6
HGNC:10071	RNF8	6p21.2	9025	ENSG00000112130	611685	O76064
HGNC:10072	TRIM10	6p22.1	10107	ENSG00000204613	605701	Q9UDY6
HGNC:10073	RNGTT	6q15	8732	ENSG00000111880	603512	O60942
HGNC:10074	RNH1	11p15.5	6050	ENSG00000023191	173320	P13489
HGNC:10075	RNMT	18p11.21	8731	ENSG00000101654	603514	O43148
HGNC:10076	RNN					
HGNC:10077	RNNL					
HGNC:10078	RNPEP	1q32.1	6051	ENSG00000176393	602675	Q9H4A4
HGNC:10079	RNPEPL1	2q37.3	57140	ENSG00000142327	605287	Q9HAU8
HGNC:1008	BCL9	1q21.2	607	ENSG00000116128	602597	O00512
HGNC:10080	RNPS1	16p13.3	10921	ENSG00000205937	606447	Q15287
HGNC:10081	RNPU1Z					
HGNC:10082	RNR1	13p12 not on reference assembly	6052		180450	
HGNC:10083	RNR2	14p12 not on reference assembly	6053		180451	
HGNC:10084	RNR3	15p12 not on reference assembly	6054		180452	
HGNC:10085	RNR4	21p12 not on reference assembly	6055		180453	
HGNC:10086	RNR5	22p12 not on reference assembly	6056		180454	
HGNC:10087	RNRP1	reserved				
HGNC:10088	RNRP2	reserved				
HGNC:10089	RNS1					
HGNC:1009	BCMA					
HGNC:10090	RNS2					
HGNC:10091	RNS3					
HGNC:10092	RNS4					
HGNC:10093	RNS4I					
HGNC:10094	RNS6					
HGNC:10095	RNU1					
HGNC:10096	SNORD80	1q25.1	26774			
HGNC:10097	SNORD4A	17q11	26773	ENSG00000238578		
HGNC:10098	SNORD4B	17q11	26772	ENSG00000238597		
HGNC:10099	SNORD102	13q12.2	26771	ENSG00000207500		
HGNC:101	ASIC3	7q36.1	9311	ENSG00000213199	611741	Q9UHC3
HGNC:1010	BCNG1					
HGNC:10100	SNORD79	1q25.1	26770			
HGNC:10101	SNORD81	1q25.1	26769			
HGNC:10102	RNU105A	1p35.3				
HGNC:10103	RNU105B	20p12.3	26767	ENSG00000201348		
HGNC:10104	RNU105C	8q11.23	26766	ENSG00000199212		
HGNC:10105	SNORD12C	20q13.13	26765	ENSG00000209042		
HGNC:10106	SNORA63	3q27.3	6043	ENSG00000200320	180647	
HGNC:10107	SNORA62	3p22.1	6044	ENSG00000202363	180646	
HGNC:10108	RNU11	1p35.3	26824	ENSG00000274978		
HGNC:10109	RNU12-2P	Xp11.23	26823	ENSG00000201659		
HGNC:1011	BCNG2					
HGNC:10110	SNORD13P1	22q13.2	6076	ENSG00000238498		
HGNC:10111	SNORD13P2	7p22.1	6077			
HGNC:10112	SNORD13P3	3p21.31	6078	ENSG00000239128		
HGNC:10113	SNORD14A	11p15.1	26822	ENSG00000272034		
HGNC:10114	SNORD15A	11q13.4	6079	ENSG00000206941	600455	
HGNC:10115	SNORA73A	1p36.1	6080	ENSG00000274266	180645	
HGNC:10116	SNORA73B	1p35.3	26768	ENSG00000200087	603239	
HGNC:10117	RNU17C	1pter-qter				
HGNC:10118	SNHG3	1p35.3	8420	ENSG00000242125	603238	
HGNC:10119	SNORA74A	5q31.2	26821	ENSG00000200959		
HGNC:1012	OPN1SW	7q32.1	611	ENSG00000128617	613522	P03999
HGNC:10120	RNU1-1	1p36.13	26871	ENSG00000206652		
HGNC:10121	RNU1A3	1p36.1				
HGNC:10123	RNU1-2	1p36.13	26870	ENSG00000207005		
HGNC:10124	RNU1C2	1p36.1				
HGNC:10125	RNU1D2	1p36.1				
HGNC:10126	RNU1E2	1p36.1				
HGNC:10127	RNU1F1	1p36.1				
HGNC:10128	RNU1-4	1p36.1	6060	ENSG00000207389	180680	
HGNC:10129	RNU1G2	1p36.1				
HGNC:1013	BCPM	3q21-q24				
HGNC:10130	RNU1-3	1p36.1	26869	ENSG00000207513		
HGNC:10131	RNU1G4	1p36.1				
HGNC:10132	RNU1P1	1q21.1				
HGNC:10133	RNVU1-1	1q21.1	101954273	ENSG00000207340		
HGNC:10134	RNVU1-11	1q21.2				
HGNC:10135	RNU1P3	1q12-q22				
HGNC:10136	RNU1P4	1q12-q22				
HGNC:10137	RNU1-11P	6p24.1	26861	ENSG00000206702		
HGNC:10138	RNU1-13P	1q21.1				
HGNC:10139	RNU1-14P	7p12.1	26859	ENSG00000199629		
HGNC:1014	BCR	22q11.23	613	ENSG00000186716	151410	P11274
HGNC:10140	RNU1-15P	7p15.3	26858	ENSG00000195024		
HGNC:10141	RNU1P9	1q21.1				
HGNC:10142	RNU2-1	17q12	6066		180690	
