HGNC_ID,primary_gene_symbol,collision,NCBI_ID,ENSG_ID,source
HGNC:10991,SLC25A5,2F1,GENE ID:292,ENSG00000005022,HGNC
HGNC:6380,KLRG1,2F1,GENE ID:10219,ENSG00000139187,HGNC
HGNC:10499,S100A9,60B8AG,GENE ID:6280,ENSG00000163220,HGNC
HGNC:10498,S100A8,60B8AG,GENE ID:6279,ENSG00000143546,HGNC
HGNC:10230,RNU6V,87U6,GENE ID:6071,ENSG00000206832,HGNC
HGNC:4387,GNAI3,87U6,GENE ID:2773,ENSG00000065135,HGNC
HGNC:10789,SRSF7,9G8,GENE ID:6432,ENSG00000115875,HGNC
HGNC:16939,SLU7,9G8,GENE ID:10569,ENSG00000164609,HGNC
HGNC:9970,RFC2,A1,GENE ID:5982,ENSG00000049541,HGNC
HGNC:9972,RFC4,A1,GENE ID:5984,ENSG00000163918,HGNC
HGNC:9969,RFC1,A1,GENE ID:5981,ENSG00000035928,HGNC
HGNC:1260,CFAP410,A2,GENE ID:755,ENSG00000160226,HGNC
HGNC:10805,SGCA,A2,GENE ID:6442,ENSG00000108823,HGNC
HGNC:18054,GPHA2,A2,GENE ID:170589,ENSG00000149735,HGNC
HGNC:5735,IGKV1-27,A20,GENE ID:28935,ENSG00000244575,HGNC
HGNC:11896,TNFAIP3,A20,GENE ID:7128,ENSG00000118503,HGNC
HGNC:79,ABO,A3GALNT,GENE ID:28,ENSG00000175164,HGNC
HGNC:20460,GBGT1,A3GALNT,GENE ID:26301,ENSG00000148288,HGNC
HGNC:9087,PLP2,A4,GENE ID:5355,ENSG00000102007,HGNC
HGNC:10809,SGCG,A4,GENE ID:6445,ENSG00000102683,HGNC
HGNC:56039,DSP-AS1,ABL,GENE ID:101928076,ENSG00000261189,HGNC
HGNC:7467,MTTP,ABL,GENE ID:4547,ENSG00000138823,HGNC
HGNC:3756,FLNC,ABP-280,GENE ID:2318,ENSG00000128591,HGNC
HGNC:3754,FLNA,ABP-280,GENE ID:2316,ENSG00000196924,HGNC
HGNC:51408,CARD8-AS1,AC008392.1,GENE ID:100505812,ENSG00000268001,HGNC
HGNC:53930,ZNF114-AS1,AC008392.1,GENE ID:105372429,ENSG00000268186,HGNC
HGNC:53593,LINC02555,AC079630.2,,ENSG00000260943,HGNC
HGNC:53410,LINC02471,AC079630.2,GENE ID:105369734,ENSG00000223914,HGNC
HGNC:232,ADCY1,AC1,GENE ID:107,ENSG00000164742,HGNC
HGNC:58148,YAP1-DT,AC107464.2,,ENSG00000277459,HGNC
HGNC:40506,PCGF3-AS2,AC107464.2,,ENSG00000248416,HGNC
HGNC:32658,SNORA59B,ACA59,GENE ID:677882,ENSG00000266079,HGNC
HGNC:32653,SNORA59A,ACA59,GENE ID:677885,ENSG00000239149,HGNC
HGNC:991,BCL2A1,ACC1,GENE ID:597,ENSG00000140379,HGNC
HGNC:84,ACACA,ACC1,GENE ID:31,ENSG00000278540,HGNC
HGNC:85,ACACB,ACC2,GENE ID:32,ENSG00000076555,HGNC
HGNC:991,BCL2A1,ACC2,GENE ID:597,ENSG00000140379,HGNC
HGNC:4484,GPR3,ACCA,GENE ID:2827,ENSG00000181773,HGNC
HGNC:84,ACACA,ACCA,GENE ID:31,ENSG00000278540,HGNC
HGNC:23989,ACCS,ACS,GENE ID:84680,ENSG00000110455,HGNC
HGNC:15814,ACSS2,ACS,GENE ID:55902,ENSG00000131069,HGNC
HGNC:16496,ACSL6,ACS2,GENE ID:23305,ENSG00000164398,HGNC
HGNC:16526,ACSL5,ACS2,GENE ID:51703,ENSG00000197142,HGNC
HGNC:24157,ACOT7,ACT,GENE ID:11332,ENSG00000097021,HGNC
HGNC:16,SERPINA3,ACT,GENE ID:12,ENSG00000196136,HGNC
HGNC:17371,FHL5,ACT,GENE ID:9457,ENSG00000112214,HGNC
HGNC:37096,POTEM,ACT,GENE ID:641455,ENSG00000222036,HGNC
HGNC:51375,TMIGD3,AD026,GENE ID:57413,ENSG00000121933,HGNC
HGNC:268,ADORA3,AD026,GENE ID:140,ENSG00000282608,HGNC
HGNC:30631,TADA1,ADA1,GENE ID:117143,ENSG00000152382,HGNC
HGNC:186,ADA,ADA1,GENE ID:100,ENSG00000196839,HGNC
HGNC:9561,PSMD4,AF-1,GENE ID:5710,ENSG00000159352,HGNC
HGNC:5440,IFNGR2,AF-1,GENE ID:3460,ENSG00000159128,HGNC
HGNC:38675,C11orf96,AG2,GENE ID:387763,ENSG00000187479,HGNC
HGNC:328,AGR2,AG2,GENE ID:10551,ENSG00000106541,HGNC
HGNC:25718,LPCAT1,AGPAT10,GENE ID:79888,ENSG00000153395,HGNC
HGNC:28157,GPAT3,AGPAT10,GENE ID:84803,ENSG00000138678,HGNC
HGNC:17858,GPSM1,AGS3,GENE ID:26086,ENSG00000160360,HGNC
HGNC:24116,RNASEH2C,AGS3,GENE ID:84153,ENSG00000172922,HGNC
HGNC:13945,GPSM3,AGS4,GENE ID:63940,ENSG00000213654,HGNC
HGNC:18518,RNASEH2A,AGS4,GENE ID:10535,ENSG00000104889,HGNC
HGNC:20437,AHSA2P,AHA1,GENE ID:130872,ENSG00000173209,HGNC
HGNC:18453,NAXE,AIBP,GENE ID:128240,ENSG00000163382,HGNC
HGNC:28363,AUNIP,AIBp,GENE ID:79000,ENSG00000127423,HGNC
HGNC:16472,SLC45A2,AIM-1,GENE ID:51151,ENSG00000164175,HGNC
HGNC:11390,AURKB,AIM-1,GENE ID:9212,ENSG00000178999,HGNC
HGNC:8766,PDCD6IP,AIP1,GENE ID:10015,ENSG00000170248,HGNC
HGNC:17294,DAB2IP,AIP1,GENE ID:153090,ENSG00000136848,HGNC
HGNC:12754,WDR1,AIP1,GENE ID:9948,ENSG00000071127,HGNC
HGNC:697,ARL6IP1,AIP1,GENE ID:23204,ENSG00000170540,HGNC
HGNC:18957,MAGI2,AIP1,GENE ID:9863,ENSG00000187391,HGNC
HGNC:24027,ACTRT1,AIP1,GENE ID:139741,ENSG00000123165,HGNC
HGNC:1916,CHD1L,ALC1,GENE ID:9557,ENSG00000131778,HGNC
HGNC:7585,MYL4,ALC1,GENE ID:4635,ENSG00000198336,HGNC
HGNC:30747,COPS2,ALIEN,GENE ID:9318,ENSG00000166200,HGNC
HGNC:16189,LINC00261,ALIEN,GENE ID:140828,ENSG00000259974,HGNC
HGNC:11092,SLPI,ALK1,GENE ID:6590,ENSG00000124107,HGNC
HGNC:427,ALK,ALK1,GENE ID:238,ENSG00000171094,HGNC
HGNC:175,ACVRL1,ALK1,GENE ID:94,ENSG00000139567,HGNC
HGNC:20767,PDLIM3,ALP,GENE ID:27295,ENSG00000154553,HGNC
HGNC:29063,ATRNL1,ALP,GENE ID:26033,ENSG00000107518,HGNC
HGNC:16448,ASRGL1,ALP,GENE ID:80150,ENSG00000162174,HGNC
HGNC:11092,SLPI,ALP,GENE ID:6590,ENSG00000124107,HGNC
HGNC:10626,CCL27,ALP,GENE ID:10850,ENSG00000213927,HGNC
HGNC:16448,ASRGL1,ALP1,GENE ID:80150,ENSG00000162174,HGNC
HGNC:1350,ASZ1,ALP1,GENE ID:136991,ENSG00000154438,HGNC
HGNC:4236,GFER,ALR,GENE ID:2671,ENSG00000127554,HGNC
HGNC:7133,KMT2D,ALR,GENE ID:8085,ENSG00000167548,HGNC
HGNC:380,AKR1A1,ALR,GENE ID:10327,ENSG00000117448,HGNC
HGNC:24920,HSH2D,ALX,GENE ID:84941,ENSG00000196684,HGNC
HGNC:3827,FPR2,ALX,GENE ID:2358,ENSG00000171049,HGNC
HGNC:20092,ATF7IP,AM,GENE ID:55729,ENSG00000171681,HGNC
HGNC:259,ADM,AM,GENE ID:133,ENSG00000148926,HGNC
HGNC:15480,DIAPH3,AN,GENE ID:81624,ENSG00000139734,HGNC
HGNC:8620,PAX6,AN,GENE ID:5080,ENSG00000007372,HGNC
HGNC:26295,CCDC102B,AN,GENE ID:79839,ENSG00000150636,HGNC
HGNC:12496,UBE3A,ANCR,GENE ID:7337,ENSG00000114062,HGNC
HGNC:28964,DANCR,ANCR,GENE ID:57291,ENSG00000226950,HGNC
HGNC:11863,TM7SF2,ANG1,GENE ID:7108,ENSG00000149809,HGNC
HGNC:1172,VPS51,ANG2,GENE ID:738,ENSG00000149823,HGNC
HGNC:489,ANGPTL1,ANG3,GENE ID:9068,ENSG00000116194,HGNC
HGNC:1172,VPS51,ANG3,GENE ID:738,ENSG00000149823,HGNC
HGNC:553,AOX1,AOH1,GENE ID:316,ENSG00000138356,HGNC
HGNC:19049,AOX3P,AOH1,GENE ID:107126360,ENSG00000244301,HGNC
HGNC:3797,FOSB,AP-1,GENE ID:2354,ENSG00000125740,HGNC
HGNC:6206,JUND,AP-1,GENE ID:3727,ENSG00000130522,HGNC
HGNC:6204,JUN,AP-1,GENE ID:3725,ENSG00000177606,HGNC
HGNC:3796,FOS,AP-1,GENE ID:2353,ENSG00000170345,HGNC
HGNC:4662,GTF3A,AP2,GENE ID:2971,ENSG00000122034,HGNC
HGNC:3359,ENPP4,AP3Aase,GENE ID:22875,ENSG00000001561,HGNC
HGNC:3701,FHIT,AP3Aase,GENE ID:2272,ENSG00000189283,HGNC
HGNC:575,AP4S1,AP47B,GENE ID:11154,ENSG00000100478,HGNC
HGNC:570,AP3M2,AP47B,GENE ID:10947,ENSG00000070718,HGNC
HGNC:19988,ANAPC1,APC1,GENE ID:64682,ENSG00000153107,HGNC
HGNC:20662,SLC25A24,APC1,GENE ID:29957,ENSG00000085491,HGNC
HGNC:19375,SLC25A23,APC2,GENE ID:79085,ENSG00000125648,HGNC
HGNC:19989,ANAPC2,APC2,GENE ID:29882,ENSG00000176248,HGNC
HGNC:28533,SLC25A41,APC4,GENE ID:284427,ENSG00000181240,HGNC
HGNC:19990,ANAPC4,APC4,GENE ID:29945,ENSG00000053900,HGNC
HGNC:17380,ANAPC7,APC7,GENE ID:51434,ENSG00000196510,HGNC
HGNC:19000,SCARA3,APC7,GENE ID:51435,ENSG00000168077,HGNC
HGNC:587,APEX1,APE,GENE ID:328,ENSG00000100823,HGNC
HGNC:25523,CCDC88A,APE,GENE ID:55704,ENSG00000115355,HGNC
HGNC:17091,NCSTN,APH2,GENE ID:23385,ENSG00000162736,HGNC
HGNC:20714,ZDHHC16,APH2,GENE ID:84287,ENSG00000171307,HGNC
HGNC:16677,ANP32B,APRIL,GENE ID:10541,ENSG00000136938,HGNC
HGNC:11928,TNFSF13,APRIL,GENE ID:8741,ENSG00000161955,HGNC
HGNC:11979,TOB1,APRO5,GENE ID:10140,ENSG00000141232,HGNC
HGNC:11980,TOB2,APRO5,GENE ID:10766,ENSG00000183864,HGNC
HGNC:381,AKR1B1,AR,GENE ID:231,ENSG00000085662,HGNC
HGNC:651,AREG,AR,GENE ID:374,ENSG00000109321,HGNC
