Gene name,Common canary gene name,Common carp gene name,Common wall lizard gene name,Common wombat gene name,Coquerel's sifaka gene name
MT-TF,,,,,
MT-RNR1,,,,,
MT-TV,,,,,
MT-RNR2,,,,,
MT-TL1,,,,,
MT-ND1,,mt-nd1,,ND1,ND1
MT-TI,,,,,
MT-TQ,,,,,
MT-TM,,,,,
MT-ND2,,mt-nd2,,ND2,ND2
MT-TW,,,,,
MT-TA,,,,,
MT-TN,,,,,
MT-TC,,,,,
MT-TY,,,,,
MT-CO1,,mt-co1,,COX1,COX1
MT-TS1,,,,,
MT-TD,,,,,
MT-CO2,,mt-co2,,COX2,COX2
MT-TK,,,,,
MT-ATP8,,,,ATP8,ATP8
MT-ATP6,,mt-atp6,,ATP6,ATP6
MT-ATP6,,mt-atp6,,,ATP6
MT-ATP6,,mt-atp6,,,ATP6
MT-CO3,,COX3,,COX3,COX3
MT-TG,,,,,
MT-ND3,,ND3,,ND3,ND3
MT-TR,,,,,
MT-ND4L,,,,,ND4L
MT-ND4L,,,,ND4L,ND4L
MT-ND4,,mt-nd4,,ND4,ND4
MT-TH,,,,,
MT-TS2,,,,,
MT-TL2,,,,,
MT-ND5,,mt-nd5,,ND5,ND5
MT-ND6,,mt-nd6,,ND6,ND6
MT-TE,,,,,
MT-CYB,,CYTB,,CYTB,CYTB
MT-TT,,,,,
MT-TP,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
U6,,,,U6,
U6,,,,U6,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
5S_rRNA,,,5S_rRNA,,
5S_rRNA,,,5S_rRNA,,
5S_rRNA,,,5S_rRNA,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
5_8S_rRNA,5_8S_rRNA,5_8S_rRNA,,5_8S_rRNA,
RNA5-8SN5,,5_8S_rRNA,,,
RNA5-8SN5,,5_8S_rRNA,,,
RNA5-8SN5,,5_8S_rRNA,,,
RNA5-8SN5,,5_8S_rRNA,,,
RNA5-8SN5,,5_8S_rRNA,,,
RNA5-8SN5,,5_8S_rRNA,,,
RNA5-8SN5,,5_8S_rRNA,,,
RNA5-8SN5,,5_8S_rRNA,,,
RNA5-8SN5,,5_8S_rRNA,,,
RNA5-8SN5,,5_8S_rRNA,,,
,,,,,
,,,,,
,,,,,
,,,,,
5_8S_rRNA,,5_8S_rRNA,,,
5_8S_rRNA,,5_8S_rRNA,,,
5_8S_rRNA,,5_8S_rRNA,,,
5_8S_rRNA,,5_8S_rRNA,,,
5_8S_rRNA,,5_8S_rRNA,,,
5_8S_rRNA,,5_8S_rRNA,,,
5_8S_rRNA,,5_8S_rRNA,,,
5_8S_rRNA,,5_8S_rRNA,,,
5_8S_rRNA,,5_8S_rRNA,,,
5_8S_rRNA,,5_8S_rRNA,,,
MAFIP,,tekt4,,,
MAFIP,,tekt4,,,
,,prodha,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y_RNA,,,,,
,,,,,
U6,,,,U6,
U6,,,,U6,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,dgcr6,,,
,,dgcr6,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,mrpl23,,,
,,,,,
U1,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y_RNA,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
U2,,,U2,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
U1,,,U1,,
,,,,,
,,,,,
U1,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
