"Type","Ancestral taxonomy","Ensembl identifier & gene name","Compare","Location","Target %id","Query %id"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000283691 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","11:118,994,560-118,994,655:1","56.25 %","47.79 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000283592 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","20:29,575,060-29,575,171:1","82.14 %","81.42 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000278523 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","2:61,928,634-61,928,704:-1","64.79 %","40.71 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000278028 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","9:41,672,295-41,672,406:-1","82.14 %","81.42 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000277818 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","5:79,562,745-79,562,846:-1","59.80 %","53.98 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000277777 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","21:5,597,390-5,597,490:1","61.39 %","54.87 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000277634 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","14:49,839,401-49,839,493:-1","48.39 %","39.82 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000277604 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","8:80,484,589-80,484,683:-1","75.79 %","63.72 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000277428 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","GL000195.1:37,434-37,534:-1","61.39 %","54.87 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000276932 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","GL000205.2:93,050-93,150:-1","61.39 %","54.87 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000276902 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","21:6,365,955-6,366,055:1","61.39 %","54.87 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000276723 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","9:65,573,384-65,573,495:1","83.04 %","82.30 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000276696 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","15:56,634,038-56,634,167:-1","40.77 %","46.90 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000276546 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","21:7,663,911-7,664,011:-1","61.39 %","54.87 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000276178 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","7:72,983,360-72,983,461:-1","59.80 %","53.98 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000275982 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","17:19,649,494-19,649,587:-1","54.26 %","45.13 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000275930 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","7:75,381,638-75,381,739:1","59.80 %","53.98 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000275904 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","9:67,697,076-67,697,187:1","83.04 %","82.30 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000275745 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","16:66,550,457-66,550,567:1","75.68 %","74.34 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000275006 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","17:38,089,399-38,089,500:1","62.75 %","56.64 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000274984 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","7:73,067,231-73,067,332:1","62.75 %","56.64 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000274967 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","3:53,290,640-53,290,751:1","73.21 %","72.57 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000274790 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","21:6,223,480-6,223,580:-1","61.39 %","54.87 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000274603 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","6:99,526,097-99,526,205:1","93.58 %","90.27 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000274484 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","21:7,474,394-7,474,494:1","61.39 %","54.87 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000274472 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","5:154,705,626-154,705,727:1","49.02 %","44.25 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000274284 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","17:38,231,043-38,231,144:-1","62.75 %","56.64 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000274118 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","7:146,311,720-146,311,822:1","56.31 %","51.33 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000274046 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","21:7,092,616-7,092,716:1","61.39 %","54.87 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000273964 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","13:28,629,794-28,629,883:1","57.78 %","46.02 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000273927 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","7:73,039,085-73,039,186:1","62.75 %","56.64 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000272113 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","9:32,820,261-32,820,350:1","93.33 %","74.34 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000272051 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","1:55,484,871-55,484,972:-1","66.67 %","60.18 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000267828 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","7:75,297,990-75,298,091:-1","62.75 %","56.64 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000265961 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","1:31,503,631-31,503,744:-1","79.82 %","80.53 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000265889 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","17:36,285,312-36,285,413:1","62.75 %","56.64 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000255156 RNY1P9 RNY1 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:41481]","Region Comparison Alignment","22:20,475,203-20,475,311:-1","78.90 %","76.11 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000253096 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","14:103,725,728-103,725,825:-1","52.04 %","45.13 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000253088 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","7:152,402,780-152,402,893:1","77.19 %","77.88 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000253016 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","12:38,274,448-38,274,549:-1","55.88 %","50.44 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252975 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","4:39,710,085-39,710,176:-1","63.04 %","51.33 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252965 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","3:125,528,244-125,528,349:-1","51.89 %","48.67 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252919 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","14:49,592,236-49,592,337:-1","63.73 %","57.52 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252915 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","21:39,344,537-39,344,628:1","48.91 %","39.82 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000252894 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","3:130,914,340-130,914,452:-1","76.99 %","76.99 %"
"Paralogues","Placentals (Eutheria)","ENSG00000252891 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","6:89,898,283-89,898,392:-1","87.27 %","84.96 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252874 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","11:47,820,200-47,820,289:-1","50.00 %","39.82 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252822 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","1:236,060,677-236,060,772:1","55.21 %","46.90 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252820 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","7:138,175,045-138,175,136:1","57.61 %","46.90 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252802 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","1:26,593,940-26,594,041:-1","66.67 %","60.18 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252784 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","1:63,338,263-63,338,372:1","52.73 %","51.33 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000252761 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","6:30,932,618-30,932,709:-1","73.91 %","60.18 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252759 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","2:200,863,152-200,863,247:-1","59.38 %","50.44 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252744 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","1:148,330,271-148,330,394:1","50.00 %","54.87 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252742 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","2:128,350,829-128,350,927:-1","69.70 %","61.06 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000252671 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","5:10,337,277-10,337,386:1","89.09 %","86.73 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252660 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","12:62,935,701-62,935,802:1","67.65 %","61.06 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000252655 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","14:89,650,793-89,650,903:-1","83.78 %","82.30 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252652 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","11:43,331,261-43,331,356:1","54.17 %","46.02 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000252621 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","10:37,303,000-37,303,109:-1","80.00 %","77.88 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252615 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","6:151,378,000-151,378,099:-1","71.00 %","62.83 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252612 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","1:185,266,535-185,266,627:1","52.69 %","43.36 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000252607 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","12:60,341,824-60,341,941:-1","81.36 %","84.96 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252585 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","12:27,752,874-27,752,986:1","70.80 %","70.80 %"
"Paralogues","Placentals (Eutheria)","ENSG00000252534 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","17:60,748,940-60,749,046:-1","93.46 %","88.50 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252524 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","4:157,064,557-157,064,663:1","52.34 %","49.56 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252487 RNY4P20 RNY4 pseudogene 20 [Source:HGNC Symbol;Acc:HGNC:34070]","Region Comparison Alignment","6:151,298,841-151,298,933:-1","60.22 %","49.56 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252486 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","X:27,252,119-27,252,235:-1","78.63 %","81.42 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252450 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","1:32,286,452-32,286,561:-1","39.09 %","38.05 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000252436 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","2:62,726,636-62,726,740:-1","84.76 %","78.76 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252420 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","3:61,739,127-61,739,229:-1","48.54 %","44.25 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252412 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","22:37,013,225-37,013,319:1","64.21 %","53.98 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000252398 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","3:32,045,873-32,045,979:1","80.37 %","76.11 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252374 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","7:14,010,669-14,010,763:-1","48.42 %","40.71 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252367 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","20:5,113,993-5,114,083:-1","50.55 %","40.71 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252357 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","1:173,808,489-173,808,622:1","69.40 %","82.30 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252341 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","5:10,292,041-10,292,148:-1","70.37 %","67.26 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252319 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","18:8,720,034-8,720,132:-1","51.52 %","45.13 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252317 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","1:240,341,385-240,341,477:1","79.57 %","65.49 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252316 RNY4 RNA, Ro60-associated Y4 [Source:HGNC Symbol;Acc:HGNC:10244]","Region Comparison Alignment","7:148,963,315-148,963,410:1","62.50 %","53.10 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252266 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","4:5,426,885-5,426,984:-1","55.00 %","48.67 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000252254 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","1:8,328,067-8,328,179:1","87.61 %","87.61 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252250 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","2:69,334,600-69,334,692:1","50.54 %","41.59 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252225 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","22:36,440,880-36,440,970:-1","57.14 %","46.02 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252217 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","15:65,502,741-65,502,836:1","56.25 %","47.79 %"
