Ambiguous Symbol,# of Queries
AP2,576
KRAS,148
MAP2,53
DSP,51
LRP1,49
MAP1A,46
PMP22,44
CPA3,39
PLAC8,38
CCNL1,38
C1QTNF5,37
MDK,35
GAL,35
SPP1,34
CPS1,32
CT45A5,31
CLC,31
HDC,31
GBF1,30
DLC1,30
RBP1,30
DSC3,29
PGD,29
TNRC18,29
CPD,29
F3,29
JUNB,28
PCM1,28
PLD1,28
HTT,28
CAP1,28
CYP2D6,27
SGK2,27
SMAP1,27
TTF2,26
SERPINA11,26
SPP2,26
S100A16,26
SLC23A2,26
FXYD6,26
LMO4,26
MED1,26
LILRA6,26
PER1,26
CAT,26
ARSB,26
S100A14,26
DEFB134,25
TP53TG3B,25
GK,25
CKB,25
FAM25A,25
CST6,25
CERS1,25
LGALS7,25
A2M,25
LGALS9B,25
SPN,25
LY6G6D,25
CAP2,25
SFN,24
ZC3H18,24
BEX1,24
NBL1,23
SPEN,23
RLF,23
SCAF1,23
DMTN,23
NOS3,23
MBD1,23
DSC1,23
FLG,23
ELN,22
DUSP1,22
LCP1,22
GCKR,22
SCG2,21
GIP,21
FCGR3A,21
AQP1,20
LOR,20
EMB,20
LAMB2,20
MEIS3,20
MLC1,20
KLK7,19
MPDZ,19
ARG1,18
NRP1,18
TMSB15A,17
MYO1C,17
TF,17
FAM25G,17
GPI,17
PRPH,17
LAT2,17
NPIPA8,16
NTN4,16
HLA-DQB1,16
ADAM23,16
RPL7A,16
CDH1,15
ANXA8,15
BCAM,15
FHL1,15
MAL,15
TNC,15
ELF1,15
LRRN1,14
WBP1,14
CD34,14
GRIK2,14
NLK,14
FAP,14
TRAF2,14
RGL1,13
MAG,13
HLA-DPB1,13
PHF2,13
NRP2,13
SLIT3,13
POLQ,13
LST1,13
PRR3,13
APOA2,13
OR11H12,13
XG,13
CAST,12
PREP,12
EAF1,12
BDP1,12
NAA38,12
HCST,12
GAB1,12
AK6,12
ACAT1,12
SIK1,12
CD14,12
GLS,12
CFL1,12
CREB3,11
NPR2,11
RPN2,11
FH,11
MSC,11
SCD,11
ACTB,11
HES1,11
SAT2,11
PILRB,11
ZNF225,11
FGF2,11
DSC2,11
GRIP1,11
SPATA8,11
HS3ST5,11
POLK,11
CHD2,11
ATP1A1,11
MBP,10
BAP1,10
OR2A7,10
FKBP9,10
COX11,10
FMO2,10
TMSB15B,10
RAB4B,10
TRAP1,10
CLK1,10
CCZ1,10
CHL1,10
UBC,10
AGT,10
ARL17A,10
CRIP1,10
HEBP1,10
BRF2,10
PRPS1,10
FEZ1,10
NCAM2,10
PAN2,10
CHMP3,10
ALDOA,10
ME1,10
RAD54L,10
MEF2B,10
CNR2,10
DLG2,10
GBA,10
ECD,10
SPDYE4,9
MIF,9
GAPDH,9
ROR1,9
EGLN2,9
INPP5E,9
AHRR,9
RAI1,9
LBH,9
GALNT15,9
GALNT13,9
GTF2I,9
LAP3,9
CFD,9
CDH19,9
FLI1,9
GALNT16,9
PRH2,9
ACAT2,9
C7,9
PTX3,9
ECE2,9
MGA,9
GOLGA5,9
DTL,9
SIT1,9
PRG2,8
BEX2,8
BACH1,8
RPS26,8
RGPD2,8
PRH1,8
HYDIN2,8
HBM,8
TIFA,8
SLC35E2,8
KRTAP5-3,8
STRA13,8
RGS9,8
CACNA1C-IT2,8
CDH7,8
RBM5-AS1,8
DUSP26,8
MVP,8
GABPB1,8
P2RY11,8
SRM,8
G6PD,8
BRIP1,8
TVP23C,8
BTD,8
SCG3,8
DNAL1,8
DAB1,8
ARHGAP19,8
PDK1,8
USP31,8
SIK1B,8
B3GNT6,8
GRP,8
HADH,8
RCN1,8
ADRA1A,8
USP17L10,8
FABP5,8
SOD2,8
XDH,8
FCGR3B,8
RIT1,8
IGH,8
OSR1,8
KLK6,8
FHL3,8
CORO7,8
FHL5,8
TYMP,8
DEFA1,8
ACP1,8
LILRB3,8
CDKN1A,7
AIDA,7
RGS13,7
OR52I1,7
RPL13,7
TCF4,7
CCK,7
FBXO31,7
TCF3,7
RAF1,7
DBP,7
SMO,7
ARX,7
HK1,7
KRT6C,7
SAT1,7
POLG,7
RASSF3,7
FRMPD2,7
NPHP3,7
NFIC,7
TPP1,7
AQP9,7
FAM25C,7
MST1,7
PEMT,7
PAM,7
HBB,7
FNTB,7
EIF3CL,7
MET,7
CPO,7
FMR1,7
SYT11,7
EIF3A,7
LAMA3,7
TAP1,7
FADS2,7
GAS7,7
CLEC2B,7
IGHV4-39,7
APOBEC3A,7
NPR3,7
HARS2,7
PAK2,7
TAP2,7
CAMP,7
PC,7
CCN1,7
AUTS2,7
PRR20B,7
DEFA3,7
MS4A7,7
PTMA,7
XBP1,7
CDH3,7
LAT,6
FADS3,6
RPL23,6
NUS1,6
PSAP,6
APC,6
AMN,6
HN1L,6
USP21,6
IQCH,6
LDB1,6
RPL36A,6
MBD2,6
BRF1,6
CHP1,6
HNF4A,6
ADCY3,6
RPL24,6
GP1BB,6
SUMO3,6
AMD1,6
QARS,6
GPT,6
ERF,6
NEU1,6
NTNG1,6
PRDX6,6
NPC1,6
MM1,6
LRP10,6
POM121,6
SCYL1,6
DLD,6
ALG2,6
EBP,6
CTNND1,6
DDX21,6
POLH,6
FMC1,6
EIF5A,6
KSR2,6
SPR,6
TADA1,6
