,HGNC_ID,gene_symbol,alias_symbol,NCBI Gene ID,ENSG_ID
0,100,ASIC1,"BNAC2, HBNAC2",41.0,ENSG00000110881
5,10004,RGS9,"PERRS, RGS9L, MGC26458, MGC111763",8787.0,ENSG00000108370
6,10006,RHAG,"RH50A, CD241, SLC42A1",6005.0,ENSG00000112077
7,10007,RHBDL1,RRP,9028.0,ENSG00000103269
8,10008,RHCE,"CD240CE, SLC42A4",6006.0,ENSG00000188672
9,10009,RHD,"RH30A, RH4, RHPI, RHII, DIIIC, CD240D, SLC42A5",6007.0,ENSG00000187010
10,1001,BCL6,"ZBTB27, LAZ3, BCL5, BCL6A",604.0,ENSG00000113916
11,10010,RHEBP1,RHEB,6008.0,ENSG00000229927
13,10012,RHO,"OPN2, CSNBAD1",6010.0,ENSG00000163914
14,10013,GRK1,"GPRK1, RK",6011.0,ENSG00000185974
15,10017,RIT2,RIBA,6014.0,ENSG00000152214
16,10018,RING1,RNF1,6015.0,ENSG00000204227
17,10019,RIPK1,"RIP, RIP1, RIP-1",8737.0,ENSG00000137275
18,1002,BCL6B,"ZBTB28, BAZF",255877.0,ENSG00000161940
19,10020,RIPK2,"RICK, RIP2, CARDIAK, CARD3",8767.0,ENSG00000104312
20,10021,RIPK3,RIP3,11035.0,ENSG00000129465
21,10023,RIT1,"RIBB, ROC1, MGC125864, MGC125865",6016.0,ENSG00000143622
22,10024,RLBP1,CRALBP,6017.0,ENSG00000140522
23,10025,RLF,"ZNF292L, ZN-15L",6018.0,ENSG00000117000
24,10026,RLN1,H1,6013.0,ENSG00000107018
25,10027,RLN2,"H2, RLXH2, BA12D24.1.1, BA12D24.1.2",6019.0,ENSG00000107014
26,10031,RMRP,"RMRPR, RRP2, NME1",6023.0,ENSG00000277027
27,10037,RN7SK,7SK,125050.0,ENSG00000283293
28,10038,RN7SL1,"7SL, 7L1A, RNSRP1",6029.0,ENSG00000276168
29,10039,RN7SL4P,7L28,6030.0,ENSG00000263740
30,1004,BCL7A,SMARCJ1,605.0,ENSG00000110987
31,10040,RN7SL5P,7LEM1,6031.0,ENSG00000265735
32,10041,RN7SL6P,7L7,6032.0,
33,10042,RN7SL7P,7L23,6033.0,ENSG00000266794
34,10043,RN7SL8P,7L63,6034.0,ENSG00000243352
35,10044,RNASE1,RAC1,6035.0,ENSG00000129538
36,10045,RNASE2,"EDN, RAF3",6036.0,ENSG00000169385
37,10046,RNASE3,"ECP, RAF1",6037.0,ENSG00000169397
38,10047,RNASE4,RAB1,6038.0,ENSG00000258818
39,10048,RNASE6,"RAD1, RNASEK6",6039.0,ENSG00000169413
40,10049,RNASEH1P1,RNH1,284203.0,ENSG00000265790
41,1005,BCL7B,SMARCJ2,9275.0,ENSG00000106635
43,10055,RNF10,"KIAA0262, RIE2",9921.0,ENSG00000022840
44,10056,RNF11,"CGI-123, SID1669P, MGC51169",26994.0,ENSG00000123091
45,10057,RNF13,RZF,11342.0,ENSG00000082996
46,10058,RNF14,"ARA54, HFB30, TRIAD2",9604.0,ENSG00000013561
47,10059,TRIM38,RORET,10475.0,ENSG00000112343
48,1006,BCL7C,SMARCJ3,9274.0,ENSG00000099385
49,10060,RNF17,"MMIP-2, SPATA23, FLJ11045",56163.0,ENSG00000132972
50,10061,RNF2,"BAP-1, BAP1, DING, HIPI3, RING1B, RING2",6045.0,ENSG00000121481
51,10062,RNF20,"FLJ20382, FLJ11189, KAIA2779, BRE1A, HBRE1, BRE1",56254.0,ENSG00000155827
53,10064,TRIM3,"HAC1, BERP, RNF97",10612.0,ENSG00000110171
55,10066,PCGF3,"FLJ36550, DONG1, RNF3A, MGC40413",10336.0,ENSG00000185619
56,10067,RNF4,"RES4-26, SNURF, SLX5",6047.0,ENSG00000063978
57,10068,RNF5,"NG2, G16, RING5, RMA1",6048.0,ENSG00000204308
58,10069,RNF6,DKFZP686P0776,6049.0,ENSG00000127870
59,1007,NBEAP1,BCL8A,606.0,ENSG00000258590
60,10070,RNF7,"SAG, ROC2, CKBBP1, RBX2",9616.0,ENSG00000114125
61,10071,RNF8,KIAA0646,9025.0,ENSG00000112130
62,10072,TRIM10,"RFB30, HERF1",10107.0,ENSG00000204613
63,10073,RNGTT,"HCE, HCE1, HCAP",8732.0,ENSG00000111880
64,10074,RNH1,RAI,6050.0,ENSG00000023191
65,10075,RNMT,"RG7MT1, N7-MTASE",8731.0,ENSG00000101654
66,10078,RNPEP,APB,6051.0,ENSG00000176393
75,10096,SNORD80,"Z15, U80",26774.0,
76,10097,SNORD4A,"Z17A, MGH18S-121",26773.0,ENSG00000238578
77,10098,SNORD4B,Z17B,26772.0,ENSG00000238597
78,10099,SNORD102,U102,26771.0,ENSG00000207500
79,101,ASIC3,"TNAC1, DRASIC",9311.0,ENSG00000213199
80,10100,SNORD79,"Z22, U79",26770.0,
81,10101,SNORD81,"Z23, U81",26769.0,
82,10103,RNU105B,E1-2,26767.0,ENSG00000201348
83,10104,RNU105C,"E1-5, E1-6, U105C",26766.0,ENSG00000199212
84,10105,SNORD12C,U106,26765.0,ENSG00000209042
85,10106,SNORA63,"E3, E3-2, SNORA63A",6043.0,ENSG00000200320
86,10107,SNORA62,"E2, E2-1",6044.0,ENSG00000202363
87,10108,RNU11,"U11, RNU11-1",26824.0,ENSG00000274978
88,10109,RNU12-2P,U12,26823.0,ENSG00000201659
89,10110,SNORD13P1,"U13, U13.32A",6076.0,ENSG00000238498
90,10111,SNORD13P2,"U13, U13.12A",6077.0,
91,10112,SNORD13P3,"U13, U13.4B",6078.0,ENSG00000239128
92,10113,SNORD14A,"U14, RNU14A",26822.0,ENSG00000272034
93,10114,SNORD15A,U15A,6079.0,ENSG00000206941
94,10115,SNORA73A,"U17A, E1-7, E1B, E1",6080.0,ENSG00000274266
95,10116,SNORA73B,"U17B, E1C",26768.0,ENSG00000200087
96,10118,SNHG3,"U17HG, U17HG-A, NCRNA00014",8420.0,ENSG00000242125
97,10119,SNORA74A,U19,26821.0,ENSG00000200959
98,1012,OPN1SW,"BOP, CBT",611.0,ENSG00000128617
99,10120,RNU1-1,"RNU1A1, U1, HU1-1, U1A1, HSD1",26871.0,ENSG00000206652
100,10123,RNU1-2,"U1C1, U1C21",26870.0,ENSG00000207005
101,10128,RNU1-4,"HSD6, U1E2, HSD2, U1D2, HSD5, U1B2, U1F, HSD7",6060.0,ENSG00000207389
102,10130,RNU1-3,HSD4,26869.0,ENSG00000207513
103,10133,RNVU1-1,"VU1.1, U1P14, U1.4, VU1.10, RNU1-53",101954273.0,ENSG00000207340
104,10137,RNU1-11P,"U1P1A, RNU1P1",26861.0,ENSG00000206702
105,10139,RNU1-14P,U1P17,26859.0,ENSG00000199629
106,1014,BCR,"D22S662, CML, PHL, ALL",613.0,ENSG00000186716
107,10140,RNU1-15P,U1P11,26858.0,ENSG00000195024
108,10142,RNU2-1,U2,6066.0,
109,10143,SNORD20,U20,6082.0,ENSG00000207280
110,10144,SNORD21,U21,6083.0,ENSG00000206680
111,10145,SNORD22,U22,9304.0,ENSG00000277194
112,10146,SNORD24,U24,26820.0,ENSG00000206611
113,10147,SNORD25,U25,9303.0,ENSG00000275043
114,10148,SNORD26,U26,9302.0,ENSG00000276788
115,10149,SNORD27,U27,9301.0,ENSG00000275996
116,1015,BCRP2,BCR-2,400892.0,ENSG00000169668
117,10150,SNORD28,"U28, SNORD28A",9300.0,ENSG00000274544
118,10151,SNORD29,U29,9297.0,
119,10152,RNU2-2,U2,26855.0,ENSG00000222328
120,10153,RNU2-3P,U2,26854.0,ENSG00000222076
121,10154,RNU2-4P,"U2, U2/7",26853.0,ENSG00000277084
122,10155,RNU2-5P,"U2, U2.7",26852.0,ENSG00000222465
123,10157,SNORD30,U30,9299.0,ENSG00000277846
124,10158,SNORD31,"U31, SNORD31A",9298.0,
125,10159,SNORD32A,"U32, U32A",26819.0,ENSG00000201675
127,10160,SNORD33,U33,26818.0,ENSG00000199631
128,10161,SNORD34,U34,26817.0,ENSG00000202503
129,10162,SNORD35A,"U35, RNU35A",26816.0,ENSG00000200259
130,10163,SNORD36A,U36A,26815.0,ENSG00000199744
131,10164,SNORD36B,U36B,26814.0,ENSG00000200831
132,10165,SNORD36C,U36C,26813.0,ENSG00000252542
133,10166,SNORD37,U37,26812.0,ENSG00000206775
134,10168,SNORD3B-1,"U3A, U3B1, U3B2",26851.0,ENSG00000265185
135,1017,BCRP4,BCR-4,616.0,ENSG00000215456
136,10175,SNORD3P1,U3,6068.0,ENSG00000200318
137,10177,SNORD3P3,"U3, U3.5, U3.7",26843.0,
138,10178,SNORD3P4,"U3, U3.6",26842.0,
139,10179,SNORD41,U41,26810.0,ENSG00000209702
141,10180,SNORD42A,U42,26809.0,ENSG00000238649
142,10181,SNORD42B,U42B,26808.0,ENSG00000238423
143,10182,SNORD43,U43,26807.0,ENSG00000263764
144,10183,SNORD44,U44,26806.0,
145,10184,SNORD45A,U45A,26805.0,ENSG00000207241
146,10185,SNORD45B,U45B,26804.0,ENSG00000201487
147,10186,SNORD46,"U46, U40",94161.0,ENSG00000200913
148,10187,SNORD47,U47,26802.0,
149,10188,SNORD48,U48,26801.0,ENSG00000201823
150,10189,SNORD49A,"U49, U49A",26800.0,ENSG00000277370
151,10192,RNU4-1,"U4BL, U4",26835.0,ENSG00000200795
152,10193,RNU4-2,"U4C, U4B, U4A",26834.0,ENSG00000202538
153,10194,RNU4-7P,"U4, U4/7",6069.0,ENSG00000201628
154,10195,RNU4-8P,"U4, U4/14",6070.0,ENSG00000201806
155,10196,RNU4-3P,"U4, U4/4",26841.0,
156,10197,RNU4-4P,"U4, U4/5",26840.0,ENSG00000201458
157,10198,RNU4-5P,"U4, U4/6",26839.0,ENSG00000272160
158,10199,RNU4-6P,"U4, U4/8",26838.0,ENSG00000222736
159,102,CNNM1,SLC70A1,26507.0,ENSG00000119946
160,1020,BCS1L,"HS.6719, BCS, H-BCS, BJS",617.0,ENSG00000074582
161,10200,SNORD50A,U50,26799.0,
162,10201,SNORD51,U51,26798.0,ENSG00000207047
163,10202,SNORD52,U52,26797.0,ENSG00000201754
164,10203,SNORD53,"U53, SNORD53A",26796.0,ENSG00000265145
165,10204,SNORD54,U54,26795.0,ENSG00000238650
166,10205,SNORD55,"U55, U39",26811.0,ENSG00000264294
167,10206,SNORD56,U56,26793.0,ENSG00000229686
168,10207,SNORD57,U57,26792.0,ENSG00000226572
169,10208,SNORD58A,U58A,26791.0,ENSG00000206602
170,10209,SNORD58B,U58B,26790.0,ENSG00000271982
171,10210,SNORD59A,U59,26789.0,ENSG00000207031
172,10211,RNU5A-1,"U5A, U5B1",26831.0,ENSG00000199568
173,10212,RNU5B-1,U5B1,26832.0,ENSG00000200156
174,10214,RNU5D-1,"U5DS, U5DL",26830.0,ENSG00000200169
175,10215,RNU5E-1,U5E,26829.0,ENSG00000199347
177,10217,SNORD60,U60,26788.0,ENSG00000206630
178,10218,SNORD61,"U61, HBII-342",26787.0,ENSG00000206979
179,10219,SNORD62A,"U62, U62A",26786.0,ENSG00000235284
180,1022,BCYRN1,"BC200, BC200A, NCRNA00004, LINC00004",618.0,ENSG00000236824
181,10220,SNORD63,"U63, SNORD63A",26785.0,ENSG00000206989
182,10221,SNORA64,U64,26784.0,ENSG00000207405
183,10222,SNORA65,U65,26783.0,ENSG00000201302
184,10223,SNORA66,U66,26782.0,ENSG00000207523
185,10224,SNORA67,U67,26781.0,ENSG00000277985
186,10225,SNORA68,"U68, SNORA68A",26780.0,ENSG00000207166
187,10226,SNORA69,U69,26779.0,ENSG00000206622
188,10227,RNU6-1,"U6, U6-1",26827.0,ENSG00000206625
189,10228,RNU6-6P,U6-6,26826.0,ENSG00000272055
190,10229,RNU6-50P,U6,26825.0,ENSG00000199226
191,1023,BCYRN1P1,BC200B,619.0,
192,10230,RNU6V,"87U6, LH87",6071.0,ENSG00000206832
193,10231,SNORA70,"U70, DXS648E",26778.0,ENSG00000207165
194,10232,SNORA71A,U71A,26777.0,ENSG00000225091
195,10233,SNORA71B,U71B,26776.0,ENSG00000235408
196,10234,SNORA72,U72,26775.0,ENSG00000207067
197,10235,SNORD73A,"U73A, RNU73A",8944.0,ENSG00000208797
198,10236,RNU7-68P,"HSU7.732A, U7.68",6072.0,
199,10237,RNU7-86P,HSU7.7/32B,6073.0,
200,10239,RNU7-55P,"HSU7.36, U7.55",6075.0,ENSG00000239078
201,1024,BCYRN1P2,BC200G,620.0,
202,10240,SNORD82,"Z25, U82",25826.0,ENSG00000202400
203,10241,PHAX,FLJ13193,51808.0,ENSG00000164902
204,10242,RNY1,HY1,6084.0,ENSG00000201098
205,10243,RNY3,HY3,6085.0,ENSG00000202354
206,10244,RNY4,HY4,6086.0,ENSG00000252316
207,10245,RNY4P1,HY4.B8,6087.0,
208,10246,RNY4P2,HY4.B7,6088.0,
209,10247,RNY4P3,HY4.F2,6089.0,ENSG00000202124
210,10248,RNY5,HY5,6090.0,
211,10249,ROBO1,"DUTT1, FLJ21882, SAX3",6091.0,ENSG00000169855
212,10250,ROBO2,KIAA1568,6092.0,ENSG00000185008
213,10251,ROCK1,P160ROCK,6093.0,ENSG00000067900
215,10253,PTBP3,DKFZP781I1117,9991.0,ENSG00000119314
216,10254,ROM1,"TSPAN23, ROM",6094.0,ENSG00000149489
219,10258,RORA,"RZRA, ROR1, ROR2, ROR3, NR1F1, ROR-ALPHA, RORALPHA, RORA1, RORΑ",6095.0,ENSG00000069667
220,10259,RORB,"RZRB, NR1F2, ROR-BETA, RORΒ, RZR-BETA",6096.0,ENSG00000198963
221,10260,RORC,"RZRG, RORG, NR1F3, TOR",6097.0,ENSG00000143365
222,10261,ROS1,"MCF3, ROS, C-ROS-1",6098.0,ENSG00000047936
