ENSG_ID,NCBI_ID,HGNC_ID,alias_symbol,primary_gene_symbol
ENSG00000000003,GENE ID:7105,HGNC:11858,"T245,TM4SF6,TSPAN-6",TSPAN6
ENSG00000000005,GENE ID:64102,HGNC:17757,"BRICD4,CHM1L,MYODULIN,TEM,TENDIN",TNMD
ENSG00000000419,GENE ID:8813,HGNC:3005,"CDGIE,MPDS",DPM1
ENSG00000000457,GENE ID:57147,HGNC:19285,"PACE-1,PACE1",SCYL3
ENSG00000000460,GENE ID:55732,HGNC:25565,"APOLO1,C1ORF112,FLIP,FLJ10706,MEICA1",FIRRM
ENSG00000000938,GENE ID:2268,HGNC:3697,"C-FGR,P55C-FGR,SRC2",FGR
ENSG00000000971,GENE ID:3075,HGNC:4883,"ARMD4,ARMS1,FHL1,HF,HF1,HF2,HUS",CFH
ENSG00000001036,GENE ID:2519,HGNC:4008,"DJ20N2.5,MGC1314",FUCA2
ENSG00000001084,GENE ID:2729,HGNC:4311,"GCS,GLCL,GLCLC",GCLC
ENSG00000001167,GENE ID:4800,HGNC:7804,"CBF-B,HAP2,NF-YA",NFYA
ENSG00000001460,GENE ID:90529,HGNC:28070,"C1ORF201,FLJ33340,MAPO2",STPG1
ENSG00000001461,GENE ID:57185,HGNC:25233,"DJ462O23.2,NPAL3,SLC57A5",NIPAL3
ENSG00000001497,GENE ID:81887,HGNC:25726,"FLJ12525,LAS1",LAS1L
ENSG00000001561,GENE ID:22875,HGNC:3359,"AP3AASE,KIAA0879,NPP4",ENPP4
ENSG00000001617,GENE ID:6405,HGNC:10728,"SEMA4,SEMAK",SEMA3F
ENSG00000001626,GENE ID:1080,HGNC:1884,"ABC35,ABCC7,CF,CFTR/MRP,DJ760C5.1,MRP7,TNR-CFTR",CFTR
ENSG00000001629,GENE ID:54467,HGNC:22215,"DKFZP434A0225,KIAA1386",ANKIB1
ENSG00000001630,GENE ID:1595,HGNC:2649,"CP51,CYP51,CYPL1,LDM,P450-14DM,P450L1",CYP51A1
ENSG00000001631,GENE ID:889,HGNC:1573,"CAM,CCM1",KRIT1
ENSG00000002016,GENE ID:5893,HGNC:9824,,RAD52
ENSG00000002330,GENE ID:572,HGNC:936,"BBC2,BCL2L8",BAD
ENSG00000002549,GENE ID:51056,HGNC:18449,"LAP,LAPEP,PEPS",LAP3
ENSG00000002586,GENE ID:4267,HGNC:7082,"MIC2,MIC2X,MIC2Y",CD99
ENSG00000002587,GENE ID:9957,HGNC:5194,3OST1,HS3ST1
ENSG00000002726,GENE ID:26,HGNC:80,"ABP,ABP1,DAO",AOC1
ENSG00000002745,GENE ID:51384,HGNC:16267,,WNT16
ENSG00000002746,GENE ID:23072,HGNC:22195,"KIAA0322,NEDL1",HECW1
ENSG00000002822,GENE ID:8379,HGNC:6762,"HSMAD1,MAD1,PIG9,TP53I9,TXBP181",MAD1L1
ENSG00000002834,GENE ID:3927,HGNC:6513,"LASP-1,MLN50",LASP1
ENSG00000002919,GENE ID:29916,HGNC:14975,,SNX11
ENSG00000002933,GENE ID:55365,HGNC:24930,"HCA112,MS4B1",TMEM176A
ENSG00000003056,GENE ID:4074,HGNC:6752,"CD-M6PR,CD-MPR",M6PR
ENSG00000003096,GENE ID:90293,HGNC:22931,"BKLHD2,FLJ10262,KIAA1309",KLHL13
ENSG00000003137,GENE ID:56603,HGNC:20581,P450RAI-2,CYP26B1
ENSG00000003147,GENE ID:3382,HGNC:5343,"ICA69,ICAP69",ICA1
ENSG00000003249,GENE ID:79007,HGNC:28455,"FLJ12582,MGC3101",DBNDD1
ENSG00000003393,GENE ID:57679,HGNC:443,ALS2CR6,ALS2
ENSG00000003400,GENE ID:843,HGNC:1500,"FLICE-2,MCH4",CASP10
ENSG00000003402,GENE ID:8837,HGNC:1876,"C-FLIP,CASH,CASP8AP1,CASPER,CFLIP,CLARP,FLAME,FLIP,I-FLICE,MRIT",CFLAR
ENSG00000003436,GENE ID:7035,HGNC:11760,"EPI,LACI,TFI,TFPI1",TFPI
ENSG00000003509,GENE ID:55471,HGNC:28816,"C2ORF56,MIDA,PRO1853",NDUFAF7
ENSG00000003756,GENE ID:10181,HGNC:9902,"H37,LUCA-15,LUCA15",RBM5
ENSG00000003987,GENE ID:9108,HGNC:7454,,MTMR7
ENSG00000003989,GENE ID:6542,HGNC:11060,"ATRC2,CAT-2,CAT-2A,CAT-2B,HCAT2,SLC7A2A,SLC7A2B",SLC7A2
ENSG00000004059,GENE ID:381,HGNC:658,,ARF5
ENSG00000004139,GENE ID:23098,HGNC:17074,"KIAA0524,SAMD2,SARM",SARM1
ENSG00000004142,GENE ID:26073,HGNC:23781,"DKFZP586F1524,PDIP38",POLDIP2
ENSG00000004399,GENE ID:23129,HGNC:9107,KIAA0620,PLXND1
ENSG00000004455,GENE ID:204,HGNC:362,,AK2
ENSG00000004468,GENE ID:952,HGNC:1667,CADPR1,CD38
ENSG00000004478,GENE ID:2288,HGNC:3720,"FKBP52,FKBP59",FKBP4
ENSG00000004487,GENE ID:23028,HGNC:29079,"AOF2,BHC110,KDM1,KIAA0601,LSD1",KDM1A
ENSG00000004534,GENE ID:10180,HGNC:9903,"3G2,DEF-3,DEF3,G16,NY-LU-12",RBM6
ENSG00000004660,GENE ID:84254,HGNC:1469,"CAMKKA,DKFZP761M0423,MGC34095",CAMKK1
ENSG00000004700,GENE ID:5965,HGNC:9948,"RECQ1,RECQL1",RECQL
ENSG00000004766,GENE ID:55610,HGNC:25956,"CCDC132,DKFZP313I2429,FLJ20097,KIAA1861,VPS54L",VPS50
ENSG00000004776,GENE ID:126393,HGNC:26511,"FLJ32389,HSP20,PPP1R91",HSPB6
ENSG00000004777,GENE ID:115703,HGNC:23085,"FLJ39019,SNX26,TCGAP",ARHGAP33
ENSG00000004779,GENE ID:4706,HGNC:7694,"ACP,ACP1,FASN2A,SDAP",NDUFAB1
ENSG00000004799,GENE ID:5166,HGNC:8812,,PDK4
ENSG00000004809,GENE ID:85413,HGNC:20302,"CT2,FLIPT2,OAT6,OKB1",SLC22A16
ENSG00000004838,GENE ID:51364,HGNC:19412,"BLU,CILD22,DNAAF7",ZMYND10
ENSG00000004846,GENE ID:340273,HGNC:46,"ABCB5ALPHA,ABCB5BETA,EST422562",ABCB5
ENSG00000004848,GENE ID:170302,HGNC:18060,"CT121,EIEE1,ISSX,MRX29,MRX32,MRX33,MRX36,MRX38,MRX43,MRX54,MRX76,MRX87,MRXS1,PRTS",ARX
ENSG00000004864,GENE ID:10165,HGNC:10983,"ARALAR2,CITRIN,CTLN2",SLC25A13
ENSG00000004866,"GENE ID:7982,GENE ID:93655",HGNC:11351,"ETS7Q,FAM4A,FAM4A1,HELG,RAY1,SEN4,TSG7",ST7
ENSG00000004897,GENE ID:996,HGNC:1728,"ANAPC3,APC3,D0S1430E,D17S978E,NUC2",CDC27
ENSG00000004939,GENE ID:6521,HGNC:11027,"AE1,CD233,DI,EMPB3,EPB3,FR,RTA1A,SW,WD,WR",SLC4A1
ENSG00000004948,GENE ID:799,HGNC:1440,"CT-R,CTR",CALCR
ENSG00000004961,GENE ID:3052,HGNC:4837,"CCHL,MLS",HCCS
ENSG00000004975,GENE ID:1856,HGNC:3086,,DVL2
ENSG00000005001,GENE ID:64063,HGNC:14368,"BSSP-4,HBSSP-4,SP001LA",PRSS22
ENSG00000005007,GENE ID:5976,HGNC:9962,"HUPF1,KIAA0221,NORF1,PNORF1,RENT1,SMG-2",UPF1
ENSG00000005020,GENE ID:8935,HGNC:15687,"RA70,SAPS,SCAP2,SKAP-HOM,SKAP55R",SKAP2
ENSG00000005022,GENE ID:292,HGNC:10991,"2F1,ANT2,T2,T3",SLC25A5
ENSG00000005059,GENE ID:55013,HGNC:26076,"CCDC109B,FLJ20647",MCUB
ENSG00000005073,GENE ID:3207,HGNC:5101,"HOX1,HOX1I",HOXA11
ENSG00000005075,GENE ID:5439,HGNC:9197,"HRPB14,POLR2J1,RPB11,RPB11A,RPB11M",POLR2J
ENSG00000005100,GENE ID:56919,HGNC:16718,"DDX33,DKFZP762F2011,FLJ21972",DHX33
ENSG00000005102,GENE ID:4222,HGNC:7013,MOX1,MEOX1
ENSG00000005108,GENE ID:221981,HGNC:22207,KIAA0960,THSD7A
ENSG00000005156,GENE ID:3980,HGNC:6600,"LIG2,LIG3ALPHA",LIG3
ENSG00000005175,GENE ID:79657,HGNC:26151,"FLJ21908,HSPAGH,SPAG,TAH1",RPAP3
ENSG00000005187,GENE ID:6296,HGNC:10522,"SA,SAH",ACSM3
ENSG00000005189,GENE ID:81691,HGNC:24661,NEF-SP,REXO5
ENSG00000005194,GENE ID:57019,HGNC:28050,CIAE2,CIAPIN1
ENSG00000005206,GENE ID:56928,HGNC:30627,"IMP4,KIAA1532,PSL1",SPPL2B
ENSG00000005238,GENE ID:80256,HGNC:25666,"BA182N22.6,FAM214B,FLJ11560,KIAA1539",ATOSB
ENSG00000005243,GENE ID:51226,HGNC:19356,MGC23008,COPZ2
ENSG00000005249,GENE ID:5577,HGNC:9392,PRKAR2,PRKAR2B
ENSG00000005302,GENE ID:10943,HGNC:7370,MSL3L1,MSL3
ENSG00000005339,GENE ID:1387,HGNC:2348,"CBP,KAT3A,RSTS,RTS",CREBBP
ENSG00000005379,GENE ID:9256,HGNC:16831,"BZRAP1,KIAA0612,PRAX-1,RIM-BP1,RIMBP1",TSPOAP1
ENSG00000005381,GENE ID:4353,HGNC:7218,,MPO
ENSG00000005421,GENE ID:5444,HGNC:9204,"ESA,PON",PON1
ENSG00000005436,GENE ID:6936,HGNC:1317,"C2ORF3,DNABF,GCF,TCF9",GCFC2
ENSG00000005448,GENE ID:84058,HGNC:25770,FLJ12953,WDR54
ENSG00000005469,GENE ID:54677,HGNC:2366,COT,CROT
ENSG00000005471,GENE ID:5244,HGNC:45,"GBD1,MDR2,MDR3,PFIC-3,PGY3",ABCB4
ENSG00000005483,GENE ID:55904,HGNC:18541,"HDCMC04P,MLL5,SETD5B",KMT2E
ENSG00000005486,GENE ID:57414,HGNC:23082,"NPD007,RHBDL7",RHBDD2
ENSG00000005513,GENE ID:30812,HGNC:11203,,SOX8
ENSG00000005700,GENE ID:25998,HGNC:17853,"BTBD26,BTKI,DKFZP564B116",IBTK
ENSG00000005801,GENE ID:7748,HGNC:12986,,ZNF195
ENSG00000005810,GENE ID:23077,HGNC:23386,"FLJ10106,KIAA0916,PAM,PHR1",MYCBP2
ENSG00000005812,GENE ID:26224,HGNC:13599,"FBL3,FBL3A,FBXL3A",FBXL3
