ENSG_ID,primary_gene_symbol,collision,source,NCBI_ID,HGNC_ID,alias_symbol
ENSG00000283293,RN7SK,7SK,ENSG,GENE ID:125050,HGNC:10037,7SK
ENSG00000057252,SOAT1,ACAT1,ENSG,GENE ID:6646,HGNC:11177,"ACAT,ACAT1,SOAT,STAT"
ENSG00000167780,SOAT2,ACAT2,ENSG,GENE ID:8435,HGNC:11178,ACAT2
ENSG00000004779,NDUFAB1,ACP1,ENSG,GENE ID:4706,HGNC:7694,"ACP,ACP1,FASN2A,SDAP"
ENSG00000220267,ACTBP8,ACTBP2,ENSG,,HGNC:141,ACTBP2
ENSG00000277104,TADA2A,ADA2,ENSG,GENE ID:6871,HGNC:11531,"ADA2,ADA2A,HADA2,TADA2L"
ENSG00000276234,TADA2A,ADA2,ENSG,GENE ID:6871,HGNC:11531,"ADA2,ADA2A,HADA2,TADA2L"
ENSG00000042980,ADAM28,ADAM23,ENSG,GENE ID:10863,HGNC:206,"ADAM23,EMDCII,MDC-LM,MDC-LS"
ENSG00000155897,ADCY8,ADCY3,ENSG,GENE ID:114,HGNC:239,"AC8,ADCY3,HBAC1"
ENSG00000171873,ADRA1D,ADRA1A,ENSG,GENE ID:146,HGNC:280,"ADRA1,ADRA1A,ADRA1R"
ENSG00000172482,AGXT,AGT,ENSG,GENE ID:189,HGNC:341,"AGT,AGT1,AGXT1,PH1,SER-PYRAT,SPAT,SPT,TLH6"
ENSG00000175756,AURKAIP1,AIP,ENSG,GENE ID:54998,HGNC:24114,"AIP,AKIP,FLJ20608,MS38"
ENSG00000162433,AK4,AK3,ENSG,GENE ID:205,HGNC:363,"AK3,AK3L1"
ENSG00000147853,AK3,AK6,ENSG,GENE ID:50808,HGNC:17376,"AK3L1,AK6,AKL3L1"
ENSG00000188878,FBF1,ALB,ENSG,GENE ID:85302,HGNC:24674,"ALB,FBF-1,FLJ00103,KIAA1863"
ENSG00000101986,ABCD1,AMN,ENSG,GENE ID:215,HGNC:61,"ADRENOLEUKODYSTROPHY,ALD,ALDP,AMN"
ENSG00000163046,ANKRD30BL,ANKRD30BP3,ENSG,GENE ID:554226,HGNC:35167,"ANKRD30BP3,NCRNA00164"
ENSG00000125648,SLC25A23,APC2,ENSG,GENE ID:79085,HGNC:19375,"APC2,FLJ30339,MGC2615"
ENSG00000176248,ANAPC2,APC2,ENSG,GENE ID:29882,HGNC:19989,"APC2,KIAA1406"
ENSG00000084234,APLP2,APPL2,ENSG,GENE ID:334,HGNC:598,"APPH,APPL2"
ENSG00000165269,AQP7,AQP9,ENSG,GENE ID:364,HGNC:640,"AQP7L,AQP9,AQPAP"
ENSG00000109321,AREG,AR,ENSG,GENE ID:374,HGNC:651,"AR,AREGB,CRDGF,SDGF"
ENSG00000161513,FDXR,AR,ENSG,GENE ID:2232,HGNC:3642,"ADR,ADXR,AR"
ENSG00000085662,AKR1B1,AR,ENSG,GENE ID:231,HGNC:381,"ALDR1,AR"
ENSG00000140939,NOL3,ARC,ENSG,GENE ID:8996,HGNC:7869,"ARC,CARD2,MYP,NOP30"
ENSG00000185829,ARL17A,ARF1P2,ENSG,"GENE ID:100506084,GENE ID:51326",HGNC:24096,"ARF1P2,ARL17P1"
ENSG00000242247,ARFGAP3,ARFGAP1,ENSG,GENE ID:26286,HGNC:661,ARFGAP1
ENSG00000142910,TINAGL1,ARG1,ENSG,GENE ID:64129,HGNC:19168,"ARG1,LCN7,LIECG3,P3ECSL,TINAGRP"
ENSG00000107863,ARHGAP21,ARHGAP10,ENSG,GENE ID:57584,HGNC:23725,"ARHGAP10,KIAA1424"
ENSG00000198074,AKR1B10,ARL1,ENSG,GENE ID:57016,HGNC:382,"AKR1B11,AKR1B12,ALDRLN,ARL-1,ARL1,HIS,HSI"
ENSG00000126233,SLURP1,ARSB,ENSG,GENE ID:57152,HGNC:18746,"ANUP,ARS,ARSB,LY6-MT,LY6LS,MDM"
ENSG00000148498,PARD3,ASIP,ENSG,GENE ID:56288,HGNC:16051,"ASIP,BAZ,BAZOOKA,PAR3,PARD3A,PPP1R118"
ENSG00000168621,GDNF,ATF1,ENSG,GENE ID:2668,HGNC:4232,"ATF1,ATF2,HFB1-GDNF"
ENSG00000058668,ATP2B4,ATP2B2,ENSG,GENE ID:493,HGNC:817,"ATP2B2,MXRA1,PMCA4"
ENSG00000258597,SERPINA2,ATR,ENSG,GENE ID:390502,HGNC:8985,"ARGS,ATR,PIL,SERPINA2P"
ENSG00000274821,SERPINA2,ATR,ENSG,GENE ID:390502,HGNC:8985,"ARGS,ATR,PIL,SERPINA2P"
ENSG00000169604,ANTXR1,ATR,ENSG,GENE ID:84168,HGNC:21014,"ATR,FLJ10601,FLJ21776,TEM8"
ENSG00000162711,NLRP3,AVP,ENSG,GENE ID:114548,HGNC:16400,"AGTAVPRL,AII,AVP,C1ORF7,CIAS1,CLR1.1,DFNA34,FCAS,FCU,MWS,NALP3,PYPAF1"
ENSG00000174684,B4GAT1,B3GNT6,ENSG,GENE ID:11041,HGNC:15685,"B3GN-T1,B3GNT1,B3GNT6,BETA3GNTI,IGAT,IGNT"
ENSG00000175711,B3GNTL1,B3GNT8,ENSG,"GENE ID:128966610,GENE ID:146712",HGNC:21727,B3GNT8
ENSG00000277033,B3GNTL1,B3GNT8,ENSG,"GENE ID:128966610,GENE ID:146712",HGNC:21727,B3GNT8
ENSG00000136492,BRIP1,BACH1,ENSG,GENE ID:83990,HGNC:20473,"BACH1,FANCJ,OF"
ENSG00000151276,MAGI1,BAP1,ENSG,GENE ID:9223,HGNC:946,"AIP3,BAIAP1,BAP1,MAGI-1,TNRC19,WWP3"
ENSG00000121481,RNF2,BAP1,ENSG,GENE ID:6045,HGNC:10061,"BAP-1,BAP1,DING,HIPI3,RING1B,RING2"
ENSG00000105552,BCAT2,BCAM,ENSG,GENE ID:587,HGNC:977,"BCAM,BCATM,BCT2"
ENSG00000258531,BANF1P1,BCRP1,ENSG,,HGNC:20252,"BCRG1,BCRP1,D14S1460,D14S1460E"
ENSG00000139990,DCAF5,BCRP2,ENSG,GENE ID:8816,HGNC:20224,"BCRG2,BCRP2,D14S1461E,KIAA1824,WDR22"
ENSG00000072135,PTPN18,BDP1,ENSG,GENE ID:26469,HGNC:9649,BDP1
ENSG00000108684,ASIC2,BNC1,ENSG,GENE ID:40,HGNC:99,"ACCN,ACCN1,ASIC2A,BNAC1,BNC1,HBNAC1,MDEG"
ENSG00000198663,C6orf89,BRAP,ENSG,GENE ID:221477,HGNC:21114,"BRAP,FLJ25357"
ENSG00000035499,DEPDC1B,BRCC3,ENSG,GENE ID:55789,HGNC:24902,"BRCC3,XTP1"
ENSG00000185650,ZFP36L1,BRF1,ENSG,GENE ID:677,HGNC:1107,"BERG36,BRF1,CMG1,ERF1,RNF162B,TIS11B"
ENSG00000152518,ZFP36L2,BRF2,ENSG,GENE ID:678,HGNC:1108,"BRF2,ERF2,RNF162C,TIS11D"
ENSG00000135916,ITM2C,BRI3,ENSG,GENE ID:81618,HGNC:6175,"BRI3,BRICD2C,E25,HRPC.1050_D_4,ITM3"
ENSG00000100916,BRMS1L,BRMS1,ENSG,GENE ID:84312,HGNC:20512,"BRMS1,FLJ39177,MGC11296,P40"
