,NCBI_ID,gene_symbol,alias_symbol,HGNC_ID,ENSG_ID,source
4525,5728,PTEN,10q23del,9588,ENSG00000171862,NCBI Info
537,657,BMPR1A,10q23del,1076,ENSG00000107779,NCBI Info
199,239,ALOX12,12-LOX,429,ENSG00000108839,NCBI Info
205,246,ALOX15,12-LOX,433,ENSG00000161905,NCBI Info
245,292,SLC25A5,2F1,10991,ENSG00000005022,NCBI Info
7974,10219,KLRG1,2F1,6380,ENSG00000139187,NCBI Info
7933,10170,DHRS9,3-alpha-HSD,16888,ENSG00000073737,NCBI Info
916,1109,AKR1C4,3-alpha-HSD,387,ENSG00000198610,NCBI Info
5095,6444,SGCD,35DAG,10807,ENSG00000170624,NCBI Info
5096,6445,SGCG,35DAG,10809,ENSG00000102683,NCBI Info
3168,3921,RPSA,37LRP,6502,ENSG00000168028,NCBI Info
22807,388524,RPSA2,37LRP,36809,ENSG00000288920,NCBI Info
5020,6349,CCL3L1,464.2,10628,,NCBI Info
24483,414062,CCL3L3,464.2,30554,ENSG00000276085,NCBI Info
4959,6279,S100A8,60B8AG,10498,ENSG00000143546,NCBI Info
4960,6280,S100A9,60B8AG,10499,ENSG00000163220,NCBI Info
9089,23049,SMG1,61E3.4,30045,ENSG00000157106,NCBI Info
24653,440345,NPIPB4,61E3.4,41985,ENSG00000185864,NCBI Info
3168,3921,RPSA,67LR,6502,ENSG00000168028,NCBI Info
22807,388524,RPSA2,67LR,36809,ENSG00000288920,NCBI Info
2231,2773,GNAI3,87U6,4387,ENSG00000065135,NCBI Info
4797,6071,RNU6V,87U6,10230,,NCBI Info
5087,6432,SRSF7,9G8,10789,ENSG00000115875,NCBI Info
8272,10569,SLU7,9G8,16939,ENSG00000164609,NCBI Info
4726,5984,RFC4,A1,9972,ENSG00000163918,NCBI Info
10981,28881,IGKV2D-30,A1,5801,ENSG00000239571,NCBI Info
4723,5981,RFC1,A1,9969,ENSG00000035928,NCBI Info
11034,28934,IGKV1-32,A15,5736,,NCBI Info
5675,7102,TSPAN7,A15,11854,ENSG00000156298,NCBI Info
5269,6641,SNTB1,A1B,11168,ENSG00000172164,NCBI Info
0,1,A1BG,A1B,5,ENSG00000121410,NCBI Info
9479,23545,ATP6V0A2,A2,18481,ENSG00000185344,NCBI Info
19410,170589,GPHA2,A2,18054,ENSG00000149735,NCBI Info
11035,28935,IGKV1-27,A20,5735,ENSG00000244575,NCBI Info
5701,7128,TNFAIP3,A20,11896,ENSG00000118503,NCBI Info
32785,100288966,LOC100288966,A26B3,,,NCBI Info
21268,317754,POTED,A26B3,23822,ENSG00000166351,NCBI Info
38731,100913187,APOBEC3A_B,A3A,44196,,NCBI Info
19617,200315,APOBEC3A,A3A,17343,ENSG00000128383,NCBI Info
22,28,ABO,A3GALNT,79,ENSG00000175164,NCBI Info
10005,26301,GBGT1,A3GALNT,20460,ENSG00000148288,NCBI Info
5096,6445,SGCG,A4,10809,ENSG00000102683,NCBI Info
10998,28898,IGKV1D-27,A4,5751,,NCBI Info
4224,5355,PLP2,A4,9087,ENSG00000102007,NCBI Info
11338,50617,ATP6V0A4,A4,866,ENSG00000105929,NCBI Info
10973,28873,IGKV3D-25,A6,5826,,NCBI Info
4547,5756,TWF1,A6,9620,ENSG00000151239,NCBI Info
10986,28886,IGKV2D-23,A8,5796,,NCBI Info
8219,10507,SEMA4D,A8,10732,ENSG00000187764,NCBI Info
6309,8086,AAAS,AAA,13666,ENSG00000094914,NCBI Info
33443,100329167,AAA1,AAA,,,NCBI Info
294,351,APP,AAA,620,ENSG00000142192,NCBI Info
5151,6510,SLC1A5,AAAT,10943,ENSG00000105281,NCBI Info
5153,6512,SLC1A7,AAAT,10945,ENSG00000162383,NCBI Info
3,9,NAT1,AAC1,7645,ENSG00000171428,NCBI Info
244,291,SLC25A4,AAC1,10990,ENSG00000151729,NCBI Info
4,10,NAT2,AAC2,7646,ENSG00000156006,NCBI Info
245,292,SLC25A5,AAC2,10991,ENSG00000005022,NCBI Info
2323,2875,GPT,AAT1,4552,ENSG00000167701,NCBI Info
16430,89876,CFAP91,AAT1,24010,ENSG00000183833,NCBI Info
20888,284565,NBPF15,AB14,28791,ENSG00000266338,NCBI Info
12906,55672,NBPF1,AB14,26088,ENSG00000219481,NCBI Info
13,19,ABCA1,ABC1,29,ENSG00000165029,NCBI Info
14004,63897,HEATR6,ABC1,24076,ENSG00000068097,NCBI Info
12276,54784,ALKBH4,ABH4,21900,ENSG00000160993,NCBI Info
13995,63874,ABHD4,ABH4,20154,ENSG00000100439,NCBI Info
39838,101928076,DSP-AS1,ABL,56039,ENSG00000261189,NCBI Info
19,25,ABL1,ABL,76,ENSG00000097007,NCBI Info
3567,4547,MTTP,ABL,7467,ENSG00000138823,NCBI Info
5111,6462,SHBG,ABP,10839,ENSG00000129214,NCBI Info
20,26,AOC1,ABP,80,ENSG00000002726,NCBI Info
1862,2316,FLNA,ABP-280,3754,ENSG00000196924,NCBI Info
1864,2318,FLNC,ABP-280,3756,ENSG00000128591,NCBI Info
1863,2317,FLNB,ABP-280,3755,ENSG00000136068,NCBI Info
11079,28988,DBNL,ABP1,2696,ENSG00000136279,NCBI Info
20,26,AOC1,ABP1,80,ENSG00000002726,NCBI Info
27305,677882,SNORA59B,ACA59,32658,,NCBI Info
27307,677885,SNORA59A,ACA59,32653,ENSG00000239149,NCBI Info
5274,6646,SOAT1,ACAT,11177,ENSG00000057252,NCBI Info
880,1066,CES1,ACAT,1863,ENSG00000198848,NCBI Info
32,38,ACAT1,ACAT,93,ENSG00000075239,NCBI Info
1108,1370,CPN2,ACBP,2313,ENSG00000178772,NCBI Info
1317,1622,DBI,ACBP,2690,ENSG00000155368,NCBI Info
25,31,ACACA,ACC,84,ENSG00000278540,NCBI Info
7602,9790,BMS1,ACC,23505,ENSG00000165733,NCBI Info
25,31,ACACA,ACC1,84,ENSG00000278540,NCBI Info
486,597,BCL2A1,ACC1,991,ENSG00000140379,NCBI Info
26,32,ACACB,ACC2,85,ENSG00000076555,NCBI Info
486,597,BCL2A1,ACC2,991,ENSG00000140379,NCBI Info
2279,2827,GPR3,ACCA,4484,ENSG00000181773,NCBI Info
25,31,ACACA,ACCA,84,ENSG00000278540,NCBI Info
936,1134,CHRNA1,ACHRD,1955,ENSG00000138435,NCBI Info
946,1144,CHRND,ACHRD,1965,ENSG00000135902,NCBI Info
2201,2737,GLI3,ACLS,4319,ENSG00000106571,NCBI Info
22386,374654,KIF7,ACLS,30497,ENSG00000166813,NCBI Info
3748,4771,NF2,ACN,7773,ENSG00000186575,NCBI Info
9038,22985,ACIN1,ACN,17066,ENSG00000100813,NCBI Info
3701,4706,NDUFAB1,ACP,7694,ENSG00000004779,NCBI Info
13961,60502,CPAT1,ACP,,,NCBI Info
7398,9552,SPAG7,ACRP,11216,ENSG00000091640,NCBI Info
6767,8727,CTNNAL1,ACRP,2512,ENSG00000119326,NCBI Info
13084,55902,ACSS2,ACS,15814,ENSG00000131069,NCBI Info
9569,23659,PLA2G15,ACS,17163,ENSG00000103066,NCBI Info
16068,84680,ACCS,ACS,23989,ENSG00000110455,NCBI Info
11891,51703,ACSL5,ACS2,16526,ENSG00000197142,NCBI Info
9294,23305,ACSL6,ACS2,16496,ENSG00000164398,NCBI Info
5836,7291,TWIST1,ACS3,12428,ENSG00000122691,NCBI Info
1742,2181,ACSL3,ACS3,3570,ENSG00000123983,NCBI Info
22072,348158,ACSM2B,ACSM2,30931,ENSG00000066813,NCBI Info
17511,123876,ACSM2A,ACSM2,32017,ENSG00000183747,NCBI Info
8877,11332,ACOT7,ACT,24157,ENSG00000097021,NCBI Info
7322,9457,FHL5,ACT,17371,ENSG00000112214,NCBI Info
6,12,SERPINA3,ACT,16,ENSG00000196136,NCBI Info
60,72,ACTG2,ACT,145,ENSG00000163017,NCBI Info
59,71,ACTG1,ACT,144,ENSG00000184009,NCBI Info
24747,440915,POTEKP,ACT,30182,,NCBI Info
25703,641455,POTEM,ACT,37096,ENSG00000222036,NCBI Info
21953,345651,ACTBL2,ACT,17780,ENSG00000169067,NCBI Info
24281,404785,POTEG,ACTBL1,33896,ENSG00000187537,NCBI Info
9631,23784,POTEH,ACTBL1,133,ENSG00000198062,NCBI Info
11733,51412,ACTL6B,ACTL6,160,ENSG00000077080,NCBI Info
70,86,ACTL6A,ACTL6,24124,ENSG00000136518,NCBI Info
75,91,ACVR1B,ACVRLK4,172,ENSG00000135503,NCBI Info
5622,7046,TGFBR1,ACVRLK4,11772,ENSG00000106799,NCBI Info
795,967,CD63,AD1,1692,ENSG00000135404,NCBI Info
294,351,APP,AD1,620,ENSG00000142192,NCBI Info
12906,55672,NBPF1,AD2,26088,ENSG00000219481,NCBI Info
292,348,APOE,AD2,613,ENSG00000130203,NCBI Info
8736,11138,TBC1D8,AD3,17791,ENSG00000204634,NCBI Info
4469,5663,PSEN1,AD3,9508,ENSG00000080815,NCBI Info
82,100,ADA,ADA1,186,ENSG00000196839,NCBI Info
17249,117143,TADA1,ADA1,30631,ENSG00000152382,NCBI Info
7359,9507,ADAMTS4,ADAMTS-2,220,ENSG00000158859,NCBI Info
7361,9509,ADAMTS2,ADAMTS-2,218,ENSG00000087116,NCBI Info
7360,9508,ADAMTS3,ADAMTS-4,219,ENSG00000156140,NCBI Info
7359,9507,ADAMTS4,ADAMTS-4,220,ENSG00000158859,NCBI Info
16973,113451,AZIN2,ADC,29957,ENSG00000142920,NCBI Info
21644,339896,GADL1,ADC,27949,ENSG00000144644,NCBI Info
2376,2934,GSN,ADF,4620,ENSG00000148180,NCBI Info
8652,11034,DSTN,ADF,15750,ENSG00000125868,NCBI Info
