tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	6761	0	live	ST2		suppression of tumorigenicity 2		11p14.3-p12	11						185440	
9606	Homo sapiens	7839	0	live	LEPQTL1	LSL	Leptin, serum levels of		2p21	2						601694	
9606	Homo sapiens	100359403	0	live	PARK16		Parkinson disease 16 (susceptibility)		1q32	1						613164	
9606	Homo sapiens	50941	0	live	IBD5		inflammatory bowel disease 5		5q31-q33	5						606348	
9606	Homo sapiens	3478	0	live	IGES		immunoglobulin E concentration, serum		5q31.1	5						147061	
9606	Homo sapiens	100188856	0	live	DEL22Q11.2	C22DDELS, C22DELq11.2	Chromosome 22q11.2 deletion syndrome, distal		22q11.2	22						611867	
9606	Homo sapiens	2489	0	live	FSHMD1A	FMD, FSHD, FSHD1A, FSHMD	facioscapulohumeral muscular dystrophy 1A		4q35	4						158900	
9606	Homo sapiens	7952	0	live	TNDM	DMTN, TNDM1	diabetes mellitus, transient neonatal			6							
9606	Homo sapiens	574045	0	live	HNP1		Hypertensive nephropathy		9q31-q32	9						608026	
9606	Homo sapiens	170534	0	live	PARK10	AAOPD	Parkinson disease 10 (susceptibility)	Parkinson disease, age at onset of	1p32	1						606852	
9606	Homo sapiens	10547	0	live	PSORS4		psoriasis susceptibility 4		1q21	1						603935	
9606	Homo sapiens	353125	0	live	HDLC3		High density lipoprotein cholesterol, low serum, 3		16q24.1	16						607687	
9606	Homo sapiens	5177	0	live	PEE1	PEE, PIH, PREG1	preeclampsia/eclampsia 1	pregnancy-induced hypertension (pre-eclampsia, eclampsia, toxemia of pregnancy included)	4q25-qter	4						189800	
9606	Homo sapiens	3378	0	live	IBD2		inflammatory bowel disease 2		12p13.2-q24.1	12						601458	
9606	Homo sapiens	2112	0	live	ETM2	ETM	essential tremor 2		2p25-p22	2						602134	
9606	Homo sapiens	4933	0	live	NYS2	NYSA	nystagmus 2, congenital autosomal dominant		6p12	6						164100	
9606	Homo sapiens	7954	0	live	HBFQTL2	FCP, HPFH	hereditary persistence of fetal hemoglobin, heterocellular		6q22.3-q23.1	6						142470	
9606	Homo sapiens	8173	0	live	CNSN		Carnosinemia (carnosinase)		18q21.3	18						212200	
