ENSG_ID,NCBI_ID,HGNC_ID,collision,primary_gene_symbol,source
ENSG00000139187,GENE ID:10219,HGNC:6380,2F1,KLRG1,ENSG
ENSG00000005022,GENE ID:292,HGNC:10991,2F1,SLC25A5,ENSG
ENSG00000163220,GENE ID:6280,HGNC:10499,60B8AG,S100A9,ENSG
ENSG00000143546,GENE ID:6279,HGNC:10498,60B8AG,S100A8,ENSG
ENSG00000206832,,HGNC:10230,87U6,RNU6V,ENSG
ENSG00000065135,GENE ID:2773,HGNC:4387,87U6,GNAI3,ENSG
ENSG00000164609,GENE ID:10569,HGNC:16939,9G8,SLU7,ENSG
ENSG00000115875,GENE ID:6432,HGNC:10789,9G8,SRSF7,ENSG
ENSG00000033627,GENE ID:535,HGNC:865,A1,ATP6V0A1,ENSG
ENSG00000035928,GENE ID:5981,HGNC:9969,A1,RFC1,ENSG
ENSG00000049541,GENE ID:5982,HGNC:9970,A1,RFC2,ENSG
ENSG00000163918,GENE ID:5984,HGNC:9972,A1,RFC4,ENSG
ENSG00000185344,GENE ID:23545,HGNC:18481,A2,ATP6V0A2,ENSG
ENSG00000160226,GENE ID:755,HGNC:1260,A2,CFAP410,ENSG
ENSG00000108823,GENE ID:6442,HGNC:10805,A2,SGCA,ENSG
ENSG00000149735,GENE ID:170589,HGNC:18054,A2,GPHA2,ENSG
ENSG00000118503,GENE ID:7128,HGNC:11896,A20,TNFAIP3,ENSG
ENSG00000244575,,HGNC:5735,A20,IGKV1-27,ENSG
ENSG00000282666,,HGNC:5735,A20,IGKV1-27,ENSG
ENSG00000281879,GENE ID:28,HGNC:79,A3GALNT,ABO,ENSG
ENSG00000148288,GENE ID:26301,HGNC:20460,A3GALNT,GBGT1,ENSG
ENSG00000175164,GENE ID:28,HGNC:79,A3GALNT,ABO,ENSG
ENSG00000089289,GENE ID:3476,HGNC:5461,A4,IGBP1,ENSG
ENSG00000105929,GENE ID:50617,HGNC:866,A4,ATP6V0A4,ENSG
ENSG00000102683,GENE ID:6445,HGNC:10809,A4,SGCG,ENSG
ENSG00000102007,GENE ID:5355,HGNC:9087,A4,PLP2,ENSG
ENSG00000151729,GENE ID:291,HGNC:10990,AAC1,SLC25A4,ENSG
ENSG00000171428,GENE ID:9,HGNC:7645,AAC1,NAT1,ENSG
ENSG00000068097,GENE ID:63897,HGNC:24076,ABC1,HEATR6,ENSG
ENSG00000165029,GENE ID:19,HGNC:29,ABC1,ABCA1,ENSG
ENSG00000261189,GENE ID:101928076,HGNC:56039,ABL,DSP-AS1,ENSG
ENSG00000097007,GENE ID:25,HGNC:76,ABL,ABL1,ENSG
ENSG00000138823,GENE ID:4547,HGNC:7467,ABL,MTTP,ENSG
ENSG00000129214,GENE ID:6462,HGNC:10839,ABP,SHBG,ENSG
ENSG00000002726,GENE ID:26,HGNC:80,ABP,AOC1,ENSG
ENSG00000196924,GENE ID:2316,HGNC:3754,ABP-280,FLNA,ENSG
ENSG00000128591,GENE ID:2318,HGNC:3756,ABP-280,FLNC,ENSG
ENSG00000002726,GENE ID:26,HGNC:80,ABP1,AOC1,ENSG
ENSG00000136279,GENE ID:28988,HGNC:2696,ABP1,DBNL,ENSG
ENSG00000268001,GENE ID:100505812,HGNC:51408,AC008392.1,CARD8-AS1,ENSG
ENSG00000268186,,HGNC:53930,AC008392.1,ZNF114-AS1,ENSG
ENSG00000260943,,HGNC:53593,AC079630.2,LINC02555,ENSG
ENSG00000223914,,HGNC:53410,AC079630.2,LINC02471,ENSG
ENSG00000082929,GENE ID:10141,HGNC:13716,AC1,LINC01587,ENSG
